ProjectName,Scenario,Watershed,Total contributing area to outlet (ha),Precipitation (m^3/yr),Precipitation per area (mm/yr),Stream discharge (m^3/yr),Stream discharge per area (mm/yr),Total hillslope soil loss (tonne/yr),Total hillslope soil loss per area (kg/ha/yr),Total channel soil loss (tonne/yr),Total channel soil loss per area (kg/ha/yr),Sediment discharge (tonne/yr),Sediment discharge per area (kg/ha/yr),Sediment delivery ratio for watershed,Phosphorus discharge (kg/yr),Phosphorus discharge per area (kg/ha/yr)
portland_SouthFork_CurCond.202009.cl532.chn_cs160,cs160,portland_SouthFork_CurCond.202009.cl532.chn,3840.28,118266464.0,3079.6312768860603,88873169.0,2314.2366962825627,3.8,0.9895111814763506,343.8,89.52472215567614,335.4,87.33738164925474,0.965,735.1,0.19141833407980668
portland_CedarCreek_CurCond.202009.cl532.chn_cs150,cs150,portland_CedarCreek_CurCond.202009.cl532.chn,1927.9,59256100.0,3073.60858965714,46724487.0,2423.5949478707403,2.7,1.4004875771564915,7.4,3.8383733596140877,9.4,4.875771564915192,0.937,209.4,0.10861559209502568
portland_BlazedAlder_CurCond.202009.cl532.chn_cs50,cs50,portland_BlazedAlder_CurCond.202009.cl532.chn,1800.13,53649291.0,2980.3009227111374,43428948.0,2412.5450939654356,2.6,1.4443401309905395,250.5,139.1566164665885,249.6,138.65665257509178,0.986,433.1,0.24059373489692412
portland_FirCreek_CurCond.202009.cl532.chn_cs150,cs150,portland_FirCreek_CurCond.202009.cl532.chn,1344.48,43230995.0,3215.4435171962396,31629559.0,2352.549610258241,3.4,2.52885874092586,44.2,32.87516363203618,47.8,35.55277876948709,1.004,183.6,0.13655837200999643
portland_BRnearMultnoma_CurCond.202009.cl532.chn_cs200,cs200,portland_BRnearMultnoma_CurCond.202009.cl532.chn,11881.78,327557402.0,2756.804132040822,278085515.0,2340.436491838765,138.9,11.690167634815658,694.4,58.442421926681014,720.0,60.596981260383544,0.864,1894.5,0.1594458069413842
portland_NorthFork_CurCond.202009.cl532.chn_cs140,cs140,portland_NorthFork_CurCond.202009.cl532.chn,2022.25,60643198.0,2998.7982692545434,46478817.0,2298.371467424898,2.2,1.0878971442699963,274.5,135.73989368277907,277.1,137.02559030782544,1.002,493.0,0.24378786005686734
portland_LittleSandy_CurCond.202009.cl532.chn_cs110,cs110,portland_LittleSandy_CurCond.202009.cl532.chn,5739.2,166962930.0,2909.1673055478113,114221709.0,1990.2026240591024,6.5,1.132562029551157,890.3,155.12614998606077,784.4,136.67410091998886,0.875,1303.2,0.22706997490939504
portland_SouthFork_CurCond.202009.cl532_gridmet.chn_cs160,gridmet.chncs160,portland_SouthFork_CurCond.202009.cl532,3840.28,132140767.0,3440.9149072463465,98053123.0,2553.2805680835772,57.8,15.050985865613965,569.6,148.32251814971823,608.8,158.53010717968482,0.97,1035.6,0.2696678367202391
portland_fixed_order_BRnearMultnoma_CurCond.202009.cl532_gridmet.chn_cs200,CurCond.202009.cl532gridmet.chncs200,portland_fixed_order_BRnearMultnoma,11876.18,402004866.0,3384.9677758336434,351769388.0,2961.974203826483,1163.8,97.99447297026485,1770.4,149.07150278961754,2627.8,221.2664341564375,0.896,4064.5,0.34223967639426145
portland_CedarCreek_CurCond.202009.cl532_gridmet.chn_cs110,gridmet.chncs110,portland_CedarCreek_CurCond.202009.cl532,1927.9,69091082.0,3583.748223455573,55649244.0,2886.5212925981637,41.1,21.318533118937705,122.2,63.385030343897505,147.6,76.55998755122154,0.904,370.0,0.1919186679807044
