sim_day_index,date,undisturbed_precip,undisturbed_runoff_volume,undisturbed_peak_runoff,undisturbed_effective_duration_hr,undisturbed_time_to_peak_s,undisturbed_dur_area_weighted,undisturbed_peakro_area_weighted,undisturbed_contrib_area_fraction,undisturbed_subsurface_fraction_of_runvol,undisturbed_drain_fraction_of_runvol,undisturbed_approx_intensity_mm_per_hr,undisturbed_peak_to_volume_1_per_s,burned_precip,burned_runoff_volume,burned_peak_runoff,burned_effective_duration_hr,burned_time_to_peak_s,burned_dur_area_weighted,burned_peakro_area_weighted,burned_contrib_area_fraction,burned_subsurface_fraction_of_runvol,burned_drain_fraction_of_runvol,burned_approx_intensity_mm_per_hr,burned_peak_to_volume_1_per_s,peak_diff_undist_minus_burned,runoff_vol_diff_undist_minus_burned,effective_duration_hr_diff_undist_minus_burned,undisturbed_volume_ratio_to_burned,flag_peak_higher_volume_not_higher
45,1980-02-14,82.8,600631.0,190.28873,0.8767831097745225,7800.0,19438.21297339034,1.6192593667102044,0.999908074762877,0.09416780618536198,0.0,15.334742983218277,0.00031681469987396586,,,,,,,,,,,,,,,,,False
46,1980-02-15,116.3,1010426.96,217.93573,1.2878758134591128,10800.0,27357.484925512326,1.5651085620117287,0.999908074762877,0.1130497026552216,0.0,15.304038406306802,0.0002156867726490592,116.3,1028897.68,165.64967,1.7253575640151362,10800.0,27360.00000000001,58127.29861232089,1.0,0.11211314760739455,0.0,15.302631578947361,0.00016099722374726317,52.28606000000002,-18470.72000000009,-0.43748175055602334,0.9820480497147198,True
1065,1982-11-30,78.0,396440.81,172.14158,0.6397202071819151,3600.0,6840.000000000003,1.5723053292262241,1.0,0.050952970389614584,0.0,41.05263157894735,0.00043421760741534153,78.0,411324.27,189.332,0.6034729557954633,3000.0,6840.000000000003,1.8504604274744554,1.0,0.059749219771468375,0.0,41.05263157894735,0.00046029863494317995,-17.19041999999999,-14883.460000000021,0.036247251386451795,0.9638157505269503,False
1156,1983-03-01,136.4,1229888.17,179.6318,1.901865943434168,13200.0,33119.83753868994,1.270850679431233,0.9892424593396035,0.17505047149137554,0.0,14.826159682286388,0.0001460553929874779,136.4,1228988.91,116.90556,2.9201845347076163,13200.0,33480.000000000015,0.7525476762159152,1.0,0.1765832939732525,0.0,14.66666666666666,9.512336445737334e-05,62.726240000000004,899.2600000000093,-1.0183185912734483,1.000731707172199,True
2237,1986-02-14,65.0,449182.64,135.19771,0.9228925220372117,3600.0,8279.238859036624,1.0772951916237856,0.999908074762877,0.20182784643902973,0.0,28.26346769118681,0.00030098605324551276,65.0,503763.64,131.92458,1.0607147238554366,3600.0,8280.000000000004,42.15779653194442,1.0,0.18221614617282736,0.0,28.260869565217376,0.0002618779314838998,3.273130000000009,-54581.0,-0.1378222018182249,0.8916535540357776,True
4424,1992-02-10,90.4,619103.82,166.80341,1.0309938108179761,14400.0,36720.000000000015,1.1987284584188238,1.0,0.18872098549553554,0.0,8.862745098039213,0.00026942720204827685,90.4,706651.8,160.21571,1.2251742770210654,14400.0,36720.000000000015,1.146724749282322,1.0,0.19908442233443702,0.0,8.862745098039213,0.0002267251141226839,6.587700000000012,-87547.9800000001,-0.19418046620308926,0.8761087426650578,True
4425,1992-02-11,68.3,558981.24,139.23961,1.1151465209265286,6000.0,13555.971465956989,1.0815064561008625,0.9655250331878193,0.4690621008870341,0.0,18.138132011968054,0.0002490953184761621,,,,,,,,,,,,,,,,,False
4756,1993-01-07,58.2,444664.09,168.37183,0.7336013558668204,10800.0,26640.00000000001,1.5235649676934278,1.0,0.28431309532783555,0.0,7.864864864864862,0.0003786494879764183,58.2,482722.86,185.73266,0.721949943178186,10800.0,26640.00000000001,1.6300356096607769,1.0,0.21794511627931654,0.0,7.864864864864862,0.0003847604399758487,-17.36083000000002,-38058.76999999996,0.011651412688634455,0.921158136161192,False
4763,1993-01-14,79.2,713966.95,151.3643,1.3102439133783712,8400.0,19822.446091134134,1.1248974484692367,0.9332601737822093,0.40584171121688917,0.0,14.38369405517132,0.0002120046313068133,79.2,758148.54,144.78128,1.4545859566006507,9000.0,21240.000000000007,1.0815909332387352,1.0,0.303370609465584,0.0,13.423728813559318,0.0001909669047176428,6.583019999999976,-44181.590000000084,-0.1443420432222795,0.9417243618249267,True
5482,1995-01-03,160.3,984085.21,249.52349,1.0955161086348133,17400.0,45000.000000000015,1.7844553731929083,1.0,0.015030845951019096,0.0,12.823999999999998,0.00025355882545984005,160.3,962826.45,281.18726,0.9511518824382963,17400.0,45000.000000000015,2.0505514718705653,1.0,0.010284661117987006,0.0,12.823999999999998,0.0002920435557207636,-31.66376999999997,21258.76000000001,0.144364226196517,1.022079534686651,False
5488,1995-01-09,91.7,676803.36,160.67899,1.1700405468900033,14400.0,29993.775619627435,1.302282054807239,0.8331604338785396,0.29867759896217244,0.0,11.006283576515619,0.00023740867657631016,,,,,,,,,,,,,,,,,False
5489,1995-01-10,135.9,1195757.57,176.26347,1.884422680181864,7200.0,17049.692632546674,1.2175048096937793,0.9665358635230537,0.2112797121494971,0.0,28.69494544822908,0.00014740736284864163,,,,,,,,,,,,,,,,,False
5895,1996-02-20,103.9,825128.18,215.3737,1.0642073392536888,10200.0,25200.000000000007,1.6753895982963058,1.0,0.050115785120956574,0.0,14.84285714285714,0.00026101847594151977,103.9,826900.52,129.53085,1.7732809511316332,10200.0,25200.000000000007,100687.99932925201,1.0,0.06471425791933134,0.0,14.84285714285714,0.000156646231157286,85.84285000000003,-1772.3399999999674,-0.7090736118779444,0.9978566466495874,True
