sim_day_index,year,month,day_of_month,julian,precip,runoff_volume,peak_runoff,element_id,date,effective_duration_hr,time_to_peak_s,peak_discharge_m3s,total_area_m2,contrib_area_m2,contrib_area_fraction,sum_hillslope_runvol_m3,sum_sbrunv_m3,sum_drrunv_m3,sum_gwbfv_m3,sum_gwdsv_m3,dur_area_weighted,peakro_area_weighted,dur_mean,peakro_mean,hillslope_rows,subsurface_fraction_of_runvol,drain_fraction_of_runvol,peak_to_volume_1_per_s,approx_intensity_mm_per_hr
16106,2024,2,4,35,180.6,1308855.35,263.57799,400,2024-02-04,1.3793675661444857,15600.0,264.0,9790564.899999997,9789664.899999997,0.999908074762877,1222394.2639999993,82696.73210000001,0.0,45.816256513999996,0.0,39596.35976060994,2.072497049751839,39457.553956834534,1.1912034474820143,278,0.06765143991218864,0.0,0.00020138053452583587,16.41969120218906
5482,1995,1,3,3,160.3,984085.21,249.52349,400,1995-01-03,1.0955161086348133,17400.0,250.0,9790564.899999997,9790564.899999997,1.0,965978.6459999995,14519.47622,0.0,25.19397773746464,0.0,45000.000000000015,1.7844553731929083,45000.0,1.0068584928057565,278,0.015030845951019096,0.0,0.00025355882545984005,12.823999999999998
15340,2021,12,30,364,76.7,685878.2,241.41668,400,2021-12-30,0.7891820988600381,4800.0,241.0,9790564.899999997,9790564.899999997,1.0,542452.3819999996,142704.33720000007,0.0,35.24531338001751,0.0,11160.000000000004,1.8002993343589089,11160.0,1.0520106510791365,278,0.26307256071741275,0.0,0.0003519818533378084,24.74193548387096
46,1980,2,15,46,116.3,1010426.96,217.93573,400,1980-02-15,1.2878758134591128,10800.0,218.0,9790564.899999997,9789664.899999997,0.999908074762877,906357.4330000005,102463.4383,0.0,53.77773570000002,0.0,27357.484925512326,1.5651085620117287,27261.58273381295,0.8841247374100717,278,0.1130497026552216,0.0,0.0002156867726490592,15.304038406306802
5895,1996,2,20,51,103.9,825128.18,215.3737,400,1996-02-20,1.0642073392536888,10200.0,215.0,9790564.899999997,9790564.899999997,1.0,784271.9275999999,39304.40340000001,0.0,34.12703762301418,0.0,25200.000000000007,1.6753895982963058,25200.0,0.9195793532374104,278,0.050115785120956574,0.0,0.00026101847594151977,14.84285714285714
11311,2010,12,19,353,70.6,504182.01,211.46838,400,2010-12-19,0.6622765934714843,7200.0,211.0,9790564.899999997,9790564.899999997,1.0,477705.0849999999,25197.945780000002,0.0,26.129850846974996,0.0,18000.000000000007,1.8772848144448842,18000.0,1.0664170629496394,278,0.05274791198841856,0.0,0.00041942865037965157,14.119999999999994
45,1980,2,14,45,82.8,600631.0,190.28873,400,1980-02-14,0.8767831097745225,7800.0,190.0,9790564.899999997,9789664.899999997,0.999908074762877,548144.2904,51617.54529999998,0.0,53.146928700000004,0.0,19438.21297339034,1.6192593667102044,19370.071942446044,0.9490882226618714,278,0.09416780618536198,0.0,0.00031681469987396586,15.334742983218277
9130,2004,12,29,364,91.7,706614.87,182.43366,400,2004-12-29,1.0759084060108937,4800.0,182.0,9790564.899999997,9790564.899999997,1.0,678632.21576,26131.38480000001,0.0,60.78582015446001,0.0,10440.000000000004,1.4666433460336492,10440.0,0.8041945812949635,278,0.038505959771944334,0.0,0.0002581797634686063,31.620689655172406
1156,1983,3,1,60,136.4,1229888.17,179.6318,400,1983-03-01,1.901865943434168,13200.0,180.0,9790564.899999997,9685242.499999996,0.9892424593396035,1045334.1789999994,182986.24089999986,0.0,67.85966750000001,0.0,33119.83753868994,1.270850679431233,31793.956834532375,0.7076402075539565,278,0.17505047149137554,0.0,0.0001460553929874779,14.826159682286388
5489,1995,1,10,10,135.9,1195757.57,176.26347,400,1995-01-10,1.884422680181864,7200.0,176.0,9790564.899999997,9462932.099999996,0.9665358635230537,985196.2916000002,208151.98890000005,0.0,29.746811790019372,0.0,17049.692632546674,1.2175048096937793,16370.93525179856,0.7067699737410071,278,0.2112797121494971,0.0,0.00014740736284864163,28.69494544822908
9141,2005,1,9,9,92.5,813547.28,174.8826,400,2005-01-09,1.2922117783905065,16800.0,175.0,9790564.899999997,9696035.599999996,0.9903448574249275,624009.9388,188390.36190000002,0.0,63.6729705,0.0,42069.849543410935,1.5072329801440425,40493.525179856115,0.8928127992805758,278,0.30190282267343915,0.0,0.00021496304431132754,7.915407438203095
1065,1982,11,30,334,78.0,396440.81,172.14158,400,1982-11-30,0.6397202071819151,3600.0,172.0,9790564.899999997,9790564.899999997,1.0,376160.24999999994,19166.482080000016,0.0,31.172997506500003,0.0,6840.000000000003,1.5723053292262241,6840.0,0.9057604712230217,278,0.050952970389614584,0.0,0.00043421760741534153,41.05263157894735
9142,2005,1,10,10,87.1,856237.93,169.08346,400,2005-01-10,1.406665497881605,4800.0,169.0,9790564.899999997,9582623.099999996,0.978761000808033,619403.3680000001,235546.00280000005,0.0,63.88288099999999,0.0,10570.61880872676,1.2535486749437212,10178.41726618705,0.6963712143884891,278,0.38027885376302956,0.0,0.0001974725179483698,29.663353269454294
4756,1993,1,7,7,58.2,444664.09,168.37183,400,1993-01-07,0.7336013558668204,10800.0,168.0,9790564.899999997,9790564.899999997,1.0,346067.0536000001,98391.39520000001,0.0,42.122688789999984,0.0,26640.00000000001,1.5235649676934278,26640.0,0.8756343393884889,278,0.28431309532783555,0.0,0.0003786494879764183,7.864864864864862
4424,1992,2,10,41,90.4,619103.82,166.80341,400,1992-02-10,1.0309938108179761,14400.0,167.0,9790564.899999997,9790564.899999997,1.0,520098.6077000002,98153.52179999997,0.0,58.21566799999999,0.0,36720.000000000015,1.1987284584188238,36720.0,0.7068579809352518,278,0.18872098549553554,0.0,0.00026942720204827685,8.862745098039213
15938,2023,8,20,232,145.3,545680.98,163.24568,400,2023-08-20,0.9285271745016468,5400.0,163.0,9790564.899999997,7358667.599999998,0.7516080711543008,534469.2736999998,8293.305142000003,0.0,26.74574592600001,0.0,9470.261696544194,1.2681350506286315,9427.338129496404,0.6815638109352518,278,0.015516897883740789,0.0,0.00029915955655995195,55.23395411458143
5488,1995,1,9,9,91.7,676803.36,160.67899,400,1995-01-09,1.1700405468900033,14400.0,161.0,9790564.899999997,8157111.299999998,0.8331604338785396,519858.8101000003,155270.18120000005,0.0,28.127916090020218,0.0,29993.775619627435,1.302282054807239,30690.64748201439,0.8209454312949647,278,0.29867759896217244,0.0,0.00023740867657631016,11.006283576515619
9060,2004,10,20,294,74.4,356340.74,154.68608,400,2004-10-20,0.6398994588840113,3000.0,155.0,9790564.899999997,9790564.899999997,1.0,342914.5140000005,12010.339820000001,0.0,26.045426757490002,0.0,6480.000000000002,1.1885079331305282,6480.0,0.6902305780575542,278,0.03502429710513794,0.0,0.00043409597229887326,41.33333333333333
9182,2005,2,19,50,71.6,512441.92,152.81089,400,2005-02-19,0.931510691271923,6600.0,153.0,9790564.899999997,9729365.299999995,0.9937491247313011,427044.752,84823.97870000002,0.0,67.93679570000002,0.0,15740.986135743817,1.150676299045666,15555.107913669064,0.6781639780575539,278,0.19863018642130514,0.0,0.00029820138446128686,16.375085892153344
15339,2021,12,29,363,105.7,620366.89,151.92614,400,2021-12-29,1.134262583852332,6600.0,152.0,9790564.899999997,9789664.899999997,0.999908074762877,531393.3573999997,86802.6599,0.0,33.85551175001825,0.0,15118.610090414706,1.31010926289306,15065.611510791367,0.7524493859712232,278,0.16334916252003576,0.0,0.0002448972413727625,25.168980331151744
4763,1993,1,14,14,79.2,713966.95,151.3643,400,1993-01-14,1.3102439133783712,8400.0,151.0,9790564.899999997,9137144.299999995,0.9332601737822093,506933.0424000003,205734.57339999996,0.0,48.78351319999998,0.0,19822.446091134134,1.1248974484692367,20246.762589928057,0.6840689697841719,278,0.40584171121688917,0.0,0.0002120046313068133,14.38369405517132
13535,2017,1,20,20,69.6,460698.97,151.27475,400,2017-01-20,0.8459570160328217,13200.0,151.0,9790564.899999997,9474645.499999996,0.9677322602702935,362351.09170000005,97772.2155,0.0,51.4363903,0.0,32748.05968754674,1.3228847415649734,32135.827338129497,0.779586896438849,278,0.269827296618022,0.0,0.00032835921035378053,7.651140323751199
8823,2004,2,26,57,108.7,679195.09,148.51926,400,2004-02-26,1.270308664194649,7200.0,149.0,9790564.899999997,9786965.099999996,0.9996323194793386,595400.0670999998,81827.9369,0.0,29.920515340489004,0.0,16913.778845590416,1.0551006152523008,16798.273381294963,0.6591935834532381,278,0.13743353657744328,0.0,0.0002186695136444523,23.13616629213648
16756,2025,11,15,319,86.6,491893.7,147.81218,400,2025-11-15,0.924397021198719,3000.0,148.0,9790564.899999997,9790564.899999997,1.0,475317.9520000001,15151.784310000012,0.0,28.143828852400016,0.0,6120.000000000002,1.0318813710025758,6120.0,0.5806161100719422,278,0.031877155588686895,0.0,0.00030049618443984955,50.94117647058822
8444,2003,2,12,43,131.3,651386.36,143.45423,400,2003-02-12,1.2613127933247807,13800.0,143.0,9790564.899999997,9789664.899999997,0.999908074762877,634906.0539999997,13955.805209999997,0.0,60.677898109999994,0.0,34196.856156890404,1.3169742121847081,34076.97841726619,0.7344438446043163,278,0.02198089799597344,0.0,0.00022022909721351857,13.822323251921468
4425,1992,2,11,42,68.3,558981.24,139.23961,400,1992-02-11,1.1151465209265286,6000.0,139.0,9790564.899999997,9453035.499999996,0.9655250331878193,380463.16290000005,178460.8504999999,0.0,58.64384770000003,0.0,13555.971465956989,1.0815064561008625,12928.920863309353,0.6485094381294968,278,0.4690621008870341,0.0,0.0002490953184761621,18.138132011968054
9184,2005,2,21,52,66.0,613759.53,136.6273,400,2005-02-21,1.2478381577717876,6600.0,137.0,9790564.899999997,9257751.799999997,0.9455789216003256,402259.0259999997,211267.82089999996,0.0,68.01371529999997,0.0,15318.378529925281,0.9906096957069342,14684.892086330936,0.5976449334532375,278,0.525203431731076,0.0,0.0002226072155653534,15.510780043451435
2237,1986,2,14,45,65.0,449182.64,135.19771,400,1986-02-14,0.9228925220372117,3600.0,135.0,9790564.899999997,9789664.899999997,0.999908074762877,373482.87330000027,75379.24400000005,0.0,64.75815160000002,0.0,8279.238859036624,1.0772951916237856,8250.21582733813,0.6104558302158273,278,0.20182784643902973,0.0,0.00030098605324551276,28.26346769118681
14261,2019,1,16,16,49.8,400780.98,133.19999,400,2019-01-16,0.8357962339186361,8400.0,133.0,9790564.899999997,9042637.699999996,0.9236073497658954,253848.96180000005,146570.60970000012,0.0,57.094404369999985,0.0,19284.921463111907,1.1138874985131983,19377.841726618706,0.6625793328417267,278,0.57739298463422,0.0,0.0003323510761413878,9.296382167950531
15779,2023,3,14,73,86.1,368445.27,131.18296,400,2023-03-14,0.7801768486801436,16800.0,131.0,9790564.899999997,9786965.099999996,0.9996323194793386,307615.8642000002,59030.19660000003,0.0,66.64781719999999,0.0,42464.38093148232,1.1462810757788855,42174.388489208635,0.7054214386330931,278,0.19189581380504106,0.0,0.0003560446304548841,7.299293977701703
