site,hillslopes,days,actual_peak_es_mm,peak_year,peak_julian,p99_es_mm,perfect_sync_peak_es_mm,synchronization_efficiency,peak_day_P,peak_day_RM,peak_day_Ep,peak_day_Es,peak_day_Er,peak_day_soil_water,peak_day_soil_water_total,peak_prior7_RM_mm,peak_prior7_P_mm
Stevens Canyon,13,36525,4.958814799184075,82,156,2.6372154181613583,5.181185200815924,0.957081171003725,13.500000000000002,13.500000000000002,5.781126116620947,4.958814799184075,0.0,293.55853696279104,293.55853696279104,31.0,31.0
Palisades,278,16802,3.8632569683491904,2006,144,2.417521694585781,3.957649728668874,0.9761492888984311,0.0,0.0,1.1860991420423563,3.8632569683491904,0.0,170.26803539650714,170.26803539650714,48.87276446632821,48.87276446632821
