site,wepp_id,area_weight,max_es_mm,peak_year,peak_julian
Stevens Canyon,49,0.01758458183864388,4.39,11,138
Stevens Canyon,50,0.0626011113455722,4.39,50,222
Stevens Canyon,51,0.10958711401842865,6.25,82,156
Stevens Canyon,52,0.16438067102764298,6.25,82,156
Stevens Canyon,53,0.06400787789266371,6.25,82,156
Stevens Canyon,54,0.050573257367939786,6.25,82,156
Stevens Canyon,55,0.057396075121333615,6.25,82,156
Stevens Canyon,56,0.06457058451150031,4.39,50,222
Stevens Canyon,57,0.13828515157909546,3.24,1,71
Stevens Canyon,58,0.20060490961524935,4.39,50,222
Stevens Canyon,59,0.06492227614827319,6.25,82,156
Stevens Canyon,60,0.0018287965112189631,4.39,50,222
Stevens Canyon,61,0.0036575930224379263,4.39,50,222
Palisades,1,0.008918280088210231,2.94,1996,109
Palisades,2,0.012407864228549264,2.92,1996,109
Palisades,3,0.006804306051839766,4.46,2006,144
Palisades,4,0.00303506491234229,4.5,2006,144
Palisades,5,0.002113463340608671,2.12,2006,144
Palisades,6,0.0003675273119327364,2.96,1996,109
Palisades,7,0.004229480160026312,2.93,1996,109
Palisades,8,0.005699671119079145,4.28,2006,144
Palisades,9,0.002022150938399887,2.93,1996,109
Palisades,10,0.0029400755006485885,4.39,2006,144
Palisades,11,0.009008060403133632,4.37,2006,144
Palisades,12,0.004871731150058563,4.47,2006,144
Palisades,13,0.004135410000703841,4.35,2006,144
Palisades,14,0.0027583699486022507,4.35,2006,144
Palisades,15,0.0027591870618211213,4.37,2006,144
Palisades,16,0.003862800603058154,4.51,2006,144
Palisades,17,0.00027577571136880975,2.91,1984,259
Palisades,18,0.0043204861447780196,4.56,2006,144
Palisades,19,0.0005515514227376195,4.37,2006,144
Palisades,20,0.00413632925307507,4.22,2006,144
Palisades,21,0.0013795935309105607,4.33,2006,144
Palisades,22,0.0008277459046311005,4.34,2006,144
Palisades,23,0.004504643036480969,4.24,2006,144
Palisades,24,0.0008277152628853928,4.34,2006,144
Palisades,25,0.0007348197038150475,2.91,1984,259
Palisades,26,0.010940124609153043,4.43,2006,144
Palisades,27,0.004689821319707507,2.57,2006,144
Palisades,28,0.001012015149401645,4.39,2006,144
Palisades,29,0.0019303278404293096,4.6,2006,144
Palisades,30,0.004135614279008559,4.34,2006,144
Palisades,31,0.0010111776083523026,4.47,2006,144
Palisades,32,0.001103102845475239,4.43,2006,144
Palisades,33,9.192523712293659e-05,4.44,2006,144
Palisades,34,0.0010108405491495184,4.48,2006,144
Palisades,35,0.0014708037939669854,4.54,2006,144
Palisades,36,0.0007354018969834927,4.46,2006,144
Palisades,37,0.0043204861447780196,4.42,2006,144
Palisades,38,0.002389647608586916,4.37,2006,144
Palisades,39,0.00036748645627179285,4.56,2006,144
Palisades,40,0.00018385047424587317,4.58,2006,144
Palisades,41,0.0027577571136880976,4.67,2006,144
Palisades,42,0.004412309242748598,4.59,2006,144
Palisades,43,0.009834366145716474,4.66,2006,144
Palisades,44,0.003862494185601078,4.7,2006,144
Palisades,45,0.0043198733098638665,4.56,2006,144
Palisades,46,0.0011958451958170462,4.64,2006,144
Palisades,47,0.0011041242369988272,4.68,2006,144
Palisades,48,0.004688084954117407,4.76,2006,144
Palisades,49,0.002482389958928723,4.68,2006,144
Palisades,50,0.0017465795053357952,4.7,2006,144
Palisades,51,0.0005516535618899784,4.63,2006,144
Palisades,52,0.0002758267809449892,4.6,2006,144
Palisades,53,0.006895720593200909,4.55,2006,144
Palisades,54,0.001563239726851716,2.65,2006,144
Palisades,55,0.000643231525894895,4.76,2006,144
Palisades,56,0.0013784700002346137,2.68,2006,144
Palisades,57,0.00018385047424587317,4.62,2006,144
Palisades,58,0.004778886660564397,4.75,2006,144
Palisades,59,0.00036770094849174635,4.6,2006,144
Palisades,60,0.002022355216704605,4.62,2006,144
Palisades,61,0.010572423660661296,4.78,2006,144
Palisades,62,0.006893779949306091,2.72,1983,227
Palisades,63,0.004136839948836864,4.77,2006,144
Palisades,64,0.0003694066723361386,4.78,2006,144
Palisades,65,0.005699364701622069,2.77,1983,227
Palisades,66,0.005701101067212168,2.79,1983,227
Palisades,67,0.00257605156164176,4.66,2006,144
Palisades,68,0.004505970845461634,4.62,2006,144
Palisades,69,0.007077528284399606,4.78,2006,144
Palisades,70,0.0027578592528404566,2.82,1983,227
Palisades,71,0.004137554922903376,3.73,1983,227
Palisades,72,0.0044152712781670034,4.78,2006,144
Palisades,73,0.0056075416036514905,4.65,2006,144
Palisades,74,0.001010881404810462,1.88,1983,227
Palisades,75,0.0013783678610822547,2.75,1983,227
Palisades,76,0.0025739066394422244,2.79,1983,227
Palisades,77,0.0012869533197211122,2.78,1983,227
Palisades,78,0.0016546542682128586,4.79,2006,144
Palisades,79,9.192523712293659e-05,2.8,1983,227
Palisades,80,0.004597181108518059,4.65,2006,144
Palisades,81,0.0008271126418864758,4.79,2006,144
Palisades,82,0.0007360045179824097,2.82,1983,227
Palisades,83,0.00027577571136880975,2.82,1983,227
Palisades,84,0.00027577571136880975,2.8,1983,227
Palisades,85,0.008000151247656812,2.84,1983,227
Palisades,86,0.005147404722275014,2.82,1983,227
Palisades,87,0.002115710401960565,2.83,1983,227
Palisades,88,0.012043227454628281,4.68,2006,144
Palisades,89,0.0066190256294608694,4.64,2006,144
Palisades,90,0.00854843421751895,1.92,1983,227
Palisades,91,0.001563239726851716,2.82,1983,227
Palisades,92,0.00046027987618977933,4.74,2006,144
Palisades,93,0.0006438035051481043,2.82,1983,227
Palisades,94,0.0011041242369988272,4.74,2006,144
Palisades,95,0.002666955407241108,4.69,2006,144
Palisades,96,0.0015628311702422808,2.82,1983,227
Palisades,97,0.006161237948588646,4.65,2006,144
Palisades,98,0.00570099892805981,3.72,1983,227
Palisades,99,0.0005515514227376195,2.82,1983,227
Palisades,100,0.0005515514227376195,3.98,2023,234
Palisades,101,0.0001838402603306373,3.98,2023,234
Palisades,102,0.001471620907185856,2.81,1983,227
Palisades,103,0.00045948319080138067,3.98,2023,234
Palisades,104,0.0005512960748567225,3.83,1983,122
Palisades,105,0.0066191277686132284,4.76,2006,144
Palisades,106,0.007998517021219072,4.64,2006,144
Palisades,107,0.0023904647218057867,2.82,1983,227
Palisades,108,0.005055785902609153,2.82,1983,227
Palisades,109,0.011304761383074024,4.72,2006,144
Palisades,110,0.005422261181272594,4.75,2006,144
Palisades,111,0.00404297406781911,4.58,2006,144
Palisades,112,0.004688391371574484,4.62,2006,144
Palisades,113,0.0041372485054463,4.61,2006,144
Palisades,114,0.0008279297551053463,4.52,1983,226
Palisades,115,0.0036770094849174636,4.6,2006,144
Palisades,116,0.004503008810043228,4.66,2006,144
Palisades,117,0.0008273067062759575,2.81,1983,227
Palisades,118,0.00045915634551383234,3.79,1983,122
Palisades,119,0.004137657062055735,2.77,1983,227
Palisades,120,9.223165458001304e-05,4.65,2006,144
Palisades,121,0.004413330634272186,2.78,1983,227
Palisades,122,0.001746681644488154,2.82,1983,227
Palisades,123,0.0006435890129281509,2.82,1983,227
Palisades,124,0.004226722402912625,4.59,2006,144
Palisades,125,0.001471110211424062,4.64,2006,144
Palisades,126,0.001012015149401645,4.7,2006,144
Palisades,127,0.0010115350953855584,4.7,2006,144
Palisades,128,0.0007356674587796257,1.91,1983,227
Palisades,129,0.0034932611498239494,4.65,2006,144
Palisades,130,0.011583601269013599,2.78,1983,227
Palisades,131,0.0018396282731346788,4.57,2006,144
Palisades,132,0.0016554713814317292,2.75,1983,227
Palisades,133,0.005241270603292768,4.52,2006,144
Palisades,134,0.005697219779422533,4.59,2006,144
Palisades,135,0.0016534285983845528,4.45,2006,144
Palisades,136,0.0043204861447780196,4.48,2006,144
Palisades,137,0.0019310428144958213,4.47,2006,144
Palisades,138,0.001286442623959318,2.75,1983,227
Palisades,139,0.0010111776083523026,2.75,1983,227
Palisades,140,0.00018385047424587317,2.76,1983,227
Palisades,141,0.004321303257996891,2.76,1983,227
Palisades,142,0.00046004495613935416,2.75,1983,227
Palisades,143,0.0005515820644833272,3.74,1983,122
Palisades,144,0.0012857276498928064,2.76,1983,227
Palisades,145,0.0017468859227928717,2.78,1983,227
Palisades,146,0.0011953345000552521,2.76,1983,227
Palisades,147,0.0013784700002346137,4.57,2006,144
Palisades,148,0.005148323974646243,4.59,2006,144
Palisades,149,0.008362234542768824,4.51,2006,144
Palisades,150,0.018291079404417206,4.57,2006,144
Palisades,151,0.004321609675453967,4.69,2006,144
Palisades,152,0.015168685516808125,2.84,1983,227
Palisades,153,0.010569359486090531,2.83,1983,227
Palisades,154,0.004687574258355613,4.73,2006,144
Palisades,155,0.004044199737647416,2.81,1983,227
Palisades,156,0.009010511742790245,2.81,1983,227
Palisades,157,0.005330540222454375,2.8,1983,227
Palisades,158,0.000275755283538338,2.8,1983,227
Palisades,159,0.0011035114020846743,1.91,1983,227
Palisades,160,0.003034554216580496,2.82,1983,227
Palisades,161,0.002572885247918636,2.81,1983,227
Palisades,162,0.008640870150403681,2.82,1983,227
Palisades,163,0.004411798546986804,4.02,1983,122
Palisades,164,0.006988769360999792,3.99,1983,122
Palisades,165,0.008457938928529037,2.84,1983,227
Palisades,166,0.00413888273188404,2.84,1983,227
Palisades,167,0.0003676805206612746,2.82,1983,227
Palisades,168,0.004227641655283854,4.86,2006,144
Palisades,169,9.192523712293659e-05,2.93,1982,92
Palisades,170,0.004320894701387455,4.74,2006,144
Palisades,171,0.0045958532995373945,2.82,1983,227
Palisades,172,0.005514186418395531,2.82,1983,227
Palisades,173,0.00459626185614683,4.77,2006,144
Palisades,174,0.004688799928183919,4.76,2006,144
Palisades,175,0.00082606060861718,2.81,1983,227
Palisades,176,0.004136533531379788,4.77,2006,144
Palisades,177,0.001469373845833962,2.8,1983,227
Palisades,178,0.0028507037423346226,2.79,1983,227
Palisades,179,0.004136839948836864,2.76,1983,227
Palisades,180,0.0021142804538275416,2.77,1983,227
Palisades,181,0.00726301298508322,4.56,2006,144
Palisades,182,0.007904549001048958,2.71,2006,144
Palisades,183,0.0043200775881685844,4.56,2006,144
Palisades,184,0.0006425063379131474,2.74,1983,227
Palisades,185,0.012779650743135362,4.77,2006,144
Palisades,186,0.010017910202505271,4.76,2006,144
Palisades,187,0.006160114417912699,4.71,2006,144
Palisades,188,0.003769036861192759,4.78,2006,144
Palisades,189,0.001746681644488154,4.64,2006,144
Palisades,190,0.00514863039210332,4.75,2006,144
Palisades,191,0.01140281496933849,4.82,2006,144
Palisades,192,0.009190889485855919,4.65,2006,144
Palisades,193,0.004504643036480969,4.79,2006,144
Palisades,194,0.0011956409175123287,4.35,2006,144
Palisades,195,0.0067097251967555005,2.77,1983,227
Palisades,196,0.00763040751611789,2.72,2006,144
Palisades,197,0.0006442937730794266,2.79,1983,227
Palisades,198,0.0031263773145510736,2.74,2006,144
Palisades,199,0.015721258331069334,4.72,2006,144
Palisades,200,0.007264442933216243,2.74,2006,144
Palisades,201,0.0011039199586941096,2.74,2006,144
Palisades,202,0.0006434358041996126,3.83,2024,107
Palisades,203,0.0059731997690960605,2.82,1983,227
Palisades,204,0.0008273067062759575,3.82,2024,107
Palisades,205,0.0016546542682128586,4.81,2006,144
Palisades,206,0.0010111776083523026,4.42,2006,144
Palisades,207,0.0005515514227376195,2.8,1983,227
Palisades,208,0.0005515514227376195,4.45,2006,144
Palisades,209,0.009100189918561288,4.76,2006,144
Palisades,210,0.0012858297890451652,2.82,1983,227
Palisades,211,0.004136227113922712,4.78,2006,144
Palisades,212,0.0015626268919375632,4.76,2006,144
Palisades,213,0.0001840751803810626,4.27,1990,149
Palisades,214,0.004412411381900956,4.53,2006,144
Palisades,215,0.00845671325870073,4.68,2006,144
Palisades,216,0.004137146366293941,4.72,2006,144
Palisades,217,0.00027634769062201913,4.2,2006,143
Palisades,218,0.00450372378410974,4.73,2006,144
Palisades,219,0.0014708037939669854,4.47,2006,144
Palisades,220,0.0009192523712293659,4.33,2006,143
Palisades,221,0.004319260474949714,4.81,2006,144
Palisades,222,0.0023888304953680454,4.39,2006,144
Palisades,223,0.0027585742269069682,4.38,2006,144
Palisades,224,0.0005515820644833272,4.31,2006,143
Palisades,225,0.0007358308814233997,4.34,2006,143
Palisades,226,0.00413632925307507,4.72,2006,144
Palisades,227,0.004505255871395122,4.32,2006,144
Palisades,228,0.004873365376496304,4.85,2006,144
Palisades,229,0.004412207103596239,4.86,2006,144
Palisades,230,0.0011958451958170462,2.74,2006,144
Palisades,231,0.00431956689240679,1.88,2006,144
Palisades,232,0.001286034067349883,3.83,1983,122
Palisades,233,0.004135410000703841,2.76,2006,144
Palisades,234,0.0043206904230827375,4.9,2006,144
Palisades,235,0.0012862383456546005,3.98,1983,122
Palisades,236,0.004321609675453967,4.94,2006,144
Palisades,237,0.005699160423317351,2.77,2006,144
Palisades,238,0.00432303962358699,2.77,2006,144
Palisades,239,0.00413806561866517,4.89,2006,144
Palisades,240,0.0035837564388138624,2.75,2006,144
Palisades,241,0.009745402944011943,2.75,2006,144
Palisades,242,0.0010111776083523026,2.73,2006,144
Palisades,243,0.004227743794436213,2.75,2006,144
Palisades,244,0.0005517352732118655,2.74,2006,144
Palisades,245,0.0027586763660593272,2.74,2006,144
Palisades,246,0.0043199754490162254,2.73,2006,144
Palisades,247,0.001103102845475239,3.8,2024,107
Palisades,248,0.003401233773548654,4.67,2006,144
Palisades,249,0.004135307861551482,2.71,2006,144
Palisades,250,0.0002758267809449892,2.67,2006,144
Palisades,251,0.004411185712072651,2.71,2006,144
Palisades,252,0.0008263057425828411,4.67,2006,144
Palisades,253,0.0011017750364945744,2.65,2006,144
Palisades,254,0.0027590849226687623,4.68,2006,144
Palisades,255,0.0010120560050625883,2.62,2006,144
Palisades,256,0.0051470983048179375,4.78,2006,144
Palisades,257,0.003769036861192759,2.7,2006,144
Palisades,258,0.0057927198868780285,4.85,2006,144
Palisades,259,0.002022150938399887,4.69,2006,144
Palisades,260,0.001471110211424062,4.82,2006,144
Palisades,261,0.00560938010839395,4.68,2006,144
Palisades,262,0.00257431519605166,4.82,2006,144
Palisades,263,0.004136635670532147,2.71,2006,144
Palisades,264,0.004413126355967468,4.73,2006,144
Palisades,265,0.0014710080722717032,2.68,2006,144
Palisades,266,0.0010111878222675383,4.67,2006,144
Palisades,267,0.004228152351045648,4.66,2006,144
Palisades,268,0.0009199877731263494,4.65,2006,144
Palisades,269,0.0013788785568440488,2.57,2006,144
Palisades,270,0.005146587609056143,4.44,2006,144
Palisades,271,0.00036843635038872984,4.5,2006,144
Palisades,272,0.0008278684716139311,4.49,2006,144
Palisades,273,0.004321916092911043,4.56,2006,144
Palisades,274,0.0004595955438689753,4.5,2006,144
Palisades,275,0.000551510567076676,4.5,2006,144
Palisades,276,0.004687063562593819,4.59,2006,144
Palisades,277,0.012131067125656866,4.59,2006,144
Palisades,278,0.008732795387526616,4.57,2006,144
