site,rank,year,julian,P,RM,Ep,Es,Er,soil_water,soil_water_total
Stevens Canyon,1,82,156,13.500000000000002,13.500000000000002,5.781126116620947,4.958814799184075,0.0,293.55853696279104,293.55853696279104
Stevens Canyon,2,64,184,43.8,43.8,6.307256101849899,4.7335577125975945,0.0,321.4830836322712,321.4830836322712
Stevens Canyon,3,75,149,10.100000000000001,10.100000000000001,4.940641485545474,4.4391432791728205,0.0,290.42006189772803,290.42006189772803
Stevens Canyon,4,83,210,4.3999999999999995,4.3999999999999995,5.092908489836112,4.410653443061125,0.0,303.6622304283604,303.6622304283604
Stevens Canyon,5,59,179,17.5,17.5,5.155176900893298,4.293417035942885,0.0,297.5849905043258,297.5849905043258
Stevens Canyon,6,8,290,31.3,31.3,5.695590490258141,4.245554617711191,0.0,317.03655975240906,317.03655975240906
Stevens Canyon,7,93,139,0.0,0.0,5.622866286839698,4.2356952943659,0.0,312.86127031019197,312.86127031019197
Stevens Canyon,8,42,138,10.9,10.9,4.9024569177744945,4.229671520011253,0.0,290.7853625940775,290.7853625940775
Stevens Canyon,9,92,188,21.7,21.7,5.2756390237040165,4.217739326158823,0.0,308.54143208834495,308.54143208834495
Stevens Canyon,10,66,229,19.900000000000002,19.900000000000002,5.0116212984455215,4.138318210592952,0.0,300.23868467327856,300.23868467327856
Stevens Canyon,11,50,222,8.5,8.5,3.8374748540479713,4.135107265949215,0.0,289.53108039670815,289.53108039670815
Stevens Canyon,12,82,153,17.5,17.5,4.9486262924667646,4.118719139058874,0.0,297.58935148062176,297.58935148062176
Stevens Canyon,13,10,208,11.7,11.7,4.7872961946964905,4.0755918970246885,0.0,293.82360554266023,293.82360554266023
Stevens Canyon,14,30,201,18.9,18.9,4.8997306042062325,4.054424280790602,0.0,300.84340226489417,300.84340226489417
Stevens Canyon,15,81,299,2.3000000000000003,2.3000000000000003,4.815724133080114,4.012814939860729,0.0,300.79890201870995,300.79890201870995
Stevens Canyon,16,94,200,12.000000000000002,12.000000000000002,4.67740943940353,3.9730217345431527,0.0,292.36823380460015,292.36823380460015
Stevens Canyon,17,42,147,13.3,13.3,4.6970007737216015,3.9630217345431524,0.0,293.7321425054513,293.7321425054513
Stevens Canyon,18,58,206,18.1,18.1,4.771755644650772,3.943845396356475,0.0,298.54500457199134,298.54500457199134
Stevens Canyon,19,83,221,13.6,13.6,4.6955700921432095,3.9428360413589365,0.0,297.3996208764155,297.3996208764155
Stevens Canyon,20,100,163,22.600000000000005,22.600000000000005,4.876651895617923,3.923070971372301,0.0,304.0869290286277,304.0869290286277
Stevens Canyon,21,61,168,8.300000000000002,8.300000000000002,3.8669381726102556,3.8804811141591053,0.0,289.9655299992966,289.9655299992966
Stevens Canyon,22,63,151,13.500000000000002,13.500000000000002,4.641510867271577,3.8462080607723146,0.0,299.29772174157705,299.29772174157705
Stevens Canyon,23,91,187,11.0,11.0,4.532474502356334,3.8411092354223806,0.0,291.77111767602173,291.77111767602173
Stevens Canyon,24,90,190,0.30000000000000004,0.30000000000000004,4.450394598016459,3.8221347682352116,0.0,298.0991826686361,298.0991826686361
Stevens Canyon,25,44,209,2.6000000000000005,2.6000000000000005,4.820064711261167,3.779472462544841,0.0,294.05399170007735,294.05399170007735
Stevens Canyon,26,9,115,8.700000000000001,8.700000000000001,4.309027220932686,3.7448406836885417,0.0,283.51972919743963,283.51972919743963
Stevens Canyon,27,73,203,11.2,11.2,4.473729338116339,3.7352458324541042,0.0,296.19049869874095,296.19049869874095
Stevens Canyon,28,69,207,0.0,0.0,5.025904199198144,3.6880769501301267,0.0,320.5246381093058,320.5246381093058
Stevens Canyon,29,11,138,6.9,6.9,2.898996975451924,3.67326721530562,0.0,291.9139241752831,291.9139241752831
Stevens Canyon,30,34,183,13.3,13.3,4.41659984525568,3.670735738904129,0.0,296.8751740873602,296.8751740873602
Stevens Canyon,31,74,236,29.6,29.6,4.676420482520925,3.656608989238236,0.0,310.2484820988957,310.2484820988957
Stevens Canyon,32,76,210,7.4,7.4,3.3104304705634098,3.649774917352466,0.0,289.45175423788424,289.45175423788424
Stevens Canyon,33,49,211,11.7,11.7,4.331183090666104,3.64545122036998,0.0,292.7430878525708,292.7430878525708
Stevens Canyon,34,99,200,14.900000000000004,14.900000000000004,4.396321305479355,3.64545122036998,0.0,295.861889990856,295.861889990856
Stevens Canyon,35,90,139,10.100000000000001,10.100000000000001,4.2857797003587255,3.635617218822536,0.0,291.2484194977844,291.2484194977844
Stevens Canyon,36,41,205,0.0,0.0,4.580969262150946,3.6263325596117326,0.0,305.305548990645,305.305548990645
