"SR- LS GR-L"|"Yes"|"Yes"|"Stratified loamy sand to gravelly loam"|"7933867"|"15149498"
"SICL"|"No "|"No "|"Silty clay loam"|"7963686"|"15162911"
"CL"|"No "|"No "|"Clay loam"|"7963686"|"15311083"
"C"|"No "|"No "|"Clay"|"7963686"|"15607425"
"UWB"|"No "|"Yes"|"Unweathered bedrock"|"7963687"|"15459255"
"SIL"|"No "|"Yes"|"Silt loam"|"7963688"|"15607426"
"L"|"No "|"Yes"|"Loam"|"7963689"|"15162912"
"SICL"|"No "|"No "|"Silty clay loam"|"7963690"|"15311084"
"SIC"|"No "|"No "|"Silty clay"|"7963690"|"15459256"
"CL"|"No "|"No "|"Clay loam"|"7963690"|"15607427"
"C"|"No "|"Yes"|"Clay"|"7963691"|"15162913"
"S"|"No "|"Yes"|"Sand"|"7963692"|"15311085"
"VFSL"|"No "|"No "|"Very fine sandy loam"|"7963693"|"15162914"
"LFS"|"No "|"No "|"Loamy fine sand"|"7963693"|"15459257"
"LVFS"|"No "|"No "|"Loamy very fine sand"|"7963693"|"15607428"
"LS"|"No "|"No "|"Loamy sand"|"7963694"|"15311086"
"LFS"|"No "|"No "|"Loamy fine sand"|"7963694"|"15459258"
"S"|"No "|"No "|"Sand"|"7963694"|"15607429"
"LS"|"No "|"No "|"Loamy sand"|"7963695"|"15162915"
"LFS"|"No "|"No "|"Loamy fine sand"|"7963695"|"15311087"
"FS"|"No "|"No "|"Fine sand"|"7963695"|"15459259"
"C"|"No "|"Yes"|"Clay"|"7963696"|"15607430"
"GR-L"|"No "|"Yes"|"Gravelly loam"|"7963697"|"15162916"
"C"|"No "|"Yes"|"Clay"|"7963698"|"15311088"
"C"|"No "|"No "|"Clay"|"7963699"|"15459260"
"CN-C"|"No "|"No "|"Channery clay"|"7963699"|"15607431"
"L"|"No "|"No "|"Loam"|"7963700"|"15162917"
"SIL"|"No "|"No "|"Silt loam"|"7963700"|"15311089"
"VFSL"|"No "|"No "|"Very fine sandy loam"|"7963700"|"15459261"
"L"|"No "|"Yes"|"Loam"|"7963701"|"15607432"
"L"|"No "|"No "|"Loam"|"7963702"|"15162918"
"SIL"|"No "|"No "|"Silt loam"|"7963702"|"15311090"
"SICL"|"No "|"No "|"Silty clay loam"|"7963702"|"15459262"
"S"|"No "|"Yes"|"Sand"|"7963703"|"15607433"
"WB"|"No "|"Yes"|"Weathered bedrock"|"7963704"|"15162919"
"SIC"|"No "|"No "|"Silty clay"|"7963705"|"15311091"
"C"|"No "|"No "|"Clay"|"7963705"|"15459263"
"CL"|"No "|"No "|"Clay loam"|"7963706"|"15162920"
"C"|"No "|"No "|"Clay"|"7963706"|"15607434"
"C"|"No "|"Yes"|"Clay"|"7963707"|"15311092"
"C"|"No "|"No "|"Clay"|"7963708"|"15459264"
"CL"|"No "|"No "|"Clay loam"|"7963708"|"15607435"
"SIC"|"No "|"No "|"Silty clay"|"7963709"|"15162921"
"C"|"No "|"No "|"Clay"|"7963709"|"15311093"
"CL"|"No "|"No "|"Clay loam"|"7963709"|"15459265"
"SIL"|"No "|"No "|"Silt loam"|"7963710"|"15162922"
"L"|"No "|"No "|"Loam"|"7963710"|"15311094"
"SICL"|"No "|"No "|"Silty clay loam"|"7963710"|"15607436"
"C"|"No "|"Yes"|"Clay"|"7963711"|"15459266"
"WB"|"No "|"Yes"|"Weathered bedrock"|"7963712"|"15607437"
"C"|"No "|"No "|"Clay"|"7963713"|"15162923"
"CL"|"No "|"No "|"Clay loam"|"7963713"|"15311095"
"SICL"|"No "|"No "|"Silty clay loam"|"7963714"|"15162924"
"L"|"No "|"No "|"Loam"|"7963714"|"15459267"
"SIL"|"No "|"No "|"Silt loam"|"7963714"|"15607438"
"C"|"No "|"Yes"|"Clay"|"7963715"|"15311096"
"CL"|"No "|"No "|"Clay loam"|"7963716"|"15162925"
"L"|"No "|"No "|"Loam"|"7963716"|"15459268"
"SICL"|"No "|"No "|"Silty clay loam"|"7963716"|"15607439"
"SIC"|"No "|"No "|"Silty clay"|"7963717"|"15311097"
"SICL"|"No "|"No "|"Silty clay loam"|"7963717"|"15459269"
"C"|"No "|"No "|"Clay"|"7963717"|"15607440"
"SIC"|"No "|"No "|"Silty clay"|"7963718"|"15162926"
"C"|"No "|"No "|"Clay"|"7963718"|"15311098"
"CL"|"No "|"No "|"Clay loam"|"7963718"|"15459270"
"UWB"|"No "|"Yes"|"Unweathered bedrock"|"7963719"|"15607441"
"L"|"No "|"Yes"|"Loam"|"7963720"|"15162927"
"L"|"No "|"Yes"|"Loam"|"7963721"|"15311099"
"CL"|"No "|"No "|"Clay loam"|"7963722"|"15459271"
"C"|"No "|"No "|"Clay"|"7963722"|"15607442"
"WB"|"No "|"Yes"|"Weathered bedrock"|"7963723"|"15162928"
"SIL"|"No "|"Yes"|"Silt loam"|"7963724"|"15311100"
"SICL"|"No "|"No "|"Silty clay loam"|"7963725"|"15459272"
"CL"|"No "|"No "|"Clay loam"|"7963725"|"15607443"
"WB"|"No "|"Yes"|"Weathered bedrock"|"7963726"|"15162929"
"SIC"|"No "|"No "|"Silty clay"|"7963727"|"15311101"
"C"|"No "|"No "|"Clay"|"7963727"|"15459273"
"CL"|"No "|"No "|"Clay loam"|"7963727"|"15607444"
"S"|"No "|"Yes"|"Sand"|"7963728"|"15162930"
"GR-S"|"No "|"No "|"Gravelly sand"|"7963729"|"15311102"
"GRV-LS"|"No "|"No "|"Very gravelly loamy sand"|"7963729"|"15459274"
"GRV-S"|"No "|"No "|"Very gravelly sand"|"7963729"|"15607445"
"L"|"No "|"No "|"Loam"|"7963730"|"15162931"
"FSL"|"No "|"No "|"Fine sandy loam"|"7963730"|"15311103"
"SIL"|"No "|"No "|"Silt loam"|"7963730"|"15459275"
"FSL"|"No "|"Yes"|"Fine sandy loam"|"7963731"|"15607446"
"SL"|"No "|"No "|"Sandy loam"|"7963732"|"15162932"
"LS"|"No "|"No "|"Loamy sand"|"7963732"|"15311104"
"LFS"|"No "|"No "|"Loamy fine sand"|"7963732"|"15459276"
"GR-SL"|"No "|"Yes"|"Gravelly sandy loam"|"7963733"|"15607447"
"SR- FSL CL"|"Yes"|"Yes"|"Stratified fine sandy loam to clay loam"|"7963734"|"15162933"
"SR- LS C"|"Yes"|"Yes"|"Stratified loamy sand to clay"|"7963735"|"15311105"
"LFS"|"No "|"No "|"Loamy fine sand"|"7963736"|"15459277"
"FS"|"No "|"No "|"Fine sand"|"7963736"|"15607448"
"LS"|"No "|"No "|"Loamy sand"|"7963737"|"15162934"
"LFS"|"No "|"No "|"Loamy fine sand"|"7963737"|"15311106"
"FS"|"No "|"No "|"Fine sand"|"7963737"|"15459278"
"SL"|"No "|"Yes"|"Sandy loam"|"7963738"|"15607449"
"FSL"|"No "|"Yes"|"Fine sandy loam"|"7963739"|"15162935"
"FSL"|"No "|"Yes"|"Fine sandy loam"|"7963740"|"15311107"
"CL"|"No "|"No "|"Clay loam"|"7963741"|"15162936"
"SCL"|"No "|"No "|"Sandy clay loam"|"7963741"|"15459279"
"SL"|"No "|"No "|"Sandy loam"|"7963741"|"15607450"
"FSL"|"No "|"No "|"Fine sandy loam"|"7963742"|"15311108"
"VFSL"|"No "|"No "|"Very fine sandy loam"|"7963742"|"15459280"
"SL"|"No "|"No "|"Sandy loam"|"7963742"|"15607451"
"FSL"|"No "|"Yes"|"Fine sandy loam"|"7963743"|"15162937"
"FSL"|"No "|"Yes"|"Fine sandy loam"|"7963744"|"15311109"
"FSL"|"No "|"Yes"|"Fine sandy loam"|"7963745"|"15459281"
"FSL"|"No "|"Yes"|"Fine sandy loam"|"7963746"|"15607452"
"LFS"|"No "|"Yes"|"Loamy fine sand"|"7963747"|"15162938"
"FSL"|"No "|"No "|"Fine sandy loam"|"7963748"|"15311110"
"L"|"No "|"No "|"Loam"|"7963748"|"15459282"
"SIC"|"No "|"No "|"Silty clay"|"7963749"|"15162939"
"SICL"|"No "|"No "|"Silty clay loam"|"7963749"|"15607453"
"L"|"No "|"No "|"Loam"|"7963750"|"15311111"
"SIL"|"No "|"No "|"Silt loam"|"7963750"|"15459283"
"VFSL"|"No "|"No "|"Very fine sandy loam"|"7963750"|"15607454"
"SCL"|"No "|"No "|"Sandy clay loam"|"7963751"|"15162940"
"SL"|"No "|"No "|"Sandy loam"|"7963751"|"15311112"
"CL"|"No "|"No "|"Clay loam"|"7963751"|"15459284"
"SL"|"No "|"No "|"Sandy loam"|"7963752"|"15162941"
"LFS"|"No "|"No "|"Loamy fine sand"|"7963752"|"15311113"
"FSL"|"No "|"No "|"Fine sandy loam"|"7963752"|"15607455"
"CL"|"No "|"No "|"Clay loam"|"7963753"|"15162942"
"SICL"|"No "|"No "|"Silty clay loam"|"7963753"|"15459285"
"SIC"|"No "|"No "|"Silty clay"|"7963753"|"15607456"
"SR- FSL C"|"Yes"|"Yes"|"Stratified fine sandy loam to clay"|"7963754"|"15311114"
"C"|"No "|"Yes"|"Clay"|"7963755"|"15459286"
"SIC"|"No "|"No "|"Silty clay"|"7963756"|"15162943"
"C"|"No "|"No "|"Clay"|"7963756"|"15607457"
"C"|"No "|"Yes"|"Clay"|"7963757"|"15311115"
"SIC"|"No "|"Yes"|"Silty clay"|"7963758"|"15459287"
"CN-C"|"No "|"No "|"Channery clay"|"7963759"|"15162944"
"CNV-C"|"No "|"No "|"Very channery clay"|"7963759"|"15311116"
"C"|"No "|"No "|"Clay"|"7963759"|"15607458"
"WB"|"No "|"Yes"|"Weathered bedrock"|"7963760"|"15459288"
"C"|"No "|"Yes"|"Clay"|"7963761"|"15607459"
"C"|"No "|"Yes"|"Clay"|"7963762"|"15162945"
"WB"|"No "|"Yes"|"Weathered bedrock"|"7963763"|"15311117"
"UWB"|"No "|"Yes"|"Unweathered bedrock"|"7963764"|"15459289"
"SICL"|"No "|"No "|"Silty clay loam"|"7963765"|"15162946"
"CL"|"No "|"No "|"Clay loam"|"7963765"|"15311118"
"SIL"|"No "|"No "|"Silt loam"|"7963765"|"15607460"
"SIL"|"No "|"Yes"|"Silt loam"|"7963766"|"15459290"
"SIL"|"No "|"Yes"|"Silt loam"|"7963767"|"15607461"
"SIL"|"No "|"Yes"|"Silt loam"|"7963768"|"15162947"
"UWB"|"No "|"Yes"|"Unweathered bedrock"|"7963769"|"15311119"
"SIL"|"No "|"Yes"|"Silt loam"|"7963770"|"15459291"
"SIC"|"No "|"No "|"Silty clay"|"7963771"|"15162948"
"C"|"No "|"No "|"Clay"|"7963771"|"15607462"
"WB"|"No "|"Yes"|"Weathered bedrock"|"7963772"|"15311120"
"WB"|"No "|"Yes"|"Weathered bedrock"|"7963773"|"15459292"
"SL"|"No "|"No "|"Sandy loam"|"7963774"|"15162949"
"LFS"|"No "|"No "|"Loamy fine sand"|"7963774"|"15311121"
"FSL"|"No "|"No "|"Fine sandy loam"|"7963774"|"15607463"
"SICL"|"No "|"No "|"Silty clay loam"|"7963775"|"15162950"
"CL"|"No "|"No "|"Clay loam"|"7963775"|"15459293"
"SCL"|"No "|"No "|"Sandy clay loam"|"7963775"|"15607464"
"SICL"|"No "|"Yes"|"Silty clay loam"|"7963776"|"15311122"
"LCOS"|"No "|"Yes"|"Loamy coarse sand"|"7963777"|"15459294"
"L"|"No "|"No "|"Loam"|"7963778"|"15162951"
"CL"|"No "|"No "|"Clay loam"|"7963778"|"15607465"
"SR- FSL SICL"|"Yes"|"Yes"|"Stratified fine sandy loam to silty clay loam"|"7963779"|"15311123"
"SIL"|"No "|"Yes"|"Silt loam"|"7963780"|"15459295"
"SIL"|"No "|"No "|"Silt loam"|"7963781"|"15162952"
"SI"|"No "|"No "|"Silt"|"7963781"|"15607466"
"SIL"|"No "|"No "|"Silt loam"|"7963782"|"15311124"
"SICL"|"No "|"No "|"Silty clay loam"|"7963782"|"15459296"
"CL"|"No "|"No "|"Clay loam"|"7963782"|"15607467"
"CL"|"No "|"No "|"Clay loam"|"7963783"|"15162953"
"L"|"No "|"No "|"Loam"|"7963783"|"15311125"
"CL"|"No "|"No "|"Clay loam"|"7963784"|"15162954"
"SIL"|"No "|"No "|"Silt loam"|"7963784"|"15459297"
"SICL"|"No "|"No "|"Silty clay loam"|"7963784"|"15607468"
"CL"|"No "|"No "|"Clay loam"|"7963785"|"15311126"
"L"|"No "|"No "|"Loam"|"7963785"|"15459298"
"SICL"|"No "|"Yes"|"Silty clay loam"|"7963786"|"15607469"
"SICL"|"No "|"Yes"|"Silty clay loam"|"7963787"|"15162955"
"SICL"|"No "|"No "|"Silty clay loam"|"7963788"|"15311127"
"SIL"|"No "|"No "|"Silt loam"|"7963788"|"15459299"
"L"|"No "|"No "|"Loam"|"7963789"|"15162956"
"CL"|"No "|"No "|"Clay loam"|"7963789"|"15607470"
"SIL"|"No "|"Yes"|"Silt loam"|"7963790"|"15311128"
"SIL"|"No "|"Yes"|"Silt loam"|"7963791"|"15459300"
"CL"|"No "|"No "|"Clay loam"|"7963792"|"15162957"
"L"|"No "|"No "|"Loam"|"7963792"|"15607471"
"C"|"No "|"No "|"Clay"|"7963793"|"15311129"
"SIC"|"No "|"No "|"Silty clay"|"7963793"|"15459301"
"CL"|"No "|"No "|"Clay loam"|"7963793"|"15607472"
"SIC"|"No "|"No "|"Silty clay"|"7963794"|"15162958"
"C"|"No "|"No "|"Clay"|"7963794"|"15311130"
"CL"|"No "|"No "|"Clay loam"|"7963794"|"15459302"
"L"|"No "|"Yes"|"Loam"|"7963795"|"15607473"
"SR- FSL SICL"|"Yes"|"Yes"|"Stratified fine sandy loam to silty clay loam"|"7963796"|"15162959"
"L"|"No "|"No "|"Loam"|"7963797"|"15311131"
"CL"|"No "|"No "|"Clay loam"|"7963797"|"15459303"
"SIL"|"No "|"Yes"|"Silt loam"|"7963798"|"15607474"
"L"|"No "|"Yes"|"Loam"|"7963799"|"15162960"
"SIC"|"No "|"No "|"Silty clay"|"7963800"|"15311132"
"SICL"|"No "|"No "|"Silty clay loam"|"7963800"|"15459304"
"SIL"|"No "|"No "|"Silt loam"|"7963801"|"15162961"
"SICL"|"No "|"No "|"Silty clay loam"|"7963801"|"15607475"
"CL"|"No "|"No "|"Clay loam"|"7963802"|"15311133"
"C"|"No "|"No "|"Clay"|"7963802"|"15459305"
"SL"|"No "|"Yes"|"Sandy loam"|"7963803"|"15607476"
"L"|"No "|"No "|"Loam"|"7963804"|"15162962"
"SIL"|"No "|"No "|"Silt loam"|"7963804"|"15311134"
"CL"|"No "|"No "|"Clay loam"|"7963804"|"15459306"
"SR- FSL SICL"|"Yes"|"Yes"|"Stratified fine sandy loam to silty clay loam"|"7963805"|"15607477"
"SICL"|"No "|"Yes"|"Silty clay loam"|"7963806"|"15162963"
"L"|"No "|"No "|"Loam"|"7963807"|"15311135"
"FSL"|"No "|"No "|"Fine sandy loam"|"7963807"|"15459307"
"SL"|"No "|"No "|"Sandy loam"|"7963807"|"15607478"
"SIC"|"No "|"No "|"Silty clay"|"7963808"|"15162964"
"C"|"No "|"No "|"Clay"|"7963808"|"15311136"
"CL"|"No "|"No "|"Clay loam"|"7963808"|"15459308"
"SIL"|"No "|"Yes"|"Silt loam"|"7963809"|"15607479"
"L"|"No "|"No "|"Loam"|"7963810"|"15162965"
"CL"|"No "|"No "|"Clay loam"|"7963810"|"15311137"
"L"|"No "|"No "|"Loam"|"7963811"|"15459309"
"CL"|"No "|"No "|"Clay loam"|"7963811"|"15607480"
"L"|"No "|"No "|"Loam"|"7963812"|"15162966"
"SIL"|"No "|"No "|"Silt loam"|"7963812"|"15311138"
"CL"|"No "|"No "|"Clay loam"|"7963812"|"15459310"
"FSL"|"No "|"No "|"Fine sandy loam"|"7963813"|"15162967"
"SL"|"No "|"No "|"Sandy loam"|"7963813"|"15311139"
"L"|"No "|"No "|"Loam"|"7963813"|"15607481"
"L"|"No "|"No "|"Loam"|"7963814"|"15459311"
"CL"|"No "|"No "|"Clay loam"|"7963814"|"15607482"
"CL"|"No "|"No "|"Clay loam"|"7963815"|"15162968"
"L"|"No "|"No "|"Loam"|"7963815"|"15311140"
"L"|"No "|"No "|"Loam"|"7963816"|"15459312"
"CL"|"No "|"No "|"Clay loam"|"7963816"|"15607483"
"C"|"No "|"No "|"Clay"|"7963817"|"15162969"
"SIC"|"No "|"No "|"Silty clay"|"7963817"|"15311141"
"CL"|"No "|"No "|"Clay loam"|"7963817"|"15459313"
"CL"|"No "|"No "|"Clay loam"|"7963818"|"15162970"
"L"|"No "|"No "|"Loam"|"7963818"|"15607484"
"L"|"No "|"No "|"Loam"|"7963819"|"15311142"
"CL"|"No "|"No "|"Clay loam"|"7963819"|"15459314"
"L"|"No "|"No "|"Loam"|"7963820"|"15162971"
"CL"|"No "|"No "|"Clay loam"|"7963820"|"15607485"
"L"|"No "|"Yes"|"Loam"|"7963821"|"15311143"
"L"|"No "|"Yes"|"Loam"|"7963822"|"15459315"
"SICL"|"No "|"No "|"Silty clay loam"|"7963823"|"15162972"
"C"|"No "|"No "|"Clay"|"7963823"|"15311144"
"CL"|"No "|"No "|"Clay loam"|"7963823"|"15607486"
"CL"|"No "|"No "|"Clay loam"|"7963824"|"15162973"
"C"|"No "|"No "|"Clay"|"7963824"|"15459316"
"SIC"|"No "|"No "|"Silty clay"|"7963824"|"15607487"
"L"|"No "|"No "|"Loam"|"7963825"|"15311145"
"SCL"|"No "|"No "|"Sandy clay loam"|"7963825"|"15459317"
"CL"|"No "|"No "|"Clay loam"|"7963825"|"15607488"
"L"|"No "|"No "|"Loam"|"7963826"|"15162974"
"CL"|"No "|"No "|"Clay loam"|"7963826"|"15311146"
"L"|"No "|"No "|"Loam"|"7963827"|"15459318"
"CL"|"No "|"No "|"Clay loam"|"7963827"|"15607489"
"SL"|"No "|"No "|"Sandy loam"|"7963828"|"15162975"
"L"|"No "|"No "|"Loam"|"7963828"|"15311147"
"FSL"|"No "|"No "|"Fine sandy loam"|"7963828"|"15459319"
"SIL"|"No "|"Yes"|"Silt loam"|"7963829"|"15607490"
"L"|"No "|"Yes"|"Loam"|"7963830"|"15162976"
"C"|"No "|"Yes"|"Clay"|"7963831"|"15311148"
"SIL"|"No "|"No "|"Silt loam"|"7963832"|"15459320"
"SICL"|"No "|"No "|"Silty clay loam"|"7963832"|"15607491"
"SR- FSL SICL"|"Yes"|"Yes"|"Stratified fine sandy loam to silty clay loam"|"7963833"|"15162977"
"CL"|"No "|"No "|"Clay loam"|"7963834"|"15311149"
"L"|"No "|"No "|"Loam"|"7963834"|"15459321"
"L"|"No "|"Yes"|"Loam"|"7963835"|"15607492"
"SICL"|"No "|"No "|"Silty clay loam"|"7963836"|"15162978"
"SIL"|"No "|"No "|"Silt loam"|"7963836"|"15311150"
"SICL"|"No "|"Yes"|"Silty clay loam"|"7963837"|"15459322"
"L"|"No "|"No "|"Loam"|"7963838"|"15162979"
"CL"|"No "|"No "|"Clay loam"|"7963838"|"15607493"
"SICL"|"No "|"No "|"Silty clay loam"|"7963839"|"15311151"
"CL"|"No "|"No "|"Clay loam"|"7963839"|"15459323"
"SIL"|"No "|"No "|"Silt loam"|"7963839"|"15607494"
"SICL"|"No "|"Yes"|"Silty clay loam"|"7963840"|"15162980"
"SICL"|"No "|"Yes"|"Silty clay loam"|"7963841"|"15311152"
"L"|"No "|"No "|"Loam"|"7963842"|"15459324"
"CL"|"No "|"No "|"Clay loam"|"7963842"|"15607495"
"SIL"|"No "|"No "|"Silt loam"|"7963843"|"15162981"
"SICL"|"No "|"No "|"Silty clay loam"|"7963843"|"15311153"
"L"|"No "|"No "|"Loam"|"7963844"|"15459325"
"CL"|"No "|"No "|"Clay loam"|"7963844"|"15607496"
"SICL"|"No "|"No "|"Silty clay loam"|"7963845"|"15162982"
"SIL"|"No "|"No "|"Silt loam"|"7963845"|"15311154"
"SIC"|"No "|"Yes"|"Silty clay"|"7963846"|"15459326"
"VFSL"|"No "|"No "|"Very fine sandy loam"|"7963847"|"15162983"
"SIL"|"No "|"No "|"Silt loam"|"7963847"|"15607497"
"SIL"|"No "|"No "|"Silt loam"|"7963848"|"15311155"
"VFSL"|"No "|"No "|"Very fine sandy loam"|"7963848"|"15459327"
"SIC"|"No "|"Yes"|"Silty clay"|"7963849"|"15607498"
"SIL"|"No "|"No "|"Silt loam"|"7963850"|"15162984"
"SICL"|"No "|"No "|"Silty clay loam"|"7963850"|"15311156"
"SICL"|"No "|"No "|"Silty clay loam"|"7963851"|"15459328"
"SIL"|"No "|"No "|"Silt loam"|"7963851"|"15607499"
"SICL"|"No "|"Yes"|"Silty clay loam"|"7963852"|"15162985"
"CL"|"No "|"No "|"Clay loam"|"7963853"|"15311157"
"L"|"No "|"No "|"Loam"|"7963853"|"15459329"
"L"|"No "|"Yes"|"Loam"|"7963854"|"15607500"
"SICL"|"No "|"No "|"Silty clay loam"|"7963855"|"15162986"
"SIL"|"No "|"No "|"Silt loam"|"7963855"|"15311158"
"SIC"|"No "|"No "|"Silty clay"|"7963856"|"15459330"
"SICL"|"No "|"No "|"Silty clay loam"|"7963856"|"15607501"
"L"|"No "|"No "|"Loam"|"7963857"|"15162987"
"SCL"|"No "|"No "|"Sandy clay loam"|"7963857"|"15311159"
"CL"|"No "|"No "|"Clay loam"|"7963857"|"15459331"
"GR-LS"|"No "|"No "|"Gravelly loamy sand"|"7963858"|"15162988"
"GRV-S"|"No "|"No "|"Very gravelly sand"|"7963858"|"15311160"
"GR-S"|"No "|"No "|"Gravelly sand"|"7963858"|"15607502"
"SICL"|"No "|"Yes"|"Silty clay loam"|"7963859"|"15459332"
"GRV-S"|"No "|"No "|"Very gravelly sand"|"7963860"|"15162989"
"GRV-LS"|"No "|"No "|"Very gravelly loamy sand"|"7963860"|"15311161"
"GRX-S"|"No "|"No "|"Extremely gravelly sand"|"7963860"|"15607503"
"CL"|"No "|"Yes"|"Clay loam"|"7963861"|"15459333"
"SIL"|"No "|"No "|"Silt loam"|"7963862"|"15162990"
"SICL"|"No "|"No "|"Silty clay loam"|"7963862"|"15607504"
"SICL"|"No "|"No "|"Silty clay loam"|"7963863"|"15311162"
"SIL"|"No "|"No "|"Silt loam"|"7963863"|"15459334"
"CL"|"No "|"No "|"Clay loam"|"7963864"|"15162991"
"SIL"|"No "|"No "|"Silt loam"|"7963864"|"15311163"
"L"|"No "|"No "|"Loam"|"7963864"|"15607505"
"GRV-S"|"No "|"No "|"Very gravelly sand"|"7963865"|"15162992"
"GR-S"|"No "|"No "|"Gravelly sand"|"7963865"|"15459335"
"GR-LS"|"No "|"No "|"Gravelly loamy sand"|"7963865"|"15607506"
"SIC"|"No "|"Yes"|"Silty clay"|"7963866"|"15311164"
"SICL"|"No "|"No "|"Silty clay loam"|"7963867"|"15162993"
"SIC"|"No "|"No "|"Silty clay"|"7963867"|"15459336"
"C"|"No "|"No "|"Clay"|"7963867"|"15607507"
"SIC"|"No "|"No "|"Silty clay"|"7963868"|"15311165"
"C"|"No "|"No "|"Clay"|"7963868"|"15459337"
"SICL"|"No "|"Yes"|"Silty clay loam"|"7963869"|"15607508"
"CL"|"No "|"No "|"Clay loam"|"7963870"|"15162994"
"L"|"No "|"No "|"Loam"|"7963870"|"15311166"
"L"|"No "|"No "|"Loam"|"7963871"|"15459338"
"CL"|"No "|"No "|"Clay loam"|"7963871"|"15607509"
"SIL"|"No "|"No "|"Silt loam"|"7963872"|"15162995"
"L"|"No "|"No "|"Loam"|"7963872"|"15311167"
"SICL"|"No "|"No "|"Silty clay loam"|"7963872"|"15459339"
"L"|"No "|"No "|"Loam"|"7963873"|"15162996"
"CL"|"No "|"No "|"Clay loam"|"7963873"|"15607510"
"L"|"No "|"No "|"Loam"|"7963874"|"15311168"
"CL"|"No "|"No "|"Clay loam"|"7963874"|"15459340"
"SIL"|"No "|"No "|"Silt loam"|"7963874"|"15607511"
"CL"|"No "|"No "|"Clay loam"|"7963875"|"15162997"
"L"|"No "|"No "|"Loam"|"7963875"|"15311169"
"CL"|"No "|"No "|"Clay loam"|"7963876"|"15459341"
"L"|"No "|"No "|"Loam"|"7963876"|"15607512"
"SICL"|"No "|"No "|"Silty clay loam"|"7963877"|"15162998"
"SIC"|"No "|"No "|"Silty clay"|"7963877"|"15311170"
"CL"|"No "|"No "|"Clay loam"|"7963878"|"15162999"
"L"|"No "|"No "|"Loam"|"7963878"|"15459342"
"SCL"|"No "|"No "|"Sandy clay loam"|"7963878"|"15607513"
"SICL"|"No "|"No "|"Silty clay loam"|"7963879"|"15311171"
"SIC"|"No "|"No "|"Silty clay"|"7963879"|"15459343"
"SR- FS SICL"|"Yes"|"Yes"|"Stratified fine sand to silty clay loam"|"7963880"|"15607514"
"L"|"No "|"Yes"|"Loam"|"7963881"|"15163000"
"SR- LFS SIL"|"Yes"|"Yes"|"Stratified loamy fine sand to silt loam"|"7963882"|"15311172"
"CL"|"No "|"No "|"Clay loam"|"7963883"|"15459344"
"L"|"No "|"No "|"Loam"|"7963883"|"15607515"
"CL"|"No "|"No "|"Clay loam"|"7963884"|"15163001"
"L"|"No "|"No "|"Loam"|"7963884"|"15311173"
"CL"|"No "|"No "|"Clay loam"|"7963885"|"15459345"
"L"|"No "|"No "|"Loam"|"7963885"|"15607516"
"CL"|"No "|"No "|"Clay loam"|"7963886"|"15163002"
"C"|"No "|"No "|"Clay"|"7963886"|"15311174"
"CL"|"No "|"No "|"Clay loam"|"7963887"|"15163003"
"SIC"|"No "|"No "|"Silty clay"|"7963887"|"15459346"
"C"|"No "|"No "|"Clay"|"7963887"|"15607517"
"SIC"|"No "|"Yes"|"Silty clay"|"7963888"|"15311175"
"SICL"|"No "|"Yes"|"Silty clay loam"|"7963889"|"15459347"
"SIL"|"No "|"No "|"Silt loam"|"7963890"|"15163004"
"SICL"|"No "|"No "|"Silty clay loam"|"7963890"|"15607518"
"L"|"No "|"Yes"|"Loam"|"7963891"|"15311176"
"L"|"No "|"Yes"|"Loam"|"7963892"|"15459348"
"L"|"No "|"No "|"Loam"|"7963893"|"15163005"
"SICL"|"No "|"No "|"Silty clay loam"|"7963893"|"15311177"
"SIL"|"No "|"No "|"Silt loam"|"7963893"|"15607519"
"SR- LFS SICL"|"Yes"|"Yes"|"Stratified loamy fine sand to silty clay loam"|"7963894"|"15459349"
"FSL"|"No "|"No "|"Fine sandy loam"|"7963895"|"15163006"
"SL"|"No "|"No "|"Sandy loam"|"7963895"|"15311178"
"L"|"No "|"No "|"Loam"|"7963895"|"15607520"
"C"|"No "|"Yes"|"Clay"|"7963896"|"15459350"
"LS"|"No "|"No "|"Loamy sand"|"7963897"|"15163007"
"LFS"|"No "|"No "|"Loamy fine sand"|"7963897"|"15607521"
"C"|"No "|"No "|"Clay"|"7963898"|"15311179"
"SIC"|"No "|"No "|"Silty clay"|"7963898"|"15459351"
"CL"|"No "|"No "|"Clay loam"|"7963898"|"15607522"
"SICL"|"No "|"No "|"Silty clay loam"|"7963899"|"15163008"
"SIC"|"No "|"No "|"Silty clay"|"7963899"|"15311180"
"SCL"|"No "|"No "|"Sandy clay loam"|"7963900"|"15459352"
"FSL"|"No "|"No "|"Fine sandy loam"|"7963900"|"15607523"
"L"|"No "|"No "|"Loam"|"7963901"|"15163009"
"CL"|"No "|"No "|"Clay loam"|"7963901"|"15311181"
"LFS"|"No "|"No "|"Loamy fine sand"|"7963902"|"15459353"
"LS"|"No "|"No "|"Loamy sand"|"7963902"|"15607524"
"LFS"|"No "|"No "|"Loamy fine sand"|"7963903"|"15163010"
"LS"|"No "|"No "|"Loamy sand"|"7963903"|"15311182"
"SIL"|"No "|"No "|"Silt loam"|"7963904"|"15163011"
"L"|"No "|"No "|"Loam"|"7963904"|"15459354"
"CL"|"No "|"No "|"Clay loam"|"7963904"|"15607525"
"L"|"No "|"No "|"Loam"|"7963905"|"15311183"
