julian,precip_mm,unb_swe,brn_swe,unb_melt,brn_melt,unb_soil_evap,brn_soil_evap,unb_saturation,brn_saturation,unb_suction,brn_suction,unb_runoff,brn_runoff
115,0.00,527.4,527.4,0.0,0.0,0.000,0.000,0.340,0.340,61.79,62.06,0.0000,0.0000
116,0.00,527.4,527.4,0.0,0.0,0.000,0.000,0.340,0.340,61.84,62.06,0.0000,0.0000
117,0.00,527.4,527.4,0.0,0.0,0.010,0.000,0.340,0.340,61.89,62.06,0.0000,0.0000
118,0.00,527.4,527.4,0.0,0.0,0.010,0.000,0.340,0.340,61.93,62.06,0.0000,0.0000
119,0.00,527.4,527.4,0.0,0.0,0.000,0.000,0.340,0.340,61.96,62.06,0.0000,0.0000
120,0.00,527.4,527.4,0.0,0.0,0.010,0.000,0.340,0.340,61.98,62.06,0.0000,0.0000
121,0.00,527.4,527.4,0.0,0.0,0.000,0.000,0.340,0.340,62.01,62.06,0.0000,0.0000
122,0.00,527.4,519.1,0.0,8.3,0.000,0.490,0.340,0.410,62.02,62.06,0.0000,0.0000
123,0.00,527.4,504.9,0.0,14.1,0.000,0.710,0.340,0.540,62.03,53.69,0.0000,0.0000
124,0.00,526.1,484.3,1.3,20.5,0.010,0.760,0.350,0.710,62.04,39.01,0.0000,0.0000
125,0.00,504.4,458.4,21.6,25.8,0.010,0.820,0.590,0.830,60.88,19.10,0.0000,0.0000
126,0.00,477.7,427.4,26.7,31.0,0.010,0.900,0.810,0.970,36.13,2.90,0.0000,7.1570
127,0.00,445.6,390.2,31.9,37.2,0.020,0.990,0.980,0.970,9.90,0.97,4.0161,18.9832
128,0.00,414.7,354.2,31.1,36.0,0.010,0.900,0.980,0.970,0.97,0.97,13.1484,17.8671
129,0.00,383.3,317.9,31.2,36.2,0.010,0.800,0.990,0.980,0.97,0.97,13.8148,18.3476
130,0.00,383.3,317.9,0.0,0.0,0.000,0.300,0.780,0.770,0.97,0.97,0.0000,0.0000
131,0.00,380.0,312.8,3.5,5.1,0.010,0.540,0.720,0.720,10.01,10.82,0.0000,0.0000
132,0.00,363.8,291.4,16.0,21.5,0.010,0.330,0.800,0.820,17.13,16.70,0.0000,0.0000
133,0.00,354.3,278.7,9.4,12.7,0.010,0.690,0.770,0.780,8.82,4.61,0.0000,0.0000
134,0.00,335.0,255.3,19.5,23.5,0.010,0.630,0.830,0.910,10.97,7.26,0.0000,0.0000
135,0.00,315.5,231.4,19.6,23.8,0.010,0.770,0.900,0.970,3.27,0.97,0.0000,3.9133
136,3.60,295.4,206.7,20.3,24.7,0.010,0.550,0.990,0.980,0.97,0.97,2.8412,10.6260
