||"Tread"||"2397959"|"380471"
|"Side Slope"|||"2397989"|"380754"
|"Interfluve"|||"2397989"|"380894"
||"Tread"||"2398010"|"380617"
||"Tread"||"2398066"|"380758"
||"Tread"||"2398069"|"380898"
|"Side Slope"|||"2398289"|"380905"
||"Tread"||"2398292"|"380485"
||"Tread"||"2398398"|"380769"
|"Side Slope"|||"2398427"|"380492"
|"Interfluve"|||"2398507"|"380775"
||"Tread"||"2398649"|"380778"
||"Tread"||"2398673"|"380640"
||"Tread"||"2398733"|"380922"
|"Side Slope"|||"2398845"|"380925"
|"Interfluve"|||"2398846"|"380505"
||"Tread"||"2398897"|"380509"
||"Tread"||"2398953"|"380932"
|"Interfluve"|||"2399096"|"380517"
|"Side Slope"|||"2399096"|"380937"
|"Side Slope"|||"2399394"|"380809"
|"Side Slope"|||"2399507"|"380531"
|"Side Slope"|||"2399536"|"380955"
|"Interfluve"|||"2399618"|"380680"
|"Side Slope"|||"2399784"|"380827"
|"Interfluve"|||"2399785"|"380967"
||"Tread"||"2399843"|"380969"
|"Side Slope"|||"2400005"|"380697"
||"Tread"||"2400065"|"380558"
||"Tread"||"2400170"|"380981"
|"Interfluve"|||"2400171"|"380561"
|"Interfluve"|||"2400200"|"380563"
|"Interfluve"|||"2400222"|"380985"
|"Interfluve"|||"2400445"|"380853"
||"Tread"||"2400446"|"380993"
||"Tread"||"2400617"|"380717"
||"Tread"||"2400671"|"380581"
|"Interfluve"|||"2400725"|"380723"
|"Side Slope"|||"2400838"|"381006"
|"Side Slope"|||"2400890"|"380872"
|"Side Slope"|||"2400891"|"381012"
|"Interfluve"|||"2400948"|"381013"
|"Interfluve"|||"2401108"|"380600"
|"Side Slope"|||"2401109"|"380741"
||||"2401279"|"381024"
||"Tread"||"2401308"|"380887"
||"Tread"||"2401331"|"380889"
||"Tread"||"2401332"|"381029"
|"Interfluve"|||"2401391"|"380610"
