scenario,hillslope_count,area_ha,area_weighted_runoff_depth_mm_per_yr,total_runoff_volume_m3_per_yr_estimated,total_sediment_yield_tonne_per_yr,total_soil_loss_tonne_per_yr,zero_runoff_hillslopes,negligible_runoff_hillslopes_lt_1_mm_yr,zero_sediment_hillslopes,negligible_sediment_hillslopes_lt_1_kg_yr,runoff_depth_mm_per_yr_min,runoff_depth_mm_per_yr_q1,runoff_depth_mm_per_yr_median,runoff_depth_mm_per_yr_mean,runoff_depth_mm_per_yr_std,runoff_depth_mm_per_yr_q3,runoff_depth_mm_per_yr_iqr,runoff_depth_mm_per_yr_p95,runoff_depth_mm_per_yr_max,runoff_volume_m3_per_yr_min,runoff_volume_m3_per_yr_q1,runoff_volume_m3_per_yr_median,runoff_volume_m3_per_yr_mean,runoff_volume_m3_per_yr_std,runoff_volume_m3_per_yr_q3,runoff_volume_m3_per_yr_iqr,runoff_volume_m3_per_yr_p95,runoff_volume_m3_per_yr_max,sediment_yield_kg_per_yr_min,sediment_yield_kg_per_yr_q1,sediment_yield_kg_per_yr_median,sediment_yield_kg_per_yr_mean,sediment_yield_kg_per_yr_std,sediment_yield_kg_per_yr_q3,sediment_yield_kg_per_yr_iqr,sediment_yield_kg_per_yr_p95,sediment_yield_kg_per_yr_max,sediment_yield_density_kg_ha_yr_min,sediment_yield_density_kg_ha_yr_q1,sediment_yield_density_kg_ha_yr_median,sediment_yield_density_kg_ha_yr_mean,sediment_yield_density_kg_ha_yr_std,sediment_yield_density_kg_ha_yr_q3,sediment_yield_density_kg_ha_yr_iqr,sediment_yield_density_kg_ha_yr_p95,sediment_yield_density_kg_ha_yr_max,soil_loss_kg_per_yr_min,soil_loss_kg_per_yr_q1,soil_loss_kg_per_yr_median,soil_loss_kg_per_yr_mean,soil_loss_kg_per_yr_std,soil_loss_kg_per_yr_q3,soil_loss_kg_per_yr_iqr,soil_loss_kg_per_yr_p95,soil_loss_kg_per_yr_max,soil_loss_density_kg_ha_yr_min,soil_loss_density_kg_ha_yr_q1,soil_loss_density_kg_ha_yr_median,soil_loss_density_kg_ha_yr_mean,soil_loss_density_kg_ha_yr_std,soil_loss_density_kg_ha_yr_q3,soil_loss_density_kg_ha_yr_iqr,soil_loss_density_kg_ha_yr_p95,soil_loss_density_kg_ha_yr_max,scenario_order
Unburned / baseline,455,1807.5,738.9181742738589,13355946.0,128.45180000000002,1005970.9298,0,0,228,270,2.4,353.2310307017544,659.3199999999999,619.9241321162867,324.99465537532524,900.758362035974,547.5273313342195,1083.6322939150402,1193.2903225806451,2.4,3443.2,17916.8,29353.727472527473,31912.49883643519,49102.4,45659.200000000004,82655.22999999992,212390.1,0.0,0.0,0.0,282.3116483516484,2729.50450253474,11.9,11.9,159.6999999999996,39701.2,0.0,0.0,0.0,66.72626247186801,763.2273193567993,2.6825925925925924,2.6825925925925924,31.902927215189855,14266.142857142857,0.0,0.0,0.7,2210925.1204395606,33649652.378002085,65.55000000000001,65.55000000000001,633.9599999999991,679334263.6,0.0,0.0,0.5,338498.52723621804,5120035.342672047,14.57624557014801,14.57624557014801,105.78805375808858,102929433.87878789,1
Low severity fire,455,1807.5,943.5181023513139,17054089.7,897.0849,114923048.6207,0,0,14,41,4.1,626.3625,906.3666666666667,818.7571834525708,334.56485114727633,1083.7835893120134,457.42108931201346,1212.3671709401706,1364.7,4.5,5823.85,26010.6,37481.515824175825,38965.68875275781,58974.95,53151.1,102026.04999999996,252825.0,0.0,21.9,348.2,1971.6151648351647,4614.447661718907,1611.45,1589.55,9062.63999999999,39701.2,0.0,19.227777777777774,130.1047619047619,388.086040455345,875.2902545535685,470.8829365079365,451.65515873015875,1530.110629370626,14266.142857142857,0.0,102.3,2050.7,252578128.8367033,516017909.7535086,230080119.10000002,230080016.8,1366581723.4199996,3964546195.4,0.0,105.73611111111111,648.25,40336743.40602984,76478389.63177133,47333762.30983709,47333656.573725976,207410084.90757552,443516343.20689654,2
Prescribed fire,455,1807.5,906.8018589211619,16390443.600000001,364.5122999999999,2044862.9244000001,0,0,65,95,4.05,600.1380952380953,871.4222222222223,785.2707780144447,320.1024455316896,1047.3447565543072,447.2066613162119,1160.5451428571428,1284.0,4.5,5508.200000000001,24796.8,36022.95296703297,37403.73576590772,57017.85,51509.649999999994,97497.33999999988,242045.2,0.0,3.6500000000000004,94.1,801.125934065934,2971.6687253909845,422.0,418.35,2803.7999999999943,39701.2,0.0,3.267857142857143,32.38709677419355,164.3865270517681,780.0687284622088,129.26373626373626,125.99587912087912,463.93279999999936,14266.142857142857,0.0,15.7,257.0,4494204.22945055,56081677.30475079,2243.75,2228.05,11274.259999999995,843730532.6,0.0,18.083333333333336,109.42307692307692,692565.5846003281,8641242.178022059,406.65379310344827,388.57045977011495,1784.5495475113116,127837959.4848485,3
Predicted soil burn severity map,455,1807.5,948.6586500691561,17147005.099999998,2247.7876000000006,40237617.158199996,0,0,28,51,4.45,628.4377976190476,906.3666666666667,822.4227902342224,336.45191299125975,1089.5599698895953,461.1221722705477,1214.6462406015035,1374.7,4.6,5823.85,26206.7,37685.72549450549,39209.522367026075,59562.6,53738.75,102282.63999999993,254289.4,0.0,20.65,392.1,4940.192527472529,59657.85963508459,1705.4499999999998,1684.7999999999997,8982.73,1267551.6,0.0,21.589999999999996,137.79611650485435,881.5286608666787,10265.128008436788,493.07012195121956,471.4801219512196,1423.5361111111106,218543.37931034484,0.0,75.35,1448.0,88434323.42461538,301036648.7862552,23169.300000000003,23093.950000000004,634456313.5999988,3198509398.9,0.0,90.59090909090908,512.0714285714286,13995083.788911935,41277152.95917891,3508.269567087156,3417.678657996247,104001063.97478989,331791329.78181815,4
Moderate severity fire,455,1807.5,951.6108381742738,17200365.9,1149.7958,2164612.611,0,0,52,65,4.45,630.6208333333334,915.7703703703703,825.997517264481,338.31898536712197,1090.9318802673642,460.31104693403086,1228.3417346711258,1374.7,4.6,5865.5,26206.7,37803.00197802197,39237.241689194074,59444.4,53578.9,102843.96999999996,249295.2,0.0,24.25,449.6,2527.0237362637363,6880.726118093257,1847.4499999999998,1823.1999999999998,10709.079999999996,87253.5,0.0,14.98846153846154,146.88,484.13311750470115,1164.261819603651,556.2708978328174,541.2824362943558,1671.08128205128,14303.852459016394,0.0,66.2,1170.5,4757390.353846154,59001699.14604178,9040.7,8974.5,50813.809999999976,852058889.8,0.0,75.05972652218782,454.1111111111111,733820.6824814919,9107760.592962973,1644.539442700157,1569.4797161779693,7619.395686274499,129099831.78787878,5
High severity fire,455,1807.5,1048.2389156293225,18946918.400000002,4875.699,2674399.362,0,0,38,53,51.2,744.6708333333333,1009.9777777777776,928.9193488312783,316.7822525507249,1180.070588235294,435.3997549019607,1312.2030476190475,1496.4,51.2,6720.1,29035.1,41641.5789010989,42565.316764867064,64515.8,57795.700000000004,111845.48999999993,270483.3,0.0,125.2,1735.8,10715.821978021979,29832.663880492346,7536.6,7411.400000000001,50637.339999999786,374366.5,0.0,92.76474201474201,570.2727272727271,2046.7511711780537,4213.754795293384,2379.483333333333,2286.7185913185913,7541.241153846136,61371.55737704918,0.0,393.2,5406.6,5877800.795604396,71346101.70364136,46408.3,46015.100000000006,197027.41999999966,896535050.3,0.0,439.12499999999994,2212.44,907212.1688989628,10989528.15754339,8218.279498525073,7779.154498525073,31225.935164835144,140884788.30645162,6
30% canopy cover thinning,455,1807.5,982.8661300138313,17765305.3,10528.077,2467068.3322999994,0,0,72,76,10.2,696.3346491228069,944.1815533980582,860.451664638886,325.9933417909176,1116.9441052227344,420.60945609992746,1229.9222463768117,1374.1,10.2,5984.85,27466.4,39044.62703296704,40030.46973421537,60690.75,54705.9,106530.31999999982,254287.8,0.0,72.45,3162.4,23138.63076923077,69078.80793074651,15327.25,15254.8,96404.07999999993,741327.6,0.0,56.364583333333336,1111.4044943820224,4310.871026350193,9082.12158928027,4113.524509803921,4057.159926470588,16685.00067466266,76090.13483146067,0.0,326.0,7282.5,5422128.202857141,66646190.51511087,87295.6,86969.6,482129.9399999999,991811476.3,0.0,373.3412921348314,2890.0,832033.490026054,10144779.700908126,15115.799719887955,14742.458427753123,77156.20292134814,148031563.62686566,7
50% canopy cover thinning,455,1807.5,956.9822793914248,17297454.700000003,7433.2373,2425013.2906,0,0,89,96,9.2,686.8732456140351,923.2666666666667,838.4371730038627,312.86973021053035,1082.7296875,395.85644188596484,1175.5566857142855,1326.6,9.2,5827.950000000001,27031.4,38016.38395604396,38943.105266694474,59144.0,53316.05,103443.10999999983,250235.3,0.0,20.7,1985.4,16336.785274725275,48348.542818422335,9334.75,9314.05,68491.55999999988,504961.9,0.0,22.174242424242426,631.8690476190476,3053.2114486647674,6520.902655340961,2641.861038961039,2619.6867965367965,12398.977457069765,56737.29213483146,0.0,205.75,5184.2,5329699.53978022,65661326.20845113,64001.350000000006,63795.600000000006,309443.5399999999,959674045.1,0.0,222.125,1890.6206896551726,817706.0976220248,10002086.29815514,11446.858566007048,11224.733566007048,51231.858437686315,143234932.1044776,8
