0|2|3||5|40|75||||"7932988"|"13200456"
0|3|6||2|4|5||||"7932988"|"13639671"
0|2|3||2|4|5||||"7932991"|"13346862"
0|2|3||5|40|75||||"7932991"|"13493267"
2|14|26||5|40|75||||"7936989"|"13202272"
0|3|6||75|162|250||||"7936989"|"13348678"
0|2|3||250|625|1000||||"7936989"|"13495083"
0|13|26||2|4|5||||"7936989"|"13641487"
0|2|3||5|40|75||||"7936991"|"13202273"
0|2|3||75|162|250||||"7936991"|"13348679"
0|12|23||2|4|5||||"7936991"|"13641488"
0|10|20||75|162|250||||"7936992"|"13202274"
0|10|20||2|4|5||||"7936992"|"13495084"
17|30|43||5|40|75||||"7936992"|"13641489"
0|10|20||2|4|5||||"7936993"|"13348680"
0|6|11||5|40|75||||"7936993"|"13495085"
0|3|6||2|4|5||||"7937060"|"13348717"
0|2|3||5|40|75||||"7937060"|"13495122"
0|3|6||2|4|5||||"7937085"|"13348730"
0|2|3||5|40|75||||"7937085"|"13495135"
0|3|6||2|4|5||||"7937086"|"13641540"
0|3|6||75|162|250||||"7937116"|"13202343"
0|1|2||250|625|1000||||"7937116"|"13348749"
0|20|40||2|4|5||||"7937116"|"13495153"
0|20|40||5|40|75||||"7937116"|"13641558"
0|5|9||2|4|5||||"7938298"|"13495461"
0|2|3||5|40|75||||"7938298"|"13641866"
0|2|3||2|4|5||||"7938299"|"13202651"
0|2|3||2|4|5||||"7938300"|"13349057"
0|2|3||2|4|5||||"7938302"|"13495462"
5|19|33||5|40|75||||"7938304"|"13202652"
6|9|11||75|162|250||||"7938304"|"13349058"
0|18|36||2|4|5||||"7938304"|"13641867"
6|9|11||75|162|250||||"7938308"|"13202653"
0|18|36||2|4|5||||"7938308"|"13495463"
5|19|33||5|40|75||||"7938308"|"13641868"
0|18|36||2|4|5||||"7938310"|"13349059"
5|19|33||5|40|75||||"7938310"|"13495464"
6|9|11||75|162|250||||"7938310"|"13641869"
0|3|6||2|4|5||||"7938313"|"13202654"
0|3|6||5|40|75||||"7938313"|"13349060"
0|3|6||2|4|5||||"7938314"|"13495465"
0|2|3||5|40|75||||"7938314"|"13641870"
0|12|23||2|4|5||||"7938315"|"13202655"
0|2|3||5|40|75||||"7938315"|"13349061"
0|3|6||75|162|250||||"7938315"|"13495466"
0|2|3||5|40|75||||"7938316"|"13202656"
0|3|6||2|4|5||||"7938316"|"13641871"
0|3|6||2|4|5||||"7938318"|"13349062"
0|2|3||5|40|75||||"7938318"|"13495467"
0|2|3||5|40|75||||"7938319"|"13202657"
0|2|3||2|4|5||||"7938319"|"13641872"
0|6|11||2|4|5||||"7938320"|"13349063"
0|5|9||5|40|75||||"7938320"|"13495468"
0|2|3||5|40|75||||"7938324"|"13202658"
0|2|3||2|4|5||||"7938324"|"13641873"
0|3|6||2|4|5||||"7938325"|"13349064"
0|3|6||5|40|75||||"7938325"|"13495469"
0|1|2||75|162|250||||"7938327"|"13349065"
0|9|17||2|4|5||||"7938327"|"13641874"
0|7|14||5|40|75||||"7938327"|"13202659"
0|7|14||2|4|5||||"7938329"|"13495470"
0|6|11||5|40|75||||"7938329"|"13641875"
0|2|3||2|4|5||||"7938331"|"13202660"
0|2|3||2|4|5||||"7938333"|"13349066"
0|2|3||2|4|5||||"7938335"|"13495471"
0|2|3||5|40|75||||"7938336"|"13202661"
0|3|6||2|4|5||||"7938336"|"13641876"
0|2|3||2|4|5||||"7938337"|"13349067"
0|2|3||5|40|75||||"7938337"|"13495472"
0|2|3||5|40|75||||"7938338"|"13202662"
0|3|6||2|4|5||||"7938338"|"13641877"
0|3|6||2|4|5||||"7938340"|"13349068"
0|2|3||5|40|75||||"7938340"|"13495473"
0|2|3||5|40|75||||"7938341"|"13202663"
0|2|3||2|4|5||||"7938341"|"13641878"
0|2|3||2|4|5||||"7938342"|"13349069"
0|2|3||5|40|75||||"7938342"|"13495474"
0|2|3||5|40|75||||"7938344"|"13202664"
0|2|3||2|4|5||||"7938344"|"13641879"
0|3|6||2|4|5||||"7938345"|"13349070"
0|2|3||5|40|75||||"7938345"|"13495475"
0|2|3||5|40|75||||"7938346"|"13202665"
0|2|3||2|4|5||||"7938346"|"13641880"
0|2|3||2|4|5||||"7938347"|"13349071"
0|2|3||2|4|5||||"7938348"|"13495476"
0|2|3||2|4|5||||"7938350"|"13641881"
0|3|6||2|4|5||||"7938351"|"13202666"
0|2|3||5|40|75||||"7938351"|"13349072"
1|6|10||75|162|250||||"7938352"|"13202667"
0|11|22||2|4|5||||"7938352"|"13495477"
2|10|17||5|40|75||||"7938352"|"13641882"
0|3|6||2|4|5||||"7938353"|"13349073"
0|2|3||5|40|75||||"7938353"|"13495478"
0|3|6||5|40|75||||"7938355"|"13202668"
0|2|3||75|162|250||||"7938355"|"13349074"
0|13|26||2|4|5||||"7938355"|"13641883"
0|3|6||2|4|5||||"7938356"|"13495479"
0|2|3||5|40|75||||"7938356"|"13641884"
0|9|17||2|4|5||||"7938358"|"13202669"
0|7|14||5|40|75||||"7938358"|"13349075"
0|1|2||75|162|250||||"7938358"|"13495480"
0|2|3||5|40|75||||"7938359"|"13202670"
0|3|6||2|4|5||||"7938359"|"13641885"
0|2|3||2|4|5||||"7938360"|"13349076"
0|5|9||75|162|250||||"7938361"|"13202671"
0|7|14||2|4|5||||"7938361"|"13495481"
0|6|11||5|40|75||||"7938361"|"13641886"
0|3|6||2|4|5||||"7938363"|"13349077"
0|3|6||5|40|75||||"7938363"|"13495482"
0|3|6||5|40|75||||"7938364"|"13202672"
0|3|6||2|4|5||||"7938364"|"13641887"
0|3|6||2|4|5||||"7938365"|"13349078"
0|2|3||5|40|75||||"7938365"|"13495483"
0|2|3||5|40|75||||"7938366"|"13202673"
0|2|3||2|4|5||||"7938366"|"13641888"
0|6|11||2|4|5||||"7938367"|"13349079"
0|2|3||5|40|75||||"7938367"|"13495484"
0|10|20||5|40|75||||"7938368"|"13202674"
0|2|3||75|162|250||||"7938368"|"13349080"
0|13|26||2|4|5||||"7938368"|"13641889"
0|7|14||2|4|5||||"7938369"|"13495485"
0|5|9||5|40|75||||"7938369"|"13641890"
0|3|6||2|4|5||||"7938370"|"13202675"
0|2|3||5|40|75||||"7938370"|"13349081"
0|2|3||75|162|250||||"7938371"|"13202676"
0|13|26||2|4|5||||"7938371"|"13495486"
0|10|20||5|40|75||||"7938371"|"13641891"
0|2|3||2|4|5||||"7938372"|"13349082"
0|2|3||5|40|75||||"7938372"|"13495487"
0|2|3||75|162|250||||"7938372"|"13641892"
0|19|37||2|4|5||||"7938374"|"13202677"
0|16|31||5|40|75||||"7938374"|"13349083"
0|7|14||75|162|250||||"7938374"|"13495488"
0|2|3||5|40|75||||"7938375"|"13202678"
0|3|6||2|4|5||||"7938375"|"13641893"
0|6|11||2|4|5||||"7938376"|"13349084"
0|3|6||5|40|75||||"7938376"|"13495489"
0|12|23||5|40|75||||"7938377"|"13202679"
0|3|6||75|162|250||||"7938377"|"13349085"
0|14|28||2|4|5||||"7938377"|"13641894"
0|5|9||2|4|5||||"7938379"|"13495490"
0|3|6||5|40|75||||"7938379"|"13641895"
0|16|31||2|4|5||||"7938381"|"13202680"
8|18|28||5|40|75||||"7938381"|"13349086"
0|9|17||75|162|250||||"7938381"|"13495491"
0|2|3||5|40|75||||"7938382"|"13202681"
0|6|11||2|4|5||||"7938382"|"13641896"
0|3|6||2|4|5||||"7938383"|"13349087"
0|2|3||5|40|75||||"7938383"|"13495492"
0|5|9||5|40|75||||"7938384"|"13202682"
0|2|3||75|162|250||||"7938384"|"13349088"
0|7|14||2|4|5||||"7938384"|"13641897"
0|5|9||75|162|250||||"7938386"|"13202683"
0|22|43||2|4|5||||"7938386"|"13495493"
0|14|28||5|40|75||||"7938386"|"13641898"
0|2|3||2|4|5||||"7938387"|"13349089"
0|1|2||75|162|250||||"7938388"|"13202684"
0|9|17||2|4|5||||"7938388"|"13495494"
0|7|14||5|40|75||||"7938388"|"13641899"
0|3|6||2|4|5||||"7938389"|"13349090"
0|2|3||5|40|75||||"7938389"|"13495495"
0|5|9||5|40|75||||"7938390"|"13202685"
0|7|14||2|4|5||||"7938390"|"13641900"
0|3|6||2|4|5||||"7938391"|"13349091"
0|2|3||5|40|75||||"7938391"|"13495496"
0|2|3||5|40|75||||"7938392"|"13202686"
0|2|3||2|4|5||||"7938392"|"13641901"
0|3|6||2|4|5||||"7938393"|"13349092"
0|2|3||5|40|75||||"7938393"|"13495497"
0|2|3||2|4|5||||"7938394"|"13641902"
0|14|28||2|4|5||||"7938395"|"13202687"
0|7|14||5|40|75||||"7938395"|"13349093"
0|2|3||75|162|250||||"7938398"|"13202688"
0|1|1||250|625|1000||||"7938398"|"13349094"
0|6|11||2|4|5||||"7938398"|"13495498"
3|7|11||5|40|75||||"7938398"|"13641903"
0|3|6||75|162|250||||"7938399"|"13202689"
0|9|17||2|4|5||||"7938399"|"13495499"
0|5|9||5|40|75||||"7938399"|"13641904"
0|9|17||2|4|5||||"7938400"|"13349095"
0|6|11||5|40|75||||"7938400"|"13495500"
0|2|3||5|40|75||||"7938401"|"13202690"
0|3|6||2|4|5||||"7938401"|"13641905"
0|6|11||2|4|5||||"7938402"|"13349096"
0|5|9||5|40|75||||"7938402"|"13495501"
0|3|6||5|40|75||||"7938403"|"13202691"
0|5|9||2|4|5||||"7938403"|"13641906"
0|6|11||2|4|5||||"7938404"|"13349097"
0|6|11||5|40|75||||"7938404"|"13495502"
0|2|3||75|162|250||||"7938404"|"13641907"
0|12|23||2|4|5||||"7938405"|"13202692"
0|10|20||5|40|75||||"7938405"|"13349098"
0|3|6||2|4|5||||"7938406"|"13495503"
0|3|6||5|40|75||||"7938406"|"13641908"
0|3|6||2|4|5||||"7938407"|"13202693"
0|2|3||5|40|75||||"7938407"|"13349099"
