"VAR"|"No "|"Yes"|"Variable"|"7929517"|"15147670"
"SIC"|"No "|"No "|"Silty clay"|"7932649"|"15297093"
"SICL"|"No "|"No "|"Silty clay loam"|"7932649"|"15445265"
"SIL"|"No "|"Yes"|"Silt loam"|"7932650"|"15593436"
"VFSL"|"No "|"No "|"Very fine sandy loam"|"7932651"|"15148922"
"SL"|"No "|"No "|"Sandy loam"|"7932651"|"15297094"
"LFS"|"No "|"No "|"Loamy fine sand"|"7932651"|"15445266"
"C"|"No "|"No "|"Clay"|"7932652"|"15148923"
"SIC"|"No "|"No "|"Silty clay"|"7932652"|"15593437"
"SICL"|"No "|"No "|"Silty clay loam"|"7932653"|"15297095"
"SIL"|"No "|"No "|"Silt loam"|"7932653"|"15445267"
"SIC"|"No "|"No "|"Silty clay"|"7932654"|"15148924"
"SICL"|"No "|"No "|"Silty clay loam"|"7932654"|"15593438"
"FSL"|"No "|"Yes"|"Fine sandy loam"|"7932655"|"15297096"
"CL"|"No "|"No "|"Clay loam"|"7932728"|"15148954"
"SICL"|"No "|"No "|"Silty clay loam"|"7932728"|"15297126"
"SCL"|"No "|"No "|"Sandy clay loam"|"7932728"|"15445298"
"SICL"|"No "|"No "|"Silty clay loam"|"7932729"|"15148955"
"SIL"|"No "|"No "|"Silt loam"|"7932729"|"15593469"
"SL"|"No "|"No "|"Sandy loam"|"7932730"|"15297127"
"L"|"No "|"No "|"Loam"|"7932730"|"15445299"
"SCL"|"No "|"No "|"Sandy clay loam"|"7932730"|"15593470"
"VFSL"|"No "|"No "|"Very fine sandy loam"|"7932731"|"15148956"
"SL"|"No "|"No "|"Sandy loam"|"7932731"|"15297128"
"L"|"No "|"No "|"Loam"|"7932731"|"15445300"
"SIL"|"No "|"No "|"Silt loam"|"7932749"|"15148965"
"SICL"|"No "|"No "|"Silty clay loam"|"7932749"|"15593479"
"SIL"|"No "|"No "|"Silt loam"|"7932750"|"15297137"
"L"|"No "|"No "|"Loam"|"7932750"|"15445309"
"CN-L"|"No "|"No "|"Channery loam"|"7932750"|"15593480"
"SIL"|"No "|"No "|"Silt loam"|"7932751"|"15148966"
"SICL"|"No "|"No "|"Silty clay loam"|"7932751"|"15297138"
"SICL"|"No "|"Yes"|"Silty clay loam"|"7932752"|"15445310"
"SIL"|"No "|"No "|"Silt loam"|"7932753"|"15148967"
"SICL"|"No "|"No "|"Silty clay loam"|"7932753"|"15593481"
"SIL"|"No "|"Yes"|"Silt loam"|"7932770"|"15297148"
"SIL"|"No "|"Yes"|"Silt loam"|"7932771"|"15445320"
"SIL"|"No "|"Yes"|"Silt loam"|"7932840"|"15149009"
"L"|"No "|"No "|"Loam"|"7932841"|"15297181"
"VFSL"|"No "|"No "|"Very fine sandy loam"|"7932841"|"15445353"
"LFS"|"No "|"No "|"Loamy fine sand"|"7932841"|"15593524"
"SR- FS SICL"|"Yes"|"Yes"|"Stratified fine sand to silty clay loam"|"7932842"|"15149010"
"SIL"|"No "|"Yes"|"Silt loam"|"7932843"|"15297182"
"CL"|"No "|"No "|"Clay loam"|"7932844"|"15149011"
"SICL"|"No "|"No "|"Silty clay loam"|"7932844"|"15445354"
"SIL"|"No "|"No "|"Silt loam"|"7932844"|"15593525"
"SICL"|"No "|"No "|"Silty clay loam"|"7932845"|"15297183"
"SIL"|"No "|"No "|"Silt loam"|"7932845"|"15445355"
"SIL"|"No "|"Yes"|"Silt loam"|"7932908"|"15297211"
"SR- FS SIL"|"Yes"|"Yes"|"Stratified fine sand to silt loam"|"7932909"|"15445383"
"SIL"|"No "|"No "|"Silt loam"|"7932910"|"15149040"
"SICL"|"No "|"No "|"Silty clay loam"|"7932910"|"15297212"
"L"|"No "|"No "|"Loam"|"7932910"|"15593554"
"SIL"|"No "|"Yes"|"Silt loam"|"7932911"|"15445384"
"FL-SICL"|"No "|"Yes"|"Flaggy silty clay loam"|"7932927"|"15297221"
"SIL"|"No "|"No "|"Silt loam"|"7932928"|"15445393"
"SICL"|"No "|"No "|"Silty clay loam"|"7932928"|"15593564"
"SICL"|"No "|"No "|"Silty clay loam"|"7932929"|"15149050"
"L"|"No "|"No "|"Loam"|"7932929"|"15297222"
"SIL"|"No "|"No "|"Silt loam"|"7932929"|"15445394"
"SIL"|"No "|"Yes"|"Silt loam"|"7932930"|"15593565"
"SIL"|"No "|"Yes"|"Silt loam"|"7932931"|"15149051"
"SIL"|"No "|"No "|"Silt loam"|"7932932"|"15297223"
"SICL"|"No "|"No "|"Silty clay loam"|"7932932"|"15445395"
"SR- SICL C"|"Yes"|"Yes"|"Stratified silty clay loam to clay"|"7932943"|"15593572"
"SIL"|"No "|"Yes"|"Silt loam"|"7932944"|"15149058"
"SICL"|"No "|"No "|"Silty clay loam"|"7932945"|"15297230"
"SIL"|"No "|"No "|"Silt loam"|"7932945"|"15445402"
"SICL"|"No "|"No "|"Silty clay loam"|"7932946"|"15149059"
"SIL"|"No "|"No "|"Silt loam"|"7932946"|"15593573"
"SIL"|"No "|"Yes"|"Silt loam"|"7932947"|"15297231"
"CN-SCL"|"No "|"No "|"Channery sandy clay loam"|"7932953"|"15149062"
"SCL"|"No "|"No "|"Sandy clay loam"|"7932953"|"15445405"
"CL"|"No "|"No "|"Clay loam"|"7932953"|"15593576"
"SIL"|"No "|"No "|"Silt loam"|"7932954"|"15297234"
"L"|"No "|"No "|"Loam"|"7932954"|"15445406"
"CN-L"|"No "|"No "|"Channery loam"|"7932954"|"15593577"
"CN-L"|"No "|"No "|"Channery loam"|"7932955"|"15149063"
"CN-SIL"|"No "|"No "|"Channery silt loam"|"7932955"|"15297235"
"SICL"|"No "|"No "|"Silty clay loam"|"7932955"|"15445407"
"SICL"|"No "|"No "|"Silty clay loam"|"7932956"|"15149064"
"L"|"No "|"No "|"Loam"|"7932956"|"15297236"
"SIL"|"No "|"No "|"Silt loam"|"7932956"|"15593578"
"SIL"|"No "|"Yes"|"Silt loam"|"7932957"|"15445408"
"UWB"|"No "|"Yes"|"Unweathered bedrock"|"7932958"|"15593579"
"UWB"|"No "|"Yes"|"Unweathered bedrock"|"7932959"|"15149065"
"CNV-L"|"No "|"No "|"Very channery loam"|"7932960"|"15297237"
"GR-SL"|"No "|"No "|"Gravelly sandy loam"|"7932960"|"15445409"
"CN-CL"|"No "|"No "|"Channery clay loam"|"7932960"|"15593580"
"SIL"|"No "|"No "|"Silt loam"|"7932961"|"15149066"
"SICL"|"No "|"No "|"Silty clay loam"|"7932961"|"15297238"
"SIL"|"No "|"No "|"Silt loam"|"7932962"|"15445410"
"SICL"|"No "|"No "|"Silty clay loam"|"7932962"|"15593581"
"CN-L"|"No "|"No "|"Channery loam"|"7932963"|"15149067"
"CNV-L"|"No "|"No "|"Very channery loam"|"7932963"|"15297239"
"CN-SIL"|"No "|"No "|"Channery silt loam"|"7932963"|"15445411"
"SIC"|"No "|"No "|"Silty clay"|"7932964"|"15149068"
"C"|"No "|"No "|"Clay"|"7932964"|"15593582"
"UWB"|"No "|"Yes"|"Unweathered bedrock"|"7932985"|"15149078"
"CNV-L"|"No "|"No "|"Very channery loam"|"7932986"|"15297250"
"GR-SL"|"No "|"No "|"Gravelly sandy loam"|"7932986"|"15445422"
"CN-CL"|"No "|"No "|"Channery clay loam"|"7932986"|"15593593"
"FSL"|"No "|"No "|"Fine sandy loam"|"7932987"|"15149079"
"SIL"|"No "|"No "|"Silt loam"|"7932987"|"15297251"
"L"|"No "|"No "|"Loam"|"7932987"|"15445423"
"SIL"|"No "|"Yes"|"Silt loam"|"7932988"|"15593594"
"UWB"|"No "|"Yes"|"Unweathered bedrock"|"7932989"|"15149080"
"SIL"|"No "|"Yes"|"Silt loam"|"7932990"|"15297252"
"FSL"|"No "|"No "|"Fine sandy loam"|"7932991"|"15149081"
"SL"|"No "|"No "|"Sandy loam"|"7932991"|"15445424"
"L"|"No "|"No "|"Loam"|"7932991"|"15593595"
"SIL"|"No "|"No "|"Silt loam"|"7932992"|"15297253"
"SICL"|"No "|"No "|"Silty clay loam"|"7932992"|"15445425"
"SICL"|"No "|"No "|"Silty clay loam"|"7936989"|"15299132"
"SIL"|"No "|"No "|"Silt loam"|"7936989"|"15447304"
"CN-SICL"|"No "|"No "|"Channery silty clay loam"|"7936989"|"15595475"
"WB"|"No "|"Yes"|"Weathered bedrock"|"7936990"|"15150961"
"SIC"|"No "|"No "|"Silty clay"|"7936991"|"15299133"
"CN-SICL"|"No "|"No "|"Channery silty clay loam"|"7936991"|"15447305"
"SICL"|"No "|"No "|"Silty clay loam"|"7936991"|"15595476"
"CN-L"|"No "|"No "|"Channery loam"|"7936992"|"15150962"
"CNV-SIL"|"No "|"No "|"Very channery silt loam"|"7936992"|"15299134"
"CNV-SICL"|"No "|"No "|"Very channery silty clay loam"|"7936992"|"15447306"
"SIC"|"No "|"No "|"Silty clay"|"7936993"|"15150963"
"C"|"No "|"No "|"Clay"|"7936993"|"15299135"
