         27492 function calls (26972 primitive calls) in 53.950 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       67   53.707    0.802   53.707    0.802 {method 'acquire' of '_thread.lock' objects}
       32    0.152    0.005    0.154    0.005 {built-in method posix.fork}
       32    0.005    0.000    0.163    0.005 /usr/lib/python3.10/multiprocessing/popen_fork.py:62(_launch)
       32    0.004    0.000    0.006    0.000 /usr/lib/python3.10/multiprocessing/process.py:80(__init__)
       32    0.004    0.000    0.188    0.006 /usr/lib/python3.10/concurrent/futures/process.py:707(_spawn_process)
       32    0.003    0.000    0.004    0.000 /usr/lib/python3.10/multiprocessing/util.py:186(__init__)
      7/6    0.003    0.000    0.013    0.002 {built-in method _imp.exec_dynamic}
       32    0.003    0.000    0.172    0.005 /usr/lib/python3.10/multiprocessing/context.py:278(_Popen)
       32    0.003    0.000    0.178    0.006 /usr/lib/python3.10/multiprocessing/process.py:110(start)
        7    0.003    0.000    0.003    0.000 {built-in method _imp.create_dynamic}
        2    0.003    0.001    0.003    0.001 /usr/local/lib/python3.10/dist-packages/pyarrow/parquet/core.py:1072(write_table)
       10    0.002    0.000    0.002    0.000 {built-in method marshal.loads}
        2    0.002    0.001    0.002    0.001 /usr/local/lib/python3.10/dist-packages/pyarrow/parquet/core.py:950(__init__)
       32    0.002    0.000    0.167    0.005 /usr/lib/python3.10/multiprocessing/popen_fork.py:15(__init__)
       32    0.001    0.000    0.002    0.000 /usr/lib/python3.10/multiprocessing/util.py:433(_flush_std_streams)
       13    0.001    0.000    0.003    0.000 /usr/lib/python3.10/enum.py:180(__new__)
   115/14    0.001    0.000    0.001    0.000 {built-in method _abc._abc_subclasscheck}
      130    0.001    0.000    0.001    0.000 {built-in method posix.close}
      496    0.001    0.000    0.001    0.000 {built-in method posix.waitpid}
       32    0.001    0.000    0.001    0.000 /usr/lib/python3.10/logging/__init__.py:228(_releaseLock)
3905/3885    0.001    0.000    0.003    0.000 {built-in method builtins.isinstance}
       75    0.001    0.000    0.001    0.000 {built-in method posix.stat}
        6    0.001    0.000    0.001    0.000 {built-in method _thread.start_new_thread}
       62    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:404(parent)
       32    0.001    0.000    0.002    0.000 /usr/lib/python3.10/multiprocessing/process.py:61(_cleanup)
     22/4    0.001    0.000    0.002    0.000 /usr/lib/python3.10/sre_parse.py:494(_parse)
       64    0.001    0.000    0.001    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
      185    0.001    0.000    0.001    0.000 /usr/lib/python3.10/enum.py:89(__setitem__)
       67    0.001    0.000    0.001    0.000 {built-in method posix.pipe}
       32    0.001    0.000    0.001    0.000 {method 'release' of '_thread.RLock' objects}
       10    0.001    0.000    0.001    0.000 {built-in method io.open_code}
      496    0.001    0.000    0.002    0.000 /usr/lib/python3.10/multiprocessing/popen_fork.py:24(poll)
        2    0.001    0.000    0.001    0.001 /usr/local/lib/python3.10/dist-packages/pandas/core/arrays/datetimes.py:397(_generate_range)
        1    0.001    0.001   53.950   53.950 /workdir/wepppy/wepppy/climates/daymet/daily_interpolation.py:51(main)
       33    0.001    0.000    0.003    0.000 {built-in method builtins.__build_class__}
        1    0.000    0.000    0.188    0.188 /usr/lib/python3.10/concurrent/futures/process.py:699(_launch_processes)
      226    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x55fb26c799a0}
       36    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1536(find_spec)
      143    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
       32    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
      690    0.000    0.000    0.000    0.000 /usr/lib/python3.10/sre_parse.py:234(__next)
        2    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/pyarrow/parquet/core.py:1098(close)
       13    0.000    0.000    0.001    0.000 /usr/lib/python3.10/enum.py:222(<setcomp>)
      232    0.000    0.000    0.000    0.000 /usr/lib/python3.10/enum.py:470(__setattr__)
        2    0.000    0.000    0.007    0.004 /usr/local/lib/python3.10/dist-packages/pyarrow/pandas_compat.py:562(dataframe_to_arrays)
       32    0.000    0.000    0.000    0.000 /usr/lib/python3.10/multiprocessing/process.py:189(name)
        1    0.000    0.000    0.207    0.207 /usr/lib/python3.10/concurrent/futures/process.py:771(shutdown)
      664    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
       30    0.000    0.000    0.000    0.000 /usr/lib/python3.10/threading.py:236(__init__)
     26/4    0.000    0.000    0.001    0.000 /usr/lib/python3.10/sre_compile.py:87(_compile)
1570/1441    0.000    0.000    0.000    0.000 {built-in method builtins.len}
        2    0.000    0.000    0.015    0.008 /usr/local/lib/python3.10/dist-packages/pandas/io/parquet.py:173(write)
        4    0.000    0.000    0.004    0.001 /usr/local/lib/python3.10/dist-packages/pandas/core/tools/datetimes.py:456(_array_strptime_with_fallback)
       10    0.000    0.000    0.000    0.000 {method 'read' of '_io.BufferedReader' objects}
        5    0.000    0.000    0.001    0.000 /usr/lib/python3.10/multiprocessing/synchronize.py:50(__init__)
      134    0.000    0.000    0.000    0.000 {built-in method posix.getpid}
    12/10    0.000    0.000    0.002    0.000 /usr/local/lib/python3.10/dist-packages/pandas/core/series.py:389(__init__)
       32    0.000    0.000    0.000    0.000 /usr/lib/python3.10/multiprocessing/process.py:234(ident)
       18    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:921(_find_spec)
        2    0.000    0.000    0.000    0.000 {built-in method io.open}
       32    0.000    0.000    0.000    0.000 /usr/lib/python3.10/logging/__init__.py:219(_acquireLock)
        6    0.000    0.000    0.001    0.000 /usr/lib/python3.10/threading.py:827(__init__)
    68/40    0.000    0.000    0.001    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
      641    0.000    0.000    0.001    0.000 /usr/lib/python3.10/sre_parse.py:255(get)
       22    0.000    0.000    0.002    0.000 /usr/local/lib/python3.10/dist-packages/pandas/core/construction.py:517(sanitize_array)
        3    0.000    0.000    0.000    0.000 {built-in method builtins.eval}
       64    0.000    0.000    0.000    0.000 /usr/lib/python3.10/multiprocessing/process.py:99(_check_closed)
       22    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
        3    0.000    0.000    0.000    0.000 /usr/lib/python3.10/collections/__init__.py:328(namedtuple)
       12    0.000    0.000    0.002    0.000 /usr/local/lib/python3.10/dist-packages/pandas/core/indexes/base.py:475(__new__)
      757    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
      185    0.000    0.000    0.000    0.000 /usr/lib/python3.10/enum.py:44(_is_private)
        1    0.000    0.000    0.001    0.001 /usr/local/lib/python3.10/dist-packages/pyarrow/pandas_compat.py:1(<module>)
      934    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
       15    0.000    0.000   53.500    3.567 /usr/lib/python3.10/threading.py:288(wait)
