site,catchment_id,source_id,policy,full_area_m2,full_cells,valid_equivalent_cells,valid_fraction,known_mean_cm,known_S,full_mean_cm,full_S,status,reason_codes,source_sha256,spatial_sha256,mask_sha256
topanga,nested_1000000,NRCS_2025_mosaic_SDA_snapshot_topanga,strict_soil,982100.0,9821,0.0,0.0,,,,,unavailable,ambiguous_material;incomplete_components;missing_horizons;partial_support,40c8273604ec785446fbf8661c5880591d541e0837a7cee78b20749bf37d137b,accdb61434abafc47fb107fa23c5247836d86d74451ff1eb0ab4c0924d89cbb5,2a62b53665afbfec79e6debef677cbb0e20d741efa6eb17df7d7adc32c73c41f
topanga,terminal,NRCS_2025_mosaic_SDA_snapshot_topanga,all_layers,4991700.0,49917,43085.08,0.8631344031091612,64.32822870469313,0.25326074293186274,,,partial,incomplete_components;missing_horizons;partial_support,40c8273604ec785446fbf8661c5880591d541e0837a7cee78b20749bf37d137b,accdb61434abafc47fb107fa23c5247836d86d74451ff1eb0ab4c0924d89cbb5,aa0dfd0010d9318d2129e3e53d56778681a1ae5dc7abdbc868aa883dd69b94ed
topanga,nested_20000,NRCS_2025_mosaic_SDA_snapshot_topanga,all_layers,20000.0,200,180.0,0.9,62.0,0.2440944881889764,,,partial,incomplete_components;missing_horizons;partial_support,40c8273604ec785446fbf8661c5880591d541e0837a7cee78b20749bf37d137b,accdb61434abafc47fb107fa23c5247836d86d74451ff1eb0ab4c0924d89cbb5,fb048f4cc3c8d40db4fd26452acd3a851c9a377587dfcc7505559880b8208f8e
topanga,nested_100000,NRCS_2025_mosaic_SDA_snapshot_topanga,all_layers,99900.0,999,849.15,0.85,73.23529411764706,0.2883279295970357,,,partial,incomplete_components;missing_horizons;partial_support,40c8273604ec785446fbf8661c5880591d541e0837a7cee78b20749bf37d137b,accdb61434abafc47fb107fa23c5247836d86d74451ff1eb0ab4c0924d89cbb5,9f382ba246ed0506caf014b544b07854eca154ceb41f66e5535c15d8c3e541ee
topanga,nested_1000000,NRCS_2025_mosaic_SDA_snapshot_topanga,all_layers,982100.0,9821,8838.9,0.8999999999999999,61.99999999999999,0.24409448818897636,,,partial,incomplete_components;missing_horizons;partial_support,40c8273604ec785446fbf8661c5880591d541e0837a7cee78b20749bf37d137b,accdb61434abafc47fb107fa23c5247836d86d74451ff1eb0ab4c0924d89cbb5,2a62b53665afbfec79e6debef677cbb0e20d741efa6eb17df7d7adc32c73c41f
az_ponderosa,terminal,NRCS_2025_mosaic_SDA_snapshot_az_ponderosa,strict_soil,22985800.0,229858,201389.80000000002,0.8761487527081938,113.0081354666423,0.44491391916000905,,,partial,ambiguous_material;bedrock_excluded;incomplete_components;missing_horizons;partial_support,24955a5df1c69c442de0af64542c9ffe9c010be12d361f48a54f0ee841937567,5127176618005304b8ecd2e862e39c367666d10b5a4f2375d50cc26abce42f8e,56965ed7564e77eb735c66c075f8b9f0a7fa037169623e5aa067d0be459bd539
az_ponderosa,nested_20000,NRCS_2025_mosaic_SDA_snapshot_az_ponderosa,strict_soil,20000.0,200,198.5,0.9925,122.55667506297229,0.48250659473611135,,,partial,bedrock_excluded;incomplete_components;missing_horizons;partial_support,24955a5df1c69c442de0af64542c9ffe9c010be12d361f48a54f0ee841937567,5127176618005304b8ecd2e862e39c367666d10b5a4f2375d50cc26abce42f8e,7d9d7c9fb70085e73d7594358a379d29879e57b589dd7e42fb3c4990c7e8ac56
az_ponderosa,nested_100000,NRCS_2025_mosaic_SDA_snapshot_az_ponderosa,strict_soil,100000.0,1000,926.5,0.9265,121.73853211009174,0.4792855594885502,,,partial,bedrock_excluded;incomplete_components;missing_horizons;partial_support,24955a5df1c69c442de0af64542c9ffe9c010be12d361f48a54f0ee841937567,5127176618005304b8ecd2e862e39c367666d10b5a4f2375d50cc26abce42f8e,9bbc5da73e09cdcaf53ac19a0964bdd26e535cbd5a65c423d02208317c27654d
az_ponderosa,nested_1000000,NRCS_2025_mosaic_SDA_snapshot_az_ponderosa,strict_soil,1001600.0,10016,9211.5,0.9196785143769968,121.12983770287141,0.4768891248144544,,,partial,bedrock_excluded;incomplete_components;missing_horizons;partial_support,24955a5df1c69c442de0af64542c9ffe9c010be12d361f48a54f0ee841937567,5127176618005304b8ecd2e862e39c367666d10b5a4f2375d50cc26abce42f8e,426ed39431a438abd24edea497fd06404fb59738908ca3fd55e4f630aea5a88f
az_ponderosa,terminal,NRCS_2025_mosaic_SDA_snapshot_az_ponderosa,all_layers,22985800.0,229858,207208.75,0.9014641648322007,153.3495412235246,0.6037383512737189,,,partial,incomplete_components;missing_horizons;partial_support,24955a5df1c69c442de0af64542c9ffe9c010be12d361f48a54f0ee841937567,5127176618005304b8ecd2e862e39c367666d10b5a4f2375d50cc26abce42f8e,56965ed7564e77eb735c66c075f8b9f0a7fa037169623e5aa067d0be459bd539
az_ponderosa,nested_20000,NRCS_2025_mosaic_SDA_snapshot_az_ponderosa,all_layers,20000.0,200,198.5,0.9925,135.02770780856423,0.5316051488526151,,,partial,incomplete_components;missing_horizons;partial_support,24955a5df1c69c442de0af64542c9ffe9c010be12d361f48a54f0ee841937567,5127176618005304b8ecd2e862e39c367666d10b5a4f2375d50cc26abce42f8e,7d9d7c9fb70085e73d7594358a379d29879e57b589dd7e42fb3c4990c7e8ac56
az_ponderosa,nested_100000,NRCS_2025_mosaic_SDA_snapshot_az_ponderosa,all_layers,100000.0,1000,926.5,0.9265,125.38532110091744,0.49364299646030485,,,partial,incomplete_components;missing_horizons;partial_support,24955a5df1c69c442de0af64542c9ffe9c010be12d361f48a54f0ee841937567,5127176618005304b8ecd2e862e39c367666d10b5a4f2375d50cc26abce42f8e,9bbc5da73e09cdcaf53ac19a0964bdd26e535cbd5a65c423d02208317c27654d
az_ponderosa,nested_1000000,NRCS_2025_mosaic_SDA_snapshot_az_ponderosa,all_layers,1001600.0,10016,9211.5,0.9196785143769968,127.75914888997448,0.5029887751573798,,,partial,incomplete_components;missing_horizons;partial_support,24955a5df1c69c442de0af64542c9ffe9c010be12d361f48a54f0ee841937567,5127176618005304b8ecd2e862e39c367666d10b5a4f2375d50cc26abce42f8e,426ed39431a438abd24edea497fd06404fb59738908ca3fd55e4f630aea5a88f
