site,policy,mukey,cokey,compname,comppct_r,thickness_cm,status,reason_codes,horizon_count,interval_sum_cm,interval_union_cm,deepest_bottom_cm
moscow_mountain,strict_soil,1689256,26387394,Lado,15.0,152.0,valid,,7,152.0,152.0,152.0
moscow_mountain,strict_soil,1689256,26387395,Vassar,20.0,,unavailable,ambiguous_material,6,152.0,152.0,152.0
moscow_mountain,strict_soil,1689256,26387396,Jacot,50.0,155.0,valid,,6,155.0,155.0,155.0
moscow_mountain,strict_soil,1689257,26387397,Aldermand,15.0,152.0,valid,,6,152.0,152.0,152.0
moscow_mountain,strict_soil,1689257,26387398,Vassar,40.0,,unavailable,ambiguous_material,6,152.0,152.0,152.0
moscow_mountain,strict_soil,1689257,26387399,Jacot,25.0,155.0,valid,,6,155.0,155.0,155.0
moscow_mountain,strict_soil,1689258,26387400,Vassar,60.0,,unavailable,ambiguous_material,6,152.0,152.0,152.0
moscow_mountain,strict_soil,1689258,26387401,Jacot,30.0,155.0,valid,,6,155.0,155.0,155.0
moscow_mountain,strict_soil,1689263,26387402,Joel,90.0,155.0,valid,,5,155.0,155.0,155.0
moscow_mountain,strict_soil,1689264,26387403,Carrico,45.0,,unavailable,ambiguous_material,7,152.0,152.0,152.0
moscow_mountain,strict_soil,1689264,26387404,Micapeak,35.0,,unavailable,ambiguous_material,5,152.0,152.0,152.0
moscow_mountain,strict_soil,1689265,26387405,Micapeak,35.0,,unavailable,ambiguous_material,5,152.0,152.0,152.0
moscow_mountain,strict_soil,1689265,26387406,Micapeak,15.0,,unavailable,ambiguous_material,5,152.0,152.0,152.0
moscow_mountain,strict_soil,1689265,26387407,Carrico,25.0,,unavailable,ambiguous_material,7,152.0,152.0,152.0
moscow_mountain,strict_soil,1689266,26387408,Micapeak,55.0,,unavailable,ambiguous_material,5,152.0,152.0,152.0
moscow_mountain,strict_soil,1689266,26387409,Carrico,20.0,,unavailable,ambiguous_material,7,152.0,152.0,152.0
moscow_mountain,strict_soil,1689267,26387410,Bouldercreek,60.0,152.0,valid,,7,152.0,152.0,152.0
moscow_mountain,strict_soil,1689267,26387411,Weitas,20.0,152.0,valid,,5,152.0,152.0,152.0
moscow_mountain,strict_soil,1689270,26387412,Keeler,20.0,152.0,valid,,5,152.0,152.0,152.0
moscow_mountain,strict_soil,1689270,26387413,Cobbler,30.0,173.0,valid,,8,173.0,173.0,173.0
moscow_mountain,strict_soil,1689270,26387414,Carrico,35.0,,unavailable,ambiguous_material,7,152.0,152.0,152.0
moscow_mountain,strict_soil,1689271,26387415,Kruse,60.0,152.0,valid,,7,152.0,152.0,152.0
moscow_mountain,strict_soil,1689271,26387416,Brodeer,30.0,150.0,valid,,5,150.0,150.0,150.0
moscow_mountain,strict_soil,1689275,26387417,Micapeak,35.0,,unavailable,ambiguous_material,5,152.0,152.0,152.0
moscow_mountain,strict_soil,1689275,26387418,Quinnamose,20.0,,unavailable,ambiguous_material,7,152.0,152.0,152.0
moscow_mountain,strict_soil,1689275,26387419,Cobbler,40.0,173.0,valid,,8,173.0,173.0,173.0
