site,policy,mukey,mean_cm,known_percentage,valid_percentage,nonsoil_percentage,omitted_percentage,valid_fraction,status,reason_codes
moscow_mountain,strict_soil,1387521,152.0,70.0,70.0,0,30.0,0.7,partial,incomplete_components
moscow_mountain,strict_soil,1387525,,75.0,0,0,100,0.0,unavailable,ambiguous_material;incomplete_components
moscow_mountain,strict_soil,1487706,152.0,80.0,80.0,0,20.0,0.8,partial,incomplete_components
moscow_mountain,strict_soil,1487712,152.0,75.0,75.0,0,25.0,0.75,partial,incomplete_components
moscow_mountain,strict_soil,1487714,150.0,80.0,80.0,0,20.0,0.8,partial,incomplete_components
moscow_mountain,strict_soil,1487716,152.0,80.0,80.0,0,20.0,0.8,partial,incomplete_components
moscow_mountain,strict_soil,1689249,152.0,70.0,25.0,0,75.0,0.25,partial,ambiguous_material;incomplete_components
moscow_mountain,strict_soil,1689255,154.0,95.0,75.0,0,25.0,0.75,partial,ambiguous_material;incomplete_components
moscow_mountain,strict_soil,1689256,154.30769230769232,85.0,65.0,0,35.0,0.65,partial,ambiguous_material;incomplete_components
moscow_mountain,strict_soil,1689257,153.875,80.0,40.0,0,60.0,0.4,partial,ambiguous_material;incomplete_components
moscow_mountain,strict_soil,1689258,155.0,90.0,30.0,0,70.0,0.3,partial,ambiguous_material;incomplete_components
moscow_mountain,strict_soil,1689263,155.0,90.0,90.0,0,10.0,0.9,partial,incomplete_components
moscow_mountain,strict_soil,1689264,,80.0,0,0,100,0.0,unavailable,ambiguous_material;incomplete_components
moscow_mountain,strict_soil,1689265,,75.0,0,0,100,0.0,unavailable,ambiguous_material;incomplete_components
moscow_mountain,strict_soil,1689266,,75.0,0,0,100,0.0,unavailable,ambiguous_material;incomplete_components
moscow_mountain,strict_soil,1689267,152.0,80.0,80.0,0,20.0,0.8,partial,incomplete_components
moscow_mountain,strict_soil,1689270,164.6,85.0,50.0,0,50.0,0.5,partial,ambiguous_material;incomplete_components
moscow_mountain,strict_soil,1689271,151.33333333333334,90.0,90.0,0,10.0,0.9,partial,incomplete_components
moscow_mountain,strict_soil,1689275,173.0,95.0,40.0,0,60.0,0.4,partial,ambiguous_material;incomplete_components
moscow_mountain,strict_soil,1689277,152.0,90.0,90.0,0,10.0,0.9,partial,incomplete_components
moscow_mountain,strict_soil,1689280,152.0,75.0,75.0,0,25.0,0.75,partial,incomplete_components
moscow_mountain,strict_soil,2375734,152.0,80.0,80.0,0,20.0,0.8,partial,incomplete_components
moscow_mountain,strict_soil,2437917,152.0,100.0,100.0,0,0,1.0,complete,
moscow_mountain,strict_soil,2487253,168.28571428571428,70.0,70.0,0,30.0,0.7,partial,incomplete_components
moscow_mountain,strict_soil,2487255,152.0,90.0,90.0,0,10.0,0.9,partial,incomplete_components
moscow_mountain,strict_soil,2487260,152.0,90.0,90.0,0,10.0,0.9,partial,incomplete_components
moscow_mountain,strict_soil,2487269,162.0,85.0,85.0,0,15.0,0.85,partial,incomplete_components
moscow_mountain,strict_soil,2487272,151.83333333333334,95.0,60.0,0,40.0,0.6,partial,incomplete_components;thickness_conflict
moscow_mountain,strict_soil,2487290,152.0,85.0,85.0,0,15.0,0.85,partial,incomplete_components
moscow_mountain,strict_soil,2487291,152.0,85.0,85.0,0,15.0,0.85,partial,incomplete_components
moscow_mountain,strict_soil,2501171,171.10526315789474,95.0,95.0,0,5.0,0.95,partial,incomplete_components
moscow_mountain,strict_soil,2501175,156.1764705882353,85.0,85.0,0,15.0,0.85,partial,incomplete_components
moscow_mountain,strict_soil,644246,154.10526315789474,95.0,95.0,0,5.0,0.95,partial,incomplete_components
moscow_mountain,strict_soil,644262,153.58823529411765,85.0,85.0,0,15.0,0.85,partial,incomplete_components
moscow_mountain,strict_soil,644802,152.0,80.0,60.0,0,40.0,0.6,partial,ambiguous_material;incomplete_components
moscow_mountain,strict_soil,644804,152.0,85.0,20.0,0,80.0,0.2,partial,ambiguous_material;incomplete_components
moscow_mountain,strict_soil,644904,158.11111111111111,90.0,90.0,0,10.0,0.9,partial,incomplete_components
moscow_mountain,strict_soil,644910,154.14285714285714,70.0,70.0,0,30.0,0.7,partial,incomplete_components
moscow_mountain,strict_soil,644912,155.0,80.0,80.0,0,20.0,0.8,partial,incomplete_components
moscow_mountain,strict_soil,645296,152.0,85.0,85.0,0,15.0,0.85,partial,incomplete_components
moscow_mountain,strict_soil,645304,152.0,75.0,75.0,0,25.0,0.75,partial,incomplete_components
moscow_mountain,strict_soil,678582,159.11764705882354,85.0,85.0,0,15.0,0.85,partial,incomplete_components
moscow_mountain,strict_soil,682651,152.0,75.0,75.0,0,25.0,0.75,partial,incomplete_components
moscow_mountain,strict_soil,814010,155.0,100.0,55.0,0,45.0,0.55,partial,ambiguous_material;incomplete_components
moscow_mountain,all_layers,1387521,152.0,70.0,70.0,0,30.0,0.7,partial,incomplete_components
moscow_mountain,all_layers,1387525,152.0,75.0,75.0,0,25.0,0.75,partial,incomplete_components
moscow_mountain,all_layers,1487706,152.0,80.0,80.0,0,20.0,0.8,partial,incomplete_components
moscow_mountain,all_layers,1487712,152.0,75.0,75.0,0,25.0,0.75,partial,incomplete_components
moscow_mountain,all_layers,1487714,150.0,80.0,80.0,0,20.0,0.8,partial,incomplete_components
moscow_mountain,all_layers,1487716,152.0,80.0,80.0,0,20.0,0.8,partial,incomplete_components
moscow_mountain,all_layers,1689249,152.0,70.0,70.0,0,30.0,0.7,partial,incomplete_components
moscow_mountain,all_layers,1689255,153.57894736842104,95.0,95.0,0,5.0,0.95,partial,incomplete_components
moscow_mountain,all_layers,1689256,153.76470588235293,85.0,85.0,0,15.0,0.85,partial,incomplete_components
moscow_mountain,all_layers,1689257,152.9375,80.0,80.0,0,20.0,0.8,partial,incomplete_components
moscow_mountain,all_layers,1689258,153.0,90.0,90.0,0,10.0,0.9,partial,incomplete_components
moscow_mountain,all_layers,1689263,155.0,90.0,90.0,0,10.0,0.9,partial,incomplete_components
moscow_mountain,all_layers,1689264,152.0,80.0,80.0,0,20.0,0.8,partial,incomplete_components
moscow_mountain,all_layers,1689265,152.0,75.0,75.0,0,25.0,0.75,partial,incomplete_components
moscow_mountain,all_layers,1689266,152.0,75.0,75.0,0,25.0,0.75,partial,incomplete_components
moscow_mountain,all_layers,1689267,152.0,80.0,80.0,0,20.0,0.8,partial,incomplete_components
moscow_mountain,all_layers,1689270,159.41176470588235,85.0,85.0,0,15.0,0.85,partial,incomplete_components
moscow_mountain,all_layers,1689271,151.33333333333334,90.0,90.0,0,10.0,0.9,partial,incomplete_components
moscow_mountain,all_layers,1689275,160.8421052631579,95.0,95.0,0,5.0,0.95,partial,incomplete_components
moscow_mountain,all_layers,1689277,152.0,90.0,90.0,0,10.0,0.9,partial,incomplete_components
moscow_mountain,all_layers,1689280,152.0,75.0,75.0,0,25.0,0.75,partial,incomplete_components
moscow_mountain,all_layers,2375734,152.0,80.0,80.0,0,20.0,0.8,partial,incomplete_components
moscow_mountain,all_layers,2437917,152.0,100.0,100.0,0,0,1.0,complete,
moscow_mountain,all_layers,2487253,168.28571428571428,70.0,70.0,0,30.0,0.7,partial,incomplete_components
moscow_mountain,all_layers,2487255,152.0,90.0,90.0,0,10.0,0.9,partial,incomplete_components
moscow_mountain,all_layers,2487260,152.0,90.0,90.0,0,10.0,0.9,partial,incomplete_components
moscow_mountain,all_layers,2487269,162.0,85.0,85.0,0,15.0,0.85,partial,incomplete_components
moscow_mountain,all_layers,2487272,151.83333333333334,95.0,60.0,0,40.0,0.6,partial,incomplete_components;thickness_conflict
moscow_mountain,all_layers,2487290,152.0,85.0,85.0,0,15.0,0.85,partial,incomplete_components
moscow_mountain,all_layers,2487291,152.0,85.0,85.0,0,15.0,0.85,partial,incomplete_components
moscow_mountain,all_layers,2501171,171.10526315789474,95.0,95.0,0,5.0,0.95,partial,incomplete_components
moscow_mountain,all_layers,2501175,156.1764705882353,85.0,85.0,0,15.0,0.85,partial,incomplete_components
moscow_mountain,all_layers,644246,154.10526315789474,95.0,95.0,0,5.0,0.95,partial,incomplete_components
moscow_mountain,all_layers,644262,153.58823529411765,85.0,85.0,0,15.0,0.85,partial,incomplete_components
moscow_mountain,all_layers,644802,152.0,80.0,80.0,0,20.0,0.8,partial,incomplete_components
moscow_mountain,all_layers,644804,152.0,85.0,85.0,0,15.0,0.85,partial,incomplete_components
moscow_mountain,all_layers,644904,158.11111111111111,90.0,90.0,0,10.0,0.9,partial,incomplete_components
moscow_mountain,all_layers,644910,154.14285714285714,70.0,70.0,0,30.0,0.7,partial,incomplete_components
moscow_mountain,all_layers,644912,155.0,80.0,80.0,0,20.0,0.8,partial,incomplete_components
moscow_mountain,all_layers,645296,152.0,85.0,85.0,0,15.0,0.85,partial,incomplete_components
moscow_mountain,all_layers,645304,152.0,75.0,75.0,0,25.0,0.75,partial,incomplete_components
moscow_mountain,all_layers,678582,159.11764705882354,85.0,85.0,0,15.0,0.85,partial,incomplete_components
moscow_mountain,all_layers,682651,152.0,75.0,75.0,0,25.0,0.75,partial,incomplete_components
moscow_mountain,all_layers,814010,153.65,100.0,100.0,0,0,1.0,complete,
topanga,strict_soil,456007,152.0,100.0,5.0,0,95.0,0.05,partial,ambiguous_material;incomplete_components;missing_horizons
topanga,strict_soil,456024,38.0,100.0,90.0,0,10.0,0.9,partial,bedrock_excluded;incomplete_components;missing_horizons
topanga,strict_soil,456042,,100.0,0,0,100,0.0,unavailable,ambiguous_material;incomplete_components;missing_horizons
topanga,strict_soil,469823,96.0,100.0,15.0,0,85.0,0.15,partial,ambiguous_material;bedrock_excluded;incomplete_components;missing_horizons
topanga,strict_soil,469935,152.0,100.0,92.0,0,8.0,0.92,partial,incomplete_components;missing_horizons
topanga,strict_soil,469954,,100.0,0,0,100,0.0,unavailable,ambiguous_material;incomplete_components;missing_horizons
topanga,strict_soil,469961,,100.0,0,0,100,0.0,unavailable,ambiguous_material;incomplete_components;missing_horizons
topanga,strict_soil,469988,96.0,100.0,85.0,0,15.0,0.85,partial,ambiguous_material;bedrock_excluded;incomplete_components
topanga,strict_soil,469990,96.0,100.0,20.0,0,80.0,0.2,partial,bedrock_excluded;incomplete_components;missing_horizons
topanga,strict_soil,469993,152.0,100.0,5.0,0,95.0,0.05,partial,ambiguous_material;incomplete_components;missing_horizons
topanga,strict_soil,735080,96.0,100.0,15.0,0,85.0,0.15,partial,ambiguous_material;bedrock_excluded;incomplete_components;missing_horizons
topanga,strict_soil,735089,,100.0,0,0,100,0.0,unavailable,ambiguous_material;incomplete_components;missing_horizons
topanga,strict_soil,747704,,100.0,0,0,100,0.0,unavailable,ambiguous_material;incomplete_components;missing_horizons
topanga,all_layers,456007,197.33333333333334,100.0,90.0,0,10.0,0.9,partial,incomplete_components;missing_horizons
topanga,all_layers,456024,63.0,100.0,90.0,0,10.0,0.9,partial,incomplete_components;missing_horizons
topanga,all_layers,456042,113.05263157894737,100.0,95.0,0,5.0,0.95,partial,incomplete_components;missing_horizons
topanga,all_layers,469823,73.23529411764706,100.0,85.0,0,15.0,0.85,partial,incomplete_components;missing_horizons
topanga,all_layers,469935,152.0,100.0,92.0,0,8.0,0.92,partial,incomplete_components;missing_horizons
topanga,all_layers,469954,62.0,100.0,90.0,0,10.0,0.9,partial,incomplete_components;missing_horizons
topanga,all_layers,469961,53.093023255813954,100.0,86.0,0,14.0,0.86,partial,incomplete_components;missing_horizons
topanga,all_layers,469988,122.35,100.0,100.0,0,0,1.0,complete,
topanga,all_layers,469990,121.0,100.0,20.0,0,80.0,0.2,partial,incomplete_components;missing_horizons
topanga,all_layers,469993,197.33333333333334,100.0,90.0,0,10.0,0.9,partial,incomplete_components;missing_horizons
topanga,all_layers,735080,73.23529411764706,100.0,85.0,0,15.0,0.85,partial,incomplete_components;missing_horizons
topanga,all_layers,735089,154.66666666666666,100.0,60.0,0,40.0,0.6,partial,incomplete_components;missing_horizons
topanga,all_layers,747704,62.0,100.0,90.0,0,10.0,0.9,partial,incomplete_components;missing_horizons
az_ponderosa,strict_soil,2721103,147.85,100.0,100.0,0,0,1.0,complete,bedrock_excluded
az_ponderosa,strict_soil,2721109,152.64646464646464,100.0,99.0,0,1.0,0.99,partial,incomplete_components;missing_horizons
az_ponderosa,strict_soil,2721113,121.64285714285714,100.0,98.0,0,2.0,0.98,partial,bedrock_excluded;incomplete_components;missing_horizons
az_ponderosa,strict_soil,2721150,,100.0,0,0,100,0.0,unavailable,incomplete_components;missing_horizons
az_ponderosa,strict_soil,2934232,140.0,100.0,50.0,0,50.0,0.5,partial,bedrock_excluded;incomplete_components;missing_horizons
az_ponderosa,strict_soil,2934242,148.21428571428572,100.0,70.0,0,30.0,0.7,partial,bedrock_excluded;incomplete_components;missing_horizons
az_ponderosa,strict_soil,2934247,55.5,100.0,60.0,0,40.0,0.6,partial,ambiguous_material;bedrock_excluded;incomplete_components;missing_horizons
az_ponderosa,strict_soil,2934254,151.6,100.0,100.0,0,0,1.0,complete,bedrock_excluded
az_ponderosa,strict_soil,2934256,150.0,100.0,70.0,0,30.0,0.7,partial,bedrock_excluded;incomplete_components;missing_horizons
az_ponderosa,strict_soil,2934269,152.0,100.0,85.0,0,15.0,0.85,partial,bedrock_excluded;incomplete_components;missing_horizons
az_ponderosa,strict_soil,2934312,131.9,100.0,100.0,0,0,1.0,complete,bedrock_excluded
az_ponderosa,strict_soil,2934319,110.0,100.0,85.0,0,15.0,0.85,partial,incomplete_components;missing_horizons
az_ponderosa,strict_soil,2934354,140.1764705882353,100.0,85.0,0,15.0,0.85,partial,ambiguous_material;bedrock_excluded;incomplete_components
az_ponderosa,strict_soil,2934358,122.3157894736842,100.0,95.0,0,5.0,0.95,partial,incomplete_components;missing_horizons
az_ponderosa,strict_soil,2934373,102.0,100.0,80.0,0,20.0,0.8,partial,incomplete_components;missing_horizons
az_ponderosa,strict_soil,2934380,152.0,100.0,100.0,0,0,1.0,complete,bedrock_excluded
az_ponderosa,strict_soil,2934382,112.65,100.0,100.0,0,0,1.0,complete,bedrock_excluded
az_ponderosa,strict_soil,2934384,103.41176470588235,100.0,85.0,0,15.0,0.85,partial,bedrock_excluded;incomplete_components;missing_horizons
az_ponderosa,strict_soil,2934385,101.76470588235294,100.0,85.0,0,15.0,0.85,partial,ambiguous_material;bedrock_excluded;incomplete_components
az_ponderosa,strict_soil,2934386,47.94117647058823,100.0,85.0,0,15.0,0.85,partial,bedrock_excluded;incomplete_components;missing_horizons
az_ponderosa,strict_soil,2934390,152.0,100.0,90.0,0,10.0,0.9,partial,bedrock_excluded;incomplete_components;missing_horizons
az_ponderosa,strict_soil,2934391,150.375,100.0,80.0,0,20.0,0.8,partial,bedrock_excluded;incomplete_components;missing_horizons
az_ponderosa,strict_soil,2934392,144.05,100.0,100.0,0,0,1.0,complete,bedrock_excluded
az_ponderosa,strict_soil,2934394,122.75,100.0,100.0,0,0,1.0,complete,bedrock_excluded
az_ponderosa,strict_soil,2934395,121.33333333333333,100.0,90.0,0,10.0,0.9,partial,incomplete_components;missing_horizons
az_ponderosa,strict_soil,2934397,113.0,100.0,100.0,0,0,1.0,complete,
az_ponderosa,strict_soil,2934398,114.0,100.0,90.0,0,10.0,0.9,partial,incomplete_components;missing_horizons
az_ponderosa,strict_soil,2934401,79.6,100.0,75.0,0,25.0,0.75,partial,bedrock_excluded;incomplete_components;missing_horizons
az_ponderosa,strict_soil,2934404,127.8,100.0,100.0,0,0,1.0,complete,
az_ponderosa,strict_soil,2934408,118.23529411764706,100.0,85.0,0,15.0,0.85,partial,bedrock_excluded;incomplete_components;missing_horizons
az_ponderosa,strict_soil,2934410,152.0,100.0,95.0,0,5.0,0.95,partial,bedrock_excluded;incomplete_components;missing_horizons
az_ponderosa,strict_soil,2934430,122.77777777777777,100.0,90.0,0,10.0,0.9,partial,incomplete_components;missing_horizons
az_ponderosa,strict_soil,2934443,,100.0,0,0,100,0.0,unavailable,ambiguous_material;incomplete_components;missing_horizons
az_ponderosa,strict_soil,2934483,122.16666666666667,100.0,90.0,0,10.0,0.9,partial,ambiguous_material;bedrock_excluded;incomplete_components;missing_horizons
az_ponderosa,strict_soil,2934511,158.9,100.0,100.0,0,0,1.0,complete,
az_ponderosa,strict_soil,2934513,153.43,100.0,100.0,0,0,1.0,complete,bedrock_excluded
az_ponderosa,strict_soil,2934520,69.66666666666667,100.0,24.0,0,76.0,0.24,partial,ambiguous_material;bedrock_excluded;incomplete_components;missing_horizons
az_ponderosa,strict_soil,2934522,218.01020408163265,100.0,98.0,0,2.0,0.98,partial,incomplete_components;missing_horizons
az_ponderosa,strict_soil,2934581,240.31632653061226,100.0,98.0,0,2.0,0.98,partial,bedrock_excluded;incomplete_components;missing_horizons
az_ponderosa,strict_soil,2934582,230.3,100.0,100.0,0,0,1.0,complete,
az_ponderosa,strict_soil,2934586,152.13333333333333,100.0,90.0,0,10.0,0.9,partial,ambiguous_material;incomplete_components;missing_horizons
az_ponderosa,strict_soil,2934600,152.0,100.0,85.0,0,15.0,0.85,partial,incomplete_components;missing_horizons
az_ponderosa,strict_soil,2942447,64.06,100.0,50.0,0,50.0,0.5,partial,bedrock_excluded;incomplete_components;missing_horizons
az_ponderosa,strict_soil,2942453,86.75862068965517,100.0,58.0,0,42.0,0.58,partial,ambiguous_material;bedrock_excluded;incomplete_components;missing_horizons
az_ponderosa,strict_soil,2942481,122.70588235294117,100.0,85.0,0,15.0,0.85,partial,bedrock_excluded;incomplete_components;missing_horizons
az_ponderosa,strict_soil,2942502,152.65,100.0,100.0,0,0,1.0,complete,
