 Dist. Downslope Elevation Soil Loss

   (meters)   (meters)  (kg/m**2)

      1.114     41.888      0.000
      2.228     41.424      0.000
      3.342     40.952      0.000
      4.456     40.472      0.003
      5.570     39.984      0.009
      6.684     39.489      0.017
      7.798     38.986      0.024
      8.912     38.475      0.032
     10.026     37.956      0.040
     11.140     37.430      0.047
     12.254     36.900      0.054
     13.368     36.369      0.061
     14.482     35.838      0.067
     15.596     35.306      0.074
     16.710     34.774      0.080
     17.824     34.241      0.086
     18.938     33.707      0.093
     20.052     33.173      0.099
     21.166     32.638      0.105
     22.280     32.103      0.112
     23.394     31.569      0.118
     24.508     31.039      0.123
     25.622     30.512      0.129
     26.736     29.988      0.134
     27.850     29.468      0.139
     28.964     28.951      0.144
     30.078     28.438      0.149
     31.192     27.928      0.154
     32.306     27.421      0.159
     33.420     26.917      0.164
     34.534     26.417      0.169
     35.648     25.921      0.173
     36.762     25.428      0.178
     37.876     24.938      0.182
     38.990     24.451      0.187
     40.104     23.968      0.191
     41.218     23.489      0.196
     42.332     23.012      0.200
     43.446     22.539      0.204
     44.560     22.070      0.208
     45.674     21.604      0.212
     46.788     21.141      0.216
     47.902     20.682      0.220
     49.016     20.226      0.224
     50.130     19.773      0.227
     51.244     19.324      0.231
     52.358     18.878      0.234
     53.472     18.435      0.238
     54.586     17.996      0.241
     55.700     17.561      0.244
     56.814     17.129      0.247
     57.928     16.704      0.249
     59.042     16.284      0.250
     60.156     15.870      0.251
     61.270     15.462      0.253
     62.384     15.059      0.254
     63.498     14.662      0.254
     64.612     14.271      0.255
     65.726     13.886      0.256
     66.840     13.506      0.256
     67.954     13.132      0.257
     69.068     12.764      0.257
     70.182     12.401      0.257
     71.296     12.044      0.257
     72.410     11.693      0.257
     73.524     11.348      0.257
     74.638     11.008      0.256
     75.752     10.674      0.256
     76.866     10.346      0.255
     77.980     10.023      0.254
     79.094      9.704      0.255
     80.208      9.384      0.259
     81.322      9.065      0.263
     82.436      8.746      0.266
     83.550      8.428      0.270
     84.664      8.110      0.273
     85.778      7.792      0.277
     86.892      7.474      0.280
     88.006      7.157      0.284
     89.120      6.839      0.287
     90.234      6.520      0.293
     91.348      6.198      0.300
     92.462      5.871      0.308
     93.576      5.541      0.315
     94.690      5.208      0.323
     95.804      4.870      0.331
     96.918      4.529      0.338
     98.032      4.184      0.346
     99.146      3.835      0.354
    100.260      3.482      0.363
    101.374      3.129      0.368
    102.488      2.776      0.371
    103.602      2.425      0.374
    104.716      2.075      0.377
    105.830      1.726      0.379
    106.944      1.378      0.382
    108.058      1.032      0.385
    109.172      0.687      0.388
    110.286      0.343      0.390
    111.400     -0.000      0.393
