 EVENT OUTPUT
  day   mo  year Precp  Runoff  IR-det Av-det Mx-det  Point  Av-dep Max-dep  Point Sed.Del    ER  Det-Len Dep-Len
  ---   --  ----  (mm)    (mm)  kg/m^2 kg/m^2 kg/m^2    (m)  kg/m^2  kg/m^2    (m)  (kg/m)  ----    (m)    (m)
    9    1     1  76.0    21.3   0.000   0.02   0.04  111.4    0.00    0.00    0.0     1.4  1.00  74.638   0.000
   10    1     1  34.9    32.8   0.000   0.03   0.04  111.4    0.00    0.00    0.0     2.8  1.00 109.172   0.000
   11    1     1  41.6    39.6   0.000   0.05   0.09  111.4    0.00    0.00    0.0     5.5  1.00 100.260   0.000
   12    1     1  13.1    11.3   0.000   0.01   0.01  111.4    0.00    0.00    0.0     0.2  1.00  26.736   0.000
   13    1     1   9.4     7.7   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00   0.000   0.000
   14    1     1   7.9     6.2   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00   0.000   0.000
   15    1     1   8.9     7.1   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00   0.000   0.000
   16    1     1   7.1     5.2   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00   0.000   0.000
   17    1     1   5.1     2.8   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00   0.000   0.000
   18    1     1   4.1     1.3   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00   0.000   0.000
   28    1     1  68.1    44.8   0.000   0.06   0.11  111.4    0.00    0.00    0.0     5.4  1.00  91.348   0.000
   29    1     1  41.1    38.8   0.000   0.02   0.04  111.4    0.00    0.00    0.0     0.5  1.00  22.280   0.000
   13    2     1  66.0    29.0   0.000   0.02   0.03  111.4    0.00    0.00    0.0     2.4  1.00 110.286   0.000
   14    2     1  82.4    79.5   0.000   0.08   0.14  111.4    0.00    0.00    0.0     9.1  1.00 108.058   0.000
   15    2     1 115.7   113.0   0.000   0.12   0.19  111.4    0.00    0.00    0.0    12.8  1.00 108.058   0.000
   16    2     1  54.3    51.6   0.000   0.05   0.09  111.4    0.00    0.00    0.0     5.8  1.00 108.058   0.000
   17    2     1  54.8    52.3   0.000   0.06   0.11  111.4    0.00    0.00    0.0     6.9  1.00 105.830   0.000
   18    2     1  55.1    52.6   0.000   0.06   0.09  111.4    0.00    0.00    0.0     6.1  1.00 108.058   0.000
   19    2     1  20.2    17.2   0.000   0.00   0.00  111.4    0.00    0.00    0.0     0.0  1.00   4.456   0.000
   20    2     1  18.7    15.6   0.000   0.01   0.02  111.4    0.00    0.00    0.0     0.2  1.00  23.394   0.000
   21    2     1   8.9     5.9   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00   0.000   0.000
    2    3     1  64.1    41.0   0.000   0.04   0.07  111.4    0.00    0.00    0.0     4.7  1.00 108.058   0.000
    3    3     1  21.4    18.1   0.000   0.02   0.03  111.4    0.00    0.00    0.0     2.1  1.00 108.058   0.000
    5    3     1  30.9    26.1   0.000   0.03   0.04  111.4    0.00    0.00    0.0     3.0  1.00 108.058   0.000
    6    3     1  10.2     7.3   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00   0.000   0.000
   28    1     2  57.1     5.7   0.000   0.01   0.01  111.4    0.00    0.00    0.0     0.8  1.00  99.146   0.000
   29    1     2  18.9     4.7   0.000   0.01   0.01  111.4    0.00    0.00    0.0     0.6  1.00  95.804   0.000
    1    3     2  50.1    29.7   0.000   0.04   0.07  111.4    0.00    0.00    0.0     4.0  1.00  96.918   0.000
