 OFE DD MM YYYY  Precip   Runoff   EffInt PeakRO  EffDur Enrich    Keff   Sm  LeafArea  CanHgt  Cancov IntCov  RilCov  LivBio DeadBio  Ki    Kr     Tcrit RilWid   SedLeave
 na  na na  na     mm       mm     mm/h    mm/h      h    Ratio    mm/h   mm    Index    m       %       %       %     Kg/m^2  Kg/m^2  na    na      na     m       kg/m
  1  1  1    1    0.000    0.000   0.000   0.000   0.000 0.000  20.000 103.876   1.128  0.227   70.000   90.000   55.000    0.086  0.438  0.030  0.017  2.000  0.150    0.000
  1  9  1    1   76.000   21.272   0.000   2.996   7.100 1.001  20.000 165.765   1.128  0.227   70.000   90.000   55.000    0.086  0.438  0.030  0.017  2.000  0.150    1.432
  1 10  1    1   34.900   32.828  25.341 121.044   0.271 1.001  20.000 166.196   1.128  0.227   70.000   90.000   55.000    0.086  0.438  0.030  0.017  2.000  0.256    2.849
  1 11  1    1   41.600   39.600   0.000  14.667   2.700 1.001  20.000 165.980   1.128  0.227   70.000   90.000   55.000    0.086  0.422  0.030  0.017  2.000  0.256    5.497
  1 12  1    1   13.100   11.341   0.000   3.240   3.500 1.001  20.000 166.255   1.128  0.227   70.000   90.000   55.000    0.086  0.422  0.030  0.017  2.000  0.256    0.202
  1 13  1    1    9.400    7.692   0.000   2.262   3.400 1.001  20.000 166.120   1.128  0.227   70.000   90.000   55.000    0.086  0.422  0.030  0.017  2.000  0.256    0.000
  1 14  1    1    7.900    6.176   0.000   1.314   4.700 1.001  20.000 166.191   1.128  0.227   70.000   90.000   55.000    0.086  0.422  0.030  0.017  2.000  0.256    0.000
  1 15  1    1    8.900    7.131   0.000   0.767   9.300 1.001  20.000 166.121   1.128  0.227   70.000   90.000   55.000    0.086  0.422  0.030  0.017  2.000  0.256    0.000
  1 16  1    1    7.100    5.190   0.000   1.018   5.100 1.001  20.000 166.078   1.128  0.227   70.000   90.000   55.000    0.086  0.422  0.030  0.017  2.000  0.256    0.000
  1 17  1    1    5.100    2.776   0.000   0.771   3.600 1.001  20.000 165.855   1.128  0.227   70.000   90.000   55.000    0.086  0.422  0.030  0.017  2.000  0.256    0.000
  1 18  1    1    4.100    1.296   0.000   0.276   4.700 1.001  20.000 165.701   1.128  0.227   70.000   90.000   55.000    0.086  0.422  0.030  0.017  2.000  0.256    0.000
  1 28  1    1   68.100   44.810  28.674   8.455   5.300 1.001  20.000 166.003   1.128  0.227   70.000   90.000   55.001    0.086  0.422  0.030  0.017  2.000  0.256    5.378
  1 29  1    1   41.100   38.825   0.000   3.057  12.700 1.001  20.000 165.930   1.128  0.227   70.000   90.000   55.001    0.086  0.422  0.030  0.017  2.000  0.256    0.537
  1  1  2    1    0.000    0.000   0.000   0.000   0.000 0.000  20.000 157.782   1.128  0.227   70.000   90.000   55.001    0.086  0.422  0.030  0.017  2.000  0.256    0.000
  1 13  2    1   66.000   29.006  34.952 153.612   0.189 1.001  20.000 165.533   1.128  0.227   70.000   90.000   55.001    0.086  0.422  0.030  0.017  2.000  0.276    2.394
  1 14  2    1   82.400   79.547  39.233  63.124   1.260 1.001  20.000 165.865   1.128  0.227   70.000   90.000   55.001    0.086  0.419  0.030  0.017  2.000  0.276    9.137
  1 15  2    1  115.700  112.995  47.392  66.119   1.709 1.001  20.000 165.754   1.128  0.227   70.000   90.000   55.001    0.086  0.419  0.030  0.017  2.000  0.276   12.797
  1 16  2    1   54.300   51.567  29.810  68.214   0.756 1.001  20.000 165.804   1.128  0.227   70.000   90.000   55.001    0.086  0.419  0.030  0.017  2.000  0.276    5.784
  1 17  2    1   54.800   52.282  30.444  36.702   1.425 1.001  20.000 165.904   1.128  0.227   70.000   90.000   55.001    0.086  0.419  0.030  0.017  2.000  0.276    6.877
  1 18  2    1   55.100   52.556  25.869  61.447   0.855 1.001  20.000 165.828   1.128  0.227   70.000   90.000   55.001    0.086  0.419  0.030  0.017  2.000  0.276    6.085
  1 19  2    1   20.200   17.173   0.000   2.525   6.800 1.001  20.000 165.582   1.128  0.227   70.000   90.000   55.001    0.086  0.419  0.030  0.017  2.000  0.276    0.004
  1 20  2    1   18.700   15.552   0.000   3.381   4.600 1.001  20.000 165.658   1.128  0.227   70.000   90.000   55.001    0.086  0.419  0.030  0.017  2.000  0.276    0.248
  1 21  2    1    8.900    5.918   0.000   1.557   3.800 1.001  20.000 165.713   1.128  0.227   70.000   90.000   55.001    0.086  0.419  0.030  0.017  2.000  0.276    0.000
  1  1  3    1    7.300    0.000   0.000   0.000   0.000 0.000  20.000 145.613   1.128  0.227   70.000   90.000   55.001    0.086  0.419  0.030  0.017  2.000  0.276    0.000
  1  2  3    1   64.100   40.985  30.187  64.339   0.637 1.001  20.000 165.659   1.128  0.227   70.000   90.000   55.001    0.086  0.419  0.030  0.017  2.000  0.276    4.681
  1  3  3    1   21.400   18.116  29.173  57.627   0.314 1.001  20.000 165.530   1.128  0.227   70.000   90.000   55.001    0.086  0.419  0.030  0.017  2.000  0.276    2.137
  1  5  3    1   30.900   26.119  29.596  62.543   0.418 1.001  20.000 165.853   1.128  0.227   70.000   90.000   55.001    0.086  0.419  0.030  0.017  2.000  0.276    3.008
  1  6  3    1   10.200    7.280  23.584   1.820   4.000 1.001  20.000 165.631   1.128  0.227   70.000   90.000   55.001    0.086  0.419  0.030  0.017  2.000  0.276    0.000
  1 15  3    1    0.000    0.000   0.000   0.000   0.000 0.000  20.000 136.964   1.128  0.227   70.000   90.000   55.002    0.086  0.419  0.030  0.017  2.000  0.276    0.000
  1  1  4    1    0.000    0.000   0.000   0.000   0.000 0.000  20.000 123.020   1.128  0.227   70.000   90.000   55.002    0.086  0.419  0.030  0.017  2.000  0.276    0.000
  1 15  4    1    0.000    0.000   0.000   0.000   0.000 0.000  20.000  96.543   1.128  0.227   70.000   90.001   55.002    0.086  0.419  0.030  0.017  2.000  0.276    0.000
  1  1  5    1    0.000    0.000   0.000   0.000   0.000 0.000  20.000  74.816   1.128  0.227   70.000   90.001   55.003    0.086  0.419  0.030  0.017  2.000  0.276    0.000
  1 15  5    1    0.000    0.000   0.000   0.000   0.000 0.000  20.000  50.749   1.128  0.227   70.000   90.001   55.003    0.086  0.419  0.030  0.017  2.000  0.276    0.000
  1  1  6    1    0.000    0.000   0.000   0.000   0.000 0.000  20.000  48.189   1.128  0.227   70.000   90.001   55.003    0.086  0.419  0.030  0.017  2.000  0.276    0.000
  1 15  6    1    0.000    0.000   0.000   0.000   0.000 0.000  20.000  48.187   1.128  0.227   70.000   90.001   55.004    0.086  0.419  0.030  0.017  2.000  0.276    0.000
  1  1  7    1    0.000    0.000   0.000   0.000   0.000 0.000  20.000  48.187   1.128  0.227   70.000   90.001   55.004    0.086  0.419  0.030  0.017  2.000  0.276    0.000
  1 15  7    1    0.000    0.000   0.000   0.000   0.000 0.000  20.000  48.187   1.128  0.227   70.000   90.001   55.004    0.086  0.419  0.030  0.017  2.000  0.276    0.000
