FireID,FireName,FireState,Duration_min,Threshold_P,Acc_mm,Int_mmh-1,Acc_In,Int_Inh-1
thm2017,Thomas,CA,15,25,4.44,17.78,0.17,0.70
thm2017,Thomas,CA,15,40,5.66,22.64,0.22,0.89
thm2017,Thomas,CA,15,50,6.37,25.49,0.25,1.00
thm2017,Thomas,CA,15,60,7.08,28.34,0.28,1.12
thm2017,Thomas,CA,15,75,8.30,33.21,0.33,1.31
thm2017,Thomas,CA,30,25,6.88,13.75,0.27,0.54
thm2017,Thomas,CA,30,40,8.78,17.55,0.35,0.69
thm2017,Thomas,CA,30,50,9.89,19.77,0.39,0.78
thm2017,Thomas,CA,30,60,11.00,21.99,0.43,0.87
thm2017,Thomas,CA,30,75,12.89,25.79,0.51,1.02
thm2017,Thomas,CA,60,25,11.37,11.37,0.45,0.45
thm2017,Thomas,CA,60,40,15.10,15.10,0.59,0.59
thm2017,Thomas,CA,60,50,17.29,17.29,0.68,0.68
thm2017,Thomas,CA,60,60,19.47,19.47,0.77,0.77
thm2017,Thomas,CA,60,75,23.20,23.20,0.91,0.91
