||25|25|25|||||||"3035435"|"710334"
||25|25|25|||||||"2970671"|"698642"
||25|25|25|||||||"2977150"|"708377"
||25|25|25|||||||"3009534"|"718126"
||25|25|25|||||||"3050281"|"691481"
||25|25|25|||||||"3011430"|"710962"
"Paralithic bedrock"||51|77|102|||||||"3013287"|"695877"
"Paralithic bedrock"||51|77|102|||||||"2993857"|"690036"
||25|25|25|||||||"3039194"|"703669"
||152|202|251|||||||"3006810"|"701719"
"Lithic bedrock"||122|183|244|||||||"3032717"|"709511"
"Lithic bedrock"||102|127|152|||||||"3026242"|"699776"
"Lithic bedrock"||122|187|251|||||||"2967951"|"697828"
"Lithic bedrock"||107|130|152|||||||"3052147"|"707567"
"Lithic bedrock"||122|187|251|||||||"3032718"|"717303"
"Lithic bedrock"||122|187|251|||||||"2974428"|"715359"
"Lithic bedrock"||122|122|122|||||||"3065101"|"695878"
"Lithic bedrock"||122|122|122|||||||"3058624"|"693928"
"Lithic bedrock"||122|187|251|||||||"3026241"|"699775"
"Lithic bedrock"||102|127|152|||||||"3019765"|"705620"
"Lithic bedrock"||122|122|122|||||||"3065100"|"711461"
"Lithic bedrock"||102|127|152|||||||"3013288"|"719253"
"Lithic bedrock"||122|183|244|||||||"2967952"|"690037"
||152|202|251|||||||"3045671"|"713412"
"Lithic bedrock"||102|127|152|||||||"3000335"|"691984"
"Lithic bedrock"||122|183|244|||||||"3006812"|"701720"
||25|25|25|||||||"3019774"|"697834"
"Paralithic bedrock"||102|102|102|||||||"3065110"|"711468"
