"SR- LS SCL"|"Yes"|"Yes"|"Stratified loamy sand to sandy clay loam"|"7928968"|"15147400"
"SL"|"No "|"No "|"Sandy loam"|"7928969"|"15295572"
"SCL"|"No "|"No "|"Sandy clay loam"|"7928969"|"15443744"
"CL"|"No "|"No "|"Clay loam"|"7928969"|"15591915"
"CL"|"No "|"Yes"|"Clay loam"|"7929000"|"15443756"
"SL"|"No "|"Yes"|"Sandy loam"|"7929001"|"15591927"
"SL"|"No "|"Yes"|"Sandy loam"|"7929002"|"15147413"
"CNV-L"|"No "|"No "|"Very channery loam"|"7929003"|"15295585"
"CN-L"|"No "|"No "|"Channery loam"|"7929003"|"15443757"
"S"|"No "|"No "|"Sand"|"7929004"|"15147414"
"SL"|"No "|"No "|"Sandy loam"|"7929004"|"15295586"
"LS"|"No "|"No "|"Loamy sand"|"7929004"|"15591928"
"LFS"|"No "|"Yes"|"Loamy fine sand"|"7929088"|"15295628"
"L"|"No "|"No "|"Loam"|"7929089"|"15147457"
"SCL"|"No "|"No "|"Sandy clay loam"|"7929089"|"15443800"
"SICL"|"No "|"No "|"Silty clay loam"|"7929089"|"15591971"
"C"|"No "|"No "|"Clay"|"7929109"|"15147468"
"SCL"|"No "|"No "|"Sandy clay loam"|"7929109"|"15295640"
"SC"|"No "|"No "|"Sandy clay"|"7929109"|"15591982"
"SCL"|"No "|"No "|"Sandy clay loam"|"7929110"|"15147469"
"SC"|"No "|"No "|"Sandy clay"|"7929110"|"15443812"
"C"|"No "|"No "|"Clay"|"7929110"|"15591983"
"CL"|"No "|"No "|"Clay loam"|"7929111"|"15295641"
"SCL"|"No "|"No "|"Sandy clay loam"|"7929111"|"15443813"
"SL"|"No "|"Yes"|"Sandy loam"|"7929115"|"15443814"
"LS"|"No "|"Yes"|"Loamy sand"|"7929116"|"15591985"
"SL"|"No "|"Yes"|"Sandy loam"|"7929124"|"15295646"
"L"|"No "|"No "|"Loam"|"7929125"|"15147475"
"SCL"|"No "|"No "|"Sandy clay loam"|"7929125"|"15443818"
"CL"|"No "|"No "|"Clay loam"|"7929125"|"15591989"
"L"|"No "|"Yes"|"Loam"|"7929245"|"15592052"
"L"|"No "|"No "|"Loam"|"7929246"|"15147538"
"SCL"|"No "|"No "|"Sandy clay loam"|"7929246"|"15295710"
"CL"|"No "|"No "|"Clay loam"|"7929246"|"15443882"
"SICL"|"No "|"No "|"Silty clay loam"|"7929247"|"15147539"
"CL"|"No "|"No "|"Clay loam"|"7929247"|"15295711"
"SIL"|"No "|"No "|"Silt loam"|"7929247"|"15592053"
"CL"|"No "|"No "|"Clay loam"|"7929248"|"15147540"
"SIL"|"No "|"No "|"Silt loam"|"7929248"|"15443883"
"SICL"|"No "|"No "|"Silty clay loam"|"7929248"|"15592054"
"SL"|"No "|"Yes"|"Sandy loam"|"7929249"|"15295712"
"SL"|"No "|"Yes"|"Sandy loam"|"7929250"|"15443884"
"GR-SICL"|"No "|"No "|"Gravelly silty clay loam"|"7929288"|"15295727"
"GR-SIL"|"No "|"No "|"Gravelly silt loam"|"7929288"|"15443899"
"GR-L"|"No "|"No "|"Gravelly loam"|"7929288"|"15592070"
"UWB"|"No "|"Yes"|"Unweathered bedrock"|"7929289"|"15147556"
"GR-SIL"|"No "|"Yes"|"Gravelly silt loam"|"7929292"|"15592072"
"CNV-SIL"|"No "|"No "|"Very channery silt loam"|"7929293"|"15147558"
"CNX-L"|"No "|"No "|"Extremely channery loam"|"7929293"|"15295730"
"GR-C"|"No "|"No "|"Gravelly clay"|"7929294"|"15443902"
"GR-SIC"|"No "|"No "|"Gravelly silty clay"|"7929294"|"15592073"
"SICL"|"No "|"No "|"Silty clay loam"|"7929313"|"15147568"
"CL"|"No "|"No "|"Clay loam"|"7929313"|"15295740"
"SIL"|"No "|"No "|"Silt loam"|"7929313"|"15592082"
"GR-SL"|"No "|"Yes"|"Gravelly sandy loam"|"7929314"|"15443912"
"SIL"|"No "|"Yes"|"Silt loam"|"7929315"|"15592083"
"L"|"No "|"No "|"Loam"|"7929316"|"15147569"
"SCL"|"No "|"No "|"Sandy clay loam"|"7929316"|"15295741"
"CL"|"No "|"No "|"Clay loam"|"7929316"|"15443913"
"GR-SCL"|"No "|"Yes"|"Gravelly sandy clay loam"|"7929373"|"15592111"
"SL"|"No "|"Yes"|"Sandy loam"|"7929374"|"15147597"
"CL"|"No "|"Yes"|"Clay loam"|"7929395"|"15295778"
"GR-SL"|"No "|"Yes"|"Gravelly sandy loam"|"7929396"|"15443950"
"GR-SL"|"No "|"Yes"|"Gravelly sandy loam"|"7929397"|"15592121"
"GR-SL"|"No "|"Yes"|"Gravelly sandy loam"|"7929398"|"15147607"
"LS"|"No "|"Yes"|"Loamy sand"|"7929810"|"15444145"
"LS"|"No "|"Yes"|"Loamy sand"|"7929811"|"15592316"
"FS"|"No "|"Yes"|"Fine sand"|"7929881"|"15444179"
"FSL"|"No "|"Yes"|"Fine sandy loam"|"7929882"|"15592350"
"FS"|"No "|"Yes"|"Fine sand"|"7929883"|"15147836"
"SL"|"No "|"Yes"|"Sandy loam"|"7929885"|"15444180"
"FS"|"No "|"No "|"Fine sand"|"7929886"|"15147837"
"LS"|"No "|"No "|"Loamy sand"|"7929886"|"15296009"
"S"|"No "|"No "|"Sand"|"7929886"|"15592351"
"S"|"No "|"No "|"Sand"|"7929887"|"15444181"
"FS"|"No "|"No "|"Fine sand"|"7929887"|"15592352"
"S"|"No "|"No "|"Sand"|"7929888"|"15147838"
"FS"|"No "|"No "|"Fine sand"|"7929888"|"15296010"
"LFS"|"No "|"No "|"Loamy fine sand"|"7929888"|"15444182"
"FS"|"No "|"No "|"Fine sand"|"7929889"|"15147839"
"S"|"No "|"No "|"Sand"|"7929889"|"15592353"
"FS"|"No "|"Yes"|"Fine sand"|"7929890"|"15296011"
"MUCK"|"No "|"Yes"|"Muck"|"7929891"|"15444183"
"SC"|"No "|"No "|"Sandy clay"|"7929897"|"15296013"
"SCL"|"No "|"No "|"Sandy clay loam"|"7929897"|"15444185"
"C"|"No "|"No "|"Clay"|"7929897"|"15592356"
"FS"|"No "|"Yes"|"Fine sand"|"7929898"|"15147842"
"FSL"|"No "|"Yes"|"Fine sandy loam"|"7930026"|"15296074"
"GR-SIL"|"No "|"Yes"|"Gravelly silt loam"|"7930027"|"15444246"
"SIL"|"No "|"Yes"|"Silt loam"|"7930028"|"15592417"
"L"|"No "|"Yes"|"Loam"|"7930029"|"15147903"
"SICL"|"No "|"No "|"Silty clay loam"|"7930030"|"15296075"
"SIC"|"No "|"No "|"Silty clay"|"7930030"|"15444247"
"C"|"No "|"No "|"Clay"|"7930030"|"15592418"
"GR-CL"|"No "|"No "|"Gravelly clay loam"|"7930031"|"15147904"
"GR-SICL"|"No "|"No "|"Gravelly silty clay loam"|"7930031"|"15296076"
"GR-L"|"No "|"No "|"Gravelly loam"|"7930031"|"15444248"
"GR-SICL"|"No "|"No "|"Gravelly silty clay loam"|"7930032"|"15147905"
"GR-L"|"No "|"No "|"Gravelly loam"|"7930032"|"15296077"
"GR-CL"|"No "|"No "|"Gravelly clay loam"|"7930032"|"15592419"
"C"|"No "|"No "|"Clay"|"7930033"|"15147906"
"SICL"|"No "|"No "|"Silty clay loam"|"7930033"|"15444249"
"SIC"|"No "|"No "|"Silty clay"|"7930033"|"15592420"
"C"|"No "|"No "|"Clay"|"7930034"|"15296078"
"SIC"|"No "|"No "|"Silty clay"|"7930034"|"15444250"
"GR-SICL"|"No "|"Yes"|"Gravelly silty clay loam"|"7930035"|"15592421"
"SCL"|"No "|"No "|"Sandy clay loam"|"7930036"|"15147907"
"L"|"No "|"No "|"Loam"|"7930036"|"15296079"
"SL"|"No "|"No "|"Sandy loam"|"7930036"|"15444251"
"GR-SIL"|"No "|"No "|"Gravelly silt loam"|"7930037"|"15147908"
"GR-L"|"No "|"No "|"Gravelly loam"|"7930037"|"15296080"
"GR-SICL"|"No "|"No "|"Gravelly silty clay loam"|"7930037"|"15592422"
"UWB"|"No "|"Yes"|"Unweathered bedrock"|"7930038"|"15444252"
"SIL"|"No "|"Yes"|"Silt loam"|"7930039"|"15592423"
"VAR"|"No "|"Yes"|"Variable"|"7930040"|"15147909"
"WB"|"No "|"Yes"|"Weathered bedrock"|"7930041"|"15296081"
"FSL"|"No "|"Yes"|"Fine sandy loam"|"7930042"|"15444253"
"SIL"|"No "|"Yes"|"Silt loam"|"7930043"|"15592424"
"SIL"|"No "|"Yes"|"Silt loam"|"7930044"|"15147910"
"VAR"|"No "|"Yes"|"Variable"|"7930045"|"15296082"
"GR-CL"|"No "|"No "|"Gravelly clay loam"|"7930046"|"15147911"
"GR-L"|"No "|"No "|"Gravelly loam"|"7930046"|"15444254"
"GR-SICL"|"No "|"No "|"Gravelly silty clay loam"|"7930046"|"15592425"
"FSL"|"No "|"Yes"|"Fine sandy loam"|"7930047"|"15296083"
"SIL"|"No "|"No "|"Silt loam"|"7930048"|"15147912"
"CL"|"No "|"No "|"Clay loam"|"7930048"|"15444255"
"L"|"No "|"No "|"Loam"|"7930048"|"15592426"
"L"|"No "|"Yes"|"Loam"|"7930049"|"15296084"
"CL"|"No "|"No "|"Clay loam"|"7930050"|"15147913"
"SL"|"No "|"No "|"Sandy loam"|"7930050"|"15444256"
"SCL"|"No "|"No "|"Sandy clay loam"|"7930050"|"15592427"
"GR-SL"|"No "|"No "|"Gravelly sandy loam"|"7930051"|"15296085"
"GR-FSL"|"No "|"No "|"Gravelly fine sandy loam"|"7930051"|"15444257"
"CB-FSL"|"No "|"No "|"Cobbly fine sandy loam"|"7930051"|"15592428"
"FSL"|"No "|"Yes"|"Fine sandy loam"|"7930052"|"15147914"
"SL"|"No "|"No "|"Sandy loam"|"7930053"|"15296086"
"L"|"No "|"No "|"Loam"|"7930053"|"15444258"
"SCL"|"No "|"No "|"Sandy clay loam"|"7930053"|"15592429"
"L"|"No "|"Yes"|"Loam"|"7930054"|"15147915"
"SL"|"No "|"No "|"Sandy loam"|"7930055"|"15296087"
"SCL"|"No "|"No "|"Sandy clay loam"|"7930055"|"15444259"
"CL"|"No "|"No "|"Clay loam"|"7930055"|"15592430"
"L"|"No "|"Yes"|"Loam"|"7930056"|"15147916"
"L"|"No "|"Yes"|"Loam"|"7930057"|"15296088"
"L"|"No "|"No "|"Loam"|"7930058"|"15147917"
"SCL"|"No "|"No "|"Sandy clay loam"|"7930058"|"15444260"
"CL"|"No "|"No "|"Clay loam"|"7930058"|"15592431"
"VAR"|"No "|"Yes"|"Variable"|"7930059"|"15296089"
"VAR"|"No "|"Yes"|"Variable"|"7930060"|"15444261"
"WB"|"No "|"Yes"|"Weathered bedrock"|"7930061"|"15592432"
"WB"|"No "|"Yes"|"Weathered bedrock"|"7930062"|"15147918"
"UWB"|"No "|"Yes"|"Unweathered bedrock"|"7930063"|"15296090"
"UWB"|"No "|"Yes"|"Unweathered bedrock"|"7930064"|"15444262"
"WB"|"No "|"Yes"|"Weathered bedrock"|"7930065"|"15592433"
