year,julian,sim_day_index,month,day_of_month,water_year,n_ofe,audit_rain_melt_reported_mm,audit_precip_reported_mm,audit_runoff_reported_mm,audit_runoff_calc_mm,audit_runoff_consistency_mm,audit_sbrunv_calc_mm,audit_lateral_reported_mm,audit_lateral_calc_mm,audit_et_reported_mm,audit_et_calc_mm,audit_percolation_reported_mm,audit_percolation_calc_mm,audit_storage_delta_mm,audit_enriched_storage_delta_mm,audit_closure_reported_with_storage_mm,audit_closure_reconstructed_with_storage_mm,audit_closure_reported_with_enriched_storage_mm,audit_closure_reconstructed_with_enriched_storage_mm,audit_closure_reported_with_storage_rain_melt_mm,audit_closure_reconstructed_with_storage_rain_melt_mm,audit_closure_reported_with_enriched_storage_rain_melt_mm,audit_closure_reconstructed_with_enriched_storage_rain_melt_mm,audit_soilwatertotal_vs_legacy_storage_mm,audit_soilwater_to_porosity_fraction,audit_soilwater_minus_fc_mm,audit_soilwater_minus_wp_mm,audit_profile_order_fc_gt_porosity,audit_profile_order_wp_gt_fc,audit_soilwater_gt_porositycap,audit_soilwater_lt_wpstore,audit_runoff_to_precip_reported_pct,audit_runoff_to_precip_reconstructed_pct,TSMF,QRain,QSnow,abs_closure_reported_with_storage_mm,abs_runoff_consistency_mm
1,1,1,1,1,1,1,0.0,3.7000000000000006,0.0,0.0,0.0,0.003060334451867344,0.0,0.0,1.1500000000000001,1.1500000000000001,0.24000000000000002,0.24000000000000002,0.0,0.0,2.3100000000000005,2.3100000000000005,2.3100000000000005,2.3100000000000005,-1.3900000000000001,-1.3900000000000001,-1.3900000000000001,-1.3900000000000001,0.0,0.4009762815231959,41.549999999999955,201.75,False,False,False,False,0.0,0.0,0.401,0.0,0.0,2.3100000000000005,0.0
36,204,12987,7,22,36,1,48.9,48.9,0.0,0.0,0.0,0.17472163165499352,0.17,0.17,3.4099999999999993,3.4099999999999993,0.24000000000000002,0.24000000000000002,44.160000000000025,44.160000000000025,0.9199999999999733,0.9199999999999733,0.9199999999999733,0.9199999999999733,0.9199999999999733,0.9199999999999733,0.9199999999999733,0.9199999999999733,0.0,0.3912872407136446,33.66999999999996,193.87,False,False,False,False,0.0,0.0,0.3913,0.903,0.0,0.9199999999999733,0.0
35,265,12683,9,22,35,1,1.1,1.1,0.0,0.0,0.0,0.03679588207076378,0.04,0.04,0.44,0.44,0.24000000000000002,0.24000000000000002,0.1299999999999386,0.1299999999999386,0.2500000000000615,0.2500000000000615,0.2500000000000615,0.2500000000000615,0.2500000000000615,0.2500000000000615,0.2500000000000615,0.2500000000000615,0.0,0.31195514515117606,-30.85000000000008,129.34999999999997,False,False,False,False,0.0,0.0,0.312,,,0.2500000000000615,0.0
49,292,17824,10,19,50,1,1.1,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.6700000000000002,0.6700000000000002,0.24000000000000002,0.24000000000000002,-0.06000000000005912,-0.06000000000005912,0.25000000000005906,0.25000000000005906,0.25000000000005906,0.25000000000005906,0.25000000000005906,0.25000000000005906,0.25000000000005906,0.25000000000005906,0.0,0.3051801940267309,-36.36000000000007,123.83999999999999,False,False,False,False,0.0,0.0,0.3052,,,0.25000000000005906,0.0
51,179,18441,6,28,51,1,1.1,1.1,0.0,0.0,0.0,0.296277781273397,0.3,0.3,4.720000000000001,4.720000000000001,0.24000000000000002,0.24000000000000002,-4.410000000000025,-4.410000000000025,0.25000000000002487,0.25000000000002487,0.25000000000002487,0.25000000000002487,0.25000000000002487,0.25000000000002487,0.25000000000002487,0.25000000000002487,0.0,0.36658510494411595,13.579999999999984,173.78000000000003,False,False,False,False,0.0,0.0,0.3666,,,0.25000000000002487,0.0
69,110,24947,4,20,69,1,1.1,1.1,0.0,0.0,0.0,0.6927098636689262,0.69,0.69,2.5900000000000003,2.5900000000000003,0.24000000000000002,0.24000000000000002,-2.670000000000016,-2.670000000000016,0.25000000000001554,0.25000000000001554,0.25000000000001554,0.25000000000001554,0.25000000000001554,0.25000000000001554,0.25000000000001554,0.25000000000001554,0.0,0.4673486702160361,95.52999999999992,255.72999999999996,False,False,False,False,0.0,0.0,0.4674,,,0.25000000000001554,0.0
44,163,15868,6,11,44,1,1.1,1.1,0.0,0.0,0.0,0.7421087358218166,0.74,0.74,4.98,4.98,0.24000000000000002,0.24000000000000002,-5.110000000000014,-5.110000000000014,0.25000000000001243,0.25000000000001243,0.25000000000001243,0.25000000000001243,0.25000000000001243,0.25000000000001243,0.25000000000001243,0.25000000000001243,0.0,0.4613852377380762,90.67999999999995,250.88,False,False,False,False,0.0,0.0,0.4614,,,0.25000000000001243,0.0
61,67,21982,3,8,61,1,1.09,0.0,0.0,0.0,0.0,0.34429123369894943,0.34,0.34,1.4700000000000002,1.4700000000000002,0.24000000000000002,0.24000000000000002,-2.3000000000000114,-2.3000000000000114,0.2500000000000111,0.2500000000000111,0.2500000000000111,0.2500000000000111,1.3400000000000112,1.3400000000000112,1.3400000000000112,1.3400000000000112,0.0,0.464114891367163,92.89999999999992,253.09999999999997,False,False,False,False,0.0,0.0,0.4641,,,0.2500000000000111,0.0
39,174,14053,6,23,39,1,1.1,1.1,0.0,0.0,0.0,0.41343233696640413,0.41,0.41,4.9399999999999995,4.9399999999999995,0.24000000000000002,0.24000000000000002,-4.740000000000009,-4.740000000000009,0.2500000000000089,0.2500000000000089,0.2500000000000089,0.2500000000000089,0.2500000000000089,0.2500000000000089,0.2500000000000089,0.2500000000000089,0.0,0.39363572649362466,35.57999999999993,195.77999999999997,False,False,False,False,0.0,0.0,0.3936,,,0.2500000000000089,0.0
38,162,13676,6,11,38,1,1.1,1.1,0.0,0.0,0.0,0.6048222997159312,0.6,0.6,3.7500000000000004,3.7500000000000004,0.24000000000000002,0.24000000000000002,-3.740000000000009,-3.740000000000009,0.25000000000000844,0.25000000000000844,0.25000000000000844,0.25000000000000844,0.25000000000000844,0.25000000000000844,0.25000000000000844,0.25000000000000844,0.0,0.42620713398664684,62.069999999999936,222.26999999999998,False,False,False,False,0.0,0.0,0.4262,,,0.25000000000000844,0.0
