road_surface,soil_texture,tauc,slid,texid,nsl,salb,sat,ki,kr,shcrit,avke,solthk,sand,clay,orgmat,cec,rfg
n,loam,2,Road,loam,1,0.6,0.5,2000000.0,0.0003,2,0.3,200,40,20,0.01,16,urr
n,loam,2,Fill,loam,1,0.12,0.45,2000000.0,0.0003,2,10,300,40,20,4,17,ufr
n,loam,2,Forest,loam,1,0.02,0.4,120000.0,0.0003,2,26,300,40,20,8,18,ubr
n,sand,2,Road,sandy loam,1,0.6,0.5,2000000.0,0.0004,2.0,3.8,200,60,5,0.01,4,urr
n,sand,2,Fill,sandy loam,1,0.12,0.45,2000000.0,0.0004,2.0,12.5,300,60,5,4,4,ufr
n,sand,2,Forest,sandy loam,1,0.02,0.4,130000.0,0.0004,2.0,30,300,60,5,8,5,ubr
g,loam,2,Road,loam,1,0.6,0.5,2000000.0,0.0003,2,8.1,200,45,20,0.01,16,urr
g,loam,2,Fill,loam,1,0.12,0.45,2000000.0,0.0003,2,11.4,300,40,20,4,17,ufr
g,loam,2,Forest,loam,1,0.02,0.4,120000.0,0.0003,2,26,300,40,20,8,18,ubr
p,clay,1,Road,clay loam,1,0.6,0.5,5,0.0002,2.0,0.08,200,35,30,0.01,24,urr
p,clay,1,Fill,clay loam,1,0.18,0.45,1000000.0,0.0002,1.4,18,400,30,30,3,26,ufr
p,clay,1,Forest,clay loam,1,0.05,0.4,10000.0,0.0002,1.4,20,400,30,30,6,27,ubr
g,clay,10,Road,clay loam,1,0.6,0.5,1500000.0,0.0002,10,8.4,200,35,30,0.01,24,urr
g,clay,10,Fill,clay loam,1,0.12,0.45,1500000.0,0.0002,2,7.1,300,30,30,4,26,ufr
g,clay,10,Forest,clay loam,1,0.02,0.4,10000.0,0.0002,2,20,300,30,30,8,27,ubr
p,silt,1,Road,silt loam,1,0.6,0.5,5,0.0003,2.0,0.08,200,35,15,0.01,12,urr
p,silt,1,Fill,silt loam,1,0.18,0.45,2300000.0,0.0003,2.0,21,400,30,15,3,13,ufr
p,silt,1,Forest,silt loam,1,0.05,0.4,120000.0,0.0002,2.0,25,400,30,15,6,14,ubr
p,sand,2,Road,sandy loam,1,0.6,0.5,5,1e-06,10.0,0.08,200,70,5,0.01,4,urr
p,sand,2,Fill,sandy loam,1,0.18,0.45,1600000.0,0.0004,2.0,26,400,60,5,3,4,ufr
p,sand,2,Forest,sandy loam,1,0.05,0.4,130000.0,0.0004,2.0,30,400,60,5,6,5,ubr
p,loam,10,Road,loam,1,0.6,0.5,5,0.0003,10.0,0.08,200,45,20,0.01,16,urr
p,loam,10,Fill,loam,1,0.18,0.45,2300000.0,0.0003,2.0,22,400,40,20,3,17,ufr
p,loam,10,Forest,loam,1,0.05,0.4,120000.0,0.0002,2.0,26,400,40,20,6,18,ubr
n,sand,10,Road,sandy loam,1,0.6,0.5,2000000.0,0.0004,10,3.8,200,60,5,0.01,4,urr
n,sand,10,Fill,sandy loam,1,0.12,0.45,2000000.0,0.0004,2,12.5,300,60,5,4,4,ufr
n,sand,10,Forest,sandy loam,1,0.02,0.4,130000.0,0.0004,2,30,300,60,5,8,5,ubr
p,silt,2,Road,silt loam,1,0.6,0.5,5,1e-06,10.0,0.08,200,35,15,0.01,12,urr
p,silt,2,Fill,silt loam,1,0.18,0.45,2300000.0,0.0003,2.0,21,400,30,15,3,13,ufr
p,silt,2,Forest,silt loam,1,0.05,0.4,120000.0,0.0002,2.0,25,400,30,15,6,14,ubr
n,silt,10,Road,silt loam,1,0.6,0.5,2000000.0,0.0003,10,0.27,200,30,15,0.01,12,urr
n,silt,10,Fill,silt loam,1,0.12,0.45,2000000.0,0.0003,2,8.9,300,30,15,4,13,ufr
n,silt,10,Forest,silt loam,1,0.02,0.4,120000.0,0.0003,2,25,300,30,15,8,14,ubr
n,clay,10,Road,clay loam,1,0.6,0.5,1500000.0,0.0002,10.0,0.1,200,30,30,0.01,24,urr
n,clay,10,Fill,clay loam,1,0.12,0.45,1500000.0,0.0002,2.0,6.3,300,30,30,4,26,ufr
n,clay,10,Forest,clay loam,1,0.02,0.4,10000.0,0.0002,2.0,20,300,30,30,8,27,ubr
p,sand,1,Road,sandy loam,1,0.6,0.5,5,0.0004,2.0,0.08,200,70,5,0.01,4,urr
p,sand,1,Fill,sandy loam,1,0.18,0.45,1600000.0,0.0004,2.0,26,400,60,5,3,4,ufr
p,sand,1,Forest,sandy loam,1,0.05,0.4,130000.0,0.0004,2.0,30,400,60,5,6,5,ubr
p,loam,2,Road,loam,1,0.6,0.5,5,1e-06,10.0,0.08,200,45,20,0.01,16,urr
p,loam,2,Fill,loam,1,0.18,0.45,2300000.0,0.0003,2.0,22,400,40,20,3,17,ufr
p,loam,2,Forest,loam,1,0.05,0.4,120000.0,0.0002,2.0,26,400,40,20,6,18,ubr
p,loam,1,Road,loam,1,0.6,0.5,5,0.0003,2.0,0.08,200,45,20,0.01,16,urr
p,loam,1,Fill,loam,1,0.18,0.45,2300000.0,0.0003,2.0,22,400,40,20,3,17,ufr
p,loam,1,Forest,loam,1,0.05,0.4,120000.0,0.0002,2.0,26,400,40,20,6,18,ubr
g,sand,2,Road,sandy loam,1,0.6,0.5,2000000.0,0.0004,2,10.2,200,70,5,0.01,4,urr
g,sand,2,Fill,sandy loam,1,0.12,0.45,2000000.0,0.0004,2,14.3,300,60,5,4,4,ufr
g,sand,2,Forest,sandy loam,1,0.02,0.4,130000.0,0.0004,2,30,300,60,5,8,5,ubr
p,clay,2,Road,clay loam,1,0.6,0.5,5,1e-06,10.0,0.08,200,35,30,0.01,24,urr
p,clay,2,Fill,clay loam,1,0.18,0.45,1000000.0,0.0002,2.0,18,400,30,30,3,26,ufr
p,clay,2,Forest,clay loam,1,0.05,0.4,10000.0,0.0002,2.0,20,400,30,30,6,27,ubr
p,clay,10,Road,clay loam,1,0.6,0.5,5,0.0002,10,0.08,200,35,30,0.01,24,urr
p,clay,10,Fill,clay loam,1,0.18,0.45,1000000.0,0.0002,2,18,400,30,30,3,26,ufr
p,clay,10,Forest,clay loam,1,0.05,0.4,10000.0,0.0002,2,20,400,30,30,6,27,ubr
g,silt,2,Road,silt loam,1,0.6,0.5,2000000.0,0.0003,2,8.6,200,35,15,0.01,12,urr
g,silt,2,Fill,silt loam,1,0.12,0.45,2000000.0,0.0003,2,11.4,300,30,15,4,13,ufr
g,silt,2,Forest,silt loam,1,0.02,0.4,120000.0,0.0003,2,25,300,30,15,8,14,ubr
n,clay,2,Road,clay loam,1,0.6,0.5,1500000.0,0.0002,2.0,0.1,200,30,30,0.01,24,urr
n,clay,2,Fill,clay loam,1,0.12,0.45,1500000.0,0.0002,2.0,6.3,300,30,30,4,26,ufr
n,clay,2,Forest,clay loam,1,0.02,0.4,10000.0,0.0002,2.0,20,300,30,30,8,27,ubr
g,loam,10,Road,loam,1,0.6,0.5,2000000.0,0.0003,10,8.1,200,45,20,0.01,16,urr
g,loam,10,Fill,loam,1,0.12,0.45,2000000.0,0.0003,2,11.4,300,40,20,4,17,ufr
g,loam,10,Forest,loam,1,0.02,0.4,120000.0,0.0003,2,26,300,40,20,8,18,ubr
n,silt,2,Road,silt loam,1,0.6,0.5,2000000.0,0.0003,2,0.27,200,30,15,0.01,12,urr
n,silt,2,Fill,silt loam,1,0.12,0.45,2000000.0,0.0003,2,8.9,300,30,15,4,13,ufr
n,silt,2,Forest,silt loam,1,0.02,0.4,120000.0,0.0003,2,25,300,30,15,8,14,ubr
p,silt,10,Road,silt loam,1,0.6,0.5,5,0.0003,10.0,0.08,200,35,15,0.01,12,urr
p,silt,10,Fill,silt loam,1,0.18,0.45,2300000.0,0.0003,2.0,21,400,30,15,3,13,ufr
p,silt,10,Forest,silt loam,1,0.05,0.4,120000.0,0.0002,2.0,25,400,30,15,6,14,ubr
g,silt,10,Road,silt loam,1,0.6,0.5,2000000.0,0.0003,10,8.6,200,35,15,0.01,12,urr
