month,Modeled,Observed,bias_percent
2023-08-01,13.227518,12.654096000000001,4.531512958333805
2023-09-01,6.686795,11.744746,-43.065648248161345
2023-10-01,7.0912809999999995,29.698953,-76.1227912647291
2023-11-01,49.437573,109.047709,-54.6642717638387
2023-12-01,218.19911,393.071118,-44.48864340116692
2024-01-01,312.46055,513.862005,-39.193684888222066
2024-02-01,239.297517,161.570601,48.10709096761978
2024-03-01,212.239262,197.791801,7.304378102103426
2024-04-01,132.120264,139.656013,-5.395935941548046
2024-05-01,127.956169,171.510751,-25.394665783954263
2024-06-01,65.613905,76.248343,-13.947107021066675
2024-07-01,32.179184,27.1708,18.432964800447536
2024-08-01,15.88201,18.661306,-14.893362768929464
2024-09-01,8.394161,14.232134,-41.019660157780976
2024-10-01,5.893496,23.991984000000002,-75.4355621444229
2024-11-01,71.319948,290.004746,-75.40731695473701
2024-12-01,238.914415,361.522106,-33.914299835374386
2025-01-01,259.79846299999997,260.948614,-0.4407576581341943
2025-02-01,148.946276,293.740143,-49.29318326096137
2025-03-01,254.579203,355.003785,-28.28831303869056
2025-04-01,177.404952,178.691496,-0.7199805412116511
2025-05-01,74.113812,63.39591,16.906298844830836
2025-06-01,40.278135,29.095329,38.435056018785694
2025-07-01,22.130601,19.268844,14.851731634757105
2025-08-01,10.997388,14.624098,-24.799546611353396
2025-09-01,5.626353,12.970018,-56.62031463641761
2025-10-01,5.013564,39.188349,-87.2064934401804
2025-11-01,23.591867,58.147546,-59.427579282537565
2025-12-01,180.316509,393.075038,-54.12669552422711
