site,area10_m2,area30_m2,T10,T30,basin_T_delta
moscow_mountain,6644700,6573600,0.1049257302812768,0.04326396495071194,-0.06166176533056486
topanga,4991700,4987800,0.2719514393893864,0.10267051605918441,-0.16928092333020195
az_ponderosa,22985800,22964400,0.07116567620008875,0.043306160840257096,-0.027859515359831652
