site,resolution_m,terrain,method,duration_minutes,rainfall_mm,F,S,T,probability,delta_from_Horn
moscow_mountain,10,raw,Horn,15,5,0.5,0.25,0.1049257302812768,0.29631614311952237,0.0
moscow_mountain,10,raw,Horn,15,10,0.5,0.25,0.1049257302812768,0.8699136501160217,0.0
moscow_mountain,10,raw,Horn,15,20,0.5,0.25,0.1049257302812768,0.9994073957601575,0.0
moscow_mountain,10,raw,Horn,30,5,0.5,0.25,0.1049257302812768,0.13312611986878228,0.0
moscow_mountain,10,raw,Horn,30,10,0.5,0.25,0.1049257302812768,0.4657554203129166,0.0
moscow_mountain,10,raw,Horn,30,20,0.5,0.25,0.1049257302812768,0.9656305691902805,0.0
moscow_mountain,10,raw,Horn,60,5,0.5,0.25,0.1049257302812768,0.0873991430945714,0.0
moscow_mountain,10,raw,Horn,60,10,0.5,0.25,0.1049257302812768,0.18518190820383493,0.0
moscow_mountain,10,raw,Horn,60,20,0.5,0.25,0.1049257302812768,0.5613757843635526,0.0
moscow_mountain,10,raw,Florinsky,15,5,0.5,0.25,0.11317290472105587,0.2998535066109157,0.0035373634913933305
moscow_mountain,10,raw,Florinsky,15,10,0.5,0.25,0.11317290472105587,0.8736924819336856,0.003778831817663919
moscow_mountain,10,raw,Florinsky,15,20,0.5,0.25,0.11317290472105587,0.9994461251764296,3.872941627214299e-05
moscow_mountain,10,raw,Florinsky,30,5,0.5,0.25,0.11317290472105587,0.13436827305966328,0.0012421531908810013
moscow_mountain,10,raw,Florinsky,30,10,0.5,0.25,0.11317290472105587,0.4710946540832166,0.005339233770299989
moscow_mountain,10,raw,Florinsky,30,20,0.5,0.25,0.11317290472105587,0.9670257797997224,0.0013952106094419214
moscow_mountain,10,raw,Florinsky,60,5,0.5,0.25,0.11317290472105587,0.0879598918664627,0.0005607487718913007
moscow_mountain,10,raw,Florinsky,60,10,0.5,0.25,0.11317290472105587,0.1873067534799599,0.0021248452761249703
moscow_mountain,10,raw,Florinsky,60,20,0.5,0.25,0.11317290472105587,0.5682679418511519,0.006892157487599304
moscow_mountain,10,raw,FVSlope,15,5,0.5,0.25,0.10567820970096468,0.29663789254350814,0.0003217494239857732
