label,wall_seconds,peak_rss_kib,command_index
moscow_mountain-10-raw-Horn,0.14666553505230695,38656,1
moscow_mountain-10-raw-Florinsky,0.039816895965486765,23060,2
moscow_mountain-10-raw-FVSlope,0.04957151098642498,29240,3
moscow_mountain-10-raw-GDAL,0.16672619292512536,59904,4
moscow_mountain-10-conditioned-Horn,0.14755835302639753,38396,5
moscow_mountain-10-conditioned-Florinsky,0.040160891017876565,23408,6
moscow_mountain-10-conditioned-FVSlope,0.04946201900020242,29552,7
moscow_mountain-10-conditioned-GDAL,0.1798982829786837,61440,8
moscow_mountain-30-raw-Horn,0.04033683403395116,20128,9
moscow_mountain-30-raw-Florinsky,0.018845073995180428,18544,10
moscow_mountain-30-raw-FVSlope,0.023217210895381868,19384,11
moscow_mountain-30-raw-GDAL,0.07884297997225076,59116,12
moscow_mountain-30-conditioned-Horn,0.035964139038696885,19968,13
moscow_mountain-30-conditioned-Florinsky,0.020321244024671614,18416,14
moscow_mountain-30-conditioned-FVSlope,0.02373288304079324,19004,15
moscow_mountain-30-conditioned-GDAL,0.08147872006520629,59116,16
topanga-10-raw-Horn,0.0763191890437156,25740,17
topanga-10-raw-Florinsky,0.02664586598984897,19516,18
topanga-10-raw-FVSlope,0.028215594007633626,21944,19
topanga-10-raw-GDAL,0.10314066999126226,59120,20
topanga-10-conditioned-Horn,0.07571944501250982,26084,21
topanga-10-conditioned-Florinsky,0.02816327498294413,19284,22
topanga-10-conditioned-FVSlope,0.03369088494218886,21500,23
topanga-10-conditioned-GDAL,0.10566509398631752,59112,24
topanga-30-raw-Horn,0.02885973802767694,18392,25
topanga-30-raw-Florinsky,0.018742708023637533,18816,26
topanga-30-raw-FVSlope,0.022696193074807525,19200,27
topanga-30-raw-GDAL,0.07239622599445283,59120,28
topanga-30-conditioned-Horn,0.033600363065488636,19436,29
topanga-30-conditioned-Florinsky,0.0201398020144552,18816,30
topanga-30-conditioned-FVSlope,0.02448296407237649,19200,31
topanga-30-conditioned-GDAL,0.07108133507426828,59136,32
az_ponderosa-10-raw-Horn,0.44166253600269556,94708,33
az_ponderosa-10-raw-Florinsky,0.10246070404537022,39432,34
az_ponderosa-10-raw-FVSlope,0.12246333493385464,67464,35
az_ponderosa-10-raw-GDAL,0.4095840030349791,62592,36
az_ponderosa-10-conditioned-Horn,0.44608210399746895,94204,37
az_ponderosa-10-conditioned-Florinsky,0.10532901401165873,39048,38
az_ponderosa-10-conditioned-FVSlope,0.1195228099822998,66312,39
az_ponderosa-10-conditioned-GDAL,0.4317077429732308,67968,40
az_ponderosa-30-raw-Horn,0.0744036219548434,26064,41
az_ponderosa-30-raw-Florinsky,0.029955173027701676,19680,42
az_ponderosa-30-raw-FVSlope,0.034280044957995415,21832,43
az_ponderosa-30-raw-GDAL,0.10573382198344916,59220,44
az_ponderosa-30-conditioned-Horn,0.07275119703263044,26204,45
az_ponderosa-30-conditioned-Florinsky,0.028421221999451518,19536,46
az_ponderosa-30-conditioned-FVSlope,0.03291253198403865,22756,47
az_ponderosa-30-conditioned-GDAL,0.1177856830181554,58792,48
