site,resolution_m,terrain,method,basin_cells,basin_area_m2,slope_valid,steep,intersection_true,intersection_unknown,T,T_lower,T_upper,probability_F05_S025_R20mm_D15min
moscow_mountain,10,raw,Horn,66447,6644700,66447,14605,6972,0,0.1049257302812768,0.1049257302812768,0.1049257302812768,0.9994073957601575
moscow_mountain,10,raw,Florinsky,66447,6644700,66447,15715,7520,0,0.11317290472105587,0.11317290472105587,0.11317290472105587,0.9994461251764296
moscow_mountain,10,raw,FVSlope,66447,6644700,66447,14776,7022,0,0.10567820970096468,0.10567820970096468,0.10567820970096468,0.9994110389197288
moscow_mountain,10,raw,GDAL_Horn,66447,6644700,66447,14605,6972,0,0.1049257302812768,0.1049257302812768,0.1049257302812768,0.9994073957601575
moscow_mountain,10,conditioned,Horn,66447,6644700,66447,14603,6971,0,0.10491068069288305,0.10491068069288305,0.10491068069288305,0.9994073226677016
moscow_mountain,10,conditioned,Florinsky,66447,6644700,66447,15713,7520,0,0.11317290472105587,0.11317290472105587,0.11317290472105587,0.9994461251764296
moscow_mountain,10,conditioned,FVSlope,66447,6644700,66447,14777,7021,0,0.10566316011257092,0.10566316011257092,0.10566316011257092,0.9994109662763594
moscow_mountain,10,conditioned,GDAL_Horn,66447,6644700,66447,14603,6971,0,0.10491068069288305,0.10491068069288305,0.10491068069288305,0.9994073226677016
moscow_mountain,30,raw,Horn,7304,6573600,7304,738,316,0,0.04326396495071194,0.04326396495071194,0.04326396495071194,0.9990178309976281
moscow_mountain,30,raw,Florinsky,7304,6573600,7304,954,425,0,0.058187294633077764,0.058187294633077764,0.058187294633077764,0.9991308591254978
moscow_mountain,30,raw,FVSlope,7304,6573600,7304,982,438,0,0.059967141292442495,0.059967141292442495,0.059967141292442495,0.9991434411087573
moscow_mountain,30,raw,GDAL_Horn,7304,6573600,7304,738,316,0,0.04326396495071194,0.04326396495071194,0.04326396495071194,0.9990178309976281
moscow_mountain,30,conditioned,Horn,7304,6573600,7304,739,316,0,0.04326396495071194,0.04326396495071194,0.04326396495071194,0.9990178309976281
moscow_mountain,30,conditioned,Florinsky,7304,6573600,7304,953,425,0,0.058187294633077764,0.058187294633077764,0.058187294633077764,0.9991308591254978
moscow_mountain,30,conditioned,FVSlope,7304,6573600,7304,982,438,0,0.059967141292442495,0.059967141292442495,0.059967141292442495,0.9991434411087573
moscow_mountain,30,conditioned,GDAL_Horn,7304,6573600,7304,739,316,0,0.04326396495071194,0.04326396495071194,0.04326396495071194,0.9990178309976281
topanga,10,raw,Horn,49917,4991700,49917,27000,13575,0,0.2719514393893864,0.2719514393893864,0.2719514393893864,0.9998492899136288
topanga,10,raw,Florinsky,49917,4991700,49917,28242,14149,0,0.2834505278762746,0.2834505278762746,0.2834505278762746,0.9998628494716889
topanga,10,raw,FVSlope,49917,4991700,49917,28484,14342,0,0.28731694613057673,0.28731694613057673,0.28731694613057673,0.9998671290017089
topanga,10,raw,GDAL_Horn,49917,4991700,49917,27000,13575,0,0.2719514393893864,0.2719514393893864,0.2719514393893864,0.9998492899136288
topanga,10,conditioned,Horn,49917,4991700,49917,26999,13573,0,0.2719113728789791,0.2719113728789791,0.2719113728789791,0.9998492403978566
topanga,10,conditioned,Florinsky,49917,4991700,49917,28245,14150,0,0.2834705611314782,0.2834705611314782,0.2834705611314782,0.9998628719968359
topanga,10,conditioned,FVSlope,49917,4991700,49917,28476,14338,0,0.2872368131097622,0.2872368131097622,0.2872368131097622,0.9998670416763233
topanga,10,conditioned,GDAL_Horn,49917,4991700,49917,26999,13573,0,0.2719113728789791,0.2719113728789791,0.2719113728789791,0.9998492403978566
topanga,30,raw,Horn,5542,4987800,5542,1003,569,0,0.10267051605918441,0.10267051605918441,0.10267051605918441,0.9993963415936208
topanga,30,raw,Florinsky,5542,4987800,5542,1244,670,0,0.12089498376037532,0.12089498376037532,0.12089498376037532,0.9994800921168746
topanga,30,raw,FVSlope,5542,4987800,5542,1420,771,0,0.13911945146156623,0.13911945146156623,0.13911945146156623,0.9995522284433622
topanga,30,raw,GDAL_Horn,5542,4987800,5542,1003,569,0,0.10267051605918441,0.10267051605918441,0.10267051605918441,0.9993963415936208
topanga,30,conditioned,Horn,5542,4987800,5542,1003,569,0,0.10267051605918441,0.10267051605918441,0.10267051605918441,0.9993963415936208
topanga,30,conditioned,Florinsky,5542,4987800,5542,1244,670,0,0.12089498376037532,0.12089498376037532,0.12089498376037532,0.9994800921168746
topanga,30,conditioned,FVSlope,5542,4987800,5542,1421,771,0,0.13911945146156623,0.13911945146156623,0.13911945146156623,0.9995522284433622
topanga,30,conditioned,GDAL_Horn,5542,4987800,5542,1003,569,0,0.10267051605918441,0.10267051605918441,0.10267051605918441,0.9993963415936208
az_ponderosa,10,raw,Horn,229858,22985800,229858,35427,16358,0,0.07116567620008875,0.07116567620008875,0.07116567620008875,0.9992185350941472
az_ponderosa,10,raw,Florinsky,229858,22985800,229858,36835,17074,0,0.07428064283166129,0.07428064283166129,0.07428064283166129,0.9992382280562263
az_ponderosa,10,raw,FVSlope,229858,22985800,229858,35754,16571,0,0.07209233526786103,0.07209233526786103,0.07209233526786103,0.9992244460455807
az_ponderosa,10,raw,GDAL_Horn,229858,22985800,229858,35427,16358,0,0.07116567620008875,0.07116567620008875,0.07116567620008875,0.9992185350941472
az_ponderosa,10,conditioned,Horn,229858,22985800,229858,35420,16354,0,0.07114827415186767,0.07114827415186767,0.07114827415186767,0.9992184236608145
az_ponderosa,10,conditioned,Florinsky,229858,22985800,229858,36829,17072,0,0.07427194180755074,0.07427194180755074,0.07427194180755074,0.9992381737444874
az_ponderosa,10,conditioned,FVSlope,229858,22985800,229858,35738,16567,0,0.07207493321963995,0.07207493321963995,0.07207493321963995,0.9992243354544683
az_ponderosa,10,conditioned,GDAL_Horn,229858,22985800,229858,35420,16354,0,0.07114827415186767,0.07114827415186767,0.07114827415186767,0.9992184236608145
az_ponderosa,30,raw,Horn,25516,22964400,25516,2431,1105,0,0.043306160840257096,0.043306160840257096,0.043306160840257096,0.999018170441895
az_ponderosa,30,raw,Florinsky,25516,22964400,25516,2678,1196,0,0.04687255055651356,0.04687255055651356,0.04687255055651356,0.9990464406865269
az_ponderosa,30,raw,FVSlope,25516,22964400,25516,2762,1280,0,0.05016460260228876,0.05016460260228876,0.05016460260228876,0.9990718139482024
az_ponderosa,30,raw,GDAL_Horn,25516,22964400,25516,2431,1105,0,0.043306160840257096,0.043306160840257096,0.043306160840257096,0.999018170441895
az_ponderosa,30,conditioned,Horn,25516,22964400,25516,2429,1104,0,0.043266969744474054,0.043266969744474054,0.043266969744474054,0.9990178551735278
az_ponderosa,30,conditioned,Florinsky,25516,22964400,25516,2675,1195,0,0.04683335946073052,0.04683335946073052,0.04683335946073052,0.9990461344871512
az_ponderosa,30,conditioned,FVSlope,25516,22964400,25516,2759,1278,0,0.050086220410722686,0.050086220410722686,0.050086220410722686,0.9990712177340025
az_ponderosa,30,conditioned,GDAL_Horn,25516,22964400,25516,2429,1104,0,0.043266969744474054,0.043266969744474054,0.043266969744474054,0.9990178551735278
