site,resolution_m,common_cells,threshold_crossings,T_raw,T_conditioned,T_delta
moscow_mountain,10,66447,2,0.1049257302812768,0.10491068069288305,-1.5049588393753477e-05
moscow_mountain,30,7304,1,0.04326396495071194,0.04326396495071194,0.0
topanga,10,49917,3,0.2719514393893864,0.2719113728789791,-4.006651040727727e-05
topanga,30,5542,0,0.10267051605918441,0.10267051605918441,0.0
az_ponderosa,10,229858,11,0.07116567620008875,0.07114827415186767,-1.7402048221079602e-05
az_ponderosa,30,25516,2,0.043306160840257096,0.043266969744474054,-3.919109578304214e-05
