AFFGEOID,MUKEY,source,lng,lat
0500000US01005,328231,surgo,-85.39347623363672,31.86954472026428
0500000US01023,328565,surgo,-88.26416791735186,32.01990550873176
0500000US01035,328744,surgo,-86.99420901677775,31.429997476499857
0500000US01051,329289,surgo,-86.14914411391459,32.59671547434404
0500000US01065,329765,surgo,-87.62981618496855,32.76279709639936
0500000US01109,331318,surgo,-85.94176382246789,31.802750354826276
0500000US01113,331342,surgo,-85.18525481045039,32.28864258249204
0500000US01117,331451,surgo,-86.66085982726237,33.26495087923108
0500000US04015,52279,surgo,-113.76244587343521,35.69878613475186
0500000US05011,565137,surgo,-92.16258722287901,33.46665319405618
0500000US05015,565214,surgo,-93.5390790900142,36.34153215331095
0500000US05019,564791,surgo,-93.17652183418168,34.0509412895286
0500000US05025,565295,surgo,-92.18551964417986,33.898647935500186
0500000US05063,565732,surgo,-91.57047169637238,35.74183468239726
0500000US05067,565806,surgo,-91.21546557382112,35.59921204909521
0500000US05091,673597,statsgo,-93.89219008957478,33.312361911149914
0500000US05121,564488,surgo,-91.0280031284214,36.34203905821874
0500000US06001,2747731,surgo,-121.88952760049732,37.64733441364777
0500000US06005,462328,surgo,-120.6516439443115,38.44738159959674
0500000US06013,455872,surgo,-121.92867353082862,37.91952163993547
0500000US06023,660832,statsgo,-123.87704248585258,40.69728482975878
0500000US06037,2408054,surgo,-118.26057109876812,34.26473985356933
0500000US06047,463135,surgo,-120.71846687361969,37.192553938995026
0500000US06067,461957,surgo,-121.34515402984535,38.449625509962495
0500000US06085,2747715,surgo,-121.69534124368067,37.231812226566205
0500000US06115,460521,surgo,-121.35254024725742,39.26921209891001
0500000US08013,762965,surgo,-105.35793283437093,40.093063428688794
0500000US08029,509571,surgo,-107.8638683908849,38.86218944025177
0500000US08049,659495,statsgo,-106.11886446832892,40.102848699129055
0500000US08091,505161,surgo,-107.77000569259413,38.15581867832766
0500000US09009,286116,surgo,-72.93196168712332,41.410969069288086
0500000US11001,128672,surgo,-77.0172685670062,38.90546160914129
0500000US12009,1473377,surgo,-80.73263791430362,28.29360575717905
0500000US12023,797458,surgo,-82.62191489397924,30.22429717056436
0500000US12039,1381605,surgo,-84.61377537063886,30.57975393195041
0500000US12065,700467,surgo,-83.89626846127862,30.437888219575996
0500000US12073,1454443,surgo,-84.27834493212639,30.458262562753763
0500000US12095,323159,surgo,-81.32382536360201,28.514527793100186
0500000US12107,1530343,surgo,-81.74426859774344,29.608903413428386
0500000US12117,1478704,surgo,-81.2364664294064,28.71749640568616
0500000US12123,1425200,surgo,-83.60368608925236,30.04762751587987
0500000US12133,2398479,surgo,-85.66561419135438,30.61102462523146
0500000US13009,125201,surgo,-83.24974394957837,33.069719407445774
0500000US13013,125331,surgo,-83.71306917410367,33.9938620425246
0500000US13027,325452,surgo,-83.58069509572256,30.842026204261696
0500000US13073,125548,surgo,-82.26477924935224,33.54412664535201
0500000US13103,1701112,surgo,-81.34178480210619,32.367888843506385
0500000US13149,125617,surgo,-85.12894969833987,33.29711044110802
0500000US13179,733696,surgo,-81.4950118088024,31.82882827430336
0500000US13189,125556,surgo,-82.48163977303977,33.48290728996082
0500000US13205,325178,surgo,-84.19520830477923,31.225311400157562
0500000US13229,124928,surgo,-82.21338056108048,31.359432966773596
0500000US13267,325535,surgo,-82.05843997679666,32.04630827845329
0500000US13291,531761,surgo,-83.99139439735194,34.834548576091585
0500000US13305,125104,surgo,-81.91680525159865,31.552105087577118
0500000US13319,326355,surgo,-83.1720539915407,32.80277853763052
0500000US15007,None,None,-159.62537283146574,22.035309864988317
0500000US16015,662082,statsgo,-115.73180095145557,43.9892833087768
0500000US16027,80838,surgo,-116.70954927192787,43.625661619132806
0500000US16037,661943,statsgo,-114.2802396621243,44.24151717531969
0500000US16039,661870,statsgo,-115.47042359126709,43.35315092838278
0500000US16043,150381,surgo,-111.483143891435,44.228663663498196
0500000US16061,79610,surgo,-116.42675198941907,46.23758240451958
0500000US16083,661793,statsgo,-114.66729808521444,42.35619035695758
0500000US16085,661946,statsgo,-115.5685116476631,44.766321498379526
0500000US17097,634373,surgo,-88.00392140181403,42.32339790516808
0500000US17107,1595762,surgo,-89.36793476658896,40.124521088590015
0500000US17197,262328,surgo,-87.97922015836356,41.44540453307883
0500000US18007,164540,surgo,-87.31181029709859,40.606985721395375
0500000US18027,162946,surgo,-87.0722567004877,38.70302717744125
0500000US18061,1678191,surgo,-86.11188624450283,38.195331579815644
0500000US18103,161953,surgo,-86.04580042066355,40.769393164737146
0500000US18123,535667,surgo,-86.63816605988906,38.080293002636495
0500000US18157,163953,surgo,-86.89449582052134,40.389154573060146
0500000US18175,535471,surgo,-86.10565174941803,38.59999782261806
0500000US19041,636489,surgo,-95.15160562972486,43.08279761082528
0500000US19045,404362,surgo,-90.53238206915894,41.89818286257421
