year,sim_day_index,julian,month,day_of_month,water_year,n_ofe,audit_full_physical_closure_residual_mm,audit_full_implied_unresolved_term_mm,audit_full_max_abs_ofe_closure_residual_mm,audit_full_outlier_ofe_id,audit_full_outlier_ofe_closure_residual_mm,audit_chain_max_abs_subsurface_transfer_residual_m3,audit_chain_max_abs_surface_transfer_residual_m3_geometry_sensitive,audit_outlet_ofe_id,audit_outlet_runvol_vs_qofe_residual_m3,audit_closure_reconstructed_with_storage_mm,audit_closure_reconstructed_with_enriched_storage_mm,audit_runoff_consistency_mm,audit_rain_melt_reported_mm,audit_precip_reported_mm,audit_runoff_reported_mm,ofe_up,ofe_down,audit_chain_subsurface_transfer_residual_m3,audit_chain_surface_transfer_residual_m3_geometry_sensitive,abs_chain_subsurface_transfer_residual_m3,abs_chain_surface_transfer_residual_m3_geometry_sensitive,abs_full_physical_closure_residual_mm,abs_outlet_runvol_vs_qofe_residual_m3
3,785,55,2,24,3,1,-78.08999999999989,-78.08999999999989,78.08999999999997,1,-78.08999999999997,,,1,0.0,0.010000000000033538,0.010000000000033538,0.0,0.0,78.10000000000001,0.0,,,,,,,78.08999999999989,0.0
33,11714,26,1,26,33,1,74.68000000000004,74.68000000000004,74.67999999999999,1,74.67999999999999,,,1,0.0,-1.412203687323199e-13,-1.412203687323199e-13,0.0,74.68,0.0,0.0,,,,,,,74.68000000000004,0.0
3,791,61,3,2,3,1,66.68999999999986,66.68999999999986,66.68999999999994,1,66.68999999999994,,,1,0.0,-6.838973831690964e-14,-6.838973831690964e-14,0.0,66.69,0.0,0.0,,,,,,,66.68999999999986,0.0
15,5138,25,1,25,15,1,-62.290000000000006,-62.290000000000006,62.29000000000004,1,-62.29000000000004,,,1,0.0,0.009999999999962483,0.009999999999962483,0.0,0.0,62.300000000000004,0.0,,,,,,,62.290000000000006,0.0
36,12834,51,2,20,36,1,-57.49999999999993,-57.49999999999993,57.49999999999996,1,-57.49999999999996,,,1,0.0,4.263256414560601e-14,4.263256414560601e-14,0.0,0.0,57.5,0.0,,,,,,,57.49999999999993,0.0
33,11694,6,1,6,33,1,-56.99999999999993,-56.99999999999993,56.99999999999995,1,-56.99999999999995,,,1,0.0,-6.394884621840902e-14,1.6342482922482304e-13,0.0,0.0,57.0,0.0,,,,,,,56.99999999999993,0.0
10,3310,23,1,23,10,1,51.60167000000025,51.60167000000025,51.60167000000011,1,51.60167000000011,,,1,-0.481274517300335,0.012790964108468472,0.012790964108468472,0.0,55.59000000000002,4.0,51.19720903589164,,,,,,,51.60167000000025,0.481274517300335
3,1084,354,12,20,4,1,-50.71000000000001,-50.71000000000001,50.710000000000086,1,-50.710000000000086,,,1,0.0,-0.009999999999976694,-0.009999999999976694,0.0,0.0,50.699999999999996,0.0,,,,,,,50.71000000000001,0.0
3,1086,356,12,22,4,1,50.700000000000024,50.700000000000024,50.70000000000006,1,50.70000000000006,,,1,0.0,5.861977570020827e-14,5.861977570020827e-14,0.0,50.699999999999996,0.0,0.0,,,,,,,50.700000000000024,0.0
50,18252,355,12,21,51,1,-49.700000000000074,-49.700000000000074,49.70000000000005,1,-49.70000000000005,,,1,0.0,-1.6342482922482304e-13,-4.973799150320701e-14,0.0,0.0,49.7,0.0,,,,,,,49.700000000000074,0.0
23,8385,350,12,16,24,1,-47.71999999999973,-47.71999999999973,47.71999999999987,1,-47.71999999999987,,,1,0.0,2.4868995751603507e-13,2.4868995751603507e-13,0.0,1.4799999999999998,49.2,0.0,,,,,,,47.71999999999973,0.0
6,1882,56,2,25,6,1,47.300000000000026,47.300000000000026,47.300000000000004,1,47.300000000000004,,,1,0.0,8.881784197001252e-15,8.881784197001252e-15,0.0,47.3,0.0,0.0,,,,,,,47.300000000000026,0.0
35,12498,80,3,21,35,1,-45.909999999999904,-45.909999999999904,45.90999999999996,1,-45.90999999999996,,,1,0.0,-0.009999999999955378,-0.009999999999955378,0.0,0.0,45.900000000000006,0.0,,,,,,,45.909999999999904,0.0
15,5152,39,2,8,15,1,44.910000000000146,44.910000000000146,44.91000000000015,1,44.91000000000015,,,1,0.0,0.020000000000149676,0.020000000000149676,0.0,44.89,0.0,0.0,,,,,,,44.910000000000146,0.0
45,16101,30,1,30,45,1,-44.899999999999956,-44.899999999999956,44.90000000000002,1,-44.90000000000002,,,1,0.0,-1.4210854715202004e-14,-1.4210854715202004e-14,0.0,0.0,44.900000000000006,0.0,,,,,,,44.899999999999956,0.0
46,16743,307,11,3,47,1,-44.79999999999991,-44.79999999999991,44.79999999999995,1,-44.79999999999995,,,1,0.0,1.6342482922482304e-13,1.6342482922482304e-13,0.0,0.0,44.8,0.0,,,,,,,44.79999999999991,0.0
46,16744,308,11,4,47,1,44.79862999999982,44.79862999999982,44.79862999999989,1,44.79862999999989,,,1,0.004516060300034042,-0.0013805186155515514,-0.0013805186155515514,0.0,76.2,31.4,1.6413805186153132,,,,,,,44.79862999999982,0.004516060300034042
49,17584,52,2,21,49,1,-44.699999999999804,-44.699999999999804,44.6999999999999,1,-44.6999999999999,,,1,0.0,-0.009999999999777742,9.947598300641403e-14,0.0,0.0,44.7,0.0,,,,,,,44.699999999999804,0.0
29,10284,57,2,26,29,1,-44.68999999999994,-44.68999999999994,44.69000000000011,1,-44.69000000000011,,,1,0.0,0.009999999999891429,0.009999999999891429,0.0,0.0,44.7,0.0,,,,,,,44.68999999999994,0.0
45,16424,353,12,19,46,1,-44.17999999999997,-44.17999999999997,44.17999999999991,1,-44.17999999999991,,,1,0.0,8.526512829121202e-14,8.526512829121202e-14,0.0,9.82,53.99999999999999,0.0,,,,,,,44.17999999999997,0.0
