family,role,runid,config,wepp_id,late_max_abs_ofe_closure_residual_mm_max_abs,requires_scientific_review_days,staged_runs_dir,run_file,shared_context_files,missing_shared_context,top_days_csv_path,summary_json_path
D1,contrast,cochlear-beriberi,disturbed9002-mofe,262,99.52819999999991,0,/wc1/runs/co/cochlear-beriberi/wepp/runs,/wc1/runs/co/cochlear-beriberi/wepp/runs/p262.run,/wc1/runs/co/cochlear-beriberi/wepp/runs/wepp_ui.txt;/wc1/runs/co/cochlear-beriberi/wepp/runs/pmetpara.txt;/wc1/runs/co/cochlear-beriberi/wepp/runs/snow.txt;/wc1/runs/co/cochlear-beriberi/wepp/runs/gwcoeff.txt;/wc1/runs/co/cochlear-beriberi/wepp/runs/chan.inp;/wc1/runs/co/cochlear-beriberi/wepp/runs/chntyp.txt;/wc1/runs/co/cochlear-beriberi/wepp/runs/tc.txt,,/workdir/wepppy/docs/mini-work-packages/20260502_rq_replay_mofe_260501_validation/artifacts/cochlear-beriberi_disturbed9002-mofe/H262/hillslope_mofe_daily_closure_audit_top_days.csv,/workdir/wepppy/docs/mini-work-packages/20260502_rq_replay_mofe_260501_validation/artifacts/cochlear-beriberi_disturbed9002-mofe/H262/hillslope_mofe_daily_closure_audit_summary.json
D1,median,cochlear-beriberi,disturbed9002-mofe,35,1346.3710000000003,109,/wc1/runs/co/cochlear-beriberi/wepp/runs,/wc1/runs/co/cochlear-beriberi/wepp/runs/p35.run,/wc1/runs/co/cochlear-beriberi/wepp/runs/wepp_ui.txt;/wc1/runs/co/cochlear-beriberi/wepp/runs/pmetpara.txt;/wc1/runs/co/cochlear-beriberi/wepp/runs/snow.txt;/wc1/runs/co/cochlear-beriberi/wepp/runs/gwcoeff.txt;/wc1/runs/co/cochlear-beriberi/wepp/runs/chan.inp;/wc1/runs/co/cochlear-beriberi/wepp/runs/chntyp.txt;/wc1/runs/co/cochlear-beriberi/wepp/runs/tc.txt,,/workdir/wepppy/docs/mini-work-packages/20260502_rq_replay_mofe_260501_validation/artifacts/cochlear-beriberi_disturbed9002-mofe/H35/hillslope_mofe_daily_closure_audit_top_days.csv,/workdir/wepppy/docs/mini-work-packages/20260502_rq_replay_mofe_260501_validation/artifacts/cochlear-beriberi_disturbed9002-mofe/H35/hillslope_mofe_daily_closure_audit_summary.json
D1,worst,cochlear-beriberi,disturbed9002-mofe,461,2926.687999999999,84,/wc1/runs/co/cochlear-beriberi/wepp/runs,/wc1/runs/co/cochlear-beriberi/wepp/runs/p461.run,/wc1/runs/co/cochlear-beriberi/wepp/runs/wepp_ui.txt;/wc1/runs/co/cochlear-beriberi/wepp/runs/pmetpara.txt;/wc1/runs/co/cochlear-beriberi/wepp/runs/snow.txt;/wc1/runs/co/cochlear-beriberi/wepp/runs/gwcoeff.txt;/wc1/runs/co/cochlear-beriberi/wepp/runs/chan.inp;/wc1/runs/co/cochlear-beriberi/wepp/runs/chntyp.txt;/wc1/runs/co/cochlear-beriberi/wepp/runs/tc.txt,,/workdir/wepppy/docs/mini-work-packages/20260502_rq_replay_mofe_260501_validation/artifacts/cochlear-beriberi_disturbed9002-mofe/H461/hillslope_mofe_daily_closure_audit_top_days.csv,/workdir/wepppy/docs/mini-work-packages/20260502_rq_replay_mofe_260501_validation/artifacts/cochlear-beriberi_disturbed9002-mofe/H461/hillslope_mofe_daily_closure_audit_summary.json
D2b1,contrast,ordained-incentive,disturbed9002-wbt-mofe,317,87.53070000000001,0,/wc1/runs/or/ordained-incentive/wepp/runs,/wc1/runs/or/ordained-incentive/wepp/runs/p317.run,/wc1/runs/or/ordained-incentive/wepp/runs/wepp_ui.txt;/wc1/runs/or/ordained-incentive/wepp/runs/pmetpara.txt;/wc1/runs/or/ordained-incentive/wepp/runs/snow.txt;/wc1/runs/or/ordained-incentive/wepp/runs/gwcoeff.txt;/wc1/runs/or/ordained-incentive/wepp/runs/chan.inp;/wc1/runs/or/ordained-incentive/wepp/runs/chntyp.txt;/wc1/runs/or/ordained-incentive/wepp/runs/tc.txt,,/workdir/wepppy/docs/mini-work-packages/20260502_rq_replay_mofe_260501_validation/artifacts/ordained-incentive_disturbed9002-wbt-mofe/H317/hillslope_mofe_daily_closure_audit_top_days.csv,/workdir/wepppy/docs/mini-work-packages/20260502_rq_replay_mofe_260501_validation/artifacts/ordained-incentive_disturbed9002-wbt-mofe/H317/hillslope_mofe_daily_closure_audit_summary.json
D2b1,median,ordained-incentive,disturbed9002-wbt-mofe,195,141.17440000000008,3,/wc1/runs/or/ordained-incentive/wepp/runs,/wc1/runs/or/ordained-incentive/wepp/runs/p195.run,/wc1/runs/or/ordained-incentive/wepp/runs/wepp_ui.txt;/wc1/runs/or/ordained-incentive/wepp/runs/pmetpara.txt;/wc1/runs/or/ordained-incentive/wepp/runs/snow.txt;/wc1/runs/or/ordained-incentive/wepp/runs/gwcoeff.txt;/wc1/runs/or/ordained-incentive/wepp/runs/chan.inp;/wc1/runs/or/ordained-incentive/wepp/runs/chntyp.txt;/wc1/runs/or/ordained-incentive/wepp/runs/tc.txt,,/workdir/wepppy/docs/mini-work-packages/20260502_rq_replay_mofe_260501_validation/artifacts/ordained-incentive_disturbed9002-wbt-mofe/H195/hillslope_mofe_daily_closure_audit_top_days.csv,/workdir/wepppy/docs/mini-work-packages/20260502_rq_replay_mofe_260501_validation/artifacts/ordained-incentive_disturbed9002-wbt-mofe/H195/hillslope_mofe_daily_closure_audit_summary.json
D2b1,worst,cochlear-beriberi,disturbed9002-mofe,495,288.4503999999999,2,/wc1/runs/co/cochlear-beriberi/wepp/runs,/wc1/runs/co/cochlear-beriberi/wepp/runs/p495.run,/wc1/runs/co/cochlear-beriberi/wepp/runs/wepp_ui.txt;/wc1/runs/co/cochlear-beriberi/wepp/runs/pmetpara.txt;/wc1/runs/co/cochlear-beriberi/wepp/runs/snow.txt;/wc1/runs/co/cochlear-beriberi/wepp/runs/gwcoeff.txt;/wc1/runs/co/cochlear-beriberi/wepp/runs/chan.inp;/wc1/runs/co/cochlear-beriberi/wepp/runs/chntyp.txt;/wc1/runs/co/cochlear-beriberi/wepp/runs/tc.txt,,/workdir/wepppy/docs/mini-work-packages/20260502_rq_replay_mofe_260501_validation/artifacts/cochlear-beriberi_disturbed9002-mofe/H495/hillslope_mofe_daily_closure_audit_top_days.csv,/workdir/wepppy/docs/mini-work-packages/20260502_rq_replay_mofe_260501_validation/artifacts/cochlear-beriberi_disturbed9002-mofe/H495/hillslope_mofe_daily_closure_audit_summary.json
D2b2,contrast,cochlear-beriberi,disturbed9002-mofe,363,117.09419999999996,0,/wc1/runs/co/cochlear-beriberi/wepp/runs,/wc1/runs/co/cochlear-beriberi/wepp/runs/p363.run,/wc1/runs/co/cochlear-beriberi/wepp/runs/wepp_ui.txt;/wc1/runs/co/cochlear-beriberi/wepp/runs/pmetpara.txt;/wc1/runs/co/cochlear-beriberi/wepp/runs/snow.txt;/wc1/runs/co/cochlear-beriberi/wepp/runs/gwcoeff.txt;/wc1/runs/co/cochlear-beriberi/wepp/runs/chan.inp;/wc1/runs/co/cochlear-beriberi/wepp/runs/chntyp.txt;/wc1/runs/co/cochlear-beriberi/wepp/runs/tc.txt,,/workdir/wepppy/docs/mini-work-packages/20260502_rq_replay_mofe_260501_validation/artifacts/cochlear-beriberi_disturbed9002-mofe/H363/hillslope_mofe_daily_closure_audit_top_days.csv,/workdir/wepppy/docs/mini-work-packages/20260502_rq_replay_mofe_260501_validation/artifacts/cochlear-beriberi_disturbed9002-mofe/H363/hillslope_mofe_daily_closure_audit_summary.json
D2b2,median,cochlear-beriberi,disturbed9002-mofe,488,426.4532999999999,1,/wc1/runs/co/cochlear-beriberi/wepp/runs,/wc1/runs/co/cochlear-beriberi/wepp/runs/p488.run,/wc1/runs/co/cochlear-beriberi/wepp/runs/wepp_ui.txt;/wc1/runs/co/cochlear-beriberi/wepp/runs/pmetpara.txt;/wc1/runs/co/cochlear-beriberi/wepp/runs/snow.txt;/wc1/runs/co/cochlear-beriberi/wepp/runs/gwcoeff.txt;/wc1/runs/co/cochlear-beriberi/wepp/runs/chan.inp;/wc1/runs/co/cochlear-beriberi/wepp/runs/chntyp.txt;/wc1/runs/co/cochlear-beriberi/wepp/runs/tc.txt,,/workdir/wepppy/docs/mini-work-packages/20260502_rq_replay_mofe_260501_validation/artifacts/cochlear-beriberi_disturbed9002-mofe/H488/hillslope_mofe_daily_closure_audit_top_days.csv,/workdir/wepppy/docs/mini-work-packages/20260502_rq_replay_mofe_260501_validation/artifacts/cochlear-beriberi_disturbed9002-mofe/H488/hillslope_mofe_daily_closure_audit_summary.json
D2b2,worst,cochlear-beriberi,disturbed9002-mofe,13,473.0825999999999,1,/wc1/runs/co/cochlear-beriberi/wepp/runs,/wc1/runs/co/cochlear-beriberi/wepp/runs/p13.run,/wc1/runs/co/cochlear-beriberi/wepp/runs/wepp_ui.txt;/wc1/runs/co/cochlear-beriberi/wepp/runs/pmetpara.txt;/wc1/runs/co/cochlear-beriberi/wepp/runs/snow.txt;/wc1/runs/co/cochlear-beriberi/wepp/runs/gwcoeff.txt;/wc1/runs/co/cochlear-beriberi/wepp/runs/chan.inp;/wc1/runs/co/cochlear-beriberi/wepp/runs/chntyp.txt;/wc1/runs/co/cochlear-beriberi/wepp/runs/tc.txt,,/workdir/wepppy/docs/mini-work-packages/20260502_rq_replay_mofe_260501_validation/artifacts/cochlear-beriberi_disturbed9002-mofe/H13/hillslope_mofe_daily_closure_audit_top_days.csv,/workdir/wepppy/docs/mini-work-packages/20260502_rq_replay_mofe_260501_validation/artifacts/cochlear-beriberi_disturbed9002-mofe/H13/hillslope_mofe_daily_closure_audit_summary.json
D2b3,contrast,cochlear-beriberi,disturbed9002-mofe,363,117.09419999999996,0,/wc1/runs/co/cochlear-beriberi/wepp/runs,/wc1/runs/co/cochlear-beriberi/wepp/runs/p363.run,/wc1/runs/co/cochlear-beriberi/wepp/runs/wepp_ui.txt;/wc1/runs/co/cochlear-beriberi/wepp/runs/pmetpara.txt;/wc1/runs/co/cochlear-beriberi/wepp/runs/snow.txt;/wc1/runs/co/cochlear-beriberi/wepp/runs/gwcoeff.txt;/wc1/runs/co/cochlear-beriberi/wepp/runs/chan.inp;/wc1/runs/co/cochlear-beriberi/wepp/runs/chntyp.txt;/wc1/runs/co/cochlear-beriberi/wepp/runs/tc.txt,,/workdir/wepppy/docs/mini-work-packages/20260502_rq_replay_mofe_260501_validation/artifacts/cochlear-beriberi_disturbed9002-mofe/H363/hillslope_mofe_daily_closure_audit_top_days.csv,/workdir/wepppy/docs/mini-work-packages/20260502_rq_replay_mofe_260501_validation/artifacts/cochlear-beriberi_disturbed9002-mofe/H363/hillslope_mofe_daily_closure_audit_summary.json
D2b3,median,cochlear-beriberi,disturbed9002-mofe,215,252.47449999999984,4,/wc1/runs/co/cochlear-beriberi/wepp/runs,/wc1/runs/co/cochlear-beriberi/wepp/runs/p215.run,/wc1/runs/co/cochlear-beriberi/wepp/runs/wepp_ui.txt;/wc1/runs/co/cochlear-beriberi/wepp/runs/pmetpara.txt;/wc1/runs/co/cochlear-beriberi/wepp/runs/snow.txt;/wc1/runs/co/cochlear-beriberi/wepp/runs/gwcoeff.txt;/wc1/runs/co/cochlear-beriberi/wepp/runs/chan.inp;/wc1/runs/co/cochlear-beriberi/wepp/runs/chntyp.txt;/wc1/runs/co/cochlear-beriberi/wepp/runs/tc.txt,,/workdir/wepppy/docs/mini-work-packages/20260502_rq_replay_mofe_260501_validation/artifacts/cochlear-beriberi_disturbed9002-mofe/H215/hillslope_mofe_daily_closure_audit_top_days.csv,/workdir/wepppy/docs/mini-work-packages/20260502_rq_replay_mofe_260501_validation/artifacts/cochlear-beriberi_disturbed9002-mofe/H215/hillslope_mofe_daily_closure_audit_summary.json
D2b3,worst,cochlear-beriberi,disturbed9002-mofe,492,295.9816,7,/wc1/runs/co/cochlear-beriberi/wepp/runs,/wc1/runs/co/cochlear-beriberi/wepp/runs/p492.run,/wc1/runs/co/cochlear-beriberi/wepp/runs/wepp_ui.txt;/wc1/runs/co/cochlear-beriberi/wepp/runs/pmetpara.txt;/wc1/runs/co/cochlear-beriberi/wepp/runs/snow.txt;/wc1/runs/co/cochlear-beriberi/wepp/runs/gwcoeff.txt;/wc1/runs/co/cochlear-beriberi/wepp/runs/chan.inp;/wc1/runs/co/cochlear-beriberi/wepp/runs/chntyp.txt;/wc1/runs/co/cochlear-beriberi/wepp/runs/tc.txt,,/workdir/wepppy/docs/mini-work-packages/20260502_rq_replay_mofe_260501_validation/artifacts/cochlear-beriberi_disturbed9002-mofe/H492/hillslope_mofe_daily_closure_audit_top_days.csv,/workdir/wepppy/docs/mini-work-packages/20260502_rq_replay_mofe_260501_validation/artifacts/cochlear-beriberi_disturbed9002-mofe/H492/hillslope_mofe_daily_closure_audit_summary.json
D2b4,contrast,cochlear-beriberi,disturbed9002-mofe,363,117.09419999999996,0,/wc1/runs/co/cochlear-beriberi/wepp/runs,/wc1/runs/co/cochlear-beriberi/wepp/runs/p363.run,/wc1/runs/co/cochlear-beriberi/wepp/runs/wepp_ui.txt;/wc1/runs/co/cochlear-beriberi/wepp/runs/pmetpara.txt;/wc1/runs/co/cochlear-beriberi/wepp/runs/snow.txt;/wc1/runs/co/cochlear-beriberi/wepp/runs/gwcoeff.txt;/wc1/runs/co/cochlear-beriberi/wepp/runs/chan.inp;/wc1/runs/co/cochlear-beriberi/wepp/runs/chntyp.txt;/wc1/runs/co/cochlear-beriberi/wepp/runs/tc.txt,,/workdir/wepppy/docs/mini-work-packages/20260502_rq_replay_mofe_260501_validation/artifacts/cochlear-beriberi_disturbed9002-mofe/H363/hillslope_mofe_daily_closure_audit_top_days.csv,/workdir/wepppy/docs/mini-work-packages/20260502_rq_replay_mofe_260501_validation/artifacts/cochlear-beriberi_disturbed9002-mofe/H363/hillslope_mofe_daily_closure_audit_summary.json
