rule_id,threshold_name,perturbation,jaccard_with_baseline,stability
D2b1,severity_lower_100,-25%,1.0,stable
D2b2,severity_lower_100,-25%,1.0,stable
D2b3,severity_lower_100,-25%,1.0,stable
D2b4,severity_lower_100,-25%,1.0,stable
D2b5,severity_lower_100,-25%,1.0,stable
D2b1,severity_lower_100,-10%,1.0,stable
D2b2,severity_lower_100,-10%,1.0,stable
D2b3,severity_lower_100,-10%,1.0,stable
D2b4,severity_lower_100,-10%,1.0,stable
D2b5,severity_lower_100,-10%,1.0,stable
D2b1,severity_lower_100,+10%,0.926829,stable
D2b2,severity_lower_100,+10%,1.0,stable
D2b3,severity_lower_100,+10%,1.0,stable
D2b4,severity_lower_100,+10%,1.0,stable
D2b5,severity_lower_100,+10%,1.0,stable
D2b1,severity_lower_100,+25%,0.829268,stable
D2b2,severity_lower_100,+25%,1.0,stable
D2b3,severity_lower_100,+25%,1.0,stable
D2b4,severity_lower_100,+25%,1.0,stable
D2b5,severity_lower_100,+25%,1.0,stable
D2b1,severity_split_300,-25%,0.853659,stable
D2b2,severity_split_300,-25%,0.454545,unstable
D2b3,severity_split_300,-25%,0.307692,unstable
D2b4,severity_split_300,-25%,0.653846,unstable
D2b5,severity_split_300,-25%,1.0,stable
D2b1,severity_split_300,-10%,0.95122,stable
D2b2,severity_split_300,-10%,0.714286,stable
D2b3,severity_split_300,-10%,0.692308,unstable
D2b4,severity_split_300,-10%,0.809524,stable
D2b5,severity_split_300,-10%,1.0,stable
D2b1,severity_split_300,+10%,0.97619,stable
D2b2,severity_split_300,+10%,0.8,stable
D2b3,severity_split_300,+10%,0.866667,stable
D2b4,severity_split_300,+10%,0.882353,stable
D2b5,severity_split_300,+10%,1.0,stable
D2b1,severity_split_300,+25%,0.97619,stable
D2b2,severity_split_300,+25%,0.8,stable
D2b3,severity_split_300,+25%,0.722222,stable
D2b4,severity_split_300,+25%,0.705882,stable
D2b5,severity_split_300,+25%,1.0,stable
D2b1,severity_split_500,-25%,1.0,stable
D2b2,severity_split_500,-25%,0.2,unstable
D2b3,severity_split_500,-25%,1.0,stable
D2b4,severity_split_500,-25%,0.294118,unstable
D2b5,severity_split_500,-25%,0.657143,unstable
D2b1,severity_split_500,-10%,1.0,stable
D2b2,severity_split_500,-10%,0.8,stable
D2b3,severity_split_500,-10%,1.0,stable
D2b4,severity_split_500,-10%,0.411765,unstable
D2b5,severity_split_500,-10%,0.69697,unstable
D2b1,severity_split_500,+10%,1.0,stable
D2b2,severity_split_500,+10%,1.0,stable
D2b3,severity_split_500,+10%,1.0,stable
D2b4,severity_split_500,+10%,0.708333,stable
D2b5,severity_split_500,+10%,0.695652,unstable
D2b1,severity_split_500,+25%,1.0,stable
D2b2,severity_split_500,+25%,1.0,stable
D2b3,severity_split_500,+25%,1.0,stable
D2b4,severity_split_500,+25%,0.653846,unstable
D2b5,severity_split_500,+25%,0.608696,unstable
D2b1,severity_upper_1000,-25%,1.0,stable
D2b2,severity_upper_1000,-25%,1.0,stable
D2b3,severity_upper_1000,-25%,1.0,stable
D2b4,severity_upper_1000,-25%,1.0,stable
D2b5,severity_upper_1000,-25%,0.695652,unstable
D2b1,severity_upper_1000,-10%,1.0,stable
D2b2,severity_upper_1000,-10%,1.0,stable
D2b3,severity_upper_1000,-10%,1.0,stable
D2b4,severity_upper_1000,-10%,1.0,stable
D2b5,severity_upper_1000,-10%,0.826087,stable
D2b1,severity_upper_1000,+10%,1.0,stable
D2b2,severity_upper_1000,+10%,1.0,stable
D2b3,severity_upper_1000,+10%,1.0,stable
D2b4,severity_upper_1000,+10%,1.0,stable
D2b5,severity_upper_1000,+10%,1.0,stable
D2b1,severity_upper_1000,+25%,1.0,stable
D2b2,severity_upper_1000,+25%,1.0,stable
D2b3,severity_upper_1000,+25%,1.0,stable
D2b4,severity_upper_1000,+25%,1.0,stable
D2b5,severity_upper_1000,+25%,1.0,stable
D2b1,persistence_split_3,-25%,0.853659,stable
D2b2,persistence_split_3,-25%,0.6,unstable
D2b3,persistence_split_3,-25%,0.684211,unstable
D2b4,persistence_split_3,-25%,0.894737,stable
D2b5,persistence_split_3,-25%,1.0,stable
D2b1,persistence_split_3,-10%,0.853659,stable
D2b2,persistence_split_3,-10%,0.6,unstable
D2b3,persistence_split_3,-10%,0.684211,unstable
D2b4,persistence_split_3,-10%,0.894737,stable
D2b5,persistence_split_3,-10%,1.0,stable
D2b1,persistence_split_3,+10%,1.0,stable
D2b2,persistence_split_3,+10%,1.0,stable
D2b3,persistence_split_3,+10%,1.0,stable
D2b4,persistence_split_3,+10%,1.0,stable
D2b5,persistence_split_3,+10%,1.0,stable
D2b1,persistence_split_3,+25%,1.0,stable
D2b2,persistence_split_3,+25%,1.0,stable
D2b3,persistence_split_3,+25%,1.0,stable
D2b4,persistence_split_3,+25%,1.0,stable
D2b5,persistence_split_3,+25%,1.0,stable
D2b1,persistence_split_29,-25%,1.0,stable
