runid,config,wepp_id,family_primary,family_secondary,family_tertiary,family_rationale,cluster_label,rule_cluster_agreement
cochlear-beriberi,disturbed9002-mofe,1,D1,,,"D1 by outlier_is_outlet_ofe=True, late_max_abs_ofe_closure_residual_mm_max_abs=1049.162>1000, late_max_qofe_to_q_ratio_max_abs=18.000>=(n_ofe_max-0.01)=17.990.",-1,noise
cochlear-beriberi,disturbed9002-mofe,3,D_UNCLASSIFIED,,,No D1-D5 rule matched from topology/chain/storage/persistence thresholds.,2,agree
cochlear-beriberi,disturbed9002-mofe,13,D_UNCLASSIFIED,,,No D1-D5 rule matched from topology/chain/storage/persistence thresholds.,2,agree
cochlear-beriberi,disturbed9002-mofe,22,D1,,,"D1 by outlier_is_outlet_ofe=True, late_max_abs_ofe_closure_residual_mm_max_abs=2833.143>1000, late_max_qofe_to_q_ratio_max_abs=15.000>=(n_ofe_max-0.01)=14.990.",-1,noise
cochlear-beriberi,disturbed9002-mofe,25,D_UNCLASSIFIED,,,No D1-D5 rule matched from topology/chain/storage/persistence thresholds.,-1,noise
cochlear-beriberi,disturbed9002-mofe,32,D_UNCLASSIFIED,,,No D1-D5 rule matched from topology/chain/storage/persistence thresholds.,2,agree
cochlear-beriberi,disturbed9002-mofe,34,D_UNCLASSIFIED,,,No D1-D5 rule matched from topology/chain/storage/persistence thresholds.,2,agree
cochlear-beriberi,disturbed9002-mofe,35,D1,,,"D1 by outlier_is_outlet_ofe=True, late_max_abs_ofe_closure_residual_mm_max_abs=1346.371>1000, late_max_qofe_to_q_ratio_max_abs=12.000>=(n_ofe_max-0.01)=11.990.",-1,noise
cochlear-beriberi,disturbed9002-mofe,38,D_UNCLASSIFIED,,,No D1-D5 rule matched from topology/chain/storage/persistence thresholds.,2,agree
cochlear-beriberi,disturbed9002-mofe,42,D_UNCLASSIFIED,,,No D1-D5 rule matched from topology/chain/storage/persistence thresholds.,2,agree
cochlear-beriberi,disturbed9002-mofe,63,D_UNCLASSIFIED,,,No D1-D5 rule matched from topology/chain/storage/persistence thresholds.,2,agree
cochlear-beriberi,disturbed9002-mofe,65,D_UNCLASSIFIED,,,No D1-D5 rule matched from topology/chain/storage/persistence thresholds.,2,agree
cochlear-beriberi,disturbed9002-mofe,67,D_UNCLASSIFIED,,,No D1-D5 rule matched from topology/chain/storage/persistence thresholds.,2,agree
cochlear-beriberi,disturbed9002-mofe,68,D_UNCLASSIFIED,,,No D1-D5 rule matched from topology/chain/storage/persistence thresholds.,2,agree
cochlear-beriberi,disturbed9002-mofe,71,D_UNCLASSIFIED,,,No D1-D5 rule matched from topology/chain/storage/persistence thresholds.,2,agree
cochlear-beriberi,disturbed9002-mofe,80,D_UNCLASSIFIED,,,No D1-D5 rule matched from topology/chain/storage/persistence thresholds.,2,agree
