runid,config,wepp_bin,mods,multi_ofe,wd,staged_runs_dir,n_hillslopes_total,n_hillslopes_flagged,flag_rate_pct,max_abs_closure_mm_run_max,max_abs_ofe_closure_mm_run_max,wepp_nodb_path,wepp_nodb_source
moth-eaten-blackhead,disturbed9002-wbt-mofe,wepp_260501,disturbed;debris_flow;ash;treatments;rap_ts,True,/wc1/runs/mo/moth-eaten-blackhead,/wc1/runs/mo/moth-eaten-blackhead/wepp/runs,209,0,0.0,77.71385,78.3013,/wc1/runs/mo/moth-eaten-blackhead/wepp.nodb,live_wc1
cochlear-beriberi,disturbed9002-mofe,wepp_260501,disturbed;debris_flow;ash,True,/wc1/runs/co/cochlear-beriberi,/wc1/runs/co/cochlear-beriberi/wepp/runs,520,96,18.5,855.807381,2926.688,/wc1/runs/co/cochlear-beriberi/wepp.nodb,live_wc1
ordained-incentive,disturbed9002-wbt-mofe,wepp_260501,disturbed;debris_flow;ash;treatments;rap_ts,True,/wc1/runs/or/ordained-incentive,/wc1/runs/or/ordained-incentive/wepp/runs,333,36,10.8,210.425778,1003.0302,/wc1/runs/or/ordained-incentive/wepp.nodb,live_wc1
uninsured-deformation,disturbed9002-wbt-mofe,wepp_260501,disturbed;debris_flow;ash;treatments;rap_ts,True,/wc1/runs/un/uninsured-deformation,/wc1/runs/un/uninsured-deformation/wepp/runs,104,0,0.0,41.57,41.91,/wc1/runs/un/uninsured-deformation/wepp.nodb,live_wc1
