family,hypothesis,representative_worst,representative_median,representative_contrast,expected_observable,pass_fail_criterion,suggested_lane_type,candidate_incident_id,recommendation
D1,Outlet-OFE saturation spike: outlet outlier + ratio saturation drives extreme late-window residual.,cochlear-beriberi/H461,cochlear-beriberi/H35,cochlear-beriberi/H262,Move late_outlier_ofe_id away from n_ofe_max and reduce late_max_qofe_to_q_ratio_max_abs below (n_ofe_max-0.01) with lower late_max_abs_ofe_closure_residual_mm_max_abs.,PASS if outlet saturation signature disappears and flagged-day criteria no longer trigger.,G*,20260502_cochlear-beriberi_hillslope_outlet-ofe-saturation-spike,new_incident
D2,Mid-OFE chain anomaly: interior outlier coincides with chain-transfer residual signatures.,cochlear-beriberi/H349,cochlear-beriberi/H333,cochlear-beriberi/H166,"Reduce chain_surface_transfer_residual_m3_p99<=1e-3, chain_subsurface_transfer_residual_m3_p99<=1e-3, and runoff_pass_vs_outlet_qofe_residual_m3_max_abs<=1.0.",PASS if chain residual thresholds clear and interior outlier classification resolves.,G*,20260502_cochlear-beriberi_hillslope_mid-ofe-chain-anomaly,new_incident
D4,Single-day extreme: isolated closure spike with very few flagged days.,cochlear-beriberi/H285,cochlear-beriberi/H84,cochlear-beriberi/H166,Reduce worst-day late_max_abs_ofe_closure_residual_mm_max_abs below 500 and collapse requires_scientific_review_days from <=3 to 0.,PASS if one-day spike is removed and no review days remain.,G*,20260502_cochlear-beriberi_hillslope_single-day-closure-spike,extend_20260430_uncapped-spectacular_h2637_hillslope_closure-spike
D_UNCLASSIFIED,No rule-conforming mechanism detected in current D1-D5 taxonomy.,,,,Define new observable separating condition before ablation.,PASS criteria deferred pending new family definition.,G*,20260502_cochlear-beriberi_hillslope_unclassified,new_incident
