runid,config,wepp_id,family_primary,family_secondary,family_tertiary,family_rationale,storage_saturation_observed,cluster_label,rule_cluster_agreement
cochlear-beriberi,disturbed9002-mofe,1,D1,D6c,D3,"D1: outlier_is_outlet_ofe=True, late_max_abs_ofe_closure_residual_mm_max_abs=1049.162>1000.000, late_max_qofe_to_q_ratio_max_abs>=n_ofe_max-0.01.",True,-1,noise
cochlear-beriberi,disturbed9002-mofe,3,D2b4,,,"D2b4: cell (M2,T2) with severity=457.277 in [300,500) and requires_scientific_review_days=9 in [4,29].",False,2,agree
cochlear-beriberi,disturbed9002-mofe,13,D2b2,,,"D2b2: cell (M2,T1) with severity=473.083 in [300,500) and requires_scientific_review_days=1<=3.",False,2,agree
cochlear-beriberi,disturbed9002-mofe,22,D1,D6c,D3,"D1: outlier_is_outlet_ofe=True, late_max_abs_ofe_closure_residual_mm_max_abs=2833.143>1000.000, late_max_qofe_to_q_ratio_max_abs>=n_ofe_max-0.01.",True,-1,noise
cochlear-beriberi,disturbed9002-mofe,25,D6c,D2b,D3,D6c: requires_scientific_review_days=110>=30 and late_max_abs_ofe_closure_residual_mm_max_abs=887.803>500.000.,True,-1,noise
cochlear-beriberi,disturbed9002-mofe,32,D2b1,,,"D2b1: cell (M1,T1) with severity=126.534 in [100,300) and requires_scientific_review_days=1<=3.",False,2,disagree
cochlear-beriberi,disturbed9002-mofe,34,D2b4,,,"D2b4: cell (M2,T2) with severity=493.572 in [300,500) and requires_scientific_review_days=17 in [4,29].",False,2,agree
cochlear-beriberi,disturbed9002-mofe,35,D1,D6c,D3,"D1: outlier_is_outlet_ofe=True, late_max_abs_ofe_closure_residual_mm_max_abs=1346.371>1000.000, late_max_qofe_to_q_ratio_max_abs>=n_ofe_max-0.01.",True,-1,noise
cochlear-beriberi,disturbed9002-mofe,38,D2b3,,,"D2b3: cell (M1,T2) with severity=279.575 in [100,300) and requires_scientific_review_days=17 in [4,29].",False,2,disagree
cochlear-beriberi,disturbed9002-mofe,42,D2b5,,,"D2b5: cell (M3,T2) with severity=735.305 in [500,1000] and requires_scientific_review_days=20 in [4,29].",False,2,agree
cochlear-beriberi,disturbed9002-mofe,63,D2b5,,,"D2b5: cell (M3,T2) with severity=641.445 in [500,1000] and requires_scientific_review_days=26 in [4,29].",True,2,agree
cochlear-beriberi,disturbed9002-mofe,65,D2b5,,,"D2b5: cell (M3,T2) with severity=544.008 in [500,1000] and requires_scientific_review_days=5 in [4,29].",True,2,agree
cochlear-beriberi,disturbed9002-mofe,67,D6b,D6a,,"D6a: requires_scientific_review_days=1<=3 and late_max_abs_ofe_closure_residual_mm_max_abs in [100.000,500.000). Sparse-family merge: D6a population<3; reassigned to D6b.",False,2,disagree
cochlear-beriberi,disturbed9002-mofe,68,D2b5,,,"D2b5: cell (M3,T2) with severity=695.557 in [500,1000] and requires_scientific_review_days=4 in [4,29].",True,2,agree
cochlear-beriberi,disturbed9002-mofe,71,D2b2,,,"D2b2: cell (M2,T1) with severity=442.733 in [300,500) and requires_scientific_review_days=3<=3.",True,2,agree
cochlear-beriberi,disturbed9002-mofe,80,D6c,D2b,D3,D6c: requires_scientific_review_days=42>=30 and late_max_abs_ofe_closure_residual_mm_max_abs=976.967>500.000.,True,2,disagree
cochlear-beriberi,disturbed9002-mofe,84,D4,D2b,D3,D4: requires_scientific_review_days=2<=3 and late_max_abs_ofe_closure_residual_mm_max_abs=506.304>=500.000.,True,2,disagree
cochlear-beriberi,disturbed9002-mofe,94,D1,D6c,D3,"D1: outlier_is_outlet_ofe=True, late_max_abs_ofe_closure_residual_mm_max_abs=2391.639>1000.000, late_max_qofe_to_q_ratio_max_abs>=n_ofe_max-0.01.",True,-1,noise
cochlear-beriberi,disturbed9002-mofe,99,D2b5,,,"D2b5: cell (M3,T2) with severity=524.281 in [500,1000] and requires_scientific_review_days=6 in [4,29].",True,2,agree
cochlear-beriberi,disturbed9002-mofe,105,D2b5,,,"D2b5: cell (M3,T2) with severity=518.177 in [500,1000] and requires_scientific_review_days=8 in [4,29].",False,2,agree
cochlear-beriberi,disturbed9002-mofe,106,D2b1,,,"D2b1: cell (M1,T1) with severity=107.003 in [100,300) and requires_scientific_review_days=1<=3.",False,2,disagree
cochlear-beriberi,disturbed9002-mofe,107,D2b5,,,"D2b5: cell (M3,T2) with severity=962.321 in [500,1000] and requires_scientific_review_days=15 in [4,29].",False,-1,noise
cochlear-beriberi,disturbed9002-mofe,111,D2b4,,,"D2b4: cell (M2,T2) with severity=363.462 in [300,500) and requires_scientific_review_days=5 in [4,29].",False,2,agree
cochlear-beriberi,disturbed9002-mofe,112,D2b1,,,"D2b1: cell (M1,T1) with severity=103.046 in [100,300) and requires_scientific_review_days=1<=3.",False,2,disagree
cochlear-beriberi,disturbed9002-mofe,120,D2b1,,,"D2b1: cell (M1,T1) with severity=204.786 in [100,300) and requires_scientific_review_days=2<=3.",True,2,disagree
cochlear-beriberi,disturbed9002-mofe,125,D2b3,,,"D2b3: cell (M1,T2) with severity=291.110 in [100,300) and requires_scientific_review_days=10 in [4,29].",True,2,disagree
cochlear-beriberi,disturbed9002-mofe,131,D2b4,,,"D2b4: cell (M2,T2) with severity=452.240 in [300,500) and requires_scientific_review_days=15 in [4,29].",False,2,agree
cochlear-beriberi,disturbed9002-mofe,136,D2b5,,,"D2b5: cell (M3,T2) with severity=790.369 in [500,1000] and requires_scientific_review_days=14 in [4,29].",True,2,agree
cochlear-beriberi,disturbed9002-mofe,141,D2b1,,,"D2b1: cell (M1,T1) with severity=114.996 in [100,300) and requires_scientific_review_days=1<=3.",True,2,disagree
