family,role,runid,config,wepp_id,late_max_abs_ofe_closure_residual_mm_max_abs,requires_scientific_review_days,staged_runs_dir,run_file,shared_context_files,missing_shared_context,top_days_csv_path,summary_json_path
D1,worst,cochlear-beriberi,disturbed9002-mofe,461,2926.687999999999,84,/wc1/runs/co/cochlear-beriberi/wepp/runs,/wc1/runs/co/cochlear-beriberi/wepp/runs/p461.run,/wc1/runs/co/cochlear-beriberi/wepp/runs/wepp_ui.txt;/wc1/runs/co/cochlear-beriberi/wepp/runs/pmetpara.txt;/wc1/runs/co/cochlear-beriberi/wepp/runs/snow.txt;/wc1/runs/co/cochlear-beriberi/wepp/runs/gwcoeff.txt;/wc1/runs/co/cochlear-beriberi/wepp/runs/chan.inp;/wc1/runs/co/cochlear-beriberi/wepp/runs/chntyp.txt;/wc1/runs/co/cochlear-beriberi/wepp/runs/tc.txt,,/workdir/wepppy/docs/mini-work-packages/20260502_rq_replay_mofe_260501_validation/artifacts/cochlear-beriberi_disturbed9002-mofe/H461/hillslope_mofe_daily_closure_audit_top_days.csv,/workdir/wepppy/docs/mini-work-packages/20260502_rq_replay_mofe_260501_validation/artifacts/cochlear-beriberi_disturbed9002-mofe/H461/hillslope_mofe_daily_closure_audit_summary.json
D1,median,cochlear-beriberi,disturbed9002-mofe,35,1346.3710000000003,109,/wc1/runs/co/cochlear-beriberi/wepp/runs,/wc1/runs/co/cochlear-beriberi/wepp/runs/p35.run,/wc1/runs/co/cochlear-beriberi/wepp/runs/wepp_ui.txt;/wc1/runs/co/cochlear-beriberi/wepp/runs/pmetpara.txt;/wc1/runs/co/cochlear-beriberi/wepp/runs/snow.txt;/wc1/runs/co/cochlear-beriberi/wepp/runs/gwcoeff.txt;/wc1/runs/co/cochlear-beriberi/wepp/runs/chan.inp;/wc1/runs/co/cochlear-beriberi/wepp/runs/chntyp.txt;/wc1/runs/co/cochlear-beriberi/wepp/runs/tc.txt,,/workdir/wepppy/docs/mini-work-packages/20260502_rq_replay_mofe_260501_validation/artifacts/cochlear-beriberi_disturbed9002-mofe/H35/hillslope_mofe_daily_closure_audit_top_days.csv,/workdir/wepppy/docs/mini-work-packages/20260502_rq_replay_mofe_260501_validation/artifacts/cochlear-beriberi_disturbed9002-mofe/H35/hillslope_mofe_daily_closure_audit_summary.json
D1,contrast,cochlear-beriberi,disturbed9002-mofe,262,99.52819999999991,0,/wc1/runs/co/cochlear-beriberi/wepp/runs,/wc1/runs/co/cochlear-beriberi/wepp/runs/p262.run,/wc1/runs/co/cochlear-beriberi/wepp/runs/wepp_ui.txt;/wc1/runs/co/cochlear-beriberi/wepp/runs/pmetpara.txt;/wc1/runs/co/cochlear-beriberi/wepp/runs/snow.txt;/wc1/runs/co/cochlear-beriberi/wepp/runs/gwcoeff.txt;/wc1/runs/co/cochlear-beriberi/wepp/runs/chan.inp;/wc1/runs/co/cochlear-beriberi/wepp/runs/chntyp.txt;/wc1/runs/co/cochlear-beriberi/wepp/runs/tc.txt,,/workdir/wepppy/docs/mini-work-packages/20260502_rq_replay_mofe_260501_validation/artifacts/cochlear-beriberi_disturbed9002-mofe/H262/hillslope_mofe_daily_closure_audit_top_days.csv,/workdir/wepppy/docs/mini-work-packages/20260502_rq_replay_mofe_260501_validation/artifacts/cochlear-beriberi_disturbed9002-mofe/H262/hillslope_mofe_daily_closure_audit_summary.json
D2,worst,cochlear-beriberi,disturbed9002-mofe,349,949.8389,47,/wc1/runs/co/cochlear-beriberi/wepp/runs,/wc1/runs/co/cochlear-beriberi/wepp/runs/p349.run,/wc1/runs/co/cochlear-beriberi/wepp/runs/wepp_ui.txt;/wc1/runs/co/cochlear-beriberi/wepp/runs/pmetpara.txt;/wc1/runs/co/cochlear-beriberi/wepp/runs/snow.txt;/wc1/runs/co/cochlear-beriberi/wepp/runs/gwcoeff.txt;/wc1/runs/co/cochlear-beriberi/wepp/runs/chan.inp;/wc1/runs/co/cochlear-beriberi/wepp/runs/chntyp.txt;/wc1/runs/co/cochlear-beriberi/wepp/runs/tc.txt,,/workdir/wepppy/docs/mini-work-packages/20260502_rq_replay_mofe_260501_validation/artifacts/cochlear-beriberi_disturbed9002-mofe/H349/hillslope_mofe_daily_closure_audit_top_days.csv,/workdir/wepppy/docs/mini-work-packages/20260502_rq_replay_mofe_260501_validation/artifacts/cochlear-beriberi_disturbed9002-mofe/H349/hillslope_mofe_daily_closure_audit_summary.json
D2,median,cochlear-beriberi,disturbed9002-mofe,333,830.0717,16,/wc1/runs/co/cochlear-beriberi/wepp/runs,/wc1/runs/co/cochlear-beriberi/wepp/runs/p333.run,/wc1/runs/co/cochlear-beriberi/wepp/runs/wepp_ui.txt;/wc1/runs/co/cochlear-beriberi/wepp/runs/pmetpara.txt;/wc1/runs/co/cochlear-beriberi/wepp/runs/snow.txt;/wc1/runs/co/cochlear-beriberi/wepp/runs/gwcoeff.txt;/wc1/runs/co/cochlear-beriberi/wepp/runs/chan.inp;/wc1/runs/co/cochlear-beriberi/wepp/runs/chntyp.txt;/wc1/runs/co/cochlear-beriberi/wepp/runs/tc.txt,,/workdir/wepppy/docs/mini-work-packages/20260502_rq_replay_mofe_260501_validation/artifacts/cochlear-beriberi_disturbed9002-mofe/H333/hillslope_mofe_daily_closure_audit_top_days.csv,/workdir/wepppy/docs/mini-work-packages/20260502_rq_replay_mofe_260501_validation/artifacts/cochlear-beriberi_disturbed9002-mofe/H333/hillslope_mofe_daily_closure_audit_summary.json
D2,contrast,cochlear-beriberi,disturbed9002-mofe,166,64.1867690000001,0,/wc1/runs/co/cochlear-beriberi/wepp/runs,/wc1/runs/co/cochlear-beriberi/wepp/runs/p166.run,/wc1/runs/co/cochlear-beriberi/wepp/runs/wepp_ui.txt;/wc1/runs/co/cochlear-beriberi/wepp/runs/pmetpara.txt;/wc1/runs/co/cochlear-beriberi/wepp/runs/snow.txt;/wc1/runs/co/cochlear-beriberi/wepp/runs/gwcoeff.txt;/wc1/runs/co/cochlear-beriberi/wepp/runs/chan.inp;/wc1/runs/co/cochlear-beriberi/wepp/runs/chntyp.txt;/wc1/runs/co/cochlear-beriberi/wepp/runs/tc.txt,,/workdir/wepppy/docs/mini-work-packages/20260502_rq_replay_mofe_260501_validation/artifacts/cochlear-beriberi_disturbed9002-mofe/H166/hillslope_mofe_daily_closure_audit_top_days.csv,/workdir/wepppy/docs/mini-work-packages/20260502_rq_replay_mofe_260501_validation/artifacts/cochlear-beriberi_disturbed9002-mofe/H166/hillslope_mofe_daily_closure_audit_summary.json
D4,worst,cochlear-beriberi,disturbed9002-mofe,285,828.1754000000001,3,/wc1/runs/co/cochlear-beriberi/wepp/runs,/wc1/runs/co/cochlear-beriberi/wepp/runs/p285.run,/wc1/runs/co/cochlear-beriberi/wepp/runs/wepp_ui.txt;/wc1/runs/co/cochlear-beriberi/wepp/runs/pmetpara.txt;/wc1/runs/co/cochlear-beriberi/wepp/runs/snow.txt;/wc1/runs/co/cochlear-beriberi/wepp/runs/gwcoeff.txt;/wc1/runs/co/cochlear-beriberi/wepp/runs/chan.inp;/wc1/runs/co/cochlear-beriberi/wepp/runs/chntyp.txt;/wc1/runs/co/cochlear-beriberi/wepp/runs/tc.txt,,/workdir/wepppy/docs/mini-work-packages/20260502_rq_replay_mofe_260501_validation/artifacts/cochlear-beriberi_disturbed9002-mofe/H285/hillslope_mofe_daily_closure_audit_top_days.csv,/workdir/wepppy/docs/mini-work-packages/20260502_rq_replay_mofe_260501_validation/artifacts/cochlear-beriberi_disturbed9002-mofe/H285/hillslope_mofe_daily_closure_audit_summary.json
D4,median,cochlear-beriberi,disturbed9002-mofe,84,506.3042999999999,2,/wc1/runs/co/cochlear-beriberi/wepp/runs,/wc1/runs/co/cochlear-beriberi/wepp/runs/p84.run,/wc1/runs/co/cochlear-beriberi/wepp/runs/wepp_ui.txt;/wc1/runs/co/cochlear-beriberi/wepp/runs/pmetpara.txt;/wc1/runs/co/cochlear-beriberi/wepp/runs/snow.txt;/wc1/runs/co/cochlear-beriberi/wepp/runs/gwcoeff.txt;/wc1/runs/co/cochlear-beriberi/wepp/runs/chan.inp;/wc1/runs/co/cochlear-beriberi/wepp/runs/chntyp.txt;/wc1/runs/co/cochlear-beriberi/wepp/runs/tc.txt,,/workdir/wepppy/docs/mini-work-packages/20260502_rq_replay_mofe_260501_validation/artifacts/cochlear-beriberi_disturbed9002-mofe/H84/hillslope_mofe_daily_closure_audit_top_days.csv,/workdir/wepppy/docs/mini-work-packages/20260502_rq_replay_mofe_260501_validation/artifacts/cochlear-beriberi_disturbed9002-mofe/H84/hillslope_mofe_daily_closure_audit_summary.json
D4,contrast,cochlear-beriberi,disturbed9002-mofe,166,64.1867690000001,0,/wc1/runs/co/cochlear-beriberi/wepp/runs,/wc1/runs/co/cochlear-beriberi/wepp/runs/p166.run,/wc1/runs/co/cochlear-beriberi/wepp/runs/wepp_ui.txt;/wc1/runs/co/cochlear-beriberi/wepp/runs/pmetpara.txt;/wc1/runs/co/cochlear-beriberi/wepp/runs/snow.txt;/wc1/runs/co/cochlear-beriberi/wepp/runs/gwcoeff.txt;/wc1/runs/co/cochlear-beriberi/wepp/runs/chan.inp;/wc1/runs/co/cochlear-beriberi/wepp/runs/chntyp.txt;/wc1/runs/co/cochlear-beriberi/wepp/runs/tc.txt,,/workdir/wepppy/docs/mini-work-packages/20260502_rq_replay_mofe_260501_validation/artifacts/cochlear-beriberi_disturbed9002-mofe/H166/hillslope_mofe_daily_closure_audit_top_days.csv,/workdir/wepppy/docs/mini-work-packages/20260502_rq_replay_mofe_260501_validation/artifacts/cochlear-beriberi_disturbed9002-mofe/H166/hillslope_mofe_daily_closure_audit_summary.json
