runid,config,wepp_id,family_primary,family_secondary,family_tertiary,family_rationale,cluster_label,rule_cluster_agreement
cochlear-beriberi,disturbed9002-mofe,148,D2b,D3,D6a,"D2b: outlier_is_outlet_ofe=True, NOT D1, runoff_pass_vs_outlet_qofe_residual_m3_max_abs>1.000000.",2,agree
cochlear-beriberi,disturbed9002-mofe,150,D3,D6b,,D3: soilwater_to_porosity_fraction_p99=0.994>=0.990.,2,disagree
cochlear-beriberi,disturbed9002-mofe,152,D2b,D3,D6b,"D2b: outlier_is_outlet_ofe=True, NOT D1, runoff_pass_vs_outlet_qofe_residual_m3_max_abs>1.000000.",2,agree
cochlear-beriberi,disturbed9002-mofe,154,D3,D6b,,D3: soilwater_to_porosity_fraction_p99=0.995>=0.990.,2,disagree
cochlear-beriberi,disturbed9002-mofe,191,D2b,D6b,,"D2b: outlier_is_outlet_ofe=True, NOT D1, runoff_pass_vs_outlet_qofe_residual_m3_max_abs>1.000000.",-1,noise
cochlear-beriberi,disturbed9002-mofe,196,D1,D6b,,"D1: outlier_is_outlet_ofe=True, late_max_abs_ofe_closure_residual_mm_max_abs=1480.736>1000.000, late_max_qofe_to_q_ratio_max_abs>=n_ofe_max-0.01.",-1,noise
cochlear-beriberi,disturbed9002-mofe,199,D2b,D6b,,"D2b: outlier_is_outlet_ofe=True, NOT D1, runoff_pass_vs_outlet_qofe_residual_m3_max_abs>1.000000.",2,agree
cochlear-beriberi,disturbed9002-mofe,202,D1,D6b,,"D1: outlier_is_outlet_ofe=True, late_max_abs_ofe_closure_residual_mm_max_abs=1207.166>1000.000, late_max_qofe_to_q_ratio_max_abs>=n_ofe_max-0.01.",2,disagree
cochlear-beriberi,disturbed9002-mofe,215,D2b,D6b,,"D2b: outlier_is_outlet_ofe=True, NOT D1, runoff_pass_vs_outlet_qofe_residual_m3_max_abs>1.000000.",2,agree
cochlear-beriberi,disturbed9002-mofe,218,D2b,D6a,,"D2b: outlier_is_outlet_ofe=True, NOT D1, runoff_pass_vs_outlet_qofe_residual_m3_max_abs>1.000000.",2,agree
cochlear-beriberi,disturbed9002-mofe,228,D2b,D6b,,"D2b: outlier_is_outlet_ofe=True, NOT D1, runoff_pass_vs_outlet_qofe_residual_m3_max_abs>1.000000.",-1,noise
cochlear-beriberi,disturbed9002-mofe,239,D2b,D6a,,"D2b: outlier_is_outlet_ofe=True, NOT D1, runoff_pass_vs_outlet_qofe_residual_m3_max_abs>1.000000.",2,agree
cochlear-beriberi,disturbed9002-mofe,246,D2b,D6b,,"D2b: outlier_is_outlet_ofe=True, NOT D1, runoff_pass_vs_outlet_qofe_residual_m3_max_abs>1.000000.",2,agree
cochlear-beriberi,disturbed9002-mofe,251,D2b,D6b,,"D2b: outlier_is_outlet_ofe=True, NOT D1, runoff_pass_vs_outlet_qofe_residual_m3_max_abs>1.000000.",-1,noise
cochlear-beriberi,disturbed9002-mofe,254,D2b,D6a,,"D2b: outlier_is_outlet_ofe=True, NOT D1, runoff_pass_vs_outlet_qofe_residual_m3_max_abs>1.000000.",1,agree
cochlear-beriberi,disturbed9002-mofe,255,D2b,D6b,,"D2b: outlier_is_outlet_ofe=True, NOT D1, runoff_pass_vs_outlet_qofe_residual_m3_max_abs>1.000000.",1,agree
cochlear-beriberi,disturbed9002-mofe,259,D2b,D6b,,"D2b: outlier_is_outlet_ofe=True, NOT D1, runoff_pass_vs_outlet_qofe_residual_m3_max_abs>1.000000.",-1,noise
cochlear-beriberi,disturbed9002-mofe,265,D2b,D6b,,"D2b: outlier_is_outlet_ofe=True, NOT D1, runoff_pass_vs_outlet_qofe_residual_m3_max_abs>1.000000.",-1,noise
cochlear-beriberi,disturbed9002-mofe,267,D6c,D2b,,D6c: requires_scientific_review_days=47>=30 and late_max_abs_ofe_closure_residual_mm_max_abs=708.911>500.000.,-1,noise
cochlear-beriberi,disturbed9002-mofe,268,D2b,D6a,,"D2b: outlier_is_outlet_ofe=True, NOT D1, runoff_pass_vs_outlet_qofe_residual_m3_max_abs>1.000000.",2,agree
cochlear-beriberi,disturbed9002-mofe,273,D2b,D3,D6a,"D2b: outlier_is_outlet_ofe=True, NOT D1, runoff_pass_vs_outlet_qofe_residual_m3_max_abs>1.000000.",2,agree
cochlear-beriberi,disturbed9002-mofe,275,D2b,D6b,,"D2b: outlier_is_outlet_ofe=True, NOT D1, runoff_pass_vs_outlet_qofe_residual_m3_max_abs>1.000000.",-1,noise
cochlear-beriberi,disturbed9002-mofe,278,D2b,D6b,,"D2b: outlier_is_outlet_ofe=True, NOT D1, runoff_pass_vs_outlet_qofe_residual_m3_max_abs>1.000000.",-1,noise
cochlear-beriberi,disturbed9002-mofe,282,D2b,D6b,,"D2b: outlier_is_outlet_ofe=True, NOT D1, runoff_pass_vs_outlet_qofe_residual_m3_max_abs>1.000000.",2,agree
cochlear-beriberi,disturbed9002-mofe,285,D4,D2b,,D4: requires_scientific_review_days=3<=3 and late_max_abs_ofe_closure_residual_mm_max_abs=828.175>=500.000.,-1,noise
