runid,config,wepp_id,topaz_id,summary_json_path,top_days_csv_path,late_max_abs_ofe_closure_residual_mm_max_abs,late_max_abs_ofe_closure_residual_mm_p99,late_max_abs_ofe_closure_residual_mm_p95,late_max_abs_ofe_closure_residual_mm_p90,late_max_surface_pulse_proxy_mm_max_abs,late_max_surface_pulse_proxy_mm_p99,late_max_qofe_to_q_ratio_max_abs,late_max_qofe_to_q_ratio_p99,closure_residual_pct_of_rm_total,closure_residual_total_mm,max_abs_ofe_closure_residual_mm_max_abs,closure_residual_mm_max_abs,closure_residual_mm_p99,n_ofe_max,n_ofe_min,late_outlier_ofe_id,outlier_is_outlet_ofe,outlier_is_first_ofe,outlier_is_interior_ofe,chain_subsurface_transfer_residual_m3_max_abs,chain_subsurface_transfer_residual_m3_p99,chain_surface_transfer_residual_m3_max_abs,chain_surface_transfer_residual_m3_p99,runoff_pass_vs_outlet_qofe_residual_m3_max_abs,runoff_pass_vs_outlet_qofe_residual_m3_p99,first_ofe_nonzero_subrin_days,first_ofe_nonzero_upstrmq_days,strict_chain_invariants_applicable,soilwater_to_porosity_fraction_max_abs,soilwater_to_porosity_fraction_p99,soilwater_minus_fc_mm_max_abs,soilwater_minus_wp_mm_max_abs,soilwater_gt_porositycap_days,soilwater_lt_wpstore_days,profile_order_fc_gt_porosity_days,profile_order_wp_gt_fc_days,precip_total_mm,runoff_reported_total_mm,lateral_reported_total_mm,et_reported_total_mm,storage_change_mm,requires_scientific_review_days,total_simulation_days,flagged_day_fraction,max_anomaly_year,max_anomaly_month,max_anomaly_julian,worst_review_day_year,worst_review_day_month,worst_review_day_julian,worst_review_day_reason,worst_review_day_late_residual_mm,worst_review_day_late_pulse_mm,worst_review_day_qofe_to_q_ratio,threshold_late_ofe_residual_mm,threshold_late_pulse_mm,threshold_late_qofe_to_q_ratio,threshold_late_ofe_window,family_primary,cluster_label,rule_cluster_agreement
cochlear-beriberi,disturbed9002-mofe,67,,/workdir/wepppy/docs/mini-work-packages/20260502_rq_replay_mofe_260501_validation/artifacts/cochlear-beriberi_disturbed9002-mofe/H67/hillslope_mofe_daily_closure_audit_summary.json,/workdir/wepppy/docs/mini-work-packages/20260502_rq_replay_mofe_260501_validation/artifacts/cochlear-beriberi_disturbed9002-mofe/H67/hillslope_mofe_daily_closure_audit_top_days.csv,162.9019,20.8,9.201139430000044,2.865691600000012,159.93189999999998,6.249397709,7.000004865439324,7.000003039813262,0.077405726791016,51.88230302414431,162.9019,61.59714285714284,14.459657857142854,7,7,7.0,True,False,False,0.0,0.0,0.0014396900000974,1.439689999216398e-06,0.815913354165,0.0124588527999412,0,0,unknown_from_interchange,0.9964370416516386,0.9771910554444406,388.7771428571429,469.63714285714286,0,0,0,0,67043.0,14538.219681320286,23613.485714285714,24984.768571428576,244.0585714285715,1,14975,0.0001,9,1,9,39.0,5.0,122.0,late_ofe_residual_plus_qofe_to_q_ratio_plus_surface_pulse_proxy,162.9019,159.93189999999998,7.0,100.0,100.0,2.0,3,D6b,2,disagree
cochlear-beriberi,disturbed9002-mofe,80,,/workdir/wepppy/docs/mini-work-packages/20260502_rq_replay_mofe_260501_validation/artifacts/cochlear-beriberi_disturbed9002-mofe/H80/hillslope_mofe_daily_closure_audit_summary.json,/workdir/wepppy/docs/mini-work-packages/20260502_rq_replay_mofe_260501_validation/artifacts/cochlear-beriberi_disturbed9002-mofe/H80/hillslope_mofe_daily_closure_audit_top_days.csv,976.967,22.398896109999907,9.28004899999998,2.7568999999999626,974.547,6.5627793612000005,11.000009644410582,11.000004679391608,-5.11225132582357,-3426.78556431082,976.967,222.29891909090892,14.382405199999967,11,11,11.0,True,False,False,0.1161697000000003,0.0,0.0116169699995225,1.1616970013506034e-05,1.049284228098,0.0359558623180396,0,0,unknown_from_interchange,0.9990723878193218,0.99054938179836,415.6454545454546,534.2354545454546,0,0,0,0,67043.0,26594.073885406044,17951.98,25479.702727272725,282.09272727272725,42,14975,0.0028,13,5,129,13.0,5.0,129.0,late_ofe_residual_plus_qofe_to_q_ratio_plus_surface_pulse_proxy,976.967,974.547,11.000000364937,100.0,100.0,2.0,3,D6c,2,disagree
cochlear-beriberi,disturbed9002-mofe,84,,/workdir/wepppy/docs/mini-work-packages/20260502_rq_replay_mofe_260501_validation/artifacts/cochlear-beriberi_disturbed9002-mofe/H84/hillslope_mofe_daily_closure_audit_summary.json,/workdir/wepppy/docs/mini-work-packages/20260502_rq_replay_mofe_260501_validation/artifacts/cochlear-beriberi_disturbed9002-mofe/H84/hillslope_mofe_daily_closure_audit_top_days.csv,506.3042999999999,21.80460366000005,10.268667199999983,4.324700000000079,505.6942999999999,5.994690969799999,7.000005910153841,7.000003640021829,-0.2431156546107855,-162.54784907357345,506.3042999999999,129.47557142857147,13.371706200000087,7,7,7.0,True,False,False,0.0,0.0,0.0014527520006595,0.0,124.51704458480002,0.0181919103996871,0,0,unknown_from_interchange,0.9995894616592886,0.9943979110993248,276.1999999999999,433.5499999999999,0,0,0,0,67043.0,19106.141740051196,22600.971428571425,24918.63,215.6957142857142,2,14975,0.0001,23,2,32,23.0,2.0,32.0,late_ofe_residual_plus_qofe_to_q_ratio_plus_surface_pulse_proxy,506.3042999999999,505.6942999999999,6.99999889512285,100.0,100.0,2.0,3,D4,2,disagree
cochlear-beriberi,disturbed9002-mofe,146,,/workdir/wepppy/docs/mini-work-packages/20260502_rq_replay_mofe_260501_validation/artifacts/cochlear-beriberi_disturbed9002-mofe/H146/hillslope_mofe_daily_closure_audit_summary.json,/workdir/wepppy/docs/mini-work-packages/20260502_rq_replay_mofe_260501_validation/artifacts/cochlear-beriberi_disturbed9002-mofe/H146/hillslope_mofe_daily_closure_audit_top_days.csv,1247.7900000000004,20.835106580000087,9.24900999999997,3.2425300000000727,1247.1800000000003,1.4600000000000002,11.000010984084062,11.000006135707816,-2.661525380817068,-1784.3013020807275,1247.7900000000004,337.8434636363636,14.67560181818176,11,11,11.0,True,False,False,0.0,0.0,0.0090837300012935,9.083730002856782e-06,44.98001484576,0.0314907553798593,0,0,unknown_from_interchange,0.9996042252367824,0.9956021855699776,423.8100000000002,622.0900000000003,0,0,0,0,67043.00000000001,33110.69786820654,10389.08272727273,24914.901818181825,252.9481818181819,9,14975,0.0006,23,2,32,23.0,2.0,32.0,late_ofe_residual_plus_qofe_to_q_ratio_plus_surface_pulse_proxy,1247.7900000000004,1247.1800000000003,11.000002555936677,100.0,100.0,2.0,3,D1,2,disagree
cochlear-beriberi,disturbed9002-mofe,150,,/workdir/wepppy/docs/mini-work-packages/20260502_rq_replay_mofe_260501_validation/artifacts/cochlear-beriberi_disturbed9002-mofe/H150/hillslope_mofe_daily_closure_audit_summary.json,/workdir/wepppy/docs/mini-work-packages/20260502_rq_replay_mofe_260501_validation/artifacts/cochlear-beriberi_disturbed9002-mofe/H150/hillslope_mofe_daily_closure_audit_top_days.csv,440.6815,21.101874799999987,9.401338279999935,3.2993999999999923,438.6215,3.273392980000001,9.000006632520241,9.000003332125154,-0.7284794565195544,-488.37745180355466,440.6815,120.29522222222236,14.682338999999809,9,9,9.0,True,False,False,0.1159983999999951,0.0,0.0011599840008784,1.1599840000542372e-05,0.402245919998677,0.0295868532159011,0,0,unknown_from_interchange,0.9994813985861286,0.9941352852156136,423.7200000000001,622.0000000000002,0,0,0,0,67043.00000000001,26539.949196234127,15531.194444444449,25058.553333333337,249.5844444444446,15,14975,0.001,6,5,128,6.0,5.0,128.0,late_ofe_residual_plus_qofe_to_q_ratio_plus_surface_pulse_proxy,440.6815,438.6215,8.999996266948056,100.0,100.0,2.0,3,D3,2,disagree
cochlear-beriberi,disturbed9002-mofe,154,,/workdir/wepppy/docs/mini-work-packages/20260502_rq_replay_mofe_260501_validation/artifacts/cochlear-beriberi_disturbed9002-mofe/H154/hillslope_mofe_daily_closure_audit_summary.json,/workdir/wepppy/docs/mini-work-packages/20260502_rq_replay_mofe_260501_validation/artifacts/cochlear-beriberi_disturbed9002-mofe/H154/hillslope_mofe_daily_closure_audit_top_days.csv,539.9034000000001,21.101275399999984,9.405754999999896,3.298199999999976,536.4134000000001,1.4800000000000004,9.000006238820257,9.000003172374642,-0.8828067510398736,-591.8389035017818,539.9034000000001,89.93954444444428,14.680046533333336,9,9,9.0,True,False,False,0.0,0.0,0.0015898370006652,1.5898369994715722e-05,0.4898393999992549,0.0384984446999169,0,0,unknown_from_interchange,0.9996042252367824,0.9951871362587308,423.8100000000001,622.0900000000001,0,0,0,0,67043.00000000001,27567.378222421547,14599.020000000002,25058.553333333337,257.741111111111,16,14975,0.0011,6,1,14,6.0,1.0,14.0,late_ofe_residual_plus_qofe_to_q_ratio_plus_surface_pulse_proxy,539.9034000000001,536.4134000000001,8.999999312964565,100.0,100.0,2.0,3,D3,2,disagree
cochlear-beriberi,disturbed9002-mofe,202,,/workdir/wepppy/docs/mini-work-packages/20260502_rq_replay_mofe_260501_validation/artifacts/cochlear-beriberi_disturbed9002-mofe/H202/hillslope_mofe_daily_closure_audit_summary.json,/workdir/wepppy/docs/mini-work-packages/20260502_rq_replay_mofe_260501_validation/artifacts/cochlear-beriberi_disturbed9002-mofe/H202/hillslope_mofe_daily_closure_audit_top_days.csv,1207.1659999999997,21.300932320000022,9.664017999999995,3.5229559999999887,1206.3359999999998,4.316064886,12.00000992890901,12.000005922877708,-2.0611951335380736,-1381.5987952385055,1207.1659999999997,301.6005000000001,14.769709366666667,12,12,12.0,True,False,False,0.0,0.0,0.0109484200002043,1.09484200017107e-05,39.43892404816,0.0319493263279673,0,0,unknown_from_interchange,0.9980704483254248,0.9799396522869122,380.0200000000001,456.05000000000007,0,0,0,0,67043.0,22334.10110134613,17274.024166666666,24991.751666666663,239.8708333333333,23,14975,0.0015,23,2,32,23.0,2.0,32.0,late_ofe_residual_plus_qofe_to_q_ratio_plus_surface_pulse_proxy,1207.1659999999997,1206.3359999999998,12.000002291494743,100.0,100.0,2.0,3,D1,2,disagree
cochlear-beriberi,disturbed9002-mofe,431,,/workdir/wepppy/docs/mini-work-packages/20260502_rq_replay_mofe_260501_validation/artifacts/cochlear-beriberi_disturbed9002-mofe/H431/hillslope_mofe_daily_closure_audit_summary.json,/workdir/wepppy/docs/mini-work-packages/20260502_rq_replay_mofe_260501_validation/artifacts/cochlear-beriberi_disturbed9002-mofe/H431/hillslope_mofe_daily_closure_audit_top_days.csv,1153.1709999999998,21.32191020000002,9.545820999999972,3.4028699999998966,1150.511,3.719999999999999,11.000009833289976,11.00000507248132,-3.863395972304655,-2590.0239261587258,1153.1709999999998,261.2105454545457,14.707872127272797,11,11,11.0,True,False,False,0.0,0.0,0.011535969997567,1.153597000325135e-05,9.840808813171,0.0358130761799429,0,0,unknown_from_interchange,0.9997270518874364,0.9985013163543064,423.9,622.18,0,0,0,0,67043.0,24423.87313396903,19908.46727272727,24875.181818181816,271.71181818181816,25,14975,0.0017,6,1,14,6.0,1.0,14.0,late_ofe_residual_plus_qofe_to_q_ratio_plus_surface_pulse_proxy,1153.1709999999998,1150.511,11.0,100.0,100.0,2.0,3,D1,2,disagree
ordained-incentive,disturbed9002-wbt-mofe,289,,/workdir/wepppy/docs/mini-work-packages/20260502_rq_replay_mofe_260501_validation/artifacts/ordained-incentive_disturbed9002-wbt-mofe/H289/hillslope_mofe_daily_closure_audit_summary.json,/workdir/wepppy/docs/mini-work-packages/20260502_rq_replay_mofe_260501_validation/artifacts/ordained-incentive_disturbed9002-wbt-mofe/H289/hillslope_mofe_daily_closure_audit_top_days.csv,189.8709000000001,18.15780000000002,4.630558900000018,1.450000000000009,188.64090000000004,0.0099999999999999,7.000004840073597,7.000003287109273,0.3108453862534743,91.70037476871416,189.8709000000001,75.74410428571446,14.03696551428575,7,7,7.0,True,False,False,0.0,0.0,0.0006298620000961,0.0,0.050302234000128,0.0030767520239822,0,0,unknown_from_interchange,0.9613386613386612,0.9500903096903096,632.4685714285712,760.4885714285712,0,0,0,0,29500.2,4490.766322736454,133.50285714285712,21773.03571428571,293.8028571428569,3,11323,0.0003,2008,1,8,1995.0,1.0,20.0,late_ofe_residual_plus_qofe_to_q_ratio_plus_surface_pulse_proxy,189.8709000000001,188.64090000000004,7.000000701577802,100.0,100.0,2.0,3,D6b,0,disagree
