Point precipitation frequency estimates (millimeters/hour)
NOAA Atlas 14 Volume 1 Version 5
Data type: Precipitation intensity
Time series type: Partial duration
Project area: Southwest
Location name (ESRI Maps): None
Station Name: None
Latitude: 33.6837 Degree
Longitude: -109.3221 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 90,115,148,173,204,228,251,274,304,328
10-min:, 68,87,113,131,155,173,191,208,231,250
15-min:, 56,72,93,108,128,143,158,172,191,206
30-min:, 38,49,63,73,86,96,106,116,129,139
60-min:, 24,30,39,45,53,60,66,72,80,86
2-hr:, 13,17,21,25,30,34,38,42,48,52
3-hr:, 9,12,15,18,21,24,27,30,34,38
6-hr:, 6,7,9,11,13,15,16,18,21,23
12-hr:, 4,5,6,7,8,9,10,11,13,14
24-hr:, 2,3,3,4,4,5,5,6,6,7
2-day:, 1,2,2,2,3,3,3,3,4,4
3-day:, 1,1,1,2,2,2,2,3,3,3
4-day:, 1,1,1,1,2,2,2,2,2,3
7-day:, 0,1,1,1,1,1,1,1,2,2
10-day:, 0,0,1,1,1,1,1,1,1,1
20-day:, 0,0,0,0,1,1,1,1,1,1
30-day:, 0,0,0,0,0,0,1,1,1,1
45-day:, 0,0,0,0,0,0,0,0,0,1
60-day:, 0,0,0,0,0,0,0,0,0,0

Date/time (GMT):  Wed Sep 09 17:00:37 2026
pyRunTime:  1.304333209991455
