Point precipitation frequency estimates (mm, hours, mm/hour)
WEPP CLI derived precipitation frequency statistics
Data type: Precipitation depth, storm duration, peak intensities
Time series type: Partial duration
Project area: woolen-refusal
Location name (WEPP): woolen-refusal
Station Name: az020159
Latitude: 33.6837 Degree
Longitude: -109.3221 Degree
Elevation (WEPP): None


PRECIPITATION FREQUENCY ESTIMATES
by metric for ARI (years):, 1,2,5,10,25,50,100
Precipitation depth (mm):, 36.7,44.4,52.8,62.2,75,82.9,90.4
Storm duration (hours):, 17.73,19.81,22.28,24,24,24,24
10-min intensity (mm/hour):, 41.06,50.86,62.04,71.54,80.65,102.82,105.49
15-min intensity (mm/hour):, 38.79,47.5,58.68,62.96,74.09,94.38,102.9
30-min intensity (mm/hour):, 32.21,39.49,47.27,53.4,60.04,62.98,84.55
60-min intensity (mm/hour):, 23.64,27.96,35.02,37.76,46.84,47.45,51.99

MONTHLY MODELED MX .5 P
Month:, 1,2,3,4,5,6,7,8,9,10,11,12
Median (mm/hour):, 0.92,1.02,1.42,2.32,3.35,2.07,3.5,3.76,3.24,3.22,1.98,1.03
75th percentile (mm/hour):, 1.75,2.05,2.92,4.18,6.49,6.6,8.24,8.57,8.04,7.45,4.54,2.25
90th percentile(mm/hour):, 3.39,3.78,4.65,9.71,12.74,14.34,15.51,16.84,15.44,13.88,7.68,4.48

Date/time (GMT):  Wed Sep 09 17:00:35 2026
pyRunTime:  0.038290
