         323701 function calls (310401 primitive calls) in 0.621 seconds

   Ordered by: cumulative time
   List reduced from 109 to 35 due to restriction <35>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      100    0.000    0.000    0.621    0.006 profile_cli_lineage_predicate.py:27(predicate)
      100    0.004    0.000    0.620    0.006 production.py:168(_cli_lineage_current)
      800    0.263    0.000    0.263    0.000 {built-in method posix.open}
      200    0.000    0.000    0.262    0.001 {built-in method builtins.next}
      200    0.002    0.000    0.261    0.001 rainfall_io.py:66(_local_parent)
      100    0.000    0.000    0.256    0.003 contextlib.py:132(__enter__)
      400    0.008    0.000    0.131    0.000 production.py:84(safe)
      200    0.001    0.000    0.109    0.001 production.py:107(signature)
     7800    0.005    0.000    0.080    0.000 <frozen _collections_abc>:1022(__iter__)
      200    0.002    0.000    0.079    0.000 rainfall_io.py:91(open_local)
     7100    0.011    0.000    0.075    0.000 pathlib.py:277(__getitem__)
      100    0.008    0.000    0.066    0.001 cli_parquet.py:47(_read_proof)
      700    0.002    0.000    0.057    0.000 pathlib.py:690(is_relative_to)
     6700    0.008    0.000    0.055    0.000 pathlib.py:420(_from_parsed_parts)
     4100    0.002    0.000    0.053    0.000 pathlib.py:835(stat)
     4100    0.037    0.000    0.051    0.000 {built-in method posix.stat}
     7000    0.008    0.000    0.050    0.000 pathlib.py:551(drive)
      100    0.003    0.000    0.049    0.000 production.py:613(cached_digest)
      300    0.003    0.000    0.048    0.000 pathlib.py:663(relative_to)
     8000    0.011    0.000    0.047    0.000 pathlib.py:380(with_segments)
      200    0.002    0.000    0.046    0.000 rainfall_io.py:42(regular)
     3400    0.004    0.000    0.043    0.000 pathlib.py:519(__eq__)
     8500    0.008    0.000    0.042    0.000 pathlib.py:437(__str__)
     3600    0.006    0.000    0.042    0.000 pathlib.py:407(_load_parts)
     2900    0.001    0.000    0.039    0.000 pathlib.py:842(lstat)
    10600    0.014    0.000    0.039    0.000 pathlib.py:1157(__init__)
     6800    0.013    0.000    0.038    0.000 pathlib.py:484(_str_normcase)
      100    0.029    0.000    0.035    0.000 core.py:311(__init__)
     3600    0.017    0.000    0.033    0.000 pathlib.py:387(_parse_path)
     2600    0.003    0.000    0.033    0.000 pathlib.py:909(is_symlink)
      700    0.003    0.000    0.028    0.000 <frozen _collections_abc>:1032(__contains__)
    10600    0.015    0.000    0.025    0.000 pathlib.py:358(__init__)
      400    0.002    0.000    0.021    0.000 {built-in method builtins.any}
     1200    0.003    0.000    0.020    0.000 pathlib.py:702(parts)
     1600    0.001    0.000    0.017    0.000 rainfall_io.py:44(<genexpr>)


