         341201 function calls (327401 primitive calls) in 0.889 seconds

   Ordered by: cumulative time
   List reduced from 117 to 35 due to restriction <35>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      100    0.001    0.000    0.889    0.009 profile_cli_lineage_predicate.py:27(predicate)
      100    0.004    0.000    0.889    0.009 production.py:167(_cli_lineage_current)
      200    0.006    0.000    0.503    0.003 rainfall_io.py:64(open_local)
     1400    0.433    0.000    0.433    0.000 {built-in method posix.open}
      100    0.004    0.000    0.262    0.003 production.py:603(cached_digest)
      400    0.009    0.000    0.161    0.000 production.py:83(safe)
      200    0.002    0.000    0.133    0.001 production.py:106(signature)
     8100    0.007    0.000    0.100    0.000 <frozen _collections_abc>:1022(__iter__)
     7300    0.015    0.000    0.093    0.000 pathlib.py:277(__getitem__)
      800    0.003    0.000    0.081    0.000 pathlib.py:690(is_relative_to)
      100    0.009    0.000    0.078    0.001 cli_parquet.py:47(_read_proof)
      100    0.001    0.000    0.072    0.001 cli_parquet.py:29(_selection)
     6900    0.010    0.000    0.062    0.000 pathlib.py:551(drive)
     6400    0.009    0.000    0.061    0.000 pathlib.py:420(_from_parsed_parts)
     4000    0.002    0.000    0.059    0.000 pathlib.py:835(stat)
      300    0.004    0.000    0.058    0.000 pathlib.py:663(relative_to)
     4000    0.043    0.000    0.057    0.000 {built-in method posix.stat}
     3600    0.005    0.000    0.057    0.000 pathlib.py:519(__eq__)
     8000    0.014    0.000    0.056    0.000 pathlib.py:380(with_segments)
     9000    0.011    0.000    0.055    0.000 pathlib.py:437(__str__)
      200    0.003    0.000    0.052    0.000 rainfall_io.py:40(regular)
     3700    0.007    0.000    0.052    0.000 pathlib.py:407(_load_parts)
     7200    0.017    0.000    0.051    0.000 pathlib.py:484(_str_normcase)
    10300    0.016    0.000    0.044    0.000 pathlib.py:1157(__init__)
      100    0.034    0.000    0.042    0.000 core.py:311(__init__)
     3700    0.021    0.000    0.041    0.000 pathlib.py:387(_parse_path)
      800    0.004    0.000    0.039    0.000 <frozen _collections_abc>:1032(__contains__)
     2600    0.004    0.000    0.039    0.000 pathlib.py:909(is_symlink)
     2600    0.002    0.000    0.034    0.000 pathlib.py:842(lstat)
      200    0.001    0.000    0.033    0.000 pathlib.py:1228(resolve)
    10300    0.018    0.000    0.028    0.000 pathlib.py:358(__init__)
      400    0.002    0.000    0.024    0.000 {built-in method builtins.any}
      200    0.001    0.000    0.022    0.000 <frozen posixpath>:420(realpath)
     1200    0.003    0.000    0.022    0.000 pathlib.py:702(parts)
     1600    0.001    0.000    0.020    0.000 rainfall_io.py:42(<genexpr>)


