wctl/install.sh:145:chmod +x "${WCTL_SCRIPT}"
scripts/install-memory-watchdog.sh:55:chmod +x "$SCRIPT_DIR/memory-watchdog.sh"
scripts/install-memory-watchdog.sh:60:chmod 644 "$LOGFILE"
scripts/run_migrations_container.sh:532:chmod +x "${INNER_SCRIPT}"
scripts/deploy-production.sh:499:    chmod 0600 "${PRE_PULL_CAP_CONFIG}"
scripts/deploy-production.sh:786:        chmod 0600 "${CAP_RESCUE_CONFIG}" "${CAP_RESCUE_OVERRIDE}"
scripts/fix_share_perms.sh:8:        sudo chmod -R g+w "$dir"
scripts/fix_share_perms.sh:9:        sudo find "$dir" -type d -exec chmod g+s {} \;
tools/peakflow_phase1_fixture.py:93:    shutil.copytree(source_runs, runs)
tools/peakflow_gate21_acceptance.py:38:    shutil.copytree(source, runs)
services/profile_playback/app.py:259:        shutil.copy2(combined, target)
services/profile_playback/app.py:543:                shutil.copytree(item, target_path, dirs_exist_ok=True)
services/profile_playback/app.py:545:                shutil.copy2(item, target_path)
services/profile_playback/app.py:564:        shutil.copytree(source_run_dir, sandbox_run_dir)
services/profile_playback/app.py:585:        shutil.copytree(source_run_dir, sandbox_run_dir)
services/profile_playback/app.py:765:        shutil.copytree(archives_dir, archive_target)
wepppy/all_your_base/README.md:37:| `cp_chmod` | Function | Copies a file then applies a target permission mask. |
tools/sync_stubs.py:24:        shutil.copy2(source, target)
wepppy/all_your_base/all_your_base.pyi:44:def cp_chmod(src: str, dst: str, mode: int) -> None: ...
tools/repair_forked_run_identity.py:269:        os.fchmod(fd, source_stat.st_mode & 0o7777)
tools/repair_forked_run_identity.py:274:        os.replace(temp_path, path)
tools/repair_forked_run_identity.py:326:        shutil.copy2(repair.path, backup_dir / repair.path.name)
tools/repair_forked_run_identity.py:328:        shutil.copy2(
tools/peakflow_phase1_negative_control.py:18:    shutil.copytree(source, runs)
tools/wctl2/commands/maintenance.py:55:def _chmod(path: Path, mode: int) -> None:
tools/wctl2/commands/maintenance.py:56:    path.chmod(mode)
tools/wctl2/commands/maintenance.py:59:def _chown_recursive(path: Path, spec: str) -> None:
tools/wctl2/commands/maintenance.py:60:    subprocess.run(["chown", "-R", spec, str(path)], check=True)
tools/wctl2/commands/maintenance.py:63:def _chmod_safe(path: Path, mode: int) -> None:
tools/wctl2/commands/maintenance.py:65:        _chmod(path, mode)
tools/wctl2/commands/maintenance.py:67:        typer.echo(f"Failed to chmod {path}: {exc}", err=True)
tools/wctl2/commands/maintenance.py:71:def _chown_safe(path: Path, spec: str) -> None:
tools/wctl2/commands/maintenance.py:73:        _chown_recursive(path, spec)
tools/wctl2/commands/maintenance.py:75:        typer.echo(f"Failed to chown {path}: {exc}", err=True)
tools/wctl2/commands/maintenance.py:78:        typer.echo(f"Permission denied while chowning {path}: {exc}", err=True)
tools/wctl2/commands/maintenance.py:114:            _chown_safe(postgres, "999:999")
tools/wctl2/commands/maintenance.py:115:            _chmod_safe(postgres, stat.S_IRUSR | stat.S_IWUSR | stat.S_IXUSR)
tools/wctl2/commands/maintenance.py:122:            _chown_safe(postgres_backups, "999:999")
tools/wctl2/commands/maintenance.py:123:            _chmod_safe(
tools/wctl2/commands/maintenance.py:133:            _chown_safe(redis, "999:999")
tools/wctl2/commands/maintenance.py:134:            _chmod_safe(redis, stat.S_IRUSR | stat.S_IWUSR | stat.S_IXUSR)
tools/wctl2/commands/maintenance.py:137:                _chmod_safe(redis_aof, stat.S_IRUSR | stat.S_IWUSR | stat.S_IXUSR)
tools/wctl2/commands/maintenance.py:146:            _chown_safe(weppcloud, f"{app_uid}:{app_gid}")
tools/wctl2/commands/maintenance.py:147:            _chmod_safe(
tools/wctl2/commands/maintenance.py:158:                _chmod_safe(
tools/wctl2/commands/playwright.py:165:    shutil.copytree(source_run_dir, sandbox_dir)
wepppy/all_your_base/geo/webclients/wmesque.py:162:                shutil.copyfileobj(resp, fp)
services/cap/Dockerfile:26:    chown -R cap:cap /app /var/lib/cap
services/cap/migrate-data.js:43:  fs.chownSync(LEDGER, CAP_UID, CAP_GID);
