"Lane","MaximumLAI","ExitCode","PrecipitationMm","RunoffMm","ETMm","LateralFlowMm","MaximumDailyLateralFlowMm"
"lai-2p00","2","0","610.61","248.01","342.3","18.58","0.8"
"lai-2p25","2.25","0","610.61","245.22","345.48","18.23","0.8"
"lai-2p50","2.5","0","610.61","242.53","348.38","18.02","0.8"
"lai-2p75","2.75","0","610.61","240.07","351.1","17.78","0.8"
"lai-3p00","3","0","610.61","237.85","353.54","17.59","0.8"
"lai-3p25","3.25","0","610.61","235.81","355.76","17.42","0.8"
"lai-3p50","3.5","0","610.61","233.91","357.85","17.25","0.8"
"lai-4p00","4","0","610.61","230.4","361.58","17.06","0.8"
