recurrence_years,date_key,peak_discharge_m3s,rank,weibull_T_years,undisturbed_peak_on_same_date
2,1992-03-02,120.51982,23,2.0001190334483994,120.51982
5,1980-02-15,165.64967,9,5.111415307701464,165.64967
10,2004-10-20,189.68129,5,9.200547553862636,189.68129
