date,date_key,year,julian,peak_discharge_m3s,rank,weibull_T_years,scenario
1995-01-03,1995-01-03,1995,3,281.18726,1,46.00273776931318,burned
2021-12-30,2021-12-30,2021,364,251.14489,2,23.00136888465659,burned
2010-12-19,2010-12-19,2010,353,216.22231,3,15.334245923104392,burned
2023-08-20,2023-08-20,2023,232,201.05865,4,11.500684442328295,burned
2004-10-20,2004-10-20,2004,294,189.68129,5,9.200547553862636,burned
1982-11-30,1982-11-30,1982,334,189.332,6,7.667122961552196,burned
1993-01-07,1993-01-07,1993,7,185.73266,7,6.571819681330455,burned
2019-01-16,2019-01-16,2019,16,180.0359,8,5.750342221164147,burned
1980-02-15,1980-02-15,1980,46,165.64967,9,5.111415307701464,burned
1992-02-10,1992-02-10,1992,41,160.21571,10,4.600273776931318,burned
1987-10-31,1987-10-31,1987,304,159.65107,11,4.1820670699375615,burned
2025-11-15,2025-11-15,2025,319,151.19134,12,3.833561480776098,burned
2024-02-04,2024-02-04,2024,35,149.25292,13,3.5386721361010136,burned
1993-01-14,1993-01-14,1993,14,144.78128,14,3.2859098406652274,burned
2003-02-12,2003-02-12,2003,43,137.65446,15,3.0668491846208785,burned
2021-12-29,2021-12-29,2021,363,132.90705,16,2.8751711105820736,burned
2014-02-28,2014-02-28,2014,59,132.84166,17,2.706043398194893,burned
1986-02-14,1986-02-14,1986,45,131.92458,18,2.555707653850732,burned
1996-02-20,1996-02-20,1996,51,129.53085,19,2.4211967247006934,burned
2008-01-25,2008-01-25,2008,25,124.47849,20,2.300136888465659,burned
2005-01-08,2005-01-08,2005,8,122.71776,21,2.190606560443485,burned
2023-03-14,2023-03-14,2023,73,121.65645,22,2.0910335349687807,burned
1992-03-02,1992-03-02,1992,62,120.51982,23,2.0001190334483994,burned
2004-12-29,2004-12-29,2004,364,120.36379,24,1.916780740388049,burned
2005-02-19,2005-02-19,2005,50,118.7345,25,1.8401095107725272,burned
1995-01-03,1995-01-03,1995,3,281.18726,1,46.00273776931318,undisturbed
2021-12-30,2021-12-30,2021,364,251.14489,2,23.00136888465659,undisturbed
2010-12-19,2010-12-19,2010,353,216.22231,3,15.334245923104392,undisturbed
2023-08-20,2023-08-20,2023,232,201.05865,4,11.500684442328295,undisturbed
2004-10-20,2004-10-20,2004,294,189.68129,5,9.200547553862636,undisturbed
1982-11-30,1982-11-30,1982,334,189.332,6,7.667122961552196,undisturbed
1993-01-07,1993-01-07,1993,7,185.73266,7,6.571819681330455,undisturbed
2019-01-16,2019-01-16,2019,16,180.0359,8,5.750342221164147,undisturbed
1980-02-15,1980-02-15,1980,46,165.64967,9,5.111415307701464,undisturbed
1992-02-10,1992-02-10,1992,41,160.21571,10,4.600273776931318,undisturbed
1987-10-31,1987-10-31,1987,304,159.65107,11,4.1820670699375615,undisturbed
2025-11-15,2025-11-15,2025,319,151.19134,12,3.833561480776098,undisturbed
2024-02-04,2024-02-04,2024,35,149.25292,13,3.5386721361010136,undisturbed
1993-01-14,1993-01-14,1993,14,144.78128,14,3.2859098406652274,undisturbed
2003-02-12,2003-02-12,2003,43,137.65446,15,3.0668491846208785,undisturbed
2021-12-29,2021-12-29,2021,363,132.90705,16,2.8751711105820736,undisturbed
2014-02-28,2014-02-28,2014,59,132.84166,17,2.706043398194893,undisturbed
1986-02-14,1986-02-14,1986,45,131.92458,18,2.555707653850732,undisturbed
1996-02-20,1996-02-20,1996,51,129.53085,19,2.4211967247006934,undisturbed
2008-01-25,2008-01-25,2008,25,124.47849,20,2.300136888465659,undisturbed
2005-01-08,2005-01-08,2005,8,122.71776,21,2.190606560443485,undisturbed
2023-03-14,2023-03-14,2023,73,121.65645,22,2.0910335349687807,undisturbed
1992-03-02,1992-03-02,1992,62,120.51982,23,2.0001190334483994,undisturbed
2004-12-29,2004-12-29,2004,364,120.36379,24,1.916780740388049,undisturbed
2005-02-19,2005-02-19,2005,50,118.7345,25,1.8401095107725272,undisturbed
