"Argillic horizon"|15|20|25|43|119|119||||"2969955"|"365012"
"Ochric epipedon"|0|0|0|15|20|25||||"2969955"|"365176"
"Argillic horizon"|10|23|30|152|168|254||||"2969956"|"365340"
"Ochric epipedon"|0|0|0|10|23|30||||"2969956"|"365503"
"Argillic horizon"|13|33|38|51|91|102||||"2969958"|"365180"
"Ochric epipedon"|0|0|0|13|33|38||||"2969958"|"365344"
"Argillic horizon"|13|18|20|203|203|218||||"2969978"|"365183"
"Ochric epipedon"|0|0|0|13|18|20||||"2969978"|"365347"
"Ochric epipedon"|0|0|0|3|3|15||||"2969980"|"365022"
"Argillic horizon"|3|3|25|152|152|203||||"2969980"|"365186"
"Argillic horizon"|15|28|33|203|203|203|170|175|185|"2969986"|"365187"
"Ochric epipedon"|0|0|0|7|10|13|7|10|13|"2969986"|"365351"
"Ochric epipedon"|0|0|0|10|15|43||||"2969993"|"365025"
"Ochric epipedon"|0|0|0|15|20|25||||"2969994"|"365026"
"Argillic horizon"|15|20|25|43|119|119||||"2969994"|"365516"
"Ochric epipedon"|0|0|0|15|23|28|15|23|28|"2969995"|"365028"
"Argillic horizon"|15|23|28|203|203|203|175|180|188|"2969995"|"365518"
"Argillic horizon"|13|18|20|203|203|218||||"2969996"|"365192"
"Ochric epipedon"|0|0|0|13|18|20||||"2969996"|"365356"
"Ochric epipedon"|0|0|0|5|15|25|5|15|25|"2969997"|"365194"
"Argillic horizon"|5|15|25|203|203|203|180|188|198|"2969997"|"365358"
"Fragipan"|18|53|78|33|81|152|15|28|74|"2969997"|"365521"
"Mollic epipedon"|0|0|0|25|38|61||||"2970341"|"365372"
"Argillic horizon"|15|15|30|152|152|203|122|137|183|"2970344"|"365211"
"Ochric epipedon"|0|0|0|15|15|30|15|15|30|"2970344"|"365375"
"Fragipan"|46|53|84|76|76|152|20|23|76|"2970344"|"365538"
"Argillic horizon"|18|32|53|203|203|203||||"2976432"|"365380"
"Ochric epipedon"|1|2|4|18|32|53||||"2976432"|"365543"
"Cambic horizon"|25|66|66|112|147|180||||"2976433"|"365381"
"Ochric epipedon"|0|0|0|25|66|66||||"2976433"|"365544"
"Argillic horizon"|13|18|33|152|203|203||||"2976434"|"365382"
"Ochric epipedon"|0|0|0|13|18|33||||"2976434"|"365545"
"Ochric epipedon"|0|0|0|28|48|66||||"2976435"|"365057"
"Argillic horizon"|28|48|66|125|163|180||||"2976435"|"365547"
"Lithic contact"|51|71|102|||||||"2976437"|"365548"
"Mollic epipedon"||||||||||"2976455"|"365553"
"Ochric epipedon"|0|0|0|13|23|25||||"2976456"|"365065"
"Argillic horizon"|13|23|25|203|203|203||||"2976456"|"365555"
"Argillic horizon"|15|15|30|152|152|203|122|137|183|"2976457"|"365230"
"Ochric epipedon"|0|0|0|15|15|30|15|15|30|"2976457"|"365394"
"Fragipan"|46|53|84|76|76|152|20|23|76|"2976457"|"365557"
"Argillic horizon"||25|||152|||||"2976464"|"365396"
"Ochric epipedon"||0|||25|||||"2976464"|"365559"
"Ochric epipedon"|0|0|0|20|25|46||||"2976470"|"365070"
"Argillic horizon"|20|25|28|155|173|203||||"2976470"|"365560"
"Argillic horizon"|18|32|53|203|203|203||||"2976471"|"365071"
"Ochric epipedon"|1|2|4|18|32|53||||"2976471"|"365235"
"Mollic epipedon"||0|||99|||99||"2976478"|"365075"
"Cambic horizon"||99|||203|||104||"2976478"|"365239"
"Argillic horizon"|13|28|61|102|142|152||||"2976582"|"365243"
"Ochric epipedon"|0|0|0|13|28|61||||"2976582"|"365407"
"Mollic epipedon"||0|||94|||94||"2976818"|"365248"
"Fragipan"|66|81|86|109|121|203|30|41|122|"2982910"|"365094"
"Argillic horizon"|25|40|40|150|203|203||||"2982910"|"365258"
"Ochric epipedon"|1|2|4|25|40|40||||"2982910"|"365422"
"Argillic horizon"|18|32|53|203|203|203||||"2982912"|"365098"
"Ochric epipedon"|1|2|4|18|32|53||||"2982912"|"365262"
"Mollic epipedon"||||||||||"2982914"|"365589"
"Ochric epipedon"|0|0|0|13|41|61|5|41|64|"2982931"|"365429"
"Argillic horizon"|13|41|61|152|152|203|89|111|198|"2982931"|"365592"
"Ochric epipedon"|0|0|0|8|33|76||||"2982932"|"365103"
"Argillic horizon"|8|33|76|152|203|203||||"2982932"|"365267"
"Mollic epipedon"||||||||||"2982933"|"365269"
"Ochric epipedon"|0|0|0|10|13|51||||"2982934"|"365107"
"Argillic horizon"|10|13|51|51|69|102||||"2982934"|"365597"
"Mollic epipedon"|0|0|0|61|107|122||||"2982940"|"365272"
"Ochric epipedon"|0|0|0|8|10|15|8|13|20|"2982948"|"365275"
"Lithic contact"|51|75|99|203|203|203|104|128|152|"2982948"|"365439"
"Argillic horizon"|8|10|15|51|75|99|36|65|91|"2982948"|"365602"
"Argillic horizon"|15|23|28|203|203|203|175|180|188|"2982950"|"365114"
"Ochric epipedon"|0|0|0|15|23|28|15|23|28|"2982950"|"365278"
"Ochric epipedon"|0|0|0|13|18|20||||"2982951"|"365116"
"Argillic horizon"|13|18|20|203|203|218||||"2982951"|"365606"
"Argillic horizon"|3|25|71|152|183|203|81|158|200|"2983059"|"365447"
"Ochric epipedon"|0|0|0|3|25|71|3|25|71|"2983059"|"365610"
"Argillic horizon"|10|22|25|51|55|102||||"2989386"|"365298"
"Ochric epipedon"|1|2|4|10|22|25||||"2989386"|"365462"
"Lithic contact"|51|55|102|||||||"2989386"|"365625"
"Fragic soil properties"|43|43|86|99|99|135||||"2989388"|"365138"
"Argillic horizon"|13|13|18|152|152|203||||"2989388"|"365465"
"Ochric epipedon"|0|0|0|13|13|18||||"2989388"|"365628"
"Argillic horizon"|13|18|30|152|168|203||||"2989390"|"365467"
"Ochric epipedon"|0|0|0|13|18|30||||"2989390"|"365630"
"Lithic contact"|51|71|102|||||||"2989395"|"365306"
"Argillic horizon"|10|15|20|203|203|203||||"2989403"|"365470"
"Ochric epipedon"|0|0|0|10|15|20|10|15|20|"2989403"|"365633"
"Mollic epipedon"|0|0|0|25|38|61||||"2989408"|"365308"
"Mollic epipedon"||0|||94|||94||"2989409"|"365146"
"Mollic epipedon"|0|0|0|61|107|122||||"2989410"|"365148"
"Mollic epipedon"|0|0|0|61|125|152|61|125|152|"2989416"|"365477"
"Argillic horizon"|13|13|36|152|170|203||||"2989423"|"365315"
"Ochric epipedon"|0|2|4|3|15|15||||"2989423"|"365479"
"Argillic horizon"|3|3|25|152|152|203||||"2989426"|"365318"
"Ochric epipedon"|0|0|0|3|3|15||||"2989426"|"365482"
"Ochric epipedon"|0|0|0|13|18|20||||"2989427"|"365156"
"Argillic horizon"|13|18|20|203|203|218||||"2989427"|"365646"
"Mollic epipedon"||0|||28|||28||"2989431"|"365158"
"Argillic horizon"||28|||203|||175||"2989431"|"365322"
||||||||||"2989432"|"365323"
"Ochric epipedon"|0|0|0|20|23|25|20|23|25|"2989771"|"365332"
"Albic horizon"|20|23|25|38|41|69|18|18|76|"2989771"|"365496"
"Argillic horizon"|38|41|69|152|152|203|83|111|165|"2989771"|"365659"
"Lithic contact"|152|157|203|||||||"2995863"|"365013"
"Argillic horizon"|15|30|36|152|157|203||||"2995863"|"365177"
"Ochric epipedon"|0|0|0|15|30|36|15|30|36|"2995863"|"365341"
"Fragipan"|61|81|97|86|132|142||||"2995863"|"365504"
"Ochric epipedon"|0|0|0|10|20|20||||"2995864"|"365014"
"Argillic horizon"|10|20|20|50|74|102||||"2995864"|"365178"
"Lithic contact"|50|76|102|||||||"2995864"|"365342"
"Argillic horizon"|13|23|38|51|91|102||||"2995873"|"365345"
"Ochric epipedon"|0|0|0|13|23|38||||"2995873"|"365508"
"Ochric epipedon"|0|0|0|13|23|25||||"2995885"|"365020"
"Argillic horizon"|13|23|25|203|203|203||||"2995885"|"365510"
"Mollic epipedon"||||||||||"2995887"|"365350"
"Ochric epipedon"|0|0|0|10|15|20||||"2995893"|"365024"
"Fragipan"|48|61|76|64|102|152||||"2995893"|"365188"
"Argillic horizon"|10|15|30|152|152|203||||"2995893"|"365514"
"Argillic horizon"||25|||152|||||"2995894"|"365352"
"Ochric epipedon"||0|||25|||||"2995894"|"365515"
"Argillic horizon"||41|||152|||111||"2995903"|"365029"
"Ochric epipedon"||0|||20|||20||"2995903"|"365519"
"Fragipan"|41|46|71|64|74|127||||"2995904"|"365031"
"Argillic horizon"|15|18|23|41|46|71||||"2995904"|"365195"
"Ochric epipedon"|0|0|0|15|18|23||||"2995904"|"365359"
"Argillic horizon"||38|||163|||125||"2995908"|"365032"
"Lithic contact"||163||||||||"2995908"|"365196"
"Mollic epipedon"||0|||38|||38||"2995908"|"365522"
"Argillic horizon"|3|3|25|152|152|203||||"2996012"|"365203"
"Ochric epipedon"|0|0|0|3|3|15||||"2996012"|"365367"
"Mollic epipedon"|0|0|0|60|61|76||||"2996248"|"365045"
"Aquic conditions"||46|||203|||||"2996248"|"365535"
"Argillic horizon"|10|18|18|102|145|203||||"3002340"|"365054"
"Ochric epipedon"|0|0|0|10|18|18||||"3002340"|"365218"
"Argillic horizon"|58|66|76|122|147|150||||"3002341"|"365055"
"Ochric epipedon"|0|0|0|58|66|76||||"3002341"|"365219"
"Argillic horizon"|30|33|51|152|170|203||||"3002342"|"365221"
"Ochric epipedon"|0|0|0|30|33|51||||"3002342"|"365385"
"Argillic horizon"|15|15|25|152|152|203||||"3002351"|"365387"
"Ochric epipedon"|0|0|0|15|15|25||||"3002351"|"365550"
"Argillic horizon"|8|33|33|102|140|203|36|107|137|"3002356"|"365060"
"Ochric epipedon"|0|0|0|8|25|33|8|25|33|"3002356"|"365224"
"Lithic contact"|122|122|203|203|203|203|0|81|89|"3002356"|"365388"
"Paralithic materials"|104|104|203|114|122|152|10|18|102|"3002356"|"365551"
"Ochric epipedon"|0|0|0|13|41|61|5|41|64|"3002362"|"365063"
"Argillic horizon"|13|41|61|152|152|203|89|111|198|"3002362"|"365227"
"Ochric epipedon"|0|0|0|13|41|61|5|41|64|"3002363"|"365229"
"Argillic horizon"|13|41|61|152|152|203|89|111|198|"3002363"|"365393"
"Argillic horizon"|10|13|51|51|69|102||||"3002364"|"365067"
"Ochric epipedon"|0|0|0|10|13|51||||"3002364"|"365231"
"Lithic contact"||75||||||||"3002369"|"365068"
"Argillic horizon"||8|||75|||||"3002369"|"365232"
"Ochric epipedon"|0|3|||8|||||"3002369"|"365558"
"Ochric epipedon"|0|2|4|10|22|25||||"3002377"|"365234"
"Argillic horizon"|10|22|25|51|55|102||||"3002377"|"365398"
"Lithic contact"|51|55|102|||||||"3002377"|"365561"
"Argillic horizon"|20|27|55|203|203|203||||"3002378"|"365399"
"Ochric epipedon"|1|2|4|20|27|55|20|25|53|"3002378"|"365562"
"Mollic epipedon"||0|||94|||94||"3002379"|"365564"
"Mollic epipedon"||0|||94|||94||"3002385"|"365403"
"Argillic horizon"|15|20|25|43|119|119||||"3008816"|"365256"
"Ochric epipedon"|0|0|0|15|20|25||||"3008816"|"365420"
"Ochric epipedon"|0|0|0|15|33|38||||"3008817"|"365095"
"Argillic horizon"|15|33|38|152|152|203||||"3008817"|"365585"
"Argillic horizon"|20|27|55|203|203|203||||"3008818"|"365260"
"Ochric epipedon"|1|2|4|20|27|55|20|25|53|"3008818"|"365424"
"Argillic horizon"||23|||152|||||"3008825"|"365099"
"Ochric epipedon"||0|||23|||||"3008825"|"365263"
"Fragipan"|46|48|69|76|102|122|15|53|61|"3008833"|"365264"
"Argillic horizon"|15|20|30|152|183|203|122|163|188|"3008833"|"365428"
"Ochric epipedon"|0|0|0|15|20|30|15|20|30|"3008833"|"365591"
"Mollic epipedon"||0|||28|||28||"3008834"|"365101"
"Argillic horizon"||28|||203|||175||"3008834"|"365265"
"Argillic horizon"|15|23|41|102|104|203||81||"3008838"|"365102"
"Ochric epipedon"|0|0|0|15|23|41||23||"3008838"|"365266"
"Albic horizon"|15|28|30|25|41|81|13|13|28|"3008839"|"365104"
"Ochric epipedon"|0|0|0|15|28|30|15|28|30|"3008839"|"365268"
"Fragipan"|51|84|102|102|124|152|38|40|91|"3008839"|"365431"
"Argillic horizon"|25|41|81|152|196|203|122|155|188|"3008839"|"365594"
"Ochric epipedon"|0|0|0|3|3|15||||"3008840"|"365433"
"Argillic horizon"|3|3|25|152|152|203||||"3008840"|"365596"
"Argillic horizon"|20|27|55|203|203|203||||"3008853"|"365109"
"Ochric epipedon"|1|2|4|20|27|55|20|25|53|"3008853"|"365273"
"Ochric epipedon"|0|0|0|15|18|23||||"3008857"|"365115"
"Fragipan"|41|46|71|64|74|127||||"3008857"|"365442"
"Argillic horizon"|15|18|23|41|46|71||||"3008857"|"365605"
"Mollic epipedon"||||||||||"3008858"|"365280"
"Argillic horizon"|25|33|51|152|203|203||||"3009201"|"365455"
"Ochric epipedon"|0|0|0|25|33|51||||"3009201"|"365618"
"Argillic horizon"||33|||203|||170||"3009204"|"365129"
"Ochric epipedon"||0|||33|||33||"3009204"|"365293"
"Ochric epipedon"|1|2|4|20|27|55|20|25|53|"3015292"|"365134"
"Argillic horizon"|20|27|55|203|203|203||||"3015292"|"365624"
"Lithic contact"|102|114|152|||||||"3015293"|"365135"
