"2"|"2970378"|"551664"
"3"|"2970378"|"551665"
"2"|"2976749"|"551695"
"2"|"2982966"|"551715"
"3"|"2983325"|"551751"
"2"|"2983326"|"551752"
"3"|"2983326"|"551753"
"2"|"2983337"|"551754"
"2"|"2996276"|"551830"
"2"|"3002778"|"551864"
"2"|"3008871"|"551876"
"2"|"3009231"|"551909"
"2"|"3009233"|"551910"
"3"|"3009234"|"551911"
"2"|"3009234"|"551912"
"3"|"3015708"|"551956"
"2"|"3015708"|"551957"
"2"|"3015709"|"551958"
"2"|"3015731"|"551959"
"2"|"3022197"|"552002"
"3"|"3022197"|"552003"
"2"|"3028661"|"552048"
"2"|"3028662"|"552049"
"3"|"3028662"|"552050"
"2"|"3028663"|"552051"
"3"|"3028664"|"552052"
"2"|"3028679"|"552053"
"2"|"3028685"|"552054"
"4"|"3035156"|"552098"
"2"|"3035156"|"552099"
"3"|"3041615"|"552135"
"2"|"3041616"|"552136"
"3"|"3041616"|"552137"
"2"|"3048052"|"552165"
"2"|"3048091"|"552181"
"3"|"3048091"|"552182"
"2"|"3048092"|"552183"
"3"|"3048093"|"552184"
"2"|"3048093"|"552185"
"2"|"3048103"|"552186"
"2"|"3048108"|"552187"
"2"|"3048114"|"552188"
"3"|"3054567"|"552234"
"2"|"3054568"|"552235"
"3"|"3054568"|"552236"
"2"|"3061044"|"552274"
"3"|"3061044"|"552275"
"2"|"3061045"|"552276"
"3"|"3067521"|"552317"
"2"|"3067521"|"552318"
"2"|"3067522"|"552319"
"3"|"3067522"|"552320"
"2"|"3067527"|"552321"
"3"|"3067527"|"552322"
