cv,wepp_id,realizations,median_peak_m3_s,p05_peak_m3_s,p95_peak_m3_s,median_peak_change_pct,p05_peak_change_pct,p95_peak_change_pct,max_abs_balance_m3,max_factor_mean_error
0.1,169,100,8.440000000000001,8.27,9.354,2.4271844660194164,0.3640776699028958,13.519417475728153,0.0,2.220446049250313e-16
0.1,172,100,33.2,32.3,34.51,0.30211480362538623,-2.4169184290030343,4.259818731117811,0.0,2.220446049250313e-16
0.1,173,100,42.3,41.0,43.419999999999995,0.23696682464453556,-2.8436018957346043,2.8909952606634897,0.0,2.220446049250313e-16
0.1,193,100,229.0,228.0,231.0,0.0,-0.4366812227074246,0.8733624454148492,0.01,2.220446049250313e-16
0.25,169,100,8.68,8.2995,9.7605,5.339805825242716,0.7220873786407866,18.452669902912614,0.0,2.220446049250313e-16
0.25,172,100,33.5,31.1,35.405,1.2084592145015005,-6.042296072507558,6.963746223564952,0.0,2.220446049250313e-16
0.25,173,100,42.0,40.285,44.2,-0.4739336492891044,-4.537914691943136,4.739336492891,0.0,2.220446049250313e-16
0.25,193,100,228.0,225.0,232.0,-0.4366812227074246,-1.7467248908296984,1.3100436681222627,0.01,2.220446049250313e-16
0.5,169,100,9.15,8.269499999999999,10.104999999999999,11.04368932038835,0.35800970873784754,22.633495145631066,0.0,2.220446049250313e-16
0.5,172,100,33.9,30.4,35.41,2.4169184290030232,-8.157099697885206,6.978851963746219,0.0,2.220446049250313e-16
0.5,173,100,41.849999999999994,39.48,44.905,-0.8293838862559355,-6.445497630331758,6.4099526066350645,0.0,2.220446049250313e-16
0.5,193,100,226.0,220.0,231.0,-1.3100436681222738,-3.9301310043668103,0.8733624454148492,0.01,2.220446049250313e-16
