metric,label,U_median,U_q25,U_q75,B_median,B_q25,B_q75,U_minus_B_median,n_U,n_B
peak_runoff,Outlet peak discharge $Q_p$ (m$^3$/s),160.67899,148.16572000000002,175.573035,132.84166,120.44180499999999,159.93339,27.83733000000001,27,27
runoff_volume,Outlet runoff volume $V$ (m$^3$),613759.53,476296.33499999996,710290.9099999999,524359.21,443022.56,731052.91,89400.32000000007,27,27
effective_duration_hr,Outlet effective duration $T_{eff}=V/Q_p$ (hr),1.0642073392536888,0.861370062903672,1.265810728759715,1.1647878251507997,0.7668799566933565,1.5372501723023841,-0.10058048589711088,27,27
peak_to_volume_1_per_s,Peak-to-volume ratio $Q_p/V$ (1/s),0.0002610184759415,0.00021944930542895001,0.00032258695511380004,0.000238479293636,0.00018080272567735,0.00036346568824494995,2.2539182305499983e-05,27,27
time_to_peak_s,Outlet time-to-peak (s),7200.0,5700.0,12000.0,6600.0,4800.0,11100.0,600.0,27,27
approx_intensity_mm_per_hr,Intensity proxy $P/\mathrm{dur}$ (mm/hr),15.334742983218275,12.414303414218544,28.479206569707948,15.452054794520544,13.622390722569131,29.556666666666658,-0.11731181130226886,27,27
contrib_area_fraction,Contributing-area fraction (PASS),0.9996323194793386,0.9671340618966736,1.0,1.0,1.0,1.0,-0.00036768052066138424,27,27
subsurface_fraction_of_runvol,Subsurface fraction of runoff volume (PASS),0.1887209854955355,0.0518504411890165,0.2914953471450039,0.1121131476073945,0.0520626076599785,0.19065028425363215,0.076607837888141,27,27
Saturation_aw,Area-weighted soil saturation (soil\_pw0),0.8979280616333312,0.8190017965651928,0.9425340934127429,0.9333844705281976,0.8833299060601407,0.9611676273245595,-0.035456408894866454,27,27
TSW_aw,Area-weighted total soil water TSW (soil\_pw0),38.05514531558966,34.713233249624594,39.89699487022847,39.520143684171465,37.42023614519603,40.76223123740641,-1.4649983685818029,27,27
Suct_aw,Area-weighted suction (mm) (soil\_pw0),0.367496092679842,0.34,1.568899472933184,0.34,0.34,0.3754878786287541,0.027496092679841988,27,27
Keff_aw,Area-weighted $K_{eff}$ (soil\_pw0),0.2199999999999999,0.2199999999999999,0.2299999999999999,0.2199999999999999,0.2199999999999999,0.2299999999999999,0.0,27,27
Rough_aw,Area-weighted roughness (soil\_pw0),20.000000000000004,20.000000000000004,20.000000000000004,20.000000000000004,20.000000000000004,20.000000000000004,0.0,27,27
