sim_day_index,year,month,day_of_month,julian,precip,runoff_volume,peak_runoff,element_id,date,effective_duration_hr,time_to_peak_s,peak_discharge_m3s,total_area_m2,contrib_area_m2,contrib_area_fraction,sum_hillslope_runvol_m3,sum_sbrunv_m3,sum_drrunv_m3,sum_gwbfv_m3,sum_gwdsv_m3,dur_area_weighted,peakro_area_weighted,dur_mean,peakro_mean,hillslope_rows,subsurface_fraction_of_runvol,drain_fraction_of_runvol,peak_to_volume_1_per_s,approx_intensity_mm_per_hr,rank,area_m2,Saturation_aw,TSW_aw,Suct_aw,Keff_aw,Rough_aw
16106,2024,2,4,35,180.6,1308855.35,263.57799,400,2024-02-04,1.3793675661444855,15600.0,264.0,9790564.899999997,9789664.899999997,0.999908074762877,1222394.2639999993,82696.73210000001,0.0,45.816256514,0.0,39596.35976060994,2.072497049751839,39457.553956834534,1.1912034474820143,278,0.0676514399121886,0.0,0.0002013805345258,16.41969120218906,1,,,,,,
5482,1995,1,3,3,160.3,984085.21,249.52349,400,1995-01-03,1.0955161086348133,17400.0,250.0,9790564.899999997,9790564.899999997,1.0,965978.6459999996,14519.47622,0.0,25.19397773746464,0.0,45000.000000000015,1.7844553731929085,45000.0,1.0068584928057565,278,0.015030845951019,0.0,0.0002535588254598,12.823999999999998,2,,,,,,
15340,2021,12,30,364,76.7,685878.2,241.41668,400,2021-12-30,0.7891820988600381,4800.0,241.0,9790564.899999997,9790564.899999997,1.0,542452.3819999996,142704.33720000007,0.0,35.24531338001751,0.0,11160.000000000004,1.8002993343589089,11160.0,1.0520106510791365,278,0.2630725607174127,0.0,0.0003519818533378,24.74193548387096,3,,,,,,
46,1980,2,15,46,116.3,1010426.96,217.93573,400,1980-02-15,1.2878758134591128,10800.0,218.0,9790564.899999997,9789664.899999997,0.999908074762877,906357.4330000004,102463.4383,0.0,53.77773570000002,0.0,27357.484925512326,1.5651085620117289,27261.58273381295,0.8841247374100717,278,0.1130497026552216,0.0,0.000215686772649,15.304038406306802,4,3191701.5999999996,0.9245182074665128,39.17943418864722,0.34,0.20999999999999996,20.000000000000004
5895,1996,2,20,51,103.9,825128.18,215.3737,400,1996-02-20,1.0642073392536888,10200.0,215.0,9790564.899999997,9790564.899999997,1.0,784271.9275999999,39304.40340000001,0.0,34.12703762301418,0.0,25200.000000000007,1.6753895982963058,25200.0,0.9195793532374104,278,0.0501157851209565,0.0,0.0002610184759415,14.84285714285714,5,3191701.5999999996,0.8174179343708071,34.65881201394266,2.2281589406729005,0.21999999999999995,20.000000000000004
11311,2010,12,19,353,70.6,504182.01,211.46838,400,2010-12-19,0.6622765934714843,7200.0,211.0,9790564.899999997,9790564.899999997,1.0,477705.0849999999,25197.94578,0.0,26.129850846974996,0.0,18000.000000000007,1.877284814444884,18000.0,1.0664170629496394,278,0.0527479119884185,0.0,0.0004194286503796,14.119999999999994,6,3191701.5999999996,0.6465290611753931,27.38088922410541,4.829945064726604,0.22999999999999998,20.000000000000004
45,1980,2,14,45,82.8,600631.0,190.28873,400,1980-02-14,0.8767831097745225,7800.0,190.0,9790564.899999997,9789664.899999997,0.999908074762877,548144.2904,51617.54529999998,0.0,53.1469287,0.0,19438.21297339034,1.6192593667102044,19370.071942446044,0.9490882226618714,278,0.0941678061853619,0.0,0.0003168146998739,15.334742983218275,7,3191701.5999999996,0.9249892768797687,39.08419842819893,0.34,0.20999999999999996,20.000000000000004
9130,2004,12,29,364,91.7,706614.87,182.43366,400,2004-12-29,1.0759084060108937,4800.0,182.0,9790564.899999997,9790564.899999997,1.0,678632.21576,26131.38480000001,0.0,60.78582015446001,0.0,10440.000000000004,1.4666433460336492,10440.0,0.8041945812949635,278,0.0385059597719443,0.0,0.0002581797634686,31.62068965517241,8,3191701.5999999996,0.893592527258814,37.788410588571324,0.7598396131392731,0.22999999999999998,20.000000000000004
1156,1983,3,1,60,136.4,1229888.17,179.6318,400,1983-03-01,1.901865943434168,13200.0,180.0,9790564.899999997,9685242.499999996,0.9892424593396036,1045334.1789999994,182986.24089999983,0.0,67.85966750000001,0.0,33119.83753868994,1.270850679431233,31793.956834532375,0.7076402075539565,278,0.1750504714913755,0.0,0.0001460553929874,14.826159682286388,9,3191701.5999999996,0.8902379689880785,37.73822325401599,0.34,0.21999999999999995,20.000000000000004
5489,1995,1,10,10,135.9,1195757.57,176.26347,400,1995-01-10,1.884422680181864,7200.0,176.0,9790564.899999997,9462932.099999996,0.9665358635230537,985196.2916000002,208151.98890000003,0.0,29.746811790019372,0.0,17049.692632546674,1.2175048096937793,16370.93525179856,0.7067699737410071,278,0.2112797121494971,0.0,0.0001474073628486,28.69494544822908,10,3191701.5999999996,0.8205856587595786,34.76765448530653,0.2812947745490995,0.21999999999999995,20.000000000000004
9141,2005,1,9,9,92.5,813547.28,174.8826,400,2005-01-09,1.2922117783905065,16800.0,175.0,9790564.899999997,9696035.599999996,0.9903448574249276,624009.9388,188390.3619,0.0,63.6729705,0.0,42069.849543410935,1.5072329801440425,40493.525179856115,0.8928127992805758,278,0.3019028226734391,0.0,0.0002149630443113,7.915407438203095,11,3191701.5999999996,0.9613170977512435,40.837350151718454,0.34,0.22999999999999998,20.000000000000004
1065,1982,11,30,334,78.0,396440.81,172.14158,400,1982-11-30,0.6397202071819151,3600.0,172.0,9790564.899999997,9790564.899999997,1.0,376160.24999999994,19166.482080000016,0.0,31.172997506500003,0.0,6840.000000000003,1.572305329226224,6840.0,0.9057604712230216,278,0.0509529703896145,0.0,0.0004342176074153,41.05263157894735,12,3191701.5999999996,0.7112481060259517,30.07020016470211,3.074035743191031,0.21999999999999995,20.000000000000004
9142,2005,1,10,10,87.1,856237.93,169.08346,400,2005-01-10,1.406665497881605,4800.0,169.0,9790564.899999997,9582623.099999996,0.978761000808033,619403.3680000001,235546.00280000005,0.0,63.88288099999999,0.0,10570.61880872676,1.2535486749437212,10178.41726618705,0.6963712143884891,278,0.3802788537630295,0.0,0.0001974725179483,29.663353269454294,13,3191701.5999999996,0.9613086383138074,40.53027049709158,0.34,0.22999999999999998,20.000000000000004
4756,1993,1,7,7,58.2,444664.09,168.37183,400,1993-01-07,0.7336013558668204,10800.0,168.0,9790564.899999997,9790564.899999997,1.0,346067.0536000001,98391.3952,0.0,42.122688789999984,0.0,26640.00000000001,1.5235649676934278,26640.0,0.8756343393884889,278,0.2843130953278355,0.0,0.0003786494879764,7.864864864864862,14,3191701.5999999996,0.9610266163353117,40.81761813541718,0.34,0.21999999999999995,20.000000000000004
4424,1992,2,10,41,90.4,619103.82,166.80341,400,1992-02-10,1.030993810817976,14400.0,167.0,9790564.899999997,9790564.899999997,1.0,520098.6077000002,98153.52179999996,0.0,58.21566799999999,0.0,36720.000000000015,1.1987284584188238,36720.0,0.7068579809352518,278,0.1887209854955355,0.0,0.0002694272020482,8.862745098039213,15,3191701.5999999996,0.905883354822394,38.33219744352043,0.4210554755494687,0.21999999999999995,20.000000000000004
15938,2023,8,20,232,145.3,545680.98,163.24568,400,2023-08-20,0.9285271745016468,5400.0,163.0,9790564.899999997,7358667.599999998,0.7516080711543008,534469.2736999998,8293.305142000003,0.0,26.74574592600001,0.0,9470.261696544194,1.2681350506286315,9427.338129496404,0.6815638109352518,278,0.0155168978837407,0.0,0.0002991595565599,55.23395411458143,16,3191701.5999999996,0.4068236306927941,17.225230090432017,8.389054843974138,0.25,20.000000000000004
5488,1995,1,9,9,91.7,676803.36,160.67899,400,1995-01-09,1.1700405468900033,14400.0,161.0,9790564.899999997,8157111.299999998,0.8331604338785396,519858.8101000003,155270.18120000005,0.0,28.127916090020214,0.0,29993.775619627435,1.302282054807239,30690.64748201439,0.8209454312949647,278,0.2986775989621724,0.0,0.0002374086765763,11.00628357651562,17,3191701.5999999996,0.8340937248018426,35.30139087908469,0.7663600666804192,0.21999999999999995,20.000000000000004
9060,2004,10,20,294,74.4,356340.74,154.68608,400,2004-10-20,0.6398994588840113,3000.0,155.0,9790564.899999997,9790564.899999997,1.0,342914.5140000005,12010.33982,0.0,26.04542675749,0.0,6480.000000000002,1.1885079331305282,6480.0,0.6902305780575542,278,0.0350242971051379,0.0,0.0004340959722988,41.33333333333333,18,3191701.5999999996,0.45181952723901275,19.155985348693005,6.302557653572626,0.21999999999999995,20.000000000000004
9182,2005,2,19,50,71.6,512441.92,152.81089,400,2005-02-19,0.931510691271923,6600.0,153.0,9790564.899999997,9729365.299999995,0.9937491247313012,427044.752,84823.97870000002,0.0,67.93679570000002,0.0,15740.986135743817,1.150676299045666,15555.107913669064,0.6781639780575539,278,0.1986301864213051,0.0,0.0002982013844612,16.375085892153344,19,3191701.5999999996,0.9239795991580168,39.031642755387935,0.34,0.21999999999999995,20.000000000000004
15339,2021,12,29,363,105.7,620366.89,151.92614,400,2021-12-29,1.134262583852332,6600.0,152.0,9790564.899999997,9789664.899999997,0.999908074762877,531393.3573999997,86802.6599,0.0,33.85551175001825,0.0,15118.610090414706,1.31010926289306,15065.611510791368,0.7524493859712232,278,0.1633491625200357,0.0,0.0002448972413727,25.168980331151744,20,3191701.5999999996,0.89389932442306,37.72690623177304,0.42769067571981056,0.24000000000000002,20.000000000000004
4763,1993,1,14,14,79.2,713966.95,151.3643,400,1993-01-14,1.3102439133783712,8400.0,151.0,9790564.899999997,9137144.299999995,0.9332601737822092,506933.0424000003,205734.57339999996,0.0,48.78351319999998,0.0,19822.446091134138,1.124897448469237,20246.762589928057,0.6840689697841719,278,0.4058417112168891,0.0,0.0002120046313068,14.38369405517132,21,3191701.5999999996,0.9516837162972882,40.27384605628548,0.34,0.21999999999999995,20.000000000000004
13535,2017,1,20,20,69.6,460698.97,151.27475,400,2017-01-20,0.8459570160328217,13200.0,151.0,9790564.899999997,9474645.499999996,0.9677322602702936,362351.0917000001,97772.2155,0.0,51.4363903,0.0,32748.05968754674,1.3228847415649734,32135.827338129497,0.779586896438849,278,0.269827296618022,0.0,0.0003283592103537,7.651140323751199,22,3191701.5999999996,0.98,41.31823574202552,0.34,0.22999999999999998,20.000000000000004
8823,2004,2,26,57,108.7,679195.09,148.51926,400,2004-02-26,1.270308664194649,7200.0,149.0,9790564.899999997,9786965.099999996,0.9996323194793386,595400.0670999998,81827.9369,0.0,29.920515340489004,0.0,16913.778845590416,1.0551006152523008,16798.273381294963,0.6591935834532381,278,0.1374335365774432,0.0,0.0002186695136444,23.13616629213648,23,3191701.5999999996,0.705789549373914,29.887318605849636,2.8584351131070647,0.22999999999999998,20.000000000000004
