sim_day_index,date,undisturbed_precip,undisturbed_runoff_volume,undisturbed_peak_runoff,undisturbed_effective_duration_hr,undisturbed_time_to_peak_s,undisturbed_dur_area_weighted,undisturbed_peakro_area_weighted,undisturbed_contrib_area_fraction,undisturbed_subsurface_fraction_of_runvol,undisturbed_drain_fraction_of_runvol,undisturbed_approx_intensity_mm_per_hr,undisturbed_peak_to_volume_1_per_s,burned_precip,burned_runoff_volume,burned_peak_runoff,burned_effective_duration_hr,burned_time_to_peak_s,burned_dur_area_weighted,burned_peakro_area_weighted,burned_contrib_area_fraction,burned_subsurface_fraction_of_runvol,burned_drain_fraction_of_runvol,burned_approx_intensity_mm_per_hr,burned_peak_to_volume_1_per_s,peak_diff_undist_minus_burned,runoff_vol_diff_undist_minus_burned,effective_duration_hr_diff_undist_minus_burned,undisturbed_volume_ratio_to_burned,flag_peak_higher_volume_not_higher,year,julian,tc_hr,storm_dur_hr,storm_peak_hr,storm_peak_minus_tc_hr,storm_peak_minus_tc_abs_hr,tc_over_dur,peak_over_dur,peak_over_tc
14261,2019-01-16,49.8,400780.98,133.19999,0.8357962339186361,8400.0,19284.921463111907,1.1138874985131983,0.9236073497658954,0.57739298463422,0.0,9.296382167950531,0.0003323510761413,49.8,465960.23,180.0359,0.7189310422100382,8400.0,20880.000000000007,1.5305370458270593,1.0,0.3846864739096714,0.0,8.58620689655172,0.0003863761076776,-46.835909999999984,-65179.25,0.1168651917085978,0.8601184268451408,False,2019,16,0.81,5.8,0.06,-0.75,0.75,0.1396551724137931,0.010344827586206896,0.07407407407407407
15339,2021-12-29,105.7,620366.89,151.92614,1.134262583852332,6600.0,15118.610090414706,1.31010926289306,0.999908074762877,0.1633491625200357,0.0,25.168980331151744,0.0002448972413727,105.7,753236.81,132.90705,1.5742765129631742,6600.0,15120.000000000004,0.9265204908614006,1.0,0.1186577685104732,0.0,25.166666666666657,0.0001764478955827,19.01909000000001,-132869.92000000004,-0.4400139291108422,0.8236013983437691,True,2021,363,0.6,4.2,0.84,0.24,0.24,0.14285714285714285,0.19999999999999998,1.4
15340,2021-12-30,76.7,685878.2,241.41668,0.7891820988600381,4800.0,11160.000000000004,1.8002993343589089,1.0,0.2630725607174127,0.0,24.74193548387096,0.0003519818533378,76.7,725716.86,251.14489,0.802676163017558,4800.0,11160.000000000004,148556.56339248168,1.0,0.1877832741376431,0.0,24.74193548387096,0.0003460645657315,-9.72820999999999,-39838.66000000003,-0.0134940641575198,0.9451044033894982,False,2021,364,0.85,3.1,0.31,-0.54,0.54,0.27419354838709675,0.09999999999999999,0.36470588235294116
15779,2023-03-14,86.1,368445.27,131.18296,0.7801768486801436,16800.0,42464.38093148232,1.1462810757788855,0.9996323194793386,0.191895813805041,0.0,7.299293977701703,0.0003560446304548,86.1,420084.89,121.65645,0.9591784670868024,16800.0,42480.000000000015,0.9654967441379004,1.0,0.1268505543623297,0.0,7.296610169491522,0.000289599680674,9.526510000000002,-51639.619999999995,-0.1790016184066587,0.8770733696229827,True,2023,73,0.91,11.8,2.36,1.4499999999999997,1.4499999999999997,0.0771186440677966,0.19999999999999998,2.593406593406593
15938,2023-08-20,145.3,545680.98,163.24568,0.9285271745016468,5400.0,9470.261696544194,1.2681350506286315,0.7516080711543008,0.0155168978837407,0.0,55.23395411458143,0.0002991595565599,145.3,587597.1,201.05865,0.8118099702085271,5400.0,9557.105177863645,1.5901030357485173,0.7585004109415587,0.0045652521613654,0.0,54.73205434754117,0.0003421709365141,-37.81297000000001,-41916.119999999995,0.1167172042931197,0.928665202738407,False,2023,232,0.85,3.5,0.35,-0.5,0.5,0.24285714285714285,0.09999999999999999,0.4117647058823529
16106,2024-02-04,180.6,1308855.35,263.57799,1.3793675661444855,15600.0,39596.35976060994,2.072497049751839,0.999908074762877,0.0676514399121886,0.0,16.41969120218906,0.0002013805345258,180.6,1321911.73,149.25292,2.460237982464784,15600.0,39600.000000000015,0.9992207897477502,1.0,0.0567954183165661,0.0,16.41818181818181,0.0001129068731389,114.32507,-13056.379999999888,-1.0808704163202982,0.9901231075391094,True,2024,35,0.69,11.0,1.1,0.41000000000000014,0.41000000000000014,0.06272727272727273,0.1,1.5942028985507248
16756,2025-11-15,86.6,491893.7,147.81218,0.924397021198719,3000.0,6120.000000000002,1.0318813710025758,1.0,0.0318771555886868,0.0,50.94117647058822,0.0003004961844398,86.6,524359.21,151.19134,0.9633841204867364,3000.0,6120.000000000002,1.02155787187102,1.0,0.0338209905384889,0.0,50.94117647058822,0.0002883354332614,-3.3791599999999846,-32465.50999999995,-0.0389870992880172,0.9380853632760642,False,2025,319,0.54,1.7,0.02,-0.52,0.52,0.31764705882352945,0.011764705882352941,0.037037037037037035
1044,,,,,,,,,,,,,,97.5,298535.44,115.96301,0.7151117508170158,4800.0,11160.000000000004,0.9284565653134048,1.0,0.006912858391391,0.0,31.451612903225797,0.0003884396773796,,,,,False,1982,313,0.66,3.1,0.93,0.27,0.27,0.21290322580645163,0.3,1.4090909090909092
2861,,,,,,,,,,,,,,75.2,325486.12,159.65107,0.5663150964857994,4200.0,9000.000000000004,1.467910301370088,1.0,0.0473297970033909,0.0,30.07999999999999,0.000490500393688,,,,,False,1987,304,0.65,2.5,0.25,-0.4,0.4,0.26,0.1,0.3846153846153846
4445,,,,,,,,,,,,,,73.9,257602.32,120.51982,0.5937297284380278,4200.0,9360.000000000004,1.1203875468243305,1.0,0.0619453488443419,0.0,28.423076923076916,0.0004678522305233,,,,,False,1992,62,0.69,2.6,0.52,-0.16999999999999993,0.16999999999999993,0.26538461538461533,0.2,0.7536231884057972
9140,,,,,,,,,,,,,,58.4,514584.55,122.71776,1.1647878251507997,6000.0,14400.000000000004,0.8931467513972459,1.0,0.2854773862446342,0.0,14.599999999999993,0.000238479293636,,,,,False,2005,8,0.68,4.0,0.8,0.12,0.12,0.17,0.2,1.1764705882352942
10252,,,,,,,,,,,,,,87.1,571592.13,124.47849,1.2755263312293288,13800.0,35189.11077500749,0.8577130729118005,0.9974237748017992,0.1464423033382703,0.0,8.910711100511838,0.0002177750242992,,,,,False,2008,25,0.8,9.8,2.94,2.1399999999999997,2.1399999999999997,0.08163265306122448,0.3,3.675
12478,,,,,,,,,,,,,,79.8,408803.99,132.84166,0.8548271971976931,11400.0,27720.00000000001,1.0769795275358838,1.0,0.0446664103783659,0.0,10.36363636363636,0.000324951965366,,,,,False,2014,59,0.83,7.7,0.08,-0.75,0.75,0.10779220779220779,0.01038961038961039,0.0963855421686747
16463,,,,,,,,,,,,,,112.8,486783.88,117.75182,1.148328275897939,10800.0,26280.000000000007,0.8706271259530143,1.0,0.0128029117294112,0.0,15.452054794520544,0.0002418975336652,,,,,False,2025,26,0.79,7.3,2.19,1.4,1.4,0.1082191780821918,0.3,2.772151898734177
