year,julian,month,day_of_month,water_year,audit_rain_melt_reported_mm,audit_precip_reported_mm,audit_runoff_reported_mm,audit_runoff_calc_mm,audit_runoff_consistency_mm,audit_lateral_reported_mm,audit_lateral_calc_mm,audit_et_reported_mm,audit_et_calc_mm,audit_percolation_reported_mm,audit_percolation_calc_mm,audit_interception_reported_mm,audit_storage_delta_mm,audit_enriched_storage_delta_mm,audit_closure_reported_with_storage_mm,audit_closure_reconstructed_with_storage_mm,audit_closure_reported_with_enriched_storage_mm,audit_closure_reconstructed_with_enriched_storage_mm,audit_closure_reported_with_storage_rain_melt_mm,audit_closure_reconstructed_with_storage_rain_melt_mm,audit_closure_reported_with_enriched_storage_rain_melt_mm,audit_closure_reconstructed_with_enriched_storage_rain_melt_mm,audit_soilwatertotal_vs_legacy_storage_mm,audit_soilwater_to_porosity_fraction,audit_soilwater_minus_fc_mm,audit_soilwater_minus_wp_mm,audit_profile_order_fc_gt_porosity,audit_profile_order_wp_gt_fc,audit_soilwater_gt_porositycap,audit_soilwater_lt_wpstore,audit_runoff_to_precip_reported_pct,audit_runoff_to_precip_reconstructed_pct,abs_closure_reported_with_storage_mm,abs_runoff_consistency_mm
1,1,1,1,1990,0.0,0.0,0.0,0.0,0.0,1.6010801085284498,1.6010801085284498,0.561978067284408,0.5619780672844079,0.1441849721070884,0.1441849721070884,0.0,0.0,0.0,-2.3072431479199462,-2.3072431479199462,-2.3072431479199462,-2.3072431479199462,-2.3072431479199462,-2.3072431479199462,-2.3072431479199462,-2.3072431479199462,0.0,0.37336739356227305,72.87492397852282,185.03300729715107,False,False,False,False,0.0,0.0,2.3072431479199462,0.0
1,166,6,15,1990,0.0,0.0,0.0,0.0,0.0,0.18839350259435603,0.18839350259435603,3.4903749793756162,3.4903749793756162,0.11001953951223746,0.11001953951223746,0.0,-3.7887880420875604,-3.7887880420875604,2.0605350758984287e-08,2.0605350758984287e-08,2.0605350758984287e-08,2.0605350758984287e-08,2.0605350758984287e-08,2.0605350758984287e-08,2.0605350758984287e-08,2.0605350758984287e-08,0.0,0.3519967603110824,56.56266242977813,168.7207457484064,False,False,False,False,0.0,0.0,2.0605350758984287e-08,0.0
1,171,6,20,1990,0.0,0.0,0.0,0.0,0.0,0.18353605790408406,0.18353605790408406,3.4148362708330273,3.4148362708330273,0.05879430984673617,0.05879430984673617,0.0,-3.6571666587672382,-3.6571666587672382,2.0183390958550262e-08,2.0183390958550262e-08,2.0183390958550262e-08,2.0183390958550262e-08,2.0183390958550262e-08,2.0183390958550262e-08,2.0183390958550262e-08,2.0183390958550262e-08,0.0,0.33208950881526456,41.367404090939345,153.5254874095676,False,False,False,False,0.0,0.0,2.0183390958550262e-08,0.0
5,143,5,23,1994,0.0,0.0,0.0,0.0,0.0,0.5492274591303994,0.5492274591303994,4.028084803926098,4.028084803926098,0.13594553477170043,0.13594553477170043,0.0,-4.713257816363296,-4.713257816363296,1.8535097900951314e-08,1.8535097900951314e-08,1.8535097900951314e-08,1.8535097900951314e-08,1.8535097900951314e-08,1.8535097900951314e-08,1.8535097900951314e-08,1.8535097900951314e-08,0.0,0.42704040234094753,113.84367520900065,226.0017585276289,False,False,False,False,0.0,0.0,1.8535097900951314e-08,0.0
4,251,9,8,1993,0.0,0.0,0.0,0.0,0.0,0.4901928613074553,0.4901928613074553,1.9173898132576075,1.917389813257607,0.10270846855739382,0.10270846855739382,0.0,-2.5102911603212306,-2.5102911603212306,1.7198773516469146e-08,1.7198774404647565e-08,1.7198773516469146e-08,1.7198774404647565e-08,1.7198773516469146e-08,1.7198774404647565e-08,1.7198773516469146e-08,1.7198774404647565e-08,0.0,0.45139696622538167,132.43510560049185,244.5931889191201,False,False,False,False,0.0,0.0,1.7198773516469146e-08,0.0
1,22,1,22,1990,0.0,0.0,0.0,0.0,0.0,0.45946706186344394,0.45946706186344394,0.9663870695639311,0.9663870695639308,0.1377429411373806,0.1377429411373806,0.0,-1.5635970892966498,-1.5635970892966498,1.6731894314503393e-08,1.6731894536547998e-08,1.6731894314503393e-08,1.6731894536547998e-08,1.6731894314503393e-08,1.6731894536547998e-08,1.6731894314503393e-08,1.6731894536547998e-08,0.0,0.3060094801907363,21.46044845131877,133.61853176994703,False,False,False,False,0.0,0.0,1.6731894314503393e-08,0.0
1,29,1,29,1990,0.0,10.400000000000002,0.0,0.0,0.0,0.19715135144229257,0.19715135144229257,0.2994578657031495,0.29945786570314953,0.1274428964745935,0.1274428964745935,0.0,9.775947870031871,9.775947870031871,1.634809621009481e-08,1.634809621009481e-08,1.634809621009481e-08,1.634809621009481e-08,-10.399999983651906,-10.399999983651906,-10.399999983651906,-10.399999983651906,0.0,0.2975861853782013,15.03092498005708,127.18900829868534,False,False,False,False,0.0,0.0,1.634809621009481e-08,0.0
1,169,6,18,1990,0.0,0.0,0.0,0.0,0.0,0.18487849453335578,0.18487849453335578,4.638887395215322,4.638887395215323,0.0796462431615934,0.0796462431615934,0.0,-4.903412147621623,-4.903412147621623,1.4711351248308802e-08,1.4711350360130382e-08,1.4711351248308802e-08,1.4711350360130382e-08,1.4711351248308802e-08,1.4711350360130382e-08,1.4711351248308802e-08,1.4711350360130382e-08,0.0,0.3417874497172968,48.769868333284876,160.92795165191313,False,False,False,False,0.0,0.0,1.4711351248308802e-08,0.0
1,31,1,31,1990,0.0,3.8,0.0,0.0,0.0,0.15896642138190864,0.15896642138190864,0.2702552557778849,0.2702552557778848,0.12282591546288607,0.12282591546288607,0.0,3.2479523929483207,3.2479523929483207,1.4428999328686132e-08,1.4428999328686132e-08,1.4428999328686132e-08,1.4428999328686132e-08,-3.7999999855710005,-3.7999999855710005,-3.7999999855710005,-3.7999999855710005,0.0,0.2954852220242856,13.427254029806193,125.58533734843445,False,False,False,False,0.0,0.0,1.4428999328686132e-08,0.0
6,195,7,14,1995,0.0,0.0,0.0,0.0,0.0,1.3718843433420413,1.3718843433420413,3.825617274223108,3.825617274223107,0.11513659715994973,0.11513659715994973,0.0,-5.312638229080221,-5.312638229080221,1.4355122424092315e-08,1.4355123312270734e-08,1.4355122424092315e-08,1.4355123312270734e-08,1.4355122424092315e-08,1.4355123312270734e-08,1.4355122424092315e-08,1.4355123312270734e-08,0.0,0.5635015676745538,218.00484788011266,330.1629311987409,False,False,False,False,0.0,0.0,1.4355122424092315e-08,0.0
5,152,6,1,1994,0.0,0.0,0.0,0.0,0.0,0.35840636744769516,0.35840636744769516,2.9317060616140056,2.9317060616140056,0.11506923060162837,0.11506923060162837,0.0,-3.4051816736883893,-3.4051816736883893,1.4025060224298613e-08,1.4025060224298613e-08,1.4025060224298613e-08,1.4025060224298613e-08,1.4025060224298613e-08,1.4025060224298613e-08,1.4025060224298613e-08,1.4025060224298613e-08,0.0,0.41014757893121695,100.94933789492364,213.1074212135519,False,False,False,False,0.0,0.0,1.4025060224298613e-08,0.0
3,199,7,17,1992,0.0,0.0,0.0,0.0,0.0,0.35989319896569677,0.35989319896569677,3.168643806114528,3.168643806114528,0.05844328610082614,0.05844328610082614,0.0,-3.5869803051806457,-3.5869803051806457,1.3999594816738181e-08,1.3999594816738181e-08,1.3999594816738181e-08,1.3999594816738181e-08,1.3999594816738181e-08,1.3999594816738181e-08,1.3999594816738181e-08,1.3999594816738181e-08,0.0,0.39542620046887006,89.71247032000139,201.87055363862964,False,False,False,False,0.0,0.0,1.3999594816738181e-08,0.0
3,197,7,15,1992,0.0,0.0,0.0,0.0,0.0,0.3642617182089189,0.3642617182089189,2.3310995399748724,2.331099539974873,0.07772788320921674,0.07772788320921674,0.0,-2.7730891551869945,-2.7730891551869945,1.379398639755891e-08,1.37939859534697e-08,1.379398639755891e-08,1.37939859534697e-08,1.379398639755891e-08,1.37939859534697e-08,1.379398639755891e-08,1.37939859534697e-08,0.0,0.40473743306826765,96.81975908010912,208.97784239873738,False,False,False,False,0.0,0.0,1.379398639755891e-08,0.0
2,283,10,10,1992,0.0,0.0,0.0,0.0,0.0,0.2999761517559733,0.2999761517559733,0.7548378809240623,0.7548378809240626,0.04911029581560411,0.04911029581560411,0.0,-1.1039243422762297,-1.1039243422762297,1.3780590002454574e-08,1.3780589558365364e-08,1.3780590002454574e-08,1.3780589558365364e-08,1.3780590002454574e-08,1.3780589558365364e-08,1.3780590002454574e-08,1.3780589558365364e-08,0.0,0.3529209034318722,57.26806334689678,169.42614666552504,False,False,False,False,0.0,0.0,1.3780590002454574e-08,0.0
4,254,9,11,1993,0.0,0.0,0.0,0.0,0.0,0.4758552409494087,0.4758552409494087,1.833352138097386,1.8333521380973854,0.09026297784136919,0.09026297784136919,0.0,-2.399470370312997,-2.399470370312997,1.3424833245068157e-08,1.3424833689157367e-08,1.3424833245068157e-08,1.3424833689157367e-08,1.3424833245068157e-08,1.3424833689157367e-08,1.3424833245068157e-08,1.3424833689157367e-08,0.0,0.44155453631848074,124.9223525140755,237.08043583270376,False,False,False,False,0.0,0.0,1.3424833245068157e-08,0.0
5,154,6,3,1994,0.0,0.0,0.0,0.0,0.0,0.34166604775491666,0.34166604775491666,3.775220703919863,3.775220703919863,0.10686301954669016,0.10686301954669016,0.0,-4.223749784597601,-4.223749784597601,1.337613131369153e-08,1.337613131369153e-08,1.337613131369153e-08,1.337613131369153e-08,1.337613131369153e-08,1.337613131369153e-08,1.337613131369153e-08,1.337613131369153e-08,0.0,0.39907501568157794,92.49762073614141,204.65570405476967,False,False,False,False,0.0,0.0,1.337613131369153e-08,0.0
2,281,10,8,1992,0.0,0.0,0.0,0.0,0.0,0.30277986083076025,0.30277986083076025,0.8179166816832173,0.8179166816832175,0.04911303526234828,0.04911303526234828,0.0,-1.1698095911411315,-1.1698095911411315,1.3364805706572724e-08,1.3364805262483515e-08,1.3364805706572724e-08,1.3364805262483515e-08,1.3364805706572724e-08,1.3364805262483515e-08,1.3364805706572724e-08,1.3364805262483515e-08,0.0,0.35580970279897045,59.47309163427002,171.63117495289828,False,False,False,False,0.0,0.0,1.3364805706572724e-08,0.0
2,174,6,23,1991,0.0,0.0,0.0,0.0,0.0,2.1070205773585173,2.1070205773585173,3.175647029177424,3.1756470291774233,0.14037907088404952,0.14037907088404952,0.0,-5.423046690754347,-5.423046690754347,1.3334356729899355e-08,1.3334357618077775e-08,1.3334356729899355e-08,1.3334357618077775e-08,1.3334356729899355e-08,1.3334357618077775e-08,1.3334356729899355e-08,1.3334357618077775e-08,0.0,0.5106588234891708,177.66983983549375,289.827923154122,False,False,False,False,0.0,0.0,1.3334356729899355e-08,0.0
1,344,12,10,1991,0.0,0.0,0.0,0.0,0.0,0.08516250558969163,0.08516250558969163,1.1793859907018267,1.1793859907018265,0.10488222710837951,0.10488222710837951,0.0,-1.3694307366149587,-1.3694307366149587,1.3215060823412728e-08,1.3215061045457333e-08,1.3215060823412728e-08,1.3215061045457333e-08,1.3215060823412728e-08,1.3215061045457333e-08,1.3215060823412728e-08,1.3215061045457333e-08,0.0,0.26673164157500123,-8.520430872112513,103.63765244651574,False,False,False,False,0.0,0.0,1.3215060823412728e-08,0.0
6,353,12,19,1996,0.0,0.0,0.0,0.0,0.0,0.28063084046250086,0.28063084046250086,0.3956914264439539,0.39569142644395394,0.11535828886978239,0.11535828886978239,0.0,-0.7916805687896726,-0.7916805687896726,1.3013435440356602e-08,1.3013435440356602e-08,1.3013435440356602e-08,1.3013435440356602e-08,1.3013435440356602e-08,1.3013435440356602e-08,1.3013435440356602e-08,1.3013435440356602e-08,0.0,0.40218182456358526,94.86905626964125,207.0271395882695,False,False,False,False,0.0,0.0,1.3013435440356602e-08,0.0
