luse,stext,ki,kr,shcrit,avke,ksflag,ksatadj,ksatfac,ksatrec,pmet_kcb,pmet_rawp,rdmax,xmxlai,keffflag,lkeff,uksat
bare,clay loam,1500000,5.00E-05,0.5,6,0,1,100,0.3,0.95,0.8,0.2,9,1,0.1,
bare,loam,1000000,6.00E-05,1,10,0,1,100,0.3,0.95,0.8,0.2,9,1,0.1,
bare,sand loam,400000,0.0001,2,10,0,1,100,0.3,0.95,0.8,0.2,9,1,0.1,
bare,silt loam,1000000,8.00E-05,1.5,6,0,1,100,0.3,0.95,0.8,0.2,9,1,0.1,
forest,clay loam,400000,2.00E-05,0.5,35,0,0,1.5,0.3,0.95,0.8,2,14,1,0.3,35
forest,loam,400000,3.00E-05,1,50,0,0,1.5,0.3,0.95,0.8,2,14,1,0.5,50
forest,sand loam,400000,8.00E-05,2,60,0,0,1.5,0.3,0.95,0.8,2,14,1,0.5,60
forest,silt loam,1000000,5.00E-05,1.5,40,0,0,1.5,0.3,0.95,0.8,2,14,1,0.1,40
forest high sev fire,clay loam,1500000,6.00E-05,0.5,14,0,1,100,0.3,0.95,0.8,0.3,2,1,0.3,35
forest high sev fire,loam,1000000,0.0001,1,15,0,1,100,0.3,0.95,0.8,0.3,2,1,0.5,50
forest high sev fire,sand loam,400000,0.00014,2,15,0,1,100,0.3,0.95,0.8,0.3,2,1,0.5,60
forest high sev fire,silt loam,1000000,0.00012,1.5,10,0,1,100,0.3,0.95,0.8,0.3,2,1,0.1,40
forest moderate sev fire,clay loam,1500000,5.00E-05,0.5,18,0,0,1.3,0.3,0.95,0.8,0.3,4,1,0.3,35
forest moderate sev fire,loam,1000000,8.00E-05,1,20,0,0,1.3,0.3,0.95,0.8,0.3,4,1,0.5,50
forest moderate sev fire,sand loam,400000,0.00012,2,20,0,0,1.3,0.3,0.95,0.8,0.3,4,1,0.5,60
forest moderate sev fire,silt loam,1000000,0.0001,1.5,13,0,0,1.3,0.3,0.95,0.8,0.3,4,1,0.1,40
forest low sev fire,clay loam,1500000,5.00E-05,0.5,18,0,0,1.3,0.3,0.95,0.8,0.3,4,1,0.3,35
forest low sev fire,loam,1000000,8.00E-05,1,20,0,0,1.3,0.3,0.95,0.8,0.3,4,1,0.5,50
forest low sev fire,sand loam,400000,0.00012,2,20,0,0,1.3,0.3,0.95,0.8,0.3,4,1,0.5,60
forest low sev fire,silt loam,1000000,0.0001,1.5,13,0,0,1.3,0.3,0.95,0.8,0.3,4,1,0.1,40
forest prescribed fire,clay loam,1500000,5.00E-05,0.5,18,0,0,1.3,0.3,0.95,0.8,0.5,10,1,10,
forest prescribed fire,loam,1000000,8.00E-05,1,20,0,0,1.3,0.3,0.95,0.8,0.5,10,1,10,
forest prescribed fire,sand loam,400000,0.00012,2,20,0,0,1.3,0.3,0.95,0.8,0.5,10,1,10,
forest prescribed fire,silt loam,1000000,0.0001,1.5,13,0,0,1.3,0.3,0.95,0.8,0.5,10,1,10,
grass high sev fire,clay loam,1500000,6.00E-05,0.5,14,0,1,100,0.3,0.95,0.8,0.2,2,1,1,
grass high sev fire,loam,1000000,0.0001,1,15,0,1,100,0.3,0.95,0.8,0.2,2,1,1,
grass high sev fire,sand loam,400000,0.00014,2,15,0,1,100,0.3,0.95,0.8,0.2,2,1,1,
grass high sev fire,silt loam,1000000,0.00012,1.5,10,0,1,100,0.3,0.95,0.8,0.2,2,1,1,
grass moderate sev fire,clay loam,1500000,5.00E-05,0.5,18,0,0,1.3,0.3,0.95,0.8,0.3,4,1,1,
grass moderate sev fire,loam,1000000,8.00E-05,1,20,0,0,1.3,0.3,0.95,0.8,0.3,4,1,1,
grass moderate sev fire,sand loam,400000,0.00012,2,20,0,0,1.3,0.3,0.95,0.8,0.3,4,1,1,
grass moderate sev fire,silt loam,1000000,0.0001,1.5,13,0,0,1.3,0.3,0.95,0.8,0.3,4,1,1,
grass low sev fire,clay loam,1500000,5.00E-05,0.5,18,0,0,1.3,0.3,0.95,0.8,0.3,4,1,10,
grass low sev fire,loam,1000000,8.00E-05,1,20,0,0,1.3,0.3,0.95,0.8,0.3,4,1,10,
grass low sev fire,sand loam,400000,0.00012,2,20,0,0,1.3,0.3,0.95,0.8,0.3,4,1,10,
grass low sev fire,silt loam,1000000,0.0001,1.5,13,0,0,1.3,0.3,0.95,0.8,0.3,4,1,10,
grass prescribed fire,clay loam,1500000,5.00E-05,0.5,18,0,0,1.3,0.3,0.95,0.8,0.4,3,1,10,
grass prescribed fire,loam,1000000,8.00E-05,1,20,0,0,1.3,0.3,0.95,0.8,0.4,3,1,10,
grass prescribed fire,sand loam,400000,0.00012,2,20,0,0,1.3,0.3,0.95,0.8,0.4,3,1,10,
grass prescribed fire,silt loam,1000000,0.0001,1.5,13,0,0,1.3,0.3,0.95,0.8,0.4,3,1,10,
short grass,clay loam,1500000,4.00E-05,0.5,20,0,0,1.5,0.3,0.95,0.8,0.3,4,0,-9999,
short grass,loam,1000000,6.00E-05,1,25,0,0,1.5,0.3,0.95,0.8,0.3,4,0,-9999,
short grass,sand loam,400000,0.0001,2,25,0,0,1.5,0.3,0.95,0.8,0.3,4,0,-9999,
short grass,silt loam,1000000,8.00E-05,1.5,15,0,0,1.5,0.3,0.95,0.8,0.3,4,0,-9999,
shrub,clay loam,1500000,3.00E-05,0.5,28,0,0,1.5,0.3,0.95,0.8,0.5,5,0,-9999,
shrub,loam,1000000,5.00E-05,1,35,0,0,1.5,0.3,0.95,0.8,0.5,5,0,-9999,
shrub,sand loam,400000,0.0001,2,40,0,0,1.5,0.3,0.95,0.8,0.5,5,0,-9999,
shrub,silt loam,1000000,7.00E-05,1.5,25,0,0,1.5,0.3,0.95,0.8,0.5,5,0,-9999,
shrub high sev fire,clay loam,1500000,6.00E-05,0.5,14,0,1,100,0.3,0.95,0.8,0.2,1,1,1,
shrub high sev fire,loam,1000000,0.0001,1,15,0,1,100,0.3,0.95,0.8,0.2,1,1,1,
shrub high sev fire,sand loam,400000,0.00014,2,15,0,1,100,0.3,0.95,0.8,0.2,1,1,1,
shrub high sev fire,silt loam,1000000,0.00012,1.5,10,0,1,100,0.3,0.95,0.8,0.2,1,1,1,
shrub moderate sev fire,clay loam,1500000,5.00E-05,0.5,18,0,0,1.3,0.3,0.95,0.8,0.2,2,1,1,
shrub moderate sev fire,loam,1000000,8.00E-05,1,20,0,0,1.3,0.3,0.95,0.8,0.2,2,1,1,
shrub moderate sev fire,sand loam,400000,0.00012,2,20,0,0,1.3,0.3,0.95,0.8,0.2,2,1,1,
shrub moderate sev fire,silt loam,1000000,0.0001,1.5,13,0,0,1.3,0.3,0.95,0.8,0.2,2,1,1,
shrub low sev fire,clay loam,1500000,5.00E-05,0.5,18,0,0,1.3,0.3,0.95,0.8,0.2,2,1,10,
shrub low sev fire,loam,1000000,8.00E-05,1,20,0,0,1.3,0.3,0.95,0.8,0.2,2,1,10,
shrub low sev fire,sand loam,400000,0.00012,2,20,0,0,1.3,0.3,0.95,0.8,0.2,2,1,10,
shrub low sev fire,silt loam,1000000,0.0001,1.5,13,0,0,1.3,0.3,0.95,0.8,0.2,2,1,10,
shrub prescribed fire,clay loam,1500000,5.00E-05,0.5,18,0,0,1.3,0.3,0.95,0.8,0.3,4,0,10,
shrub prescribed fire,loam,1000000,8.00E-05,1,20,0,0,1.3,0.3,0.95,0.8,0.3,4,0,10,
shrub prescribed fire,sand loam,400000,0.00012,2,20,0,0,1.3,0.3,0.95,0.8,0.3,4,0,10,
shrub prescribed fire,silt loam,1000000,0.0001,1.5,13,0,0,1.3,0.3,0.95,0.8,0.3,4,0,10,
skid,clay loam,1500000,5.00E-05,0.5,6,0,0,100,0.3,0.95,0.8,0.2,4,0,-9999,
skid,loam,1000000,6.00E-05,1,10,0,0,100,0.3,0.95,0.8,0.2,4,0,-9999,
skid,sand loam,400000,0.0001,2,10,0,0,100,0.3,0.95,0.8,0.2,4,0,-9999,
skid,silt loam,1000000,8.00E-05,1.5,6,0,0,100,0.3,0.95,0.8,0.2,4,0,-9999,
low or treated skid,clay loam,400000,3.00E-05,0.5,33,0,0,1.3,0.3,0.95,0.8,0.2,4,0,-9999,
low or treated skid,loam,400000,4.00E-05,1,40,0,0,1.3,0.3,0.95,0.8,0.2,4,0,-9999,
low or treated skid,sand loam,400100,9.00E-05,2,50,0,0,1.3,0.3,0.95,0.8,0.2,4,0,-9999,
low or treated skid,silt loam,1000000,6.00E-05,1.5,30,0,0,1.3,0.3,0.95,0.8,0.2,4,0,-9999,
high use skid,clay loam,1500000,5.00E-05,0.5,6,0,0,100,0.3,0.95,0.8,0.2,2,0,-9999,
high use skid,loam,1000000,6.00E-05,1,10,0,0,100,0.3,0.95,0.8,0.2,2,0,-9999,
high use skid,sand loam,400000,0.0001,2,10,0,0,100,0.3,0.95,0.8,0.2,2,0,-9999,
high use skid,silt loam,1000000,8.00E-05,1.5,6,0,0,100,0.3,0.95,0.8,0.2,2,0,-9999,
tall grass,clay loam,1500000,4.00E-05,0.5,24,0,0,1.5,0.3,0.95,0.8,0.4,5,0,-9999,
tall grass,loam,1000000,6.00E-05,1,30,0,0,1.5,0.3,0.95,0.8,0.4,5,0,-9999,
tall grass,sand loam,400000,0.0001,2,30,0,0,1.5,0.3,0.95,0.8,0.4,5,0,-9999,
tall grass,silt loam,1000000,8.00E-05,1.5,20,0,0,1.5,0.3,0.95,0.8,0.4,5,0,-9999,
young forest,clay loam,400000,3.00E-05,0.5,33,0,0,1.5,0.3,0.95,0.8,1,10,0,-9999,
young forest,loam,400000,4.00E-05,1,40,0,0,1.5,0.3,0.95,0.8,1,10,0,-9999,
young forest,sand loam,400100,9.00E-05,2,50,0,0,1.5,0.3,0.95,0.8,1,10,0,-9999,
young forest,silt loam,1000000,6.00E-05,1.5,30,0,0,1.5,0.3,0.95,0.8,1,10,0,-9999,
thinning,clay loam,400000,3.00E-05,0.5,33,0,0,1.3,0.3,0.95,0.8,0.6,12,0,-9999,
thinning,loam,400000,4.00E-05,1,40,0,0,1.3,0.3,0.95,0.8,0.6,12,0,-9999,
thinning,sand loam,400100,9.00E-05,2,50,0,0,1.3,0.3,0.95,0.8,0.6,12,0,-9999,
thinning,silt loam,1000000,6.00E-05,1.5,30,0,0,1.3,0.3,0.95,0.8,0.6,12,0,-9999,
mulch,clay loam,400000,3.00E-05,0.5,33,0,0,1.5,0.3,0.95,0.8,1,3,0,-9999,
mulch,loam,400000,4.00E-05,1,40,0,0,1.5,0.3,0.95,0.8,1,3,0,-9999,
mulch,sand loam,400100,9.00E-05,2,50,0,0,1.5,0.3,0.95,0.8,1,3,0,-9999,
mulch,silt loam,1000000,6.00E-05,1.5,30,0,0,1.5,0.3,0.95,0.8,1,3,0,-9999,
agriculture crops,clay loam,,,,,1,0,0,0,0.95,0.8,,,0,-9999,
agriculture crops,loam,,,,,1,0,0,0,0.95,0.8,,,0,-9999,
agriculture crops,sand loam,,,,,1,0,0,0,0.95,0.8,,,0,-9999,
agriculture crops,silt loam,,,,,1,0,0,0,0.95,0.8,,,0,-9999,
