"SR- LS GR-L"|"Yes"|"Yes"|"Stratified loamy sand to gravelly loam"|"7933867"|"15149498"
"GR-SL"|"No "|"Yes"|"Gravelly sandy loam"|"7933868"|"15297670"
"LFS"|"No "|"No "|"Loamy fine sand"|"7933936"|"15297701"
"LS"|"No "|"No "|"Loamy sand"|"7933936"|"15445873"
"S"|"No "|"No "|"Sand"|"7933936"|"15594044"
"SIL"|"No "|"No "|"Silt loam"|"7933963"|"15149540"
"SICL"|"No "|"No "|"Silty clay loam"|"7933963"|"15297712"
"SIL"|"No "|"Yes"|"Silt loam"|"7933964"|"15445884"
"SIL"|"No "|"Yes"|"Silt loam"|"7933981"|"15297720"
"SICL"|"No "|"No "|"Silty clay loam"|"7933982"|"15149549"
"CL"|"No "|"No "|"Clay loam"|"7933982"|"15445892"
"SIL"|"No "|"No "|"Silt loam"|"7933982"|"15594063"
"UWB"|"No "|"Yes"|"Unweathered bedrock"|"7933983"|"15297721"
"SCL"|"No "|"Yes"|"Sandy clay loam"|"7934182"|"15445980"
"LS"|"No "|"No "|"Loamy sand"|"7934183"|"15149637"
"LFS"|"No "|"No "|"Loamy fine sand"|"7934183"|"15297809"
"FS"|"No "|"No "|"Fine sand"|"7934183"|"15594151"
"SIL"|"No "|"Yes"|"Silt loam"|"7934220"|"15594170"
"SIL"|"No "|"No "|"Silt loam"|"7934440"|"15297935"
"SICL"|"No "|"No "|"Silty clay loam"|"7934440"|"15446107"
"CL"|"No "|"No "|"Clay loam"|"7934546"|"15149817"
"L"|"No "|"No "|"Loam"|"7934546"|"15297989"
"C"|"No "|"No "|"Clay"|"7934546"|"15446161"
"FS"|"No "|"No "|"Fine sand"|"7934547"|"15149818"
"SL"|"No "|"No "|"Sandy loam"|"7934547"|"15297990"
"LFS"|"No "|"No "|"Loamy fine sand"|"7934547"|"15594332"
"L"|"No "|"Yes"|"Loam"|"7935073"|"15446409"
"CL"|"No "|"No "|"Clay loam"|"7935074"|"15150066"
"GR-L"|"No "|"No "|"Gravelly loam"|"7935074"|"15298238"
"L"|"No "|"No "|"Loam"|"7935074"|"15594580"
"SIC"|"No "|"No "|"Silty clay"|"7935350"|"15446537"
"C"|"No "|"No "|"Clay"|"7935350"|"15594708"
"SIL"|"No "|"No "|"Silt loam"|"7935351"|"15150194"
"SICL"|"No "|"No "|"Silty clay loam"|"7935351"|"15298366"
"L"|"No "|"No "|"Loam"|"7935351"|"15446538"
"C"|"No "|"No "|"Clay"|"7935352"|"15150195"
"SIC"|"No "|"No "|"Silty clay"|"7935352"|"15594709"
"C"|"No "|"No "|"Clay"|"7935353"|"15298367"
"SICL"|"No "|"No "|"Silty clay loam"|"7935353"|"15446539"
"CL"|"No "|"No "|"Clay loam"|"7935353"|"15594710"
"SICL"|"No "|"Yes"|"Silty clay loam"|"7935354"|"15150196"
"C"|"No "|"No "|"Clay"|"7935355"|"15298368"
"SIC"|"No "|"No "|"Silty clay"|"7935355"|"15446540"
"SICL"|"No "|"No "|"Silty clay loam"|"7935355"|"15594711"
"SIL"|"No "|"Yes"|"Silt loam"|"7935356"|"15150197"
"FSL"|"No "|"Yes"|"Fine sandy loam"|"7935357"|"15298369"
"SIL"|"No "|"No "|"Silt loam"|"7935358"|"15446541"
"SICL"|"No "|"No "|"Silty clay loam"|"7935358"|"15594712"
"L"|"No "|"Yes"|"Loam"|"7935359"|"15150198"
"SIC"|"No "|"Yes"|"Silty clay"|"7935360"|"15298370"
"L"|"No "|"No "|"Loam"|"7935361"|"15150199"
"SIC"|"No "|"No "|"Silty clay"|"7935361"|"15446542"
"SICL"|"No "|"No "|"Silty clay loam"|"7935361"|"15594713"
"SIL"|"No "|"Yes"|"Silt loam"|"7935362"|"15298371"
"SIC"|"No "|"No "|"Silty clay"|"7935363"|"15446543"
"C"|"No "|"No "|"Clay"|"7935363"|"15594714"
"SICL"|"No "|"Yes"|"Silty clay loam"|"7935364"|"15150200"
"L"|"No "|"No "|"Loam"|"7935365"|"15298372"
"CL"|"No "|"No "|"Clay loam"|"7935365"|"15446544"
"SICL"|"No "|"No "|"Silty clay loam"|"7935366"|"15150201"
"SIC"|"No "|"No "|"Silty clay"|"7935366"|"15298373"
