ntwk,state,site_name,ts,start,lat,lon,elev,county,huc,
SNTL,AK,Alexander Lake (1267),,2014-August,61.75,-150.89,160,Matanuska-susitna,Upper Alexander Creek (190205051106),
SNTL,AK,American Creek (1189),,2011-August,64.79,-141.23,1050,Southeast Fairbanks,American Creek (190705050504),
SNTL,AK,Anchor River Divide (1062),,1980-October,59.86,-151.32,1653,Kenai Peninsula,Headwaters Anchor River (190203010701),
SNTL,AK,Anchorage Hillside (1070),,2004-October,61.11,-149.67,2080,Anchorage,South Fork Campbell Creek (190204010601),
SNTL,AK,Aniak (2065),,2002-July,61.58,-159.58,80,Bethel,Aniak Slough-Kuskokwim River (190305020504),
SNTL,AK,Atigun Pass (957),,1981-October,68.13,-149.48,4800,North Slope,Chandalar Shelf (190802010102),
SNTL,AK,Bettles Field (1182),,1980-October,66.92,-151.53,640,Yukon-koyukuk,Jack White Creek-Koyukuk River (190901012604),
SNTL,AK,Chena Lakes (1260),,2020-August,64.76,-147.22,500,Fairbanks North Star,190803060901 (190803060901),
SNTL,AK,Chisana (1093),,2007-October,62.07,-142.05,3320,Valdez-cordova,Red Hill Creek-Chisana River (190803010305),
SNTL,AK,Coldfoot (958),,1994-October,67.25,-150.18,1040,Yukon-koyukuk,Slate Creek (190901010604),
SNTL,AK,Cooper Lake (959),,1981-October,60.39,-149.69,1200,Kenai Peninsula,Kenai Lake (190203021205),
SNTL,AK,Creamers Field (1302),,2021-August,64.87,-147.74,440,Fairbanks North Star,Chena River (190803060907),
SNTL,AK,Dahl Creek (1303),,2021-September,66.95,-156.9,260,Northwest Arctic,Dahl Creek (190503021508),
SNTL,AK,Eagle Summit (960),,1997-October,65.49,-145.41,3650,Yukon-koyukuk,Porcupine Creek (190804010801),
SNTL,AK,East Palmer (953),,2018-July,61.6,-149.1,230,Matanuska-susitna,Outlet Matanuska River (190204020709),
SNTL,AK,Elmendorf Field (1332),,2024-October,61.25,-149.82,170,Anchorage,Outlet Ship Creek (190204010404),
SNTL,AK,Esther Island (1071),,2004-October,60.8,-148.09,50,Valdez-cordova,Esther Lake-Frontal Prince William Sound (190202011605),
