year,sim_day_index,julian,month,day_of_month,water_year,n_ofe,audit_full_physical_closure_residual_mm,audit_full_implied_unresolved_term_mm,audit_full_max_abs_ofe_closure_residual_mm,audit_full_outlier_ofe_id,audit_full_outlier_ofe_closure_residual_mm,audit_chain_max_abs_subsurface_transfer_residual_m3,audit_chain_max_abs_surface_transfer_residual_m3_geometry_sensitive,audit_outlet_ofe_id,audit_outlet_runvol_vs_qofe_residual_m3,audit_closure_reconstructed_with_storage_mm,audit_closure_reconstructed_with_enriched_storage_mm,audit_runoff_consistency_mm,audit_rain_melt_reported_mm,audit_precip_reported_mm,audit_runoff_reported_mm,ofe_up,ofe_down,audit_chain_subsurface_transfer_residual_m3,audit_chain_surface_transfer_residual_m3_geometry_sensitive,abs_chain_subsurface_transfer_residual_m3,abs_chain_surface_transfer_residual_m3_geometry_sensitive,abs_full_physical_closure_residual_mm,abs_outlet_runvol_vs_qofe_residual_m3
3,785,55,2,24,3,1,-78.10000000000012,-78.10000000000012,78.10000000000008,1,-78.10000000000008,,,1,0.0,-7.105427357601002e-14,-7.105427357601002e-14,0.0,0.0,78.10000000000001,0.0,,,,,,,78.10000000000012,0.0
33,11714,26,1,26,33,1,71.90755999999995,71.90755999999995,71.90755999999992,1,71.90755999999992,,,1,-0.045501130399316025,0.007668277075545404,0.007668277075545404,0.0,71.9,0.0,14.522331722924372,,,,,,,71.90755999999995,0.045501130399316025
3,791,61,3,2,3,1,71.48586,71.48586,71.48586000000003,1,71.48586000000003,,,1,0.025780147600926284,0.015798652095782018,0.015798652095782018,0.0,71.47,0.0,15.02420134790426,,,,,,,71.48586,0.025780147600926284
15,5138,25,1,25,15,1,-62.299999999999955,-62.299999999999955,62.29999999999995,1,-62.29999999999995,,,1,0.0,5.684341886080802e-14,5.684341886080802e-14,0.0,0.0,62.300000000000004,0.0,,,,,,,62.299999999999955,0.0
36,12834,51,2,20,36,1,-57.50000000000016,-57.50000000000016,57.50000000000007,1,-57.50000000000007,,,1,0.0,-1.8474111129762605e-13,-1.8474111129762605e-13,0.0,0.0,57.5,0.0,,,,,,,57.50000000000016,0.0
33,11694,6,1,6,33,1,-56.99000000000001,-56.99000000000001,56.9899999999999,1,-56.9899999999999,,,1,0.0,0.010000000000097486,0.010000000000097486,0.0,0.0,57.0,0.0,,,,,,,56.99000000000001,0.0
10,3310,23,1,23,10,1,50.80783999999987,50.80783999999987,50.807839999999885,1,50.807839999999885,,,1,0.04304749439961597,0.007737561736028908,0.007737561736028908,0.0,54.800000000000004,4.0,14.212262438263968,,,,,,,50.80783999999987,0.04304749439961597
3,1084,354,12,20,4,1,-50.700000000000095,-50.700000000000095,50.70000000000004,1,-50.70000000000004,,,1,0.0,-3.552713678800501e-14,-3.552713678800501e-14,0.0,0.0,50.7,0.0,,,,,,,50.700000000000095,0.0
3,1086,356,12,22,4,1,50.70000000000008,50.70000000000008,50.70000000000009,1,50.70000000000009,,,1,0.0,8.215650382226158e-14,8.215650382226158e-14,0.0,50.7,0.0,0.0,,,,,,,50.70000000000008,0.0
50,18252,355,12,21,51,1,-49.69000000000002,-49.69000000000002,49.69000000000005,1,-49.69000000000005,,,1,0.0,0.009999999999955378,0.009999999999955378,0.0,0.0,49.7,0.0,,,,,,,49.69000000000002,0.0
23,8385,350,12,16,24,1,-47.71999999999992,-47.71999999999992,47.71999999999983,1,-47.71999999999983,,,1,0.0,1.7053025658242404e-13,1.7053025658242404e-13,0.0,1.48,49.2,0.0,,,,,,,47.71999999999992,0.0
6,1882,56,2,25,6,1,47.31000000000004,47.31000000000004,47.309999999999974,1,47.309999999999974,,,1,0.0,0.009999999999977582,0.009999999999977582,0.0,47.3,0.0,0.0,,,,,,,47.31000000000004,0.0
35,12498,80,3,21,35,1,-45.8899999999999,-45.8899999999999,45.889999999999915,1,-45.889999999999915,,,1,0.0,0.010000000000090381,0.010000000000090381,0.0,0.0,45.900000000000006,0.0,,,,,,,45.8899999999999,0.0
45,16101,30,1,30,45,1,-44.90000000000005,-44.90000000000005,44.90000000000006,1,-44.90000000000006,,,1,0.0,-6.394884621840902e-14,-6.394884621840902e-14,0.0,0.0,44.9,0.0,,,,,,,44.90000000000005,0.0
46,16743,307,11,3,47,1,-44.79999999999993,-44.79999999999993,44.7999999999999,1,-44.7999999999999,,,1,0.0,9.947598300641403e-14,9.947598300641403e-14,0.0,0.0,44.8,0.0,,,,,,,44.79999999999993,0.0
46,16744,308,11,4,47,1,44.79927999999991,44.79927999999991,44.79927999999998,1,44.79927999999998,,,1,0.476972564800235,-0.001855031020522091,-0.001855031020522091,0.0,76.2,31.4,24.581855031020496,,,,,,,44.79927999999991,0.476972564800235
29,10284,57,2,26,29,1,-44.699999999999946,-44.699999999999946,44.700000000000045,1,-44.700000000000045,,,1,0.0,-4.263256414560601e-14,-4.263256414560601e-14,0.0,0.0,44.7,0.0,,,,,,,44.699999999999946,0.0
49,17584,52,2,21,49,1,-44.69000000000012,-44.69000000000012,44.68999999999999,1,-44.68999999999999,,,1,0.0,0.010000000000012221,0.010000000000012221,0.0,0.0,44.7,0.0,,,,,,,44.69000000000012,0.0
