disturbed_class,sbs_class,nlcd_class,canopy_cover,ground_cover,litter_cover,rock_cover,effective_fall_height,c_override,notes
forest,unburned,"41,42,43,44,61",0.90,1.00,,,,,"Static disturbed baseline; includes young forest"
forest,low,"41,42,43,44,61",0.75,0.85,,,,,"Derived from Low_Severity_Fire ground-cover defaults"
forest,moderate,"41,42,43,44,61",0.60,0.60,,,,,"Derived from Moderate_Severity_Fire ground-cover defaults"
forest,high,"41,42,43,44,61",0.40,0.30,,,,,"Derived from High_Severity_Fire ground-cover defaults"
shrub,unburned,"51,52",0.70,0.90,,,,,"Static shrub baseline"
shrub,low,"51,52",0.33,0.80,,,,,"Derived from Shrub_Low_Severity_Fire ground-cover defaults"
shrub,moderate,"51,52",0.27,0.55,,,,,"Derived from Shrub_Moderate_Severity_Fire ground-cover defaults"
shrub,high,"51,52",0.05,0.30,,,,,"Derived from Shrub_High_Severity_Fire ground-cover defaults"
tall_grass,unburned,"71,72",0.00,0.60,,,,,"Static tall-grass baseline"
tall_grass,low,"71,72",0.00,0.60,,,,,"Low-severity tall grass remains at the static 0.60 ground-cover default in v1"
tall_grass,moderate,"71,72",0.00,0.35,,,,,"Derived from Grass_Moderate_Severity_Fire ground-cover defaults"
tall_grass,high,"71,72",0.00,0.10,,,,,"Derived from Grass_High_Severity_Fire ground-cover defaults"
bare,unburned,31,0.00,0.00,,,,,"Static no-burn row; yields C=1.0 from fg=0"
short_grass,unburned,"73,74",0.00,0.40,,,,,"Static no-burn row; yields C≈0.2019 from fg=40"
agriculture_crops,unburned,"81,82",0.00,0.90,,,,,"Static no-burn row; aligns with disturbed agriculture ground-cover default; no SBS severity variants in v1"
