year,julian,sim_day_index,month,day_of_month,water_year,n_ofe,audit_rain_melt_reported_mm,audit_precip_reported_mm,audit_runoff_reported_mm,audit_runoff_calc_mm,audit_runoff_consistency_mm,audit_sbrunv_calc_mm,audit_lateral_reported_mm,audit_lateral_calc_mm,audit_et_reported_mm,audit_et_calc_mm,audit_percolation_reported_mm,audit_percolation_calc_mm,audit_storage_delta_mm,audit_enriched_storage_delta_mm,audit_closure_reported_with_storage_mm,audit_closure_reconstructed_with_storage_mm,audit_closure_reported_with_enriched_storage_mm,audit_closure_reconstructed_with_enriched_storage_mm,audit_closure_reported_with_storage_rain_melt_mm,audit_closure_reconstructed_with_storage_rain_melt_mm,audit_closure_reported_with_enriched_storage_rain_melt_mm,audit_closure_reconstructed_with_enriched_storage_rain_melt_mm,audit_soilwatertotal_vs_legacy_storage_mm,audit_soilwater_to_porosity_fraction,audit_soilwater_minus_fc_mm,audit_soilwater_minus_wp_mm,audit_profile_order_fc_gt_porosity,audit_profile_order_wp_gt_fc,audit_soilwater_gt_porositycap,audit_soilwater_lt_wpstore,audit_runoff_to_precip_reported_pct,audit_runoff_to_precip_reconstructed_pct,TSMF,QRain,QSnow,abs_closure_reported_with_storage_mm,abs_runoff_consistency_mm
1,1,1,1,1,1,14,0.0,8.099999999999996,0.0,0.0,0.0,0.0385761873374171,0.03857142857142856,0.03857142857142856,0.6928571428571424,0.6928571428571424,0.23999999999999988,0.23999999999999988,0.0,,7.1285714285714255,7.1285714285714255,,,-0.9714285714285709,-0.9714285714285709,,,,,,,False,False,False,False,0.0,0.0,0.4233357142857141,0.0,0.0,7.1285714285714255,0.0
9,311,3233,11,7,10,14,0.4414285714285714,2.399999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.6914285714285714,0.6914285714285714,0.0,0.0,1.4821428571428186,,0.22642857142860917,0.22642857142860917,,,-1.7321428571428186,-1.7321428571428186,,,,,,,False,False,False,False,0.0,0.0,0.17449285714285714,,,0.22642857142860917,0.0
36,314,13097,11,9,37,14,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38714285714285707,0.38714285714285707,0.0,0.0,-0.6035714285714562,,0.21642857142859911,0.21642857142859911,,,2.516428571428599,2.516428571428599,,,,,,,False,False,False,False,0.0,0.0,0.16780714285714282,,,0.21642857142859911,0.0
40,166,14410,6,14,40,14,2.3,2.3,0.0,0.0,0.0,0.0,0.0,0.0,2.293571428571428,2.293571428571428,0.0,0.0,-0.20499999999998408,,0.21142857142855576,0.21142857142855576,,,0.21142857142855576,0.21142857142855576,,,,,,,False,False,False,False,0.0,0.0,0.16816428571428568,,,0.21142857142855576,0.0
21,54,7359,2,23,21,14,2.3,2.3,0.0,0.0,0.0,0.0,0.0,0.0,1.147142857142857,1.147142857142857,0.0,0.0,0.9421428571428407,,0.21071428571430206,0.21071428571430206,,,0.21071428571430206,0.21071428571430206,,,,,,,False,False,False,False,0.0,0.0,0.18487857142857142,,,0.21071428571430206,0.0
8,246,2802,9,2,8,14,2.3,2.3,0.0,0.0,0.0,0.0,0.0,0.0,1.3628571428571425,1.3628571428571425,0.0,0.0,0.7264285714285563,,0.21071428571430095,0.21071428571430095,,,0.21071428571430095,0.21071428571430095,,,,,,,False,False,False,False,0.0,0.0,0.16802857142857136,,,0.21071428571430095,0.0
35,17,12435,1,17,35,14,2.3,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.4714285714285712,0.4714285714285712,0.0,0.0,1.6178571428571615,,0.2107142857142672,0.2107142857142672,,,0.2107142857142672,0.2107142857142672,,,,,,,False,False,False,False,0.0,0.0,0.17158571428571423,,,0.2107142857142672,0.0
19,79,6653,3,20,19,14,2.3,2.3,0.0,0.0,0.0,0.0,0.0,0.0,1.3242857142857138,1.3242857142857138,0.017142857142857137,0.017142857142857137,0.7485714285713811,,0.2100000000000477,0.2100000000000477,,,0.2100000000000477,0.2100000000000477,,,,,,,False,False,False,False,0.0,0.0,0.17814999999999995,,,0.2100000000000477,0.0
29,162,10389,6,11,29,14,2.3,2.3,0.0,0.0,0.0,0.0,0.0,0.0,2.414285714285714,2.414285714285714,0.0,0.0,-0.32428571428573605,,0.21000000000002172,0.21000000000002172,,,0.21000000000002172,0.21000000000002172,,,,,,,False,False,False,False,0.0,0.0,0.1718071428571428,,,0.21000000000002172,0.0
24,324,8724,11,19,25,14,2.3,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.6585714285714285,0.6585714285714285,0.0,0.0,1.4314285714285546,,0.21000000000001684,0.21000000000001684,,,0.21000000000001684,0.21000000000001684,,,,,,,False,False,False,False,0.0,0.0,0.16788571428571422,,,0.21000000000001684,0.0
