0|2|3||5|40|75||||"7935163"|"13494225"
0|2|3||75|162|250||||"7935163"|"13640630"
0|2|3||5|40|75||||"7935185"|"13201425"
0|2|3||2|4|5||||"7935185"|"13640640"
0|3|6||2|4|5||||"7935186"|"13347831"
0|3|6||5|40|75||||"7935186"|"13494236"
0|5|9||2|4|5||||"7942215"|"13497218"
0|3|6||5|40|75||||"7942215"|"13643623"
0|6|11||2|4|5||||"7942216"|"13204408"
0|2|3||5|40|75||||"7942216"|"13350814"
0|2|3||2|4|5||||"7942229"|"13497221"
0|2|3||5|40|75||||"7942229"|"13643626"
0|12|23||2|4|5||||"7942230"|"13204411"
17|26|34||5|40|75||||"7942230"|"13350817"
3|9|14||5|40|75||||"7942244"|"13204412"
0|12|23||2|4|5||||"7942244"|"13643627"
0|2|3||5|40|75||||"7942288"|"13204418"
0|7|14||2|4|5||||"7942288"|"13643633"
0|2|3||2|4|5||||"7942376"|"13497239"
0|2|3||5|40|75||||"7942376"|"13643644"
0|2|3||5|40|75||||"7942419"|"13204436"
0|6|11||2|4|5||||"7942419"|"13643651"
0|2|3||2|4|5||||"7942421"|"13350842"
0|6|11||2|4|5||||"7942422"|"13497247"
0|2|3||5|40|75||||"7942422"|"13643652"
0|12|23||2|4|5||||"7942429"|"13497249"
3|9|14||5|40|75||||"7942429"|"13643654"
0|12|23||2|4|5||||"7942430"|"13204439"
3|9|14||5|40|75||||"7942430"|"13350845"
0|7|14||2|4|5||||"7942447"|"13497254"
0|5|9||5|40|75||||"7942447"|"13643659"
0|2|3||2|4|5||||"7942448"|"13204444"
0|2|3||5|40|75||||"7942448"|"13350850"
0|6|11||2|4|5||||"7942449"|"13497255"
0|2|3||5|40|75||||"7942449"|"13643660"
0|2|3||2|4|5||||"7942450"|"13204445"
0|2|3||5|40|75||||"7942450"|"13350851"
0|2|3||2|4|5||||"7942456"|"13350852"
0|2|3||5|40|75||||"7942456"|"13497257"
0|2|3||2|4|5||||"7942457"|"13643662"
0|2|3||2|4|5||||"7942469"|"13350853"
0|7|14||2|4|5||||"7942470"|"13497258"
0|5|9||5|40|75||||"7942470"|"13643663"
0|2|3||2|4|5||||"7942868"|"13351001"
