station,epoch,forcing,first_date,last_date,valid_days,candidate_days,station_mm,forcing_mm,bias_pct,daily_r,daily_rmse_mm
CENMET,after,gridmet_mm,2023-08-01,2025-12-31,718,884,3722.06,3416.0,-8.222865832361649,0.9320011244095673,4.684736163840082
CENMET,after,wepp_cli_mm,2023-08-01,2025-12-31,718,884,3722.06,3417.4,-8.185252252784746,0.9320548905481115,4.683139109828532
CENMET,after,wepp_hillslope_area_weighted_mm,2023-08-01,2025-12-31,718,884,3722.06,3526.22160664559,-5.261559280463235,0.9319693593523255,4.619327095910494
CENMET,before,gridmet_mm,2000-11-03,2023-07-31,7875,8306,45345.12,40694.6,-10.255833483294353,0.9180387569787666,4.771815598028417
CENMET,before,wepp_cli_mm,2000-11-03,2023-07-31,7875,8306,45345.12,40706.0,-10.230692961006616,0.9180078748780862,4.772547777871217
CENMET,before,wepp_hillslope_area_weighted_mm,2000-11-03,2023-07-31,7875,8306,45345.12,42133.55781271117,-7.082486907717589,0.9185344127078056,4.723111037795747
PRIMET,after,gridmet_mm,2023-08-01,2025-12-31,873,884,5645.299,4677.0,-17.152306724586243,0.9164297001239955,6.225595532773242
PRIMET,after,wepp_cli_mm,2023-08-01,2025-12-31,873,884,5645.299,4678.5,-17.125735944190023,0.916456154095861,6.224864461278088
PRIMET,after,wepp_hillslope_area_weighted_mm,2023-08-01,2025-12-31,873,884,5645.299,4828.673345416428,-14.465587289239634,0.9161858581279524,6.095870430768064
PRIMET,before,gridmet_mm,1986-01-01,2023-07-31,13578,13726,78513.022,74100.6,-5.619987471632404,0.9157184886987323,4.913850066022641
PRIMET,before,wepp_cli_mm,1986-01-01,2023-07-31,13578,13726,78513.022,74128.6,-5.584324597771806,0.9156967937973978,4.914390232100595
PRIMET,before,wepp_hillslope_area_weighted_mm,1986-01-01,2023-07-31,13578,13726,78513.022,76761.72231418468,-2.230584992404594,0.915621147122998,4.890591856158277
UPLMET,after,gridmet_mm,2023-08-01,2025-12-31,728,884,4784.57,3584.1000000000004,-25.09044699941686,0.8956316501691148,7.511385232059105
UPLMET,after,wepp_cli_mm,2023-08-01,2025-12-31,728,884,4784.57,3585.9,-25.052826063784195,0.895731054717456,7.508947876652608
UPLMET,after,wepp_hillslope_area_weighted_mm,2023-08-01,2025-12-31,728,884,4784.57,3696.9739375134222,-22.73132303397333,0.8955104125435943,7.376455776397486
UPLMET,before,gridmet_mm,1995-09-01,2023-07-31,9432,10531,68465.53,50206.9,-26.668354133824714,0.8896282087972431,7.098259832710532
UPLMET,before,wepp_cli_mm,1995-09-01,2023-07-31,9432,10531,68465.53,50223.50000000001,-26.644108356424013,0.8896161061887616,7.098408821181045
UPLMET,before,wepp_hillslope_area_weighted_mm,1995-09-01,2023-07-31,9432,10531,68465.53,51995.59590455715,-24.05580457120955,0.8900450102828676,6.9528062890031395
VARMET,after,gridmet_mm,2023-08-01,2025-12-31,707,884,3545.0600000000004,3361.7999999999997,-5.169447061544819,0.8776712854445914,6.110636424351248
VARMET,after,wepp_cli_mm,2023-08-01,2025-12-31,707,884,3545.0600000000004,3363.2000000000003,-5.129955487354232,0.8777259927036206,6.109377330955614
VARMET,after,wepp_hillslope_area_weighted_mm,2023-08-01,2025-12-31,707,884,3545.0600000000004,3468.6552672825082,-2.1552451218735946,0.8778186609848573,6.094545425298871
VARMET,before,gridmet_mm,1998-11-14,2023-07-31,7655,9026,45922.149999999994,40952.5,-10.821901849107663,0.8845821461364383,5.635371449885464
VARMET,before,wepp_cli_mm,1998-11-14,2023-07-31,7655,9026,45922.149999999994,40967.399999999994,-10.789455633065959,0.884570143333275,5.635374950216106
VARMET,before,wepp_hillslope_area_weighted_mm,1998-11-14,2023-07-31,7655,9026,45922.149999999994,42380.695282491055,-7.71186609840554,0.8851379246752888,5.628093085561155
